Unnamed: 0,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party,office,candidate,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag,county
63,0,0,7,1179,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,EL DORADO,0,,,PINAL
64,0,0,7,1245,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,WALKER BUTTE,0,,,PINAL
65,0,0,7,1316,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,PECAN CREEK NORTH,0,,,PINAL
66,0,0,7,228,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,AK CHIN COMMUNITY,0,,,PINAL
67,0,0,7,1232,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,MARICOPA MEADOWS,0,,,PINAL
68,0,0,7,1353,0,0,0,0,,Registered Voters,REGISTERED VOTERS,7,MARICOPA FIESTA,0,,,PINAL
69,0,0,8,1997,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,PROVINCE,0,,,PINAL
70,0,0,8,1230,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,IRONWOOD COMMON,0,,,PINAL
71,0,0,8,1651,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,COYOTE RANCH,0,,,PINAL
72,0,0,8,1177,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,SAN TAN HEIGHTS,0,,,PINAL
73,0,0,8,1417,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,CIRCLE CROSS RANCH,0,,,PINAL
74,0,0,8,982,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,JOHNSON RANCH EAST,0,,,PINAL
75,0,0,8,2351,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,IRONWOOD CROSSING,0,,,PINAL
76,0,0,8,1418,0,0,0,0,,Registered Voters,REGISTERED VOTERS,8,QUAIL HOLLOW,0,,,PINAL
77,0,0,9,1067,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SENITA,0,,,PINAL
78,0,0,9,1048,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SKYLINE RANCH,0,,,PINAL
79,0,0,9,760,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,SAN TAN RANCHES,0,,,PINAL
80,0,0,9,965,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,LINKS ESTATES,0,,,PINAL
81,0,0,9,1082,0,0,0,0,,Registered Voters,REGISTERED VOTERS,9,MISSION VALLEY,0,,,PINAL
82,0,0,10,919,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,0 DESERT CEDARS,0,,,PINAL
83,0,0,10,1177,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,1 ALTERRA NORTH,0,,,PINAL
84,0,0,10,1225,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,2 MARICOPA WELLS,0,,,PINAL
85,0,0,10,115,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,4 PICACHO SOUTH,0,,,PINAL
86,0,0,10,61,0,0,0,0,,Registered Voters,REGISTERED VOTERS,1,5 TOLTEC SOUTHWEST,0,,,PINAL
87,0,0,0,323,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,KEARNY,0,,,PINAL
88,0,0,0,100,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,DUDLEYVILLE,0,,,PINAL
89,0,0,0,406,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,SAN MANUEL,0,,,PINAL
90,0,0,0,104,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,MAMMOTH,0,,,PINAL
91,0,0,0,942,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,ORACLE,0,,,PINAL
92,0,0,0,3773,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,SADDLEBROOKE,0,,,PINAL
93,0,0,0,1062,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,0,ARIZONA CITY,0,,,PINAL
94,0,0,1,640,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,TOLTEC SOUTH,0,,,PINAL
95,0,0,1,95,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,PICACHO,0,,,PINAL
96,0,0,1,180,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,ELOY,0,,,PINAL
97,0,0,1,606,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,TOLTEC,0,,,PINAL
98,0,0,1,680,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,RED ROCK,0,,,PINAL
99,0,0,1,240,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE NE,0,,,PINAL
100,0,0,1,690,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE NW,0,,,PINAL
101,0,0,1,491,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,COOLIDGE SOUTH,0,,,PINAL
102,0,0,2,316,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,CENTRAL ARIZONA COLLEGE,0,,,PINAL
103,0,0,2,244,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,ELEVEN MILE CORNER,0,,,PINAL
104,0,0,2,756,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,FLORENCE NORTH,0,,,PINAL
105,0,0,2,485,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,CACTUS FOREST,0,,,PINAL
106,0,0,2,938,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,JOHNSON RANCH,0,,,PINAL
107,0,0,2,1406,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,POSTON BUTTE,0,,,PINAL
108,0,0,2,1100,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,QUEEN CREEK,0,,,PINAL
109,0,0,2,58,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,2,SACATON,0,,,PINAL
110,0,0,3,617,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,MARICOPA,0,,,PINAL
111,0,0,3,115,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,STANFIELD,0,,,PINAL
112,0,0,3,894,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NORTH,0,,,PINAL
113,0,0,3,751,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE S CEN,0,,,PINAL
114,0,0,3,539,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NE,0,,,PINAL
115,0,0,3,789,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE NW,0,,,PINAL
116,0,0,3,460,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE SW,0,,,PINAL
117,0,0,3,769,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,3,CASA GRANDE RANCHO GRANDE,0,,,PINAL
118,0,0,4,646,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SUPERSTITION,0,,,PINAL
119,0,0,4,639,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,CASA GRANDE INTERCHANGE,0,,,PINAL
120,0,0,4,449,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT NW,0,,,PINAL
121,0,0,4,650,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SW,0,,,PINAL
122,0,0,4,803,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT SE,0,,,PINAL
123,0,0,4,728,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT NE,0,,,PINAL
124,0,0,4,688,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT EAST,0,,,PINAL
125,0,0,4,533,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,APACHE JCT CENTRAL,0,,,PINAL
126,0,0,4,1165,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,GOLD CANYON,0,,,PINAL
127,0,0,4,186,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,4,QUEEN VALLEY,0,,,PINAL
128,0,0,5,190,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUPERIOR,0,,,PINAL
129,0,0,5,13,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUPERIOR WEST,0,,,PINAL
130,0,0,5,53,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUTTON SUMMIT,0,,,PINAL
131,0,0,5,10,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,CHUI CHU,0,,,PINAL
132,0,0,5,562,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,THUNDERBIRD FARMS,0,,,PINAL
133,0,0,5,615,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,CASA GRANDE WEST,0,,,PINAL
134,0,0,5,537,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION NORTH,0,,,PINAL
135,0,0,5,944,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION N. CENTRA,0,,,PINAL
136,0,0,5,914,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION,0,,,PINAL
137,0,0,5,776,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION SOUTH,0,,,PINAL
138,0,0,6,26,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,BLACKWATER,0,,,PINAL
139,0,0,6,46,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SAN TAN,0,,,PINAL
140,0,0,6,49,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,CASA BLANCA,0,,,PINAL
141,0,0,6,957,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SUPERSTITION MOUNTAIN,0,,,PINAL
142,0,0,6,732,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,MOUNTAINBROOK VILLAGE,0,,,PINAL
143,0,0,6,346,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,HIDDEN VALLEY,0,,,PINAL
144,0,0,6,1235,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SAN TAN PARK,0,,,PINAL
145,0,0,6,431,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,BELLA VISTA,0,,,PINAL
146,0,0,7,1036,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,COPPER BASIN,0,,,PINAL
147,0,0,7,843,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,SCHNEPF,0,,,PINAL
148,0,0,7,360,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,PERALTA,0,,,PINAL
149,0,0,7,430,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,SANTA ROSA,0,,,PINAL
150,0,0,7,646,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,EL DORADO,0,,,PINAL
151,0,0,7,767,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,WALKER BUTTE,0,,,PINAL
152,0,0,7,903,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,PECAN CREEK NORTH,0,,,PINAL
153,0,0,7,34,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,AK CHIN COMMUNITY,0,,,PINAL
154,0,0,7,660,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,MARICOPA MEADOWS,0,,,PINAL
155,0,0,7,813,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,MARICOPA FIESTA,0,,,PINAL
156,0,0,8,1115,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,PROVINCE,0,,,PINAL
157,0,0,8,690,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,IRONWOOD COMMON,0,,,PINAL
158,0,0,8,931,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,COYOTE RANCH,0,,,PINAL
159,0,0,8,739,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,SAN TAN HEIGHTS,0,,,PINAL
160,0,0,8,893,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,CIRCLE CROSS RANCH,0,,,PINAL
161,0,0,8,577,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,JOHNSON RANCH EAST,0,,,PINAL
162,0,0,8,1703,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,IRONWOOD CROSSING,0,,,PINAL
163,0,0,8,976,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,QUAIL HOLLOW,0,,,PINAL
164,0,0,9,557,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SENITA,0,,,PINAL
165,0,0,9,668,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SKYLINE RANCH,0,,,PINAL
166,0,0,9,531,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SAN TAN RANCHES,0,,,PINAL
167,0,0,9,633,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,LINKS ESTATES,0,,,PINAL
168,0,0,9,633,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,MISSION VALLEY,0,,,PINAL
169,0,0,10,470,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,0 DESERT CEDARS,0,,,PINAL
170,0,0,10,600,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,1 ALTERRA NORTH,0,,,PINAL
171,0,0,10,671,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,2 MARICOPA WELLS,0,,,PINAL
172,0,0,10,55,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,4 PICACHO SOUTH,0,,,PINAL
173,0,0,10,25,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,5 TOLTEC SOUTHWEST,0,,,PINAL
174,0,0,0,757,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,KEARNY,0,,,PINAL
175,0,0,0,371,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,DUDLEYVILLE,0,,,PINAL
176,0,0,0,939,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,SAN MANUEL,0,,,PINAL
177,0,0,0,651,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,MAMMOTH,0,,,PINAL
178,0,0,0,1111,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,ORACLE,0,,,PINAL
179,0,0,0,1751,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,SADDLEBROOKE,0,,,PINAL
180,0,0,0,828,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,0,ARIZONA CITY,0,,,PINAL
181,0,0,1,506,0,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC,REGISTERED VOTERS - DEMOCRATIC,1,TOLTEC SOUTH,0,,,PINAL
