county,precinct,office,district,candidate,party,votes
Kings,"=""71/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,8
Kings,"=""71/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,"=""71/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,9
Kings,"=""71/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Kings,"=""71/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""71/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""71/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""71/43""",President,NYC,Scattered,,1
Kings,"=""72/43""",President,NYC,Manually Counted Emergency,,184
Kings,"=""72/43""",President,NYC,Absentee / Military,,25
Kings,"=""72/43""",President,NYC,Federal,,1
Kings,"=""72/43""",President,NYC,Special Presidential,,0
Kings,"=""72/43""",President,NYC,Affidavit,,18
Kings,"=""72/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,430
Kings,"=""72/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,6
Kings,"=""72/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,"=""72/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Kings,"=""72/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,27
Kings,"=""72/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""72/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""72/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""73/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""73/43""",President,NYC,Absentee / Military,,33
Kings,"=""73/43""",President,NYC,Federal,,2
Kings,"=""73/43""",President,NYC,Special Presidential,,0
Kings,"=""73/43""",President,NYC,Affidavit,,10
Kings,"=""73/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,614
Kings,"=""73/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,20
Kings,"=""73/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
Kings,"=""73/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,19
Kings,"=""73/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,43
Kings,"=""73/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Kings,"=""73/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,5
Kings,"=""73/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""73/43""",President,NYC,Scattered,,3
Kings,"=""74/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""74/43""",President,NYC,Absentee / Military,,23
Kings,"=""74/43""",President,NYC,Federal,,3
Kings,"=""74/43""",President,NYC,Special Presidential,,0
Kings,"=""74/43""",President,NYC,Affidavit,,22
Kings,"=""74/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,498
Kings,"=""74/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,3
Kings,"=""74/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,"=""74/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,15
Kings,"=""74/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,19
Kings,"=""74/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""74/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""74/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,"=""74/43""",President,NYC,Scattered,,4
Kings,"=""75/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""75/43""",President,NYC,Absentee / Military,,22
Kings,"=""75/43""",President,NYC,Federal,,1
Kings,"=""75/43""",President,NYC,Special Presidential,,0
Kings,"=""75/43""",President,NYC,Affidavit,,16
Kings,"=""75/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,413
Kings,"=""75/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,8
Kings,"=""75/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Kings,"=""75/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
Kings,"=""75/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,31
Kings,"=""75/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Kings,"=""75/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Kings,"=""75/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,"=""75/43""",President,NYC,Scattered,,2
Kings,"=""76/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""76/43""",President,NYC,Absentee / Military,,11
Kings,"=""76/43""",President,NYC,Federal,,4
Kings,"=""76/43""",President,NYC,Special Presidential,,0
Kings,"=""76/43""",President,NYC,Affidavit,,15
Kings,"=""76/43""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,400
Kings,"=""76/43""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,118
Kings,"=""76/43""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,28
Kings,"=""76/43""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Kings,"=""76/43""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Kings,"=""76/43""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Kings,"=""76/43""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,"=""76/43""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,"=""76/43""",President,NYC,Scattered,,6
Kings,"=""77/43""",President,NYC,Manually Counted Emergency,,0
Kings,"=""77/43""",President,NYC,Absentee / Military,,8
Kings,"=""77/43""",President,NYC,Federal,,0
Kings,"=""77/43""",President,NYC,Special Presidential,,0
Kings,"=""77/43""",President,NYC,Affidavit,,7
