county,precinct,office,district,candidate,party,votes
Bronx,"=""8/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""8/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""8/87""",Justice of the Supreme Court,12,Affidavit,,18
Bronx,"=""8/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,148
Bronx,"=""8/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,218
Bronx,"=""8/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,115
Bronx,"=""9/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""9/87""",Justice of the Supreme Court,12,Absentee/Military,,12
Bronx,"=""9/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""9/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""9/87""",Justice of the Supreme Court,12,Affidavit,,20
Bronx,"=""9/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,239
Bronx,"=""9/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,275
Bronx,"=""9/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,171
Bronx,"=""10/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""10/87""",Justice of the Supreme Court,12,Absentee/Military,,8
Bronx,"=""10/87""",Justice of the Supreme Court,12,Federal,,2
Bronx,"=""10/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""10/87""",Justice of the Supreme Court,12,Affidavit,,39
Bronx,"=""10/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,453
Bronx,"=""10/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,467
Bronx,"=""10/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,383
Bronx,"=""10/87""",Justice of the Supreme Court,12,Scattered,,3
Bronx,"=""11/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""11/87""",Justice of the Supreme Court,12,Absentee/Military,,6
Bronx,"=""11/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""11/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""11/87""",Justice of the Supreme Court,12,Affidavit,,28
Bronx,"=""11/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,202
Bronx,"=""11/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,237
Bronx,"=""11/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,153
Bronx,"=""12/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""12/87""",Justice of the Supreme Court,12,Absentee/Military,,0
Bronx,"=""12/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""12/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""12/87""",Justice of the Supreme Court,12,Affidavit,,0
Bronx,"=""13/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""13/87""",Justice of the Supreme Court,12,Absentee/Military,,2
Bronx,"=""13/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""13/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""13/87""",Justice of the Supreme Court,12,Affidavit,,9
Bronx,"=""13/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,105
Bronx,"=""13/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,115
Bronx,"=""13/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,84
Bronx,"=""13/87""",Justice of the Supreme Court,12,Scattered,,1
Bronx,"=""14/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""14/87""",Justice of the Supreme Court,12,Absentee/Military,,0
Bronx,"=""14/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""14/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""14/87""",Justice of the Supreme Court,12,Affidavit,,22
Bronx,"=""14/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,100
Bronx,"=""14/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,108
Bronx,"=""14/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,68
Bronx,"=""15/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""15/87""",Justice of the Supreme Court,12,Absentee/Military,,3
Bronx,"=""15/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""15/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""15/87""",Justice of the Supreme Court,12,Affidavit,,16
Bronx,"=""15/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,103
Bronx,"=""15/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,102
Bronx,"=""15/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,75
Bronx,"=""16/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""16/87""",Justice of the Supreme Court,12,Absentee/Military,,0
Bronx,"=""16/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""16/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""16/87""",Justice of the Supreme Court,12,Affidavit,,11
Bronx,"=""16/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,73
Bronx,"=""16/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,92
Bronx,"=""16/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,52
Bronx,"=""17/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""17/87""",Justice of the Supreme Court,12,Absentee/Military,,2
Bronx,"=""17/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""17/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""17/87""",Justice of the Supreme Court,12,Affidavit,,18
Bronx,"=""17/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,109
Bronx,"=""17/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,136
Bronx,"=""17/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,86
Bronx,"=""18/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""18/87""",Justice of the Supreme Court,12,Absentee/Military,,9
Bronx,"=""18/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""18/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""18/87""",Justice of the Supreme Court,12,Affidavit,,30
Bronx,"=""18/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,266
Bronx,"=""18/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,299
Bronx,"=""18/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,193
Bronx,"=""19/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""19/87""",Justice of the Supreme Court,12,Absentee/Military,,6
Bronx,"=""19/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""19/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""19/87""",Justice of the Supreme Court,12,Affidavit,,32
Bronx,"=""19/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,277
Bronx,"=""19/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,300
Bronx,"=""19/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,195
Bronx,"=""19/87""",Justice of the Supreme Court,12,Scattered,,6
Bronx,"=""20/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""20/87""",Justice of the Supreme Court,12,Absentee/Military,,6
Bronx,"=""20/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""20/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""20/87""",Justice of the Supreme Court,12,Affidavit,,38
Bronx,"=""20/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,265
Bronx,"=""20/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,304
Bronx,"=""20/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,199
Bronx,"=""20/87""",Justice of the Supreme Court,12,Scattered,,1
Bronx,"=""21/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""21/87""",Justice of the Supreme Court,12,Absentee/Military,,3
Bronx,"=""21/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""21/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""21/87""",Justice of the Supreme Court,12,Affidavit,,5
Bronx,"=""21/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,56
Bronx,"=""21/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,74
Bronx,"=""21/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,50
Bronx,"=""22/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""22/87""",Justice of the Supreme Court,12,Absentee/Military,,9
Bronx,"=""22/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""22/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""22/87""",Justice of the Supreme Court,12,Affidavit,,11
Bronx,"=""22/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,176
Bronx,"=""22/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,181
Bronx,"=""22/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,140
Bronx,"=""22/87""",Justice of the Supreme Court,12,Scattered,,1
Bronx,"=""23/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""23/87""",Justice of the Supreme Court,12,Absentee/Military,,8
Bronx,"=""23/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""23/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""23/87""",Justice of the Supreme Court,12,Affidavit,,20
Bronx,"=""23/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,346
Bronx,"=""23/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,385
Bronx,"=""23/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,272
Bronx,"=""23/87""",Justice of the Supreme Court,12,Scattered,,4
Bronx,"=""24/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""24/87""",Justice of the Supreme Court,12,Absentee/Military,,1
Bronx,"=""24/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""24/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""24/87""",Justice of the Supreme Court,12,Affidavit,,12
Bronx,"=""24/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,161
Bronx,"=""24/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,173
Bronx,"=""24/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,135
Bronx,"=""25/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""25/87""",Justice of the Supreme Court,12,Absentee/Military,,6
Bronx,"=""25/87""",Justice of the Supreme Court,12,Federal,,4
Bronx,"=""25/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""25/87""",Justice of the Supreme Court,12,Affidavit,,14
Bronx,"=""25/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,140
Bronx,"=""25/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,140
Bronx,"=""25/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,112
Bronx,"=""26/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""26/87""",Justice of the Supreme Court,12,Absentee/Military,,6
Bronx,"=""26/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""26/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""26/87""",Justice of the Supreme Court,12,Affidavit,,71
Bronx,"=""26/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,356
Bronx,"=""26/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,383
Bronx,"=""26/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,277
Bronx,"=""26/87""",Justice of the Supreme Court,12,Scattered,,3
Bronx,"=""27/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""27/87""",Justice of the Supreme Court,12,Absentee/Military,,5
Bronx,"=""27/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""27/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""27/87""",Justice of the Supreme Court,12,Affidavit,,25
Bronx,"=""27/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,197
Bronx,"=""27/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,198
Bronx,"=""27/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,128
Bronx,"=""28/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""28/87""",Justice of the Supreme Court,12,Absentee/Military,,10
Bronx,"=""28/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""28/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""28/87""",Justice of the Supreme Court,12,Affidavit,,37
Bronx,"=""28/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,308
Bronx,"=""28/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,366
Bronx,"=""28/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,230
Bronx,"=""28/87""",Justice of the Supreme Court,12,Scattered,,3
Bronx,"=""29/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""29/87""",Justice of the Supreme Court,12,Absentee/Military,,9
Bronx,"=""29/87""",Justice of the Supreme Court,12,Federal,,1
Bronx,"=""29/87""",Justice of the Supreme Court,12,Special Presidential,,1
Bronx,"=""29/87""",Justice of the Supreme Court,12,Affidavit,,29
Bronx,"=""29/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,211
Bronx,"=""29/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,235
Bronx,"=""29/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,169
Bronx,"=""30/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""30/87""",Justice of the Supreme Court,12,Absentee/Military,,7
Bronx,"=""30/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""30/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""30/87""",Justice of the Supreme Court,12,Affidavit,,11
Bronx,"=""30/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,120
Bronx,"=""30/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,125
Bronx,"=""30/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,106
Bronx,"=""31/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""31/87""",Justice of the Supreme Court,12,Absentee/Military,,9
Bronx,"=""31/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""31/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""31/87""",Justice of the Supreme Court,12,Affidavit,,18
Bronx,"=""31/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,201
Bronx,"=""31/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,224
Bronx,"=""31/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,167
Bronx,"=""32/87""",Justice of the Supreme Court,12,Manually Counted Emergency,,0
Bronx,"=""32/87""",Justice of the Supreme Court,12,Absentee/Military,,13
Bronx,"=""32/87""",Justice of the Supreme Court,12,Federal,,0
Bronx,"=""32/87""",Justice of the Supreme Court,12,Special Presidential,,0
Bronx,"=""32/87""",Justice of the Supreme Court,12,Affidavit,,18
Bronx,"=""32/87""",Justice of the Supreme Court,12,LaTia Martin (Democratic),Democratic,363
Bronx,"=""32/87""",Justice of the Supreme Court,12,Doris M. Gonzalez (Democratic),Democratic,358
Bronx,"=""32/87""",Justice of the Supreme Court,12,Donald Miles (Democratic),Democratic,279
