county,precinct,ballot-style,office,district,party,candidate,votes
Dallas,1095,6089,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1325
Dallas,1096,6090,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1278
Dallas,1097,6091,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2551
Dallas,1098,6092,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2009
Dallas,1099,6093,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,60
Dallas,1100,6094,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,3035
Dallas,1101,6095,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1480
Dallas,1102,6096,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1750
Dallas,1103,6097,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,436
Dallas,1104,6098,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2469
Dallas,1105,6099,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,34
Dallas,1106,6100,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,245
Dallas,1107,6101,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,726
Dallas,1108,6102,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2334
Dallas,1109,6103,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,435
Dallas,1110,6104,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,24
Dallas,1111,6105,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1198
Dallas,1112,6106,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,528
Dallas,1113,6107,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,204
Dallas,1114,6108,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,777
Dallas,1115,6109,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1293
Dallas,1116,6110,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1279
Dallas,1117,6111,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,2569
Dallas,1118,6112,REGISTERED VOTERS - TOTAL,,DEM,REGISTERED VOTERS - TOTAL,1265
