precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER
BEXAR6003,0,65.0,0,0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0,0,22.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR6004,0,82.0,0,0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0,0,52.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXAR6005,0,37.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2.0,0,0,17.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BEXARBEXAR,0,319550.0,0,0,6645.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,20091.0,0,0,240333.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BLANCO303,0,17,0,0,2,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,71,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BLANCO304,0,14,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7,0,0,64,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BLANCOTOTAL,0,379,0,0,10,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,94,0,0,1451,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN1A,0,6,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,44,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN1B,0,12,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,37,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN2A,0,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,68,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN2B,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,28,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN3A,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,23,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN3B,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,33,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDEN4,0,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,97,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BORDENTOTAL,0,31,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,330,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE1,0,61.0,0,0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6.0,0,0,402.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE10,0,159.0,0,0,4.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,22.0,0,0,741.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE11,0,92.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,19.0,0,0,488.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE2,0,113.0,0,0,3.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,15.0,0,0,400.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE3,0,98.0,0,0,4.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,18.0,0,0,536.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE4,0,37.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5.0,0,0,293.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE5,0,182.0,0,0,15.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,15.0,0,0,798.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE6,0,134.0,0,0,5.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,11.0,0,0,610.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE7,0,63.0,0,0,3.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,4.0,0,0,421.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE8,0,232.0,0,0,7.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,33.0,0,0,1188.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUE9,0,107.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,7.0,0,0,462.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOSQUETOTAL,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOWIE13/30,0,208,0,0,6,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,25,0,0,863,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOWIE2B/4D/5A,0,194,0,0,5,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,172,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOWIE7,0,721,0,0,18,0,0.0,0.0,0,0,0.0,0.0,7,0.0,0.0,0.0,0.0,0,0.0,0,56,0,0,1555,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOWIELATE,0,7,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,11,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BOWIETOTAL,19,8838,0,0,145,0,0.0,0.0,10,0,0.0,0.0,79,0.0,0.0,0.0,0.0,0,0.0,0,582,0,0,24924,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZORIATOTALS,70,43200,0,0,806,0,3.0,0.0,17,6,2.0,9.0,504,2.0,2.0,1.0,0.0,0,0.0,0,3768,0,0,72791,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS1,1,196,0,0,3,0,0.0,0.0,0,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,58,0,0,951,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS10,1,647,0,0,16,0,0.0,0.0,0,0,0.0,1.0,45,0.0,0.0,0.0,0.0,0,0.0,0,153,0,0,1410,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS100,0,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS101,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS11,5,679,0,0,19,0,1.0,0.0,0,0,0.0,3.0,28,0.0,0.0,1.0,0.0,0,0.0,0,136,0,0,686,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS12,1,886,0,0,34,0,0.0,0.0,0,0,1.0,5.0,36,0.0,0.0,0.0,0.0,0,0.0,0,174,0,0,1639,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS13,1,491,0,0,9,0,0.0,0.0,0,1,0.0,2.0,15,0.0,0.0,0.0,0.0,0,0.0,0,82,0,0,924,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS14,0,748,0,0,9,0,0.0,0.0,0,0,0.0,1.0,4,0.0,0.0,0.0,0.0,0,0.0,0,42,0,0,268,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS15,2,579,0,0,9,0,0.0,0.0,0,2,0.0,0.0,15,0.0,0.0,0.0,0.0,0,0.0,0,66,0,0,1276,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS16,0,372,0,0,5,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,20,0,0,113,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS17,3,770,0,0,21,0,0.0,0.0,0,0,0.0,2.0,15,0.0,0.0,0.0,0.0,0,0.0,0,84,0,0,705,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS18,0,200,0,0,1,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,21,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS19,2,74,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,55,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS2,5,750,0,0,24,0,0.0,0.0,0,0,0.0,2.0,38,0.0,0.0,0.0,0.0,0,0.0,0,134,0,0,2403,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS20,0,746,0,0,23,0,0.0,0.0,0,0,0.0,2.0,23,0.0,0.0,0.0,0.0,0,0.0,0,134,0,0,657,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS21,1,361,0,0,10,0,0.0,0.0,0,0,0.0,5.0,6,0.0,0.0,0.0,0.0,0,0.0,0,47,0,0,242,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS22,0,76,0,0,5,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,70,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS23,0,20,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,2,0,0,67,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS24,1,574,0,0,20,0,0.0,0.0,0,1,0.0,1.0,27,0.0,0.0,0.0,0.0,0,0.0,0,116,0,0,679,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS25,0,390,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,3,0,0,41,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS26,2,467,0,0,21,0,0.0,0.0,0,0,0.0,0.0,8,0.0,0.0,0.0,0.0,0,0.0,0,78,0,0,1049,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS27,3,315,0,0,6,0,0.0,0.0,0,0,0.0,0.0,19,0.0,0.0,0.0,0.0,0,0.0,0,96,0,0,1662,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS28,0,17,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,200,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS29,0,138,0,0,1,0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0,6,0,0,298,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS3,0,187,0,0,2,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,18,0,0,344,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS30,2,606,0,0,11,0,0.0,0.0,1,0,0.0,1.0,11,0.0,0.0,0.0,0.0,0,0.0,0,49,0,0,501,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS31,6,1035,0,0,27,0,0.0,0.0,0,0,0.0,0.0,61,0.0,0.0,0.0,0.0,0,0.0,0,213,0,0,1379,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS32,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS33,0,338,0,0,6,0,0.0,0.0,0,0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0.0,0,28,0,0,335,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS34,4,1158,0,0,43,0,0.0,0.0,0,0,0.0,5.0,54,0.0,0.0,0.0,0.0,0,0.0,0,265,0,0,1155,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS35,5,1197,0,0,32,0,0.0,0.0,0,0,0.0,1.0,38,0.0,0.0,0.0,0.0,0,1.0,0,273,0,0,1327,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS36,4,760,0,0,12,0,0.0,0.0,0,0,0.0,3.0,33,0.0,0.0,0.0,0.0,0,0.0,0,135,0,0,983,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS37,0,10,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,100,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS38,0,122,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,12,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS39,1,1048,0,0,26,0,0.0,0.0,1,1,0.0,4.0,31,0.0,0.0,0.0,0.0,0,0.0,0,159,0,0,1608,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS4,0,621,0,0,2,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,11,0,0,69,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS40,4,1038,0,0,23,0,0.0,0.0,0,1,0.0,4.0,45,0.0,0.0,0.0,0.0,0,0.0,0,158,0,0,1977,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS41,0,791,0,0,13,0,0.0,0.0,0,0,0.0,0.0,26,0.0,0.0,0.0,0.0,0,0.0,0,104,0,0,2154,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS42,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS43,0,15,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS44,0,17,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,64,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS45,0,26,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,4,0,0,62,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS46,0,59,0,0,0,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,88,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS47,1,105,0,0,5,0,0.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,12,0,0,132,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS48,0,29,0,0,1,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,5,0,0,108,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS49,0,76,0,0,1,0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0,0.0,0,9,0,0,54,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS5,1,193,0,0,1,0,1.0,0.0,0,0,0.0,0.0,4,0.0,0.0,0.0,0.0,0,0.0,0,31,0,0,880,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
BRAZOS50,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0
