precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_KENISTON,gen_ind_KOTLIKOFF,gen_ind_MALDONADO,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_SCHOENKE,gen_ind_SOLTYSIK,gen_lib_JOHNSON,gen_rep_TRUMP
"MANITOWOCCITY OF MANITOWOC WARDS 19-20,27",14,730,10,0,4,0,0,0,0,0,9,1,0,0,73,1177
"MANITOWOCCITY OF MANITOWOC WARDS 3-4,22",9,643,16,0,0,0,0,0,0,0,12,1,0,0,57,778
MANITOWOCTOWN OF MEEME WARDS 2-3,2,99,0,0,0,0,0,0,0,0,0,0,0,0,12,231
MARATHONCITY OF ABBOTSFORD WARD 1,0,54,0,0,0,0,0,0,0,0,0,0,0,0,4,82
MARATHONCITY OF ABBOTSFORD WARD 6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3
MARATHONVILLAGE OF DORCHESTER WARD 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MILWAUKEECITY OF GLENDALE WARD 11S,0,213,4,0,0,0,0,0,0,0,0,0,0,0,13,45
MILWAUKEECITY OF GLENDALE WARD 8,2,305,2,0,0,0,0,0,0,0,0,0,0,0,5,164
"MILWAUKEEVILLAGE OF BAYSIDE WARDS 1,3",2,610,2,0,0,0,0,0,0,0,6,0,0,0,24,316
MONROECITY OF SPARTA WARD 19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROECITY OF TOMAH WARD 5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MONROECITY OF TOMAH WARDS 17,19-20",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONROECITY OF TOMAH WARDS 7-11,10,517,24,0,0,0,0,0,0,0,8,1,0,0,70,759
OCONTOCITY OF OCONTO FALLS WARD 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCONTOCITY OF OCONTO FALLS WARDS 1-5,7,375,9,0,0,0,0,0,0,1,1,0,0,0,53,783
"OUTAGAMIETOWN OF GRAND CHUTE WARDS 4-6,9-10",20,1240,36,0,3,0,0,0,0,1,8,3,0,0,119,1467
OUTAGAMIETOWN OF GRAND CHUTE WARDS 7-8,4,394,19,0,0,0,0,0,0,0,2,0,0,1,49,448
OUTAGAMIETOWN OF GREENVILLE WARD 6,1,56,1,0,0,0,0,0,0,0,1,0,0,0,12,158
"OUTAGAMIETOWN OF GREENVILLE WARDS 1-3,5,7-8",26,1522,32,0,4,0,0,0,0,0,11,2,0,0,214,3325
"OUTAGAMIETOWN OF GREENVILLE WARDS 4,9",3,381,4,0,0,0,0,0,0,0,4,1,0,0,39,743
"OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 1,4-5,14",9,574,5,0,0,0,0,0,0,0,7,0,0,0,66,824
"OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 2,6,8,12-13",11,424,6,0,1,0,0,0,0,0,4,2,0,0,52,519
"OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 3,9-11",9,752,20,0,2,0,0,0,0,0,8,0,0,0,85,1056
OUTAGAMIEVILLAGE OF WRIGHTSTOWN WARD 4,1,34,1,0,0,0,0,0,0,0,1,0,0,0,5,75
OUTAGAMIEVILLAGE OF WRIGHTSTOWN WARD 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OZAUKEECITY OF MEQUON WARD 1,3,620,8,0,2,0,0,0,0,0,10,0,0,0,51,692
OZAUKEECITY OF MEQUON WARD 2,1,157,1,0,0,0,0,0,0,0,3,0,0,0,20,320
OZAUKEECITY OF MEQUON WARDS 6-7A,1,451,5,0,2,0,0,0,0,1,13,0,0,0,54,749
POLKVILLAGE OF TURTLE LAKE WARD 2B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTAGECITY OF STEVENS POINT WARDS 22-24,2,749,18,0,1,0,0,0,0,0,4,0,0,0,60,555
PORTAGECITY OF STEVENS POINT WARDS 31-33,2,645,34,0,2,0,0,0,0,0,2,0,0,0,86,410
"PORTAGECITY OF STEVENS POINT WARDS 34,42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PORTAGECITY OF STEVENS POINT WARDS 37,39",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORTAGETOWN OF GRANT WARD 3,0,65,2,0,0,0,0,0,0,0,0,0,0,0,3,157
PORTAGETOWN OF HULL WARDS 4-5,3,429,11,0,0,0,0,0,0,0,4,0,0,0,41,532
RACINETOWN OF BURLINGTON WARD 11,0,125,2,0,0,0,0,0,0,0,1,0,0,0,14,249
RACINETOWN OF BURLINGTON WARDS 8-10,6,325,6,0,0,0,0,0,0,0,6,1,0,0,33,610
RACINEVILLAGE OF CALEDONIA WARD 20,1,211,4,0,0,0,0,0,0,0,5,0,0,0,9,310
RACINEVILLAGE OF CALEDONIA WARD 3S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RACINEVILLAGE OF CALEDONIA WARDS 6-8,10,902,26,0,1,0,0,0,0,0,16,0,0,0,65,1084
RACINEVILLAGE OF MOUNT PLEASANT WARD 5,2,377,7,0,0,0,0,0,0,0,9,2,0,0,36,366
"RACINEVILLAGE OF MOUNT PLEASANT WARDS 18,23",3,488,1,0,1,0,0,0,0,0,0,0,0,0,14,261
RACINEVILLAGE OF MOUNT PLEASANT WARDS 6-8,9,914,12,0,0,0,0,0,0,0,11,0,0,0,75,930
RICHLANDTOWN OF BUENA VISTA WARD 4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ROCKTOWN OF BELOIT WARD 11,0,99,2,0,0,0,0,0,0,0,0,0,0,0,11,116
ROCKTOWN OF BELOIT WARDS 7-10,7,675,20,0,1,0,0,0,0,0,2,1,0,0,70,807
ROCKTOWN OF HARMONY WARD 6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ROCKTOWN OF HARMONY WARDS 2-5,10,479,10,0,0,0,0,0,0,0,0,0,0,0,25,528
ROCKTOWN OF ROCK WARD 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAUKCITY OF WISCONSIN DELLS WARD 4,0,38,3,0,0,0,0,0,0,0,0,0,0,0,4,41
"SAUKCITY OF WISCONSIN DELLS WARDS 8,10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
ST. CROIXCITY OF NEW RICHMOND WARDS 7-12,15,856,19,0,8,0,0,0,0,0,5,2,0,0,111,1128
ST. CROIXTOWN OF RICHMOND WARDS 1-2,4,300,11,0,0,0,0,0,0,0,4,0,0,0,52,606
ST. CROIXTOWN OF RICHMOND WARDS 3-5,6,275,18,0,1,0,0,0,0,0,2,0,0,0,65,544
WALWORTHCITY OF DELAVAN WARD 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALWORTHCITY OF ELKHORN WARD 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALWORTHCITY OF WHITEWATER WARD 7,3,486,16,0,3,0,0,0,0,0,5,0,0,0,81,343
WALWORTHCITY OF WHITEWATER WARDS 8-9,0,471,17,0,0,0,0,0,0,0,3,1,0,0,77,336
WALWORTHTOWN OF EAST TROY WARD 1,1,116,2,0,0,0,0,0,0,0,4,0,0,0,12,359
WALWORTHTOWN OF EAST TROY WARDS 2-3,3,225,9,0,1,0,0,0,0,0,6,1,0,0,21,573
WALWORTHTOWN OF EAST TROY WARDS 4-6,6,289,6,0,0,0,0,0,0,0,1,1,0,0,39,745
WASHINGTONCITY OF HARTFORD WARDS 1-2,3,300,6,0,1,0,0,0,0,0,14,1,0,0,48,702
WASHINGTONCITY OF HARTFORD WARDS 3-5,6,378,11,0,0,0,0,0,0,0,10,0,0,0,50,844
WASHINGTONCITY OF HARTFORD WARDS 7-8,3,85,1,0,0,0,0,0,0,0,2,0,0,0,10,199
WASHINGTONCITY OF WEST BEND WARD 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WASHINGTONCITY OF WEST BEND WARDS 11-14,28",8,604,15,0,2,0,0,0,0,0,16,1,0,0,71,1062
"WASHINGTONCITY OF WEST BEND WARDS 25,27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
WASHINGTONCITY OF WEST BEND WARDS 30-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WASHINGTONCITY OF WEST BEND WARDS 9-10,32",14,614,18,0,0,0,0,0,0,0,15,2,0,0,84,1166
WASHINGTONTOWN OF TRENTON WARDS 3-7,8,525,7,0,0,0,0,0,0,0,5,0,0,0,72,1646
WASHINGTONVILLAGE OF JACKSON WARDS 1-9,18,1028,26,0,0,0,0,0,0,0,7,0,0,0,161,2632
WASHINGTONVILLAGE OF RICHFIELD WARD 4,4,168,2,0,0,0,0,0,0,0,11,0,0,0,25,634
WAUKESHACITY OF DELAFIELD WARDS 1-14,15,1495,16,0,1,0,0,0,0,4,43,0,0,0,165,2624
WAUKESHATOWN OF LISBON WARD 3,1,193,5,0,2,0,0,0,0,0,5,0,0,0,16,492
"WAUKESHATOWN OF LISBON WARDS 1,6",5,540,16,0,2,0,0,0,0,0,0,1,0,0,73,1482
"WAUKESHATOWN OF MUKWONAGO WARDS 1,7-8",5,313,14,0,0,0,0,0,0,0,2,2,0,0,38,854
"WAUKESHATOWN OF OCONOMOWOC WARDS 5,8-9",1,439,5,0,0,0,0,0,0,0,8,1,0,0,56,1257
WAUKESHAVILLAGE OF MERTON WARDS 1-4,6,429,11,0,0,0,0,0,0,0,8,0,0,0,65,1402
WAUKESHAVILLAGE OF SUMMIT WARD 2-5,6,627,11,0,0,0,0,0,0,0,14,0,0,0,77,1246
WAUKESHAVILLAGE OF SUSSEX WARD 9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8
WAUPACACITY OF CLINTONVILLE WARD 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WINNEBAGOCITY OF MENASHA WARD 1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WINNEBAGOCITY OF MENASHA WARD 5B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WINNEBAGOVILLAGE OF FOX CROSSING WARDS 1-2,4,7",21,1282,35,0,1,0,0,0,0,0,14,1,0,0,168,1765
"WINNEBAGOVILLAGE OF FOX CROSSING WARDS 3,5-6",19,1019,28,0,1,0,0,0,0,0,18,0,0,0,157,1461
"WOODCITY OF MARSHFIELD WARDS 9,18",7,342,21,0,0,0,1,0,0,0,1,1,0,0,45,403
