precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
MARSHALL45,2,40,2,6,230
MARSHALL46,4,98,8,16,372
MARSHALL48,1,23,3,5,85
MARSHALL52,1,71,3,8,232
MARSHALL56,0,52,6,9,174
MARSHALL58,1,20,1,9,118
MARSHALL6,3,41,1,5,147
MARSHALL60,1,35,0,8,240
MARSHALL61,2,13,0,0,108
MARSHALL7,5,145,12,23,325
MARSHALL9,3,75,1,15,217
MARSHALL9A,0,89,2,22,339
MARSHALLNAN,61,2918,153,418,9666
NICHOLAS13,1,34,1,7,174
NICHOLAS14,3,93,5,6,292
NICHOLAS15,3,81,6,20,367
NICHOLAS16,1,81,4,12,398
NICHOLAS17,0,13,3,3,93
NICHOLAS18,1,140,3,20,443
NICHOLAS19,0,71,3,15,308
NICHOLAS1A,0,70,2,12,238
NICHOLAS1B,0,38,0,6,196
NICHOLAS2,0,70,1,10,310
NICHOLAS20,0,109,2,16,331
NICHOLAS21A,2,77,7,17,340
NICHOLAS21B,1,66,3,13,204
NICHOLAS23,2,17,0,1,51
NICHOLAS25,1,48,1,3,159
NICHOLAS27,1,26,0,6,119
NICHOLAS28,9,70,0,11,380
NICHOLAS29,11,117,0,13,552
NICHOLAS3,2,39,1,4,178
NICHOLAS30,2,68,0,9,240
NICHOLAS31,0,30,0,3,118
NICHOLAS32,1,44,0,15,193
NICHOLAS33,5,85,0,13,524
NICHOLAS35,8,90,0,20,449
NICHOLAS5,1,97,6,9,219
NICHOLAS7,2,69,2,4,174
NICHOLAS8,0,63,5,6,113
NICHOLAS9,1,34,3,9,88
NICHOLASNAN,117,1840,0,283,7251
WEBSTERTOTAL,8,554,30,82,2302
