precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_WILLIAMS
"OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 2,13",18,0,0,27,0,0,0,15,0,0,0,11,0,0,0,21,0
OUTAGAMIEVILLAGE OF LITTLE CHUTE WARDS 7-8,179,0,1,265,0,5,0,265,0,0,0,42,1,1,0,186,0
OUTAGAMIEVILLAGE OF WRIGHTSTOWN WARDS 4-5,12,0,0,13,0,0,0,33,0,0,0,12,0,1,0,19,0
OZAUKEECITY OF MEQUON WARDS 1-2,283,0,0,209,0,3,0,570,0,0,2,229,0,7,1,211,0
PORTAGECITY OF STEVENS POINT WARDS 14-15,132,0,1,341,1,2,1,89,0,0,0,29,1,2,0,71,0
PORTAGECITY OF STEVENS POINT WARDS 25-26,133,0,1,245,0,1,0,101,0,0,0,14,2,2,1,91,0
PORTAGECITY OF STEVENS POINT WARDS 28-29,154,0,1,261,1,2,0,118,0,0,0,26,1,1,0,120,0
"PORTAGECITY OF STEVENS POINT WARDS 31,33,42",79,0,1,424,3,2,0,103,1,0,0,31,1,7,0,77,0
"PORTAGECITY OF STEVENS POINT WARDS 32,34",11,0,0,77,0,1,0,5,0,0,0,2,0,0,0,7,0
PORTAGETOWN OF HULL WARDS 4-7,251,0,1,323,1,5,1,295,0,0,1,85,0,6,1,278,0
RACINETOWN OF BURLINGTON WARDS 8-11,125,0,0,190,0,1,1,313,0,0,1,70,2,3,1,247,0
"RACINEVILLAGE OF CALEDONIA WARDS 6-8,20",365,0,2,375,7,3,2,544,0,1,0,175,2,8,1,355,0
RACINEVILLAGE OF MOUNT PLEASANT WARDS 5-8,460,0,2,402,1,6,1,541,1,1,2,212,3,14,0,332,0
RICHLANDTOWN OF BUENA VISTA WARD 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
ROCKTOWN OF BELOIT WARDS 7-11,253,0,0,336,5,6,2,250,0,0,4,157,0,8,0,335,0
ROCKTOWN OF HARMONY WARDS 2-6,145,0,0,201,2,2,0,170,0,1,0,69,1,4,1,187,0
"SAUKCITY OF WISCONSIN DELLS WARDS 4,8,10",3,0,0,10,0,0,0,7,0,0,0,2,0,0,0,14,0
ST. CROIXCITY OF NEW RICHMOND WARDS 11-12,67,0,1,99,0,2,1,90,0,0,0,40,0,6,2,73,0
ST. CROIXCITY OF NEW RICHMOND WARDS 7-8,85,0,1,83,0,2,0,68,0,1,0,21,1,3,0,54,0
ST. CROIXCITY OF NEW RICHMOND WARDS 9-10,75,0,0,66,1,0,0,95,2,0,0,37,1,3,1,70,0
ST. CROIXTOWN OF RICHMOND WARD 1-5,128,0,1,177,0,5,1,217,0,0,1,69,1,14,0,226,0
WALWORTHCITY OF DELAVAN WARDS 11-14,138,0,0,242,1,2,1,226,1,0,1,56,0,3,0,178,0
WALWORTHCITY OF ELKHORN WARD 2,62,0,0,65,1,1,0,71,0,0,0,14,0,4,0,56,0
WALWORTHCITY OF ELKHORN WARD 3,47,0,0,118,2,1,1,105,0,0,0,23,1,1,0,59,0
"WALWORTHCITY OF ELKHORN WARD 4,8",113,0,0,145,2,3,1,209,0,0,0,56,2,2,0,133,0
WALWORTHCITY OF ELKHORN WARD 6,80,0,0,135,4,6,0,187,0,0,0,39,1,1,0,102,0
"WALWORTHCITY OF LAKE GENEVA WARDS 5-6,10",123,0,3,147,1,3,1,164,0,2,0,77,2,5,0,170,0
WALWORTHCITY OF WHITEWATER WARDS 7-9,50,0,2,714,1,0,0,213,1,0,0,78,0,6,0,83,0
WALWORTHTOWN OF EAST TROY WARDS 1-6,208,0,0,284,3,4,0,769,0,0,4,158,0,5,0,364,0
WASHINGTONCITY OF HARTFORD WARDS 1-5,165,0,2,233,3,5,1,713,1,0,0,132,3,13,0,272,0
"WASHINGTONCITY OF WEST BEND WARDS 11-14,28-29",166,0,1,234,3,5,0,490,1,0,1,83,1,2,0,170,0
"WASHINGTONCITY OF WEST BEND WARDS 9-10,30-32",190,0,0,240,1,5,0,526,0,0,0,132,1,14,0,205,0
"WAUKESHACITY OF DELAFIELD WARDS 1-4,7-8,11-14",310,0,1,371,3,3,0,995,1,0,1,289,1,16,0,415,0
"WAUKESHACITY OF DELAFIELD WARDS 5-6,9-10",106,0,1,113,0,1,0,361,0,1,0,112,1,3,0,123,0
WAUKESHATOWN OF BROOKFIELD WARD 1,80,0,0,45,3,0,0,121,0,0,1,47,0,3,0,65,0
WAUKESHATOWN OF LISBON WARD 1,94,0,0,92,2,2,1,360,0,0,1,60,1,4,0,170,0
WAUKESHATOWN OF LISBON WARD 6,76,0,0,88,0,0,0,356,0,0,0,79,1,3,0,133,0
"WAUKESHATOWN OF MUKWONAGO WARDS 1,4-8",261,0,0,258,2,0,0,1075,2,0,3,182,1,15,2,357,0
"WINNEBAGOTOWN OF MENASHA WARD 1-2,4,7",374,0,4,532,5,6,2,671,1,1,5,210,2,18,0,500,0
"WINNEBAGOTOWN OF MENASHA WARD 3,5-6",327,0,1,464,3,7,1,551,2,0,1,160,6,7,0,450,0
