precinct,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_MESSINA,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_COPELAND,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
GEM02 NORTH EMMETT,1,1,0,59,0,0,0,10,0,0,22,1,58,1,62,3,1,17,2,21,254,0,361
GEM03 BUTTEVIEW,0,2,1,89,0,0,3,10,0,0,20,0,76,1,74,6,1,14,4,10,322,0,432
GEM04 SOUTH EMMETT,0,2,0,85,0,0,0,8,0,0,12,1,61,4,67,2,2,15,2,16,287,0,395
GEM05 WEST EMMETT,1,1,1,114,0,0,1,16,0,0,22,0,129,0,73,3,0,24,3,15,504,0,622
GEM06 EMERSON,0,5,0,124,1,0,1,11,0,1,32,0,113,4,70,0,0,21,5,19,424,0,543
GEM07 LINCOLN,1,1,2,131,0,0,0,13,0,1,25,0,87,2,67,3,1,19,4,16,405,0,517
GEM08 LETHA,1,0,0,108,0,0,0,8,0,3,21,0,95,2,50,1,3,32,5,20,444,0,557
GEM09 HANNA,1,4,1,156,0,0,1,14,0,1,32,0,108,6,50,2,2,30,4,18,390,0,502
GEM10 BRICK,1,3,3,110,0,0,0,10,0,2,27,0,74,0,45,2,2,27,4,11,314,0,405
GEM11 BENCH,0,1,0,117,0,0,0,7,0,0,37,1,100,2,51,6,0,32,6,13,337,0,447
GEM12 SWEET/MONTOUR,0,3,0,93,0,0,0,5,0,1,20,1,83,1,54,3,1,9,0,3,309,0,380
GEM13 OLA,0,0,0,27,0,0,0,4,0,0,6,0,35,1,13,0,0,2,2,2,64,0,84
GEMABSENTEE,1,15,0,112,0,0,1,33,0,3,57,0,160,5,487,6,3,100,11,61,1660,0,2333
GOODING2 GOODING CITY,7,10,0,133,0,0,1,33,0,1,49,0,114,8,156,6,2,38,8,22,524,0,764
GOODING3 GOODING RURAL,1,11,1,243,0,0,0,42,0,2,50,1,180,2,97,11,4,72,2,20,734,0,942
GOODING4 WENDELL CITY,0,0,1,115,0,0,0,9,0,1,32,0,68,4,141,2,6,35,2,13,475,0,678
GOODING5 WENDELL RURAL,2,6,0,140,0,0,0,14,0,0,30,0,91,3,83,3,1,31,4,16,483,0,624
GOODING6 BLISS,1,1,0,37,0,0,1,11,0,1,8,0,50,0,39,0,0,14,4,9,178,0,244
GOODING7 HAGERMAN,0,8,1,195,0,0,1,24,0,1,41,0,176,7,123,9,2,47,5,7,679,0,879
IDAHO001 BIG BUTTE,0,4,1,15,0,0,1,0,0,0,9,0,17,0,5,0,0,0,0,3,64,0,72
IDAHO002 CLEARWATER,3,1,0,58,0,0,2,4,0,1,13,0,62,2,17,2,0,5,1,3,177,0,207
IDAHO003 COTTONWOOD 1,0,5,0,81,0,0,1,11,1,1,13,0,37,0,38,3,0,5,0,8,218,0,272
IDAHO004 COTTONWOOD 2,0,5,0,36,0,0,0,7,0,1,15,0,39,4,45,0,1,2,1,6,209,0,268
IDAHO005 ELK CITY,1,2,1,19,0,0,0,6,0,1,2,0,30,0,9,1,1,4,0,2,94,0,111
IDAHO006 FENN,0,0,0,39,0,0,0,3,0,0,9,0,24,0,13,1,0,2,0,1,104,0,121
IDAHO007 FERDINAND,0,2,0,37,0,0,0,4,0,1,12,0,26,1,17,3,0,3,2,7,154,0,187
IDAHO008 GREENCREEK,1,3,0,35,0,0,1,1,0,0,10,0,21,1,22,0,1,0,0,6,114,0,144
