precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HEWES,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_COOK,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
PIMA75,372,2,4,10,250,4,0,2,7,35,1,0,312,1,0,3,81,0,1,112,0,480,1513,81,69,445,642,1033,1513,445
PIMA76,615,8,1,5,423,0,0,1,5,15,1,0,190,0,2,1,40,0,2,66,0,305,222,6,2,15,1052,627,222,15
PIMA77,197,5,3,8,90,8,0,2,3,11,0,0,58,0,0,1,13,0,0,8,1,93,865,17,87,1076,311,188,865,1076
PIMA78,610,5,0,1,227,2,0,0,3,2,0,0,25,0,0,0,2,0,0,11,0,31,1141,15,27,207,845,74,1141,207
PIMA79,506,8,0,0,790,0,2,5,1,1,0,0,28,0,0,0,21,0,1,16,0,31,943,23,129,1292,1304,99,943,1292
PIMA8,569,1,2,11,378,4,0,0,7,28,3,1,424,4,1,2,146,2,0,154,1,572,195,15,14,175,965,1345,195,175
PIMA80,54,2,1,1,36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1195,45,47,320,96,1,1195,320
PIMA81,27,0,0,0,13,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,350,11,34,460,40,5,350,460
PIMA82,717,4,4,4,542,1,0,5,10,14,0,1,195,3,2,1,87,0,3,83,0,243,1255,39,53,306,1272,642,1255,306
PIMA83,600,16,3,2,234,3,1,0,2,3,1,0,29,0,1,0,5,0,1,12,2,47,435,12,49,795,858,103,435,795
PIMA84,552,6,1,5,397,1,1,7,1,3,0,0,29,1,0,0,10,0,1,17,0,42,1332,29,118,1961,962,104,1332,1961
PIMA85,386,1,2,4,959,4,2,6,3,7,0,0,48,0,1,0,25,0,3,14,0,95,670,19,56,403,1356,196,670,403
PIMA86,1068,9,4,1,753,2,0,4,7,15,0,2,127,3,0,1,37,0,3,44,0,175,1852,61,73,585,1837,414,1852,585
PIMA87,621,9,0,1,302,2,0,4,0,1,1,0,46,2,0,0,13,0,1,23,1,61,318,9,14,116,935,149,318,116
PIMA88,85,0,0,1,34,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1238,18,65,928,120,5,1238,928
PIMA89,27,0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1438,44,87,628,43,2,1438,628
PIMA9,505,1,1,6,265,2,0,0,12,23,1,0,409,6,0,2,231,0,1,219,0,727,1099,29,68,827,780,1631,1099,827
PIMA90,23,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,434,12,75,656,32,4,434,656
PIMA91,620,7,2,4,337,4,0,2,6,10,0,0,98,0,0,2,11,0,2,26,1,122,1298,78,81,560,974,278,1298,560
PIMA92,451,1,0,4,202,0,0,0,1,1,0,0,18,1,1,0,5,0,0,15,0,33,1444,25,117,943,658,75,1444,943
PIMA93,465,11,1,1,291,3,0,1,8,18,0,1,102,0,1,0,20,0,1,49,0,180,1103,29,45,368,772,380,1103,368
PIMA94,112,2,0,1,116,2,0,0,1,9,1,0,97,2,1,0,9,0,1,16,0,212,1268,33,59,403,233,349,1268,403
PIMA95,860,8,2,8,715,8,2,6,1,15,2,0,162,1,1,1,66,0,3,70,1,233,400,19,60,569,1601,556,400,569
PIMA96,749,9,2,2,407,3,0,1,9,13,3,0,98,0,0,3,25,0,0,49,1,183,1277,42,74,481,1172,384,1277,481
PIMA97,681,12,5,11,472,2,0,3,5,14,1,0,205,1,0,0,44,0,1,81,2,323,984,28,52,329,1183,677,984,329
PIMA98,677,10,1,4,274,5,0,0,5,2,0,0,53,0,1,0,3,0,0,23,2,61,1285,54,88,508,971,150,1285,508
PIMA99,491,5,0,4,787,0,1,7,4,4,1,0,56,2,3,1,39,0,2,22,0,91,1243,14,59,473,1287,225,1243,473
PINAL0 DESERT CEDARS,103,2,1,1,87,0,0,0,0,8,1,0,78,1,0,1,16,0,0,18,0,100,57,2,4,62,194,223,57,62
PINAL1 ALTERRA NORTH,109,1,0,1,103,0,0,1,0,4,0,0,88,0,0,0,11,0,0,31,1,135,70,2,7,67,214,270,70,67
PINAL2 MARICOPA WELLS,151,3,3,2,103,1,0,0,1,10,0,0,113,1,0,2,17,1,2,24,0,163,70,2,8,95,263,334,70,95
PINAL3 SAN CARLOS COMMUNITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PINAL4 PICACHO SOUTH,18,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,4,0,0,5,0,13,5,0,0,8,26,29,5,8
PINAL5 TOLTEC SOUTHWEST,5,0,0,0,6,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,4,3,0,0,2,11,10,3,2
PINALAK CHIN COMMUNITY,44,0,0,0,23,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,0,3,18,0,0,2,67,8,18,2
PINALAPACHE JCT CENTRAL,128,4,2,2,68,2,0,0,1,7,1,0,65,0,0,1,17,0,2,13,0,162,43,2,6,75,206,269,43,75
PINALAPACHE JCT EAST,108,0,1,3,78,3,0,0,4,9,0,0,116,1,0,0,44,0,1,35,0,224,40,0,5,89,193,434,40,89
PINALAPACHE JCT NE,106,2,1,3,80,3,0,0,2,5,0,0,122,1,0,2,23,0,2,19,0,266,37,1,6,106,195,442,37,106
PINALAPACHE JCT NW,87,4,1,2,49,2,0,1,2,13,0,0,56,0,0,0,9,0,3,7,0,146,32,1,4,59,145,236,32,59
PINALAPACHE JCT SE,128,2,3,4,117,3,1,1,3,8,2,1,119,0,0,4,35,0,0,22,0,237,52,3,7,110,257,431,52,110
PINALAPACHE JCT SUPERSTITION,200,1,0,4,70,3,0,0,9,15,0,0,66,1,2,2,21,0,1,36,0,202,62,1,6,96,278,355,62,96
PINALAPACHE JCT SW,171,5,3,5,79,1,0,0,4,11,0,0,82,0,1,2,32,0,4,30,1,225,53,2,6,101,264,392,53,101
PINALAPACHE JUNCTION,145,3,3,2,115,1,0,0,2,8,0,0,118,0,1,1,20,0,0,32,0,320,32,0,4,74,269,502,32,74
PINALAPACHE JUNCTION N. CENTRA,151,4,1,3,121,0,0,0,0,7,1,0,168,0,2,0,38,1,2,34,0,347,56,1,5,120,280,600,56,120
PINALAPACHE JUNCTION NORTH,126,1,1,2,77,1,1,0,2,6,1,0,62,0,0,2,15,0,0,15,1,182,37,1,4,85,208,286,37,85
PINALAPACHE JUNCTION SOUTH,170,3,0,3,78,1,0,0,1,13,1,1,98,0,2,1,39,0,1,36,1,257,54,3,7,108,255,451,54,108
PINALARIZONA CITY,189,2,1,2,126,1,0,0,4,19,1,0,132,2,0,3,21,0,2,46,1,332,46,1,4,83,321,563,46,83
PINALBELLA VISTA,52,0,0,0,44,0,0,0,0,4,2,0,72,0,0,0,14,0,2,12,0,98,36,1,5,63,96,204,36,63
PINALBLACKWATER,54,0,0,0,32,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,3,28,0,0,3,86,10,28,3
PINALCACTUS FOREST,72,1,0,0,58,3,0,0,1,2,0,0,73,0,1,2,11,0,4,8,0,184,20,1,2,67,134,286,20,67
PINALCASA BLANCA,51,0,0,0,27,0,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,4,30,0,1,3,78,10,30,3
PINALCASA GRANDE INTERCHANGE,167,5,1,0,82,1,0,0,3,9,0,1,101,0,0,1,42,0,0,37,0,213,57,0,4,93,256,407,57,93
PINALCASA GRANDE NE,127,0,0,3,73,0,0,0,0,6,0,0,100,0,0,0,15,0,0,26,1,153,52,1,4,69,203,301,52,69
PINALCASA GRANDE NORTH,294,7,3,5,187,4,0,0,3,18,3,0,105,1,1,4,55,0,2,47,0,239,51,3,4,55,500,478,51,55
PINALCASA GRANDE NW,221,3,2,3,116,5,0,0,4,8,1,1,120,2,0,5,44,0,3,63,0,227,76,1,8,107,350,478,76,107
PINALCASA GRANDE RANCHO GRANDE,128,1,0,3,84,1,0,0,3,11,0,1,105,2,0,0,34,0,1,39,0,176,57,1,7,98,217,372,57,98
PINALCASA GRANDE S CEN,319,5,7,13,157,3,0,0,5,7,0,0,113,0,0,1,23,0,1,23,0,180,55,1,5,61,504,353,55,61
PINALCASA GRANDE SW,159,5,0,4,77,0,0,0,3,6,0,0,67,1,1,0,16,0,2,8,0,143,34,0,2,40,245,247,34,40
PINALCASA GRANDE WEST,138,2,0,5,84,2,0,0,6,6,0,0,82,0,0,2,15,0,1,24,1,182,57,1,7,79,231,319,57,79
PINALCENTRAL ARIZONA COLLEGE,59,3,2,1,39,1,0,0,4,0,0,0,54,1,0,1,12,0,0,16,0,111,19,0,2,43,105,199,19,43
PINALCHUI CHU,34,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,11,0,0,0,48,3,11,0
PINALCIRCLE CROSS RANCH,137,1,0,1,111,1,0,1,11,9,2,0,161,1,1,3,28,1,2,32,0,217,74,3,10,119,251,468,74,119
PINALCOOLIDGE NE,101,3,1,3,56,6,0,0,3,3,1,0,34,0,0,1,5,0,0,6,0,56,31,1,3,30,170,109,31,30
PINALCOOLIDGE NW,170,6,2,12,136,3,0,0,4,19,0,1,102,1,0,1,21,0,0,26,0,204,69,1,8,91,329,379,69,91
PINALCOOLIDGE SOUTH,173,4,3,0,118,6,0,1,1,12,0,0,72,0,0,0,12,0,0,23,0,137,40,1,3,40,304,257,40,40
PINALCOPPER BASIN,174,2,1,5,110,0,0,0,4,9,2,0,167,2,0,4,23,0,1,46,0,294,45,3,7,83,292,552,45,83
PINALCOYOTE RANCH,167,1,3,3,159,2,0,0,8,8,2,0,153,0,0,2,49,1,1,50,1,291,73,2,8,110,335,566,73,110
PINALDUDLEYVILLE,141,3,3,3,46,3,0,0,1,3,0,0,19,0,0,0,2,0,0,2,0,35,24,0,0,15,199,62,24,15
PINALEL DORADO,122,1,0,0,81,0,0,0,0,6,1,0,88,0,0,0,19,0,0,30,1,172,68,3,7,74,204,317,68,74
PINALELEVEN MILE CORNER,34,2,4,0,32,1,0,0,1,2,0,0,36,1,0,0,8,0,3,5,0,83,13,0,2,36,73,139,13,36
PINALELOY,295,7,4,1,61,1,0,0,0,4,0,0,20,0,0,0,4,0,0,11,0,28,40,0,1,10,369,67,40,10
PINALFLORENCE NORTH,299,11,6,12,165,8,0,0,5,18,2,0,127,0,0,2,28,1,3,29,0,257,38,0,3,63,501,472,38,63
