county,precinct,office,district,candidate,party,votes
Queens,"=""11/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,17
Queens,"=""11/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,"=""11/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,9
Queens,"=""11/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
Queens,"=""11/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,2
Queens,"=""11/23""",President,NYC,Scattered,,4
Queens,"=""12/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""12/23""",President,NYC,Absentee / Military,,113
Queens,"=""12/23""",President,NYC,Federal,,2
Queens,"=""12/23""",President,NYC,Special Presidential,,0
Queens,"=""12/23""",President,NYC,Affidavit,,22
Queens,"=""12/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,279
Queens,"=""12/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,133
Queens,"=""12/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,12
Queens,"=""12/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,8
Queens,"=""12/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
Queens,"=""12/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
Queens,"=""12/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""12/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,"=""12/23""",President,NYC,Scattered,,3
Queens,"=""13/23""",President,NYC,Manually Counted Emergency,,0
Queens,"=""13/23""",President,NYC,Absentee / Military,,22
Queens,"=""13/23""",President,NYC,Federal,,0
Queens,"=""13/23""",President,NYC,Special Presidential,,0
Queens,"=""13/23""",President,NYC,Affidavit,,17
Queens,"=""13/23""",President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,256
Queens,"=""13/23""",President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,242
Queens,"=""13/23""",President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,31
Queens,"=""13/23""",President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Queens,"=""13/23""",President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Queens,"=""13/23""",President,NYC,Gary Johnson / Bill Weld (Independence),Independence,6
Queens,"=""13/23""",President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Queens,"=""13/23""",President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Queens,"=""13/23""",President,NYC,Scattered,,3
Queens,"=""14/23""",President,NYC,Manually Counted Emergency,,0
