precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
JACKSON1-May,41,0,10,1,12,0,26,0,0,0,0,5,0,0,0,24,0,62,41,0,10,1,12,0,26,0,0,0,0,5,0,0,0,24,0,62,130,51,181
JACKSON2-Apr,20,0,12,0,13,2,47,0,0,0,2,2,0,0,0,16,0,79,20,0,12,0,13,2,47,0,0,0,2,2,0,0,0,16,0,79,161,32,193
JACKSON2-Feb,41,1,10,1,6,1,19,0,0,0,0,3,0,0,0,10,0,56,41,1,10,1,6,1,19,0,0,0,0,3,0,0,0,10,0,56,96,52,148
JACKSON2-Jan,45,1,17,1,4,0,26,0,0,0,0,1,0,0,0,12,0,29,45,1,17,1,4,0,26,0,0,0,0,1,0,0,0,12,0,29,73,63,136
JACKSON2-Jun,29,0,14,2,5,0,65,0,0,0,0,3,0,0,0,21,0,83,29,0,14,2,5,0,65,0,0,0,0,3,0,0,0,21,0,83,179,43,222
JACKSON2-Mar,29,0,18,0,4,0,49,0,0,0,1,10,0,0,0,20,0,62,29,0,18,0,4,0,49,0,0,0,1,10,0,0,0,20,0,62,146,47,193
JACKSON2-May,50,1,25,1,11,1,39,0,0,0,1,7,0,0,0,11,0,82,50,1,25,1,11,1,39,0,0,0,1,7,0,0,0,11,0,82,153,76,229
JEFFERSON1 Dandridge ES,88,1,67,23,71,1,217,5,1,0,8,48,0,0,0,213,1,513,88,1,67,23,71,1,217,5,1,0,8,48,0,0,0,213,1,513,1101,156,1257
JEFFERSON10 Jeff City Fire Dp,67,2,60,19,42,1,92,0,1,0,0,30,0,0,0,103,0,223,67,2,60,19,42,1,92,0,1,0,0,30,0,0,0,103,0,223,511,129,640
JEFFERSON2 Piedmont,59,1,56,6,83,0,217,1,0,1,3,43,0,0,1,158,1,411,59,1,56,6,83,0,217,1,0,1,3,43,0,0,1,158,1,411,925,116,1041
JEFFERSON3 White Pine-1,77,1,54,16,114,2,268,4,3,0,7,62,0,0,8,200,1,624,77,1,54,16,114,2,268,4,3,0,7,62,0,0,8,200,1,624,1309,132,1441
JEFFERSON3 White Pine-2,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,7,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,7,12,1,13
JEFFERSON4 Jefferson ES,92,0,94,25,68,1,169,1,2,0,3,50,0,0,1,191,0,277,92,0,94,25,68,1,169,1,2,0,3,50,0,0,1,191,0,277,788,186,974
JEFFERSON5 Jefferson Middle,78,1,46,20,70,3,204,0,1,1,6,43,0,0,6,199,0,426,78,1,46,20,70,3,204,0,1,1,6,43,0,0,6,199,0,426,979,125,1104
JEFFERSON6 Rush Strong,71,2,64,9,56,0,175,4,0,0,2,30,0,0,1,99,1,299,71,2,64,9,56,0,175,4,0,0,2,30,0,0,1,99,1,299,676,137,813
JEFFERSON7 New Market,57,3,47,16,60,0,200,1,0,0,5,33,0,0,3,133,2,403,57,3,47,16,60,0,200,1,0,0,5,33,0,0,3,133,2,403,856,107,963
JEFFERSON8-1 Chestnut Hill,59,1,35,5,29,2,111,0,0,0,1,25,0,0,1,83,0,288,59,1,35,5,29,2,111,0,0,0,1,25,0,0,1,83,0,288,545,95,640
JEFFERSON8-2 Swannsylvania,35,0,22,5,27,1,101,0,2,0,0,16,0,0,1,60,0,214,35,0,22,5,27,1,101,0,2,0,0,16,0,0,1,60,0,214,427,57,484
JEFFERSON9 Talbott School-1,36,1,29,14,25,1,145,2,0,1,2,20,0,0,0,78,0,244,36,1,29,14,25,1,145,2,0,1,2,20,0,0,0,78,0,244,532,66,598
JEFFERSON9 Talbott School-2,15,1,18,3,19,1,104,0,1,0,3,7,0,0,0,61,2,123,15,1,18,3,19,1,104,0,1,0,3,7,0,0,0,61,2,123,324,34,358
JOHNSON1A Laurel,27,0,25,5,18,0,70,0,0,0,1,13,0,0,1,49,1,134,27,0,25,5,18,0,70,0,0,0,1,13,0,0,1,49,1,134,292,52,344
JOHNSON1B Cold Springs,27,1,19,2,15,0,90,0,0,0,0,8,0,1,0,54,1,133,27,1,19,2,15,0,90,0,0,0,0,8,0,1,0,54,1,133,304,47,351
JOHNSON2 Forge/Shouns,12,1,14,0,13,0,45,0,0,0,1,14,0,0,0,36,0,105,12,1,14,0,13,0,45,0,0,0,1,14,0,0,0,36,0,105,214,27,241
JOHNSON3A Trade,15,0,16,0,9,1,56,0,0,0,0,6,0,0,0,26,0,84,15,0,16,0,9,1,56,0,0,0,0,6,0,0,0,26,0,84,182,31,213
JOHNSON3B Neva,33,0,29,3,23,2,95,0,0,0,1,16,0,1,0,56,0,153,33,0,29,3,23,2,95,0,0,0,1,16,0,1,0,56,0,153,350,62,412
JOHNSON4A Dry Run,16,0,22,3,8,0,64,0,0,0,1,7,0,0,0,29,0,122,16,0,22,3,8,0,64,0,0,0,1,7,0,0,0,29,0,122,234,38,272
JOHNSON4B Butler,11,1,12,2,19,0,66,0,2,0,3,12,0,1,0,27,0,110,11,1,12,2,19,0,66,0,2,0,3,12,0,1,0,27,0,110,242,24,266
JOHNSON5 Doe,24,1,33,3,12,1,104,1,0,0,2,11,0,0,0,52,0,137,24,1,33,3,12,1,104,1,0,0,2,11,0,0,0,52,0,137,323,58,381
JOHNSON6 Shady,27,1,24,2,30,1,75,0,1,0,2,2,0,0,2,28,0,148,27,1,24,2,30,1,75,0,1,0,2,2,0,0,2,28,0,148,291,52,343
JOHNSON7 High School,53,2,30,9,22,1,75,1,0,0,2,13,0,0,2,95,1,181,53,2,30,9,22,1,75,1,0,0,2,13,0,0,2,95,1,181,402,85,487
KNOX06 Green School,147,0,196,4,8,0,23,0,0,0,0,53,0,1,1,87,1,49,147,0,196,4,8,0,23,0,0,0,0,53,0,1,1,87,1,49,227,343,570
KNOX09 Eternal Life Harvest,73,0,53,0,2,0,3,0,0,1,0,1,0,0,0,13,0,10,73,0,53,0,2,0,3,0,0,1,0,1,0,0,0,13,0,10,30,126,156
KNOX10N Fort Sanders,56,0,256,4,9,0,8,1,0,0,0,5,0,0,4,56,0,13,56,0,256,4,9,0,8,1,0,0,0,5,0,0,4,56,0,13,100,312,412
KNOX10S Howard Baker Center,29,0,161,1,5,0,17,0,0,0,0,6,0,0,0,72,0,22,29,0,161,1,5,0,17,0,0,0,0,6,0,0,0,72,0,22,123,190,313
KNOX10W Howard Baker Center,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,2,6
KNOX11 Central UMC,175,3,392,11,8,1,28,0,0,1,2,32,0,0,1,73,1,68,175,3,392,11,8,1,28,0,0,1,2,32,0,0,1,73,1,68,226,570,796
KNOX12 Eastport,334,2,63,1,5,0,8,1,0,1,1,2,0,0,0,3,0,11,334,2,63,1,5,0,8,1,0,1,1,2,0,0,0,3,0,11,33,399,432
KNOX13 Fair Garden,340,0,93,2,16,0,24,0,0,0,1,4,0,0,0,16,0,30,340,0,93,2,16,0,24,0,0,0,1,4,0,0,0,16,0,30,93,433,526
KNOX14 Austin-East,143,2,37,0,2,0,3,0,0,0,0,1,0,0,0,2,0,4,143,2,37,0,2,0,3,0,0,0,0,1,0,0,0,2,0,4,12,182,194
KNOX15 John T. O'Connor,161,1,193,2,14,0,18,0,0,0,0,2,0,0,0,30,0,30,161,1,193,2,14,0,18,0,0,0,0,2,0,0,0,30,0,30,96,355,451
KNOX16 Larry Cox Sr Center,335,1,444,15,59,2,148,0,1,0,3,38,0,0,5,146,1,280,335,1,444,15,59,2,148,0,1,0,3,38,0,0,5,146,1,280,698,780,1478
KNOX17 Christenberry,93,1,189,3,25,1,47,3,0,0,1,9,0,1,2,56,0,83,93,1,189,3,25,1,47,3,0,0,1,9,0,1,2,56,0,83,231,283,514
KNOX18 Lincoln Park,71,1,139,2,18,1,26,0,0,0,0,2,0,0,0,36,0,74,71,1,139,2,18,1,26,0,0,0,0,2,0,0,0,36,0,74,159,211,370
KNOX19E SOAR,90,0,23,0,1,1,10,0,0,0,0,3,0,0,1,12,0,22,90,0,23,0,1,1,10,0,0,0,0,3,0,0,1,12,0,22,50,113,163
KNOX19W SOAR,50,0,19,1,2,0,13,0,0,0,0,4,0,0,0,7,0,20,50,0,19,1,2,0,13,0,0,0,0,4,0,0,0,7,0,20,47,69,116
KNOX20 Beaumont,41,0,19,0,0,0,7,0,0,0,0,1,0,0,0,8,1,25,41,0,19,0,0,0,7,0,0,0,0,1,0,0,0,8,1,25,42,60,102
KNOX23 Westview,52,0,55,1,15,0,26,0,0,0,1,5,0,0,0,21,0,71,52,0,55,1,15,0,26,0,0,0,1,5,0,0,0,21,0,71,140,107,247
KNOX24Q Sequoyah Hills,307,1,195,34,40,5,92,2,0,1,1,222,0,2,5,415,2,197,307,1,195,34,40,5,92,2,0,1,1,222,0,2,5,415,2,197,1018,503,1521
KNOX25 South Knox CC,170,2,256,13,43,1,88,0,1,1,3,32,0,0,1,140,2,194,170,2,256,13,43,1,88,0,1,1,3,32,0,0,1,140,2,194,519,428,947
KNOX26 Dogwood,149,1,373,9,35,1,79,0,1,1,3,33,0,1,0,138,0,179,149,1,373,9,35,1,79,0,1,1,3,33,0,1,0,138,0,179,480,523,1003
KNOX27 South Knox,91,0,158,8,36,0,85,0,0,0,1,21,0,0,5,78,0,160,91,0,158,8,36,0,85,0,0,0,1,21,0,0,5,78,0,160,394,249,643
KNOX29 Anderson,95,2,122,7,34,2,94,0,1,0,4,19,0,0,5,86,2,165,95,2,122,7,34,2,94,0,1,0,4,19,0,0,5,86,2,165,419,219,638
KNOX30 Sarah Moore Greene,254,2,75,2,16,0,18,0,0,0,0,2,0,0,0,21,0,37,254,2,75,2,16,0,18,0,0,0,0,2,0,0,0,21,0,37,96,331,427
KNOX31 Chilhowee,219,0,134,1,25,0,69,0,0,0,0,32,0,1,2,103,0,114,219,0,134,1,25,0,69,0,0,0,0,32,0,1,2,103,0,114,347,353,700
KNOX32 Spring Hill,168,2,106,5,20,1,100,0,0,2,3,17,0,1,0,57,0,129,168,2,106,5,20,1,100,0,0,2,3,17,0,1,0,57,0,129,335,276,611
KNOX33 Richard Yoakley,143,1,140,5,38,1,99,0,0,0,4,18,0,0,3,86,1,175,143,1,140,5,38,1,99,0,0,0,4,18,0,0,3,86,1,175,430,284,714
KNOX34 Fountain City Library,100,0,126,2,24,2,67,0,0,0,2,32,0,0,4,97,0,98,100,0,126,2,24,2,67,0,0,0,2,32,0,0,4,97,0,98,328,226,554
KNOX35 Shannondale,119,1,163,10,53,2,97,0,0,0,2,51,0,0,1,147,0,202,119,1,163,10,53,2,97,0,0,0,2,51,0,0,1,147,0,202,565,283,848
KNOX36 Gresham,162,1,179,8,50,1,153,2,0,2,2,44,0,0,3,152,1,219,162,1,179,8,50,1,153,2,0,2,2,44,0,0,3,152,1,219,637,342,979
KNOX37 Inskip Elementary,292,2,341,33,72,3,251,1,1,1,3,71,0,0,4,248,2,378,292,2,341,33,72,3,251,1,1,1,3,71,0,0,4,248,2,378,1068,635,1703
KNOX39 Inskip Rec Center,81,3,72,7,29,1,78,0,0,0,3,9,0,0,0,59,0,134,81,3,72,7,29,1,78,0,0,0,3,9,0,0,0,59,0,134,320,156,476
KNOX40 Norwood,137,0,128,7,53,1,142,0,0,2,4,33,0,0,2,125,0,204,137,0,128,7,53,1,142,0,0,2,4,33,0,0,2,125,0,204,573,265,838
KNOX41 Norwood,89,0,83,7,15,1,64,0,0,0,3,13,0,0,2,69,1,147,89,0,83,7,15,1,64,0,0,0,3,13,0,0,2,69,1,147,322,172,494
KNOX42 Pleasant Ridge,106,4,115,7,49,0,100,1,0,0,3,15,0,0,1,114,0,163,106,4,115,7,49,0,100,1,0,0,3,15,0,0,1,114,0,163,453,225,678
KNOX43 West Haven,129,2,115,4,45,2,97,1,0,0,3,25,0,0,0,121,0,140,129,2,115,4,45,2,97,1,0,0,3,25,0,0,0,121,0,140,438,246,684
KNOX44 Ridgedale,182,0,173,5,65,2,162,3,0,1,0,34,0,0,4,155,0,267,182,0,173,5,65,2,162,3,0,1,0,34,0,0,4,155,0,267,698,355,1053
KNOX45 Bearden Middle,249,4,240,7,94,4,251,0,0,1,4,80,0,0,2,297,0,365,249,4,240,7,94,4,251,0,0,1,4,80,0,0,2,297,0,365,1105,493,1598
KNOX46 1st Nazarene,260,5,209,26,74,1,163,4,0,1,3,108,0,0,1,299,0,274,260,5,209,26,74,1,163,4,0,1,3,108,0,0,1,299,0,274,954,474,1428
KNOX47 Bearden High,359,2,448,41,85,4,200,4,1,0,3,170,0,1,4,453,1,361,359,2,448,41,85,4,200,4,1,0,3,170,0,1,4,453,1,361,1328,809,2137
KNOX48 Pond Gap,110,0,145,1,21,1,59,1,0,0,0,39,0,0,1,93,0,86,110,0,145,1,21,1,59,1,0,0,0,39,0,0,1,93,0,86,302,255,557
KNOX49 Bearden Elementary,174,1,200,14,16,2,46,0,1,0,0,65,0,0,1,135,0,79,174,1,200,14,16,2,46,0,1,0,0,65,0,0,1,135,0,79,359,375,734
KNOX50N West High,19,0,53,2,4,0,19,0,0,0,0,8,0,0,0,25,0,21,19,0,53,2,4,0,19,0,0,0,0,8,0,0,0,25,0,21,79,72,151
KNOX50S West High,50,0,70,2,3,0,17,0,0,0,0,5,0,0,0,14,3,41,50,0,70,2,3,0,17,0,0,0,0,5,0,0,0,14,3,41,85,120,205
KNOX51 Deane Hill Rec Ctr,156,0,98,41,54,0,127,3,0,0,1,191,0,2,5,461,0,254,156,0,98,41,54,0,127,3,0,0,1,191,0,2,5,461,0,254,1139,254,1393
KNOX55 Lonas,172,2,173,10,89,1,215,1,0,0,2,80,0,0,9,243,1,232,172,2,173,10,89,1,215,1,0,0,2,80,0,0,9,243,1,232,883,347,1230
KNOX56 Heiskell,53,2,47,5,31,0,142,1,0,0,3,18,0,0,0,88,0,188,53,2,47,5,31,0,142,1,0,0,3,18,0,0,0,88,0,188,476,102,578
KNOX57 Hills,14,0,15,2,9,1,69,0,0,0,0,5,0,0,0,28,0,65,14,0,15,2,9,1,69,0,0,0,0,5,0,0,0,28,0,65,179,29,208
KNOX58N Pedigo,8,0,8,2,9,0,41,0,0,0,1,4,0,0,0,16,0,71,8,0,8,2,9,0,41,0,0,0,1,4,0,0,0,16,0,71,144,16,160
KNOX58S Pedigo,71,0,45,9,67,1,224,0,0,1,2,39,0,0,2,284,0,322,71,0,45,9,67,1,224,0,0,1,2,39,0,0,2,284,0,322,951,116,1067
KNOX59 Brickey,164,3,139,18,123,10,410,1,0,1,6,101,0,0,4,412,0,619,164,3,139,18,123,10,410,1,0,1,6,101,0,0,4,412,0,619,1705,306,2011
KNOX60 Fort Sumter,66,1,51,2,52,2,129,1,0,1,0,20,0,0,3,147,0,278,66,1,51,2,52,2,129,1,0,1,0,20,0,0,3,147,0,278,635,118,753
KNOX61 Halls,272,1,234,41,174,6,620,3,4,1,2,91,0,2,7,552,2,1035,272,1,234,41,174,6,620,3,4,1,2,91,0,2,7,552,2,1035,2540,507,3047
KNOX62 Hardin Valley,100,0,130,14,89,0,191,1,0,1,3,68,0,0,2,289,1,289,100,0,130,14,89,0,191,1,0,1,3,68,0,0,2,289,1,289,948,230,1178
KNOX63 Karns,209,1,188,23,160,1,400,2,0,2,5,104,0,1,8,448,0,607,209,1,188,23,160,1,400,2,0,2,5,104,0,1,8,448,0,607,1761,398,2159
KNOX63N Karns North,95,2,89,16,78,0,246,0,0,0,3,43,0,0,5,255,0,329,95,2,89,16,78,0,246,0,0,0,3,43,0,0,5,255,0,329,975,186,1161
KNOX64 Solway,179,4,131,16,96,3,273,1,1,1,3,95,0,1,3,354,1,394,179,4,131,16,96,3,273,1,1,1,3,95,0,1,3,354,1,394,1242,314,1556
KNOX65 Concord,468,1,344,62,205,2,603,6,0,3,6,304,0,3,6,1096,2,917,468,1,344,62,205,2,603,6,0,3,6,304,0,3,6,1096,2,917,3215,813,4028
KNOX65N Concord North,110,1,94,10,40,1,148,0,0,0,0,38,0,0,0,193,0,161,110,1,94,10,40,1,148,0,0,0,0,38,0,0,0,193,0,161,591,205,796
KNOX66N Farragut I,344,0,281,59,160,4,521,2,4,0,3,306,0,2,4,888,1,685,344,0,281,59,160,4,521,2,4,0,3,306,0,2,4,888,1,685,2639,625,3264
KNOX66S Farragut II,360,1,207,36,120,6,500,3,0,1,3,221,0,1,3,626,0,664,360,1,207,36,120,6,500,3,0,1,3,221,0,1,3,626,0,664,2184,568,2752
KNOX67 North Cedar Bluff,336,5,288,26,128,3,319,3,2,0,5,155,0,0,4,416,3,411,336,5,288,26,128,3,319,3,2,0,5,155,0,0,4,416,3,411,1475,629,2104
KNOX68 South Cedar Bluff,213,3,186,27,83,2,179,0,0,1,1,98,0,2,3,348,2,288,213,3,186,27,83,2,179,0,0,1,1,98,0,2,3,348,2,288,1034,402,1436
KNOX68E East Cedar Bluff,95,0,135,7,23,2,59,2,0,1,1,25,0,0,1,106,0,95,95,0,135,7,23,2,59,2,0,1,1,25,0,0,1,106,0,95,322,230,552
KNOX69N A. L. Lotts,353,2,294,41,131,2,387,0,0,0,6,221,0,0,4,745,0,529,353,2,294,41,131,2,387,0,0,0,6,221,0,0,4,745,0,529,2066,649,2715
KNOX69S Bluegrass,369,1,336,52,144,6,454,6,2,0,3,277,0,2,4,971,0,664,369,1,336,52,144,6,454,6,2,0,3,277,0,2,4,971,0,664,2585,706,3291
KNOX70 Ball Camp,419,4,379,39,221,3,630,2,0,0,10,185,0,0,11,684,4,769,419,4,379,39,221,3,630,2,0,0,10,185,0,0,11,684,4,769,2558,802,3360
KNOX71 Rocky Hill,317,1,237,50,114,2,258,0,0,0,3,296,0,1,7,746,1,507,317,1,237,50,114,2,258,0,0,0,3,296,0,1,7,746,1,507,1985,555,2540
KNOX72 Dante,131,0,124,15,90,1,324,1,0,1,3,48,0,0,3,313,3,358,131,0,124,15,90,1,324,1,0,1,3,48,0,0,3,313,3,358,1160,255,1415
KNOX73 Powell,223,2,219,28,145,2,457,7,0,0,5,88,0,0,6,485,0,710,223,2,219,28,145,2,457,7,0,0,5,88,0,0,6,485,0,710,1933,444,2377
KNOX74 Shannondale,151,0,98,19,74,5,181,2,2,0,4,97,0,1,0,332,0,326,151,0,98,19,74,5,181,2,2,0,4,97,0,1,0,332,0,326,1043,249,1292
KNOX76 Sunnyview,66,0,61,2,29,1,121,0,1,0,3,20,0,0,3,129,1,211,66,0,61,2,29,1,121,0,1,0,3,20,0,0,3,129,1,211,521,127,648
KNOX77 Ramsey,61,1,25,6,12,0,36,1,0,0,0,13,0,0,0,72,0,132,61,1,25,6,12,0,36,1,0,0,0,13,0,0,0,72,0,132,272,87,359
KNOX78 Riverdale,26,0,19,4,23,0,68,0,0,0,2,8,0,0,4,39,0,107,26,0,19,4,23,0,68,0,0,0,2,8,0,0,4,39,0,107,255,45,300
KNOX79 Dora Kennedy,43,1,44,5,25,0,89,1,0,0,2,12,0,0,3,60,0,162,43,1,44,5,25,0,89,1,0,0,2,12,0,0,3,60,0,162,359,88,447
KNOX80 Corryton,45,3,41,4,37,0,154,0,0,0,2,25,0,0,2,77,0,183,45,3,41,4,37,0,154,0,0,0,2,25,0,0,2,77,0,183,484,89,573
KNOX81 Gibbs,126,2,134,14,173,2,413,0,1,1,5,56,0,1,4,374,2,724,126,2,134,14,173,2,413,0,1,1,5,56,0,1,4,374,2,724,1770,262,2032
KNOX82 Ellistown,110,1,47,6,40,2,98,1,1,0,1,14,0,0,2,79,1,190,110,1,47,6,40,2,98,1,1,0,1,14,0,0,2,79,1,190,435,158,593
KNOX84 Ritta,178,0,103,26,92,3,275,2,0,0,2,55,0,0,4,291,1,338,178,0,103,26,92,3,275,2,0,0,2,55,0,0,4,291,1,338,1089,281,1370
KNOX85 Skaggston,63,2,41,5,35,1,139,1,0,0,2,14,0,0,3,100,0,227,63,2,41,5,35,1,139,1,0,0,2,14,0,0,3,100,0,227,527,106,633
KNOX86 Carter,66,3,46,15,39,1,139,1,0,0,4,24,0,1,3,149,0,273,66,3,46,15,39,1,139,1,0,0,4,24,0,1,3,149,0,273,649,115,764
KNOX87 Thorngrove,43,0,38,12,36,2,106,0,0,0,3,12,0,0,1,73,1,220,43,0,38,12,36,2,106,0,0,0,3,12,0,0,1,73,1,220,466,81,547
KNOX89 Mt. Olive,202,0,189,25,82,4,194,3,0,1,2,107,0,1,4,343,2,309,202,0,189,25,82,4,194,3,0,1,2,107,0,1,4,343,2,309,1077,391,1468
KNOX90 Bonny Kate,155,1,126,19,111,1,251,3,0,2,4,48,0,0,5,364,1,417,155,1,126,19,111,1,251,3,0,2,4,48,0,0,5,364,1,417,1226,282,1508
KNOX92 Gap Creek,14,0,24,0,35,0,85,1,0,1,1,15,0,0,1,116,0,116,14,0,24,0,35,0,85,1,0,1,1,15,0,0,1,116,0,116,371,38,409
KNOX93 Hopewell,87,1,80,10,68,3,200,2,0,0,0,28,0,1,4,164,0,272,87,1,80,10,68,3,200,2,0,0,0,28,0,1,4,164,0,272,752,168,920
LAKE1 Tiptonville SR Citizens,1,0,1,0,5,0,9,0,0,0,0,0,0,0,0,2,0,25,1,0,1,0,5,0,9,0,0,0,0,0,0,0,0,2,0,25,41,2,43
LAKE2 Courthouse,116,1,30,0,22,0,50,1,0,0,1,6,0,0,0,33,1,157,116,1,30,0,22,0,50,1,0,0,1,6,0,0,0,33,1,157,271,147,418
LAKE3 Lake Co Middle,69,1,16,1,18,0,66,0,0,0,0,1,0,1,0,37,0,144,69,1,16,1,18,0,66,0,0,0,0,1,0,1,0,37,0,144,268,86,354
LAUDERDALEArp 6,38,0,13,1,9,0,56,0,0,0,1,1,0,0,0,19,0,95,38,0,13,1,9,0,56,0,0,0,1,1,0,0,0,19,0,95,182,51,233
LAUDERDALECentral 6,40,1,20,0,25,0,75,0,0,0,2,3,0,0,0,18,0,149,40,1,20,0,25,0,75,0,0,0,2,3,0,0,0,18,0,149,272,61,333
LAUDERDALEConner 2,58,0,8,4,14,0,44,0,0,0,0,0,0,0,0,13,0,81,58,0,8,4,14,0,44,0,0,0,0,0,0,0,0,13,0,81,156,66,222
LAUDERDALEEdith 7,9,0,6,0,6,0,33,0,0,0,0,1,0,0,0,9,0,54,9,0,6,0,6,0,33,0,0,0,0,1,0,0,0,9,0,54,103,15,118
LAUDERDALEGates 7,58,1,8,0,13,0,44,0,0,0,0,3,0,0,1,9,0,85,58,1,8,0,13,0,44,0,0,0,0,3,0,0,1,9,0,85,155,67,222
LAUDERDALEHalls 8,125,0,28,3,32,0,125,1,0,0,3,16,0,0,1,77,0,166,125,0,28,3,32,0,125,1,0,0,3,16,0,0,1,77,0,166,424,153,577
LAUDERDALEHenning 1,146,2,13,0,6,3,32,0,0,0,1,7,0,0,1,6,0,50,146,2,13,0,6,3,32,0,0,0,1,7,0,0,1,6,0,50,106,161,267
LAUDERDALELightfoot 5,28,0,10,0,6,1,38,0,0,0,0,6,0,0,0,7,0,72,28,0,10,0,6,1,38,0,0,0,0,6,0,0,0,7,0,72,130,38,168
LAUDERDALEMcBride 1,54,1,15,2,12,0,29,0,0,0,0,4,0,0,0,10,0,62,54,1,15,2,12,0,29,0,0,0,0,4,0,0,0,10,0,62,119,70,189
LAUDERDALENankipoo 7,11,0,6,0,6,0,46,0,0,0,0,4,0,0,0,29,0,69,11,0,6,0,6,0,46,0,0,0,0,4,0,0,0,29,0,69,154,17,171
LAUDERDALERipley 2,89,0,14,2,7,0,29,0,0,0,2,5,0,0,0,19,0,68,89,0,14,2,7,0,29,0,0,0,2,5,0,0,0,19,0,68,132,103,235
LAUDERDALERipley 3,186,3,33,8,22,5,67,0,0,0,2,14,0,1,0,76,0,128,186,3,33,8,22,5,67,0,0,0,2,14,0,1,0,76,0,128,323,222,545
LAUDERDALERipley 4,193,0,20,1,3,0,20,0,0,0,1,0,0,0,0,12,0,32,193,0,20,1,3,0,20,0,0,0,1,0,0,0,0,12,0,32,69,213,282
LAWRENCE01-1 St. Joseph,56,1,36,0,6,0,45,0,0,0,0,3,0,0,0,24,0,71,56,1,36,0,6,0,45,0,0,0,0,3,0,0,0,24,0,71,149,93,242
LAWRENCE01-2 West Loretto,96,9,44,1,12,0,43,0,0,0,1,7,0,0,1,21,0,64,96,9,44,1,12,0,43,0,0,0,1,7,0,0,1,21,0,64,150,149,299
LAWRENCE02-1 Loretto Civ Ctr,116,7,85,1,23,0,72,0,0,0,5,13,0,0,0,45,0,170,116,7,85,1,23,0,72,0,0,0,5,13,0,0,0,45,0,170,329,208,537
LAWRENCE03-1 SE Lawrence,44,2,33,0,10,0,66,0,0,0,1,5,0,0,0,20,2,92,44,2,33,0,10,0,66,0,0,0,1,5,0,0,0,20,2,92,196,79,275
LAWRENCE03-2 Centerpoint,37,0,18,1,14,0,46,0,0,0,1,4,0,0,0,12,0,62,37,0,18,1,14,0,46,0,0,0,1,4,0,0,0,12,0,62,140,55,195
LAWRENCE04-1 Crossroads,46,3,46,2,24,0,99,0,0,0,3,5,0,0,0,44,0,180,46,3,46,2,24,0,99,0,0,0,3,5,0,0,0,44,0,180,357,95,452
LAWRENCE05-1 Leoma,35,2,18,1,18,0,68,0,0,0,3,6,0,1,1,32,0,114,35,2,18,1,18,0,68,0,0,0,3,6,0,1,1,32,0,114,244,55,299
LAWRENCE05-2 Gandy,22,0,18,0,10,0,22,0,0,0,0,1,0,0,0,25,0,50,22,0,18,0,10,0,22,0,0,0,0,1,0,0,0,25,0,50,108,40,148
LAWRENCE06-1 Iron City,29,1,16,0,2,0,31,0,0,0,0,0,0,0,0,12,0,47,29,1,16,0,2,0,31,0,0,0,0,0,0,0,0,12,0,47,92,46,138
LAWRENCE06-2 West Point,45,3,53,0,16,0,66,0,0,0,0,3,0,1,0,13,1,75,45,3,53,0,16,0,66,0,0,0,0,3,0,1,0,13,1,75,175,101,276
LAWRENCE07-1 Lawrenceburg,93,4,59,6,33,1,99,0,1,0,3,10,0,0,1,46,0,210,93,4,59,6,33,1,99,0,1,0,3,10,0,0,1,46,0,210,410,156,566
LAWRENCE08-1 New Prospect,87,5,62,3,22,0,98,0,0,0,3,19,0,0,0,55,0,233,87,5,62,3,22,0,98,0,0,0,3,19,0,0,0,55,0,233,433,154,587
LAWRENCE09-1 Ethridge,42,1,20,1,10,0,45,0,0,0,1,2,0,0,0,20,0,97,42,1,20,1,10,0,45,0,0,0,1,2,0,0,0,20,0,97,176,63,239
LAWRENCE09-2 Mars Hill,32,3,31,2,8,0,53,0,0,0,1,5,0,0,0,15,1,94,32,3,31,2,8,0,53,0,0,0,1,5,0,0,0,15,1,94,179,66,245
LAWRENCE10-1 Howards,71,2,27,2,13,0,90,0,0,0,0,2,0,0,0,25,0,155,71,2,27,2,13,0,90,0,0,0,0,2,0,0,0,25,0,155,287,100,387
