precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_NICOLL,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_O'MALLEY,gen_dem_SANDERS,gen_rep_BUSH,gen_rep_CARSON,gen_rep_CHRISTIE,gen_rep_CRUZ,gen_rep_FIORINA,gen_rep_GILMORE,gen_rep_GRAHAM,gen_rep_HUCKABEE,gen_rep_KASICH,gen_rep_NICOLL,gen_rep_PATAKI,gen_rep_PAUL,gen_rep_RUBIO,gen_rep_SANTORUM,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
GIBSON16 Rutherford,34,0,15,3,25,2,71,0,0,0,1,8,0,0,0,32,0,130,34,0,15,3,25,2,71,0,0,0,1,8,0,0,0,32,0,130,272,49,321
GIBSON16-1 Yorkville,28,1,13,0,23,2,86,0,0,0,1,7,0,0,0,36,0,110,28,1,13,0,23,2,86,0,0,0,1,7,0,0,0,36,0,110,265,42,307
GIBSON16-2 Kenton,37,1,14,1,23,1,58,0,0,0,0,7,0,0,0,12,0,76,37,1,14,1,23,1,58,0,0,0,0,7,0,0,0,12,0,76,178,52,230
GIBSON17-1 Bradford,57,0,17,2,23,0,79,0,1,0,2,5,0,0,2,34,0,96,57,0,17,2,23,0,79,0,1,0,2,5,0,0,2,34,0,96,244,74,318
GIBSON18-1 Laneview,12,0,12,1,7,0,40,0,0,0,0,1,0,0,0,18,0,63,12,0,12,1,7,0,40,0,0,0,0,1,0,0,0,18,0,63,130,24,154
GIBSON18-2 Good Luck,23,0,5,0,11,0,27,0,0,0,0,3,0,0,0,24,1,80,23,0,5,0,11,0,27,0,0,0,0,3,0,0,0,24,1,80,146,28,174
GIBSON19-1 Dyer,105,1,24,5,26,0,104,0,1,1,0,10,0,0,1,39,0,175,105,1,24,5,26,0,104,0,1,1,0,10,0,0,1,39,0,175,362,130,492
GIBSON19-2 Currie,26,0,14,0,13,1,38,0,0,0,0,5,0,0,0,32,0,70,26,0,14,0,13,1,38,0,0,0,0,5,0,0,0,32,0,70,159,40,199
GIBSON2 Humboldt Church,54,0,12,0,30,0,94,0,0,2,0,7,0,0,0,57,0,151,54,0,12,0,30,0,94,0,0,2,0,7,0,0,0,57,0,151,341,66,407
GIBSON3 Humboldt Park,43,2,19,3,55,0,90,1,0,1,1,12,0,0,0,94,1,154,43,2,19,3,55,0,90,1,0,1,1,12,0,0,0,94,1,154,412,64,476
GIBSON4 St James Baptist,123,0,5,0,8,0,9,0,0,0,0,1,0,0,0,7,0,8,123,0,5,0,8,0,9,0,0,0,0,1,0,0,0,7,0,8,33,128,161
GIBSON5 Lane Chapel Church,122,0,10,2,5,0,11,0,0,0,0,3,0,0,0,3,0,25,122,0,10,2,5,0,11,0,0,0,0,3,0,0,0,3,0,25,49,132,181
GIBSON6 Humboldt Armory,45,0,9,2,7,0,11,0,0,0,3,0,0,0,1,11,0,28,45,0,9,2,7,0,11,0,0,0,3,0,0,0,1,11,0,28,63,54,117
GIBSON6-4 Gibson,31,0,5,0,25,1,58,0,0,0,0,5,0,0,0,29,0,82,31,0,5,0,25,1,58,0,0,0,0,5,0,0,0,29,0,82,200,36,236
GIBSON7-2 Fruitland,64,0,14,1,24,0,73,0,0,0,0,11,0,0,0,32,0,110,64,0,14,1,24,0,73,0,0,0,0,11,0,0,0,32,0,110,251,78,329
GIBSON8-1 Edison,33,0,9,0,11,0,24,0,0,0,1,4,0,0,0,17,0,52,33,0,9,0,11,0,24,0,0,0,1,4,0,0,0,17,0,52,109,42,151
GIBSON8-2 Brazil,25,0,6,1,15,0,45,0,1,0,0,3,0,0,2,23,0,98,25,0,6,1,15,0,45,0,1,0,0,3,0,0,2,23,0,98,188,31,219
GIBSON9 Courthouse,59,0,22,3,27,0,53,0,0,0,1,5,0,0,0,37,0,94,59,0,22,3,27,0,53,0,0,0,1,5,0,0,0,37,0,94,220,81,301
GILES1A Ardmore,64,0,27,1,36,1,98,0,0,1,1,10,0,0,0,44,0,187,64,0,27,1,36,1,98,0,0,1,1,10,0,0,0,44,0,187,379,91,470
GILES1B Prospect,47,0,18,1,13,0,68,0,0,0,1,6,0,0,0,53,0,127,47,0,18,1,13,0,68,0,0,0,1,6,0,0,0,53,0,127,269,65,334
GILES2A Minor Hill,57,1,30,2,21,1,82,0,0,0,0,7,0,0,0,54,0,222,57,1,30,2,21,1,82,0,0,0,0,7,0,0,0,54,0,222,389,88,477
GILES2B Airport,46,1,11,1,11,0,23,1,0,0,1,3,0,0,1,19,0,87,46,1,11,1,11,0,23,1,0,0,1,3,0,0,1,19,0,87,147,58,205
GILES3A Richland Trace,45,0,12,3,14,0,78,0,0,0,3,14,0,0,0,36,0,157,45,0,12,3,14,0,78,0,0,0,3,14,0,0,0,36,0,157,305,57,362
GILES3B Campbellsville,65,0,26,2,20,0,89,0,0,0,3,2,0,0,1,26,0,153,65,0,26,2,20,0,89,0,0,0,3,2,0,0,1,26,0,153,296,91,387
GILES4A Lynnville,63,0,31,4,27,0,130,0,0,0,1,9,0,0,0,41,0,188,63,0,31,4,27,0,130,0,0,0,1,9,0,0,0,41,0,188,400,94,494
GILES4B Odd Fellows Hall,30,0,25,3,33,0,88,1,0,0,2,6,0,0,0,46,2,157,30,0,25,3,33,0,88,1,0,0,2,6,0,0,0,46,2,157,338,55,393
GILES5A TCAT,73,1,32,0,29,0,88,0,0,0,2,12,0,0,1,51,0,201,73,1,32,0,29,0,88,0,0,0,2,12,0,0,1,51,0,201,384,106,490
GILES5B Agri Park,40,0,27,0,30,0,47,0,0,0,2,10,0,0,0,53,0,138,40,0,27,0,30,0,47,0,0,0,2,10,0,0,0,53,0,138,280,67,347
