Precinct,gen_dem_CLINTON,gen_gre_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
41005413,905,40,118,705,168,274,65,40,164,1768,269,442
41005414,285,6,37,327,75,80,29,26,96,655,151,155
41005415,44,2,5,54,7,21,10,2,20,105,32,28
41005416,1547,32,158,1183,367,348,98,78,274,2920,450,715
41005417,14,1,0,15,4,0,0,1,3,30,4,4
41005418,2054,103,175,1274,489,584,94,97,313,3606,504,1073
41005419,401,20,33,254,87,120,28,28,75,708,131,207
41005420,304,15,38,187,67,123,11,7,38,544,56,190
41005421,1277,30,129,897,395,369,104,89,251,2333,444,764
41005422,1898,114,157,1131,397,699,89,61,254,3300,404,1096
41005423,5,0,0,14,0,1,3,1,6,19,10,1
410055,1617,82,222,1534,394,468,115,93,407,3455,615,862
41005500,1753,93,135,1051,473,637,82,104,315,3032,501,1110
41005501,1736,97,140,716,467,653,64,89,183,2689,336,1120
41005502,1930,110,158,1070,577,719,85,117,340,3268,542,1296
41005503,1688,66,158,1197,542,549,124,106,369,3109,599,1091
41005504,1058,68,104,741,276,368,62,48,199,1971,309,644
41005505,905,28,78,612,269,321,53,58,183,1623,294,590
41005506,1084,44,124,935,322,297,72,53,238,2187,363,619
4100551,1594,100,96,578,366,675,35,46,167,2368,248,1041
41005510,323,10,48,453,110,127,29,31,134,834,194,237
41005511,769,42,97,1225,259,269,121,81,362,2133,564,528
41005512,550,17,68,573,164,180,38,30,194,1208,262,344
41005513,777,34,123,985,232,296,84,71,321,1919,476,528
41005514,1217,62,173,1919,356,451,157,104,580,3371,841,807
41005515,419,23,44,430,151,125,31,24,128,916,183,276
41005516,305,11,49,454,89,116,55,24,132,819,211,205
41005517,664,37,99,1103,211,230,71,44,343,1903,458,441
41005518,629,29,122,1016,204,207,64,64,301,1796,429,411
41005519,244,10,60,399,65,99,32,31,101,713,164,164
4100552,1578,81,125,718,434,640,51,53,198,2502,302,1074
41005520,142,3,20,202,48,66,12,13,55,367,80,114
4100553,1186,57,96,640,307,485,58,41,145,1979,244,792
4100554,1304,66,101,565,335,521,62,60,183,2036,305,856
4100555,1230,64,128,748,347,419,54,50,200,2170,304,766
410056,1010,36,155,1151,281,289,108,100,311,2352,519,570
410057,1102,38,180,1129,276,361,83,62,316,2449,461,637
4100570,2,0,0,1,0,0,0,0,0,3,0,0
4100571,100,1,6,34,38,21,0,14,15,141,29,59
4100572,51,2,3,33,15,13,2,2,6,89,10,28
4100573,87,4,11,53,22,25,5,5,12,155,22,47
4100574,24,1,4,28,11,1,1,0,8,57,9,12
410070001 01 - ASTORIA,299,29,20,0,0,133,8,18,54,348,80,133
410070002 02 - ASTORIA,433,21,23,176,144,201,3,12,53,653,68,345
410070003 03 - ASTORIA,471,34,37,282,106,184,13,16,81,824,110,290
410070004 04 - ASTORIA,242,16,16,173,69,113,13,14,60,447,87,182
410070005 05 - ASTORIA,489,33,37,225,145,234,13,24,79,784,116,379
410070006 06 - ASTORIA,278,19,21,106,94,99,8,13,42,424,63,193
410070007 07 - ASTORIA,464,41,35,203,126,210,15,25,68,743,108,336
410070008 08 - ASTORIA,235,24,18,149,50,115,14,5,44,426,63,165
410070020 20 - CANNON BEACH,561,26,37,228,156,193,24,45,61,852,130,349
410070021 21 - CHADWELL,141,10,21,266,48,53,20,22,72,438,114,101
410070022 22 - NORTH CLATSOP,222,21,33,348,88,92,16,21,104,624,141,180
410070023 23 - SOUTH CLATSOP,416,17,49,460,129,114,19,56,189,942,264,243
410070024 24 - ELSIE,66,8,4,78,9,36,0,1,18,156,19,45
410070025 25 - GEARHART,492,12,49,337,144,149,26,40,119,890,185,293
410070026 26 - HAMLET,102,8,9,97,22,41,5,3,27,216,35,63
410070028 28 - JEWELL,114,8,13,181,37,45,19,5,57,316,81,82
410070029 29 - JOHN DAY,134,3,11,152,34,44,12,14,44,300,70,78
410070030 30 - KNAPPA,356,22,51,457,115,149,24,23,113,886,160,264
410070031 31 - LEWIS & CLARK,268,14,54,409,83,126,15,15,139,745,169,209
410070035 35 - NECANICUM,99,4,11,141,32,31,6,17,28,255,51,63
410070036 36 - OLNEY,120,9,20,214,29,60,9,14,72,363,95,89
410070037 37 - SEASIDE,371,23,27,271,102,112,15,26,113,692,154,214
410070038 38 - SEASIDE,406,31,41,316,94,123,15,16,83,794,114,217
410070039 39 - SEASIDE,368,30,40,250,121,131,15,19,63,688,97,252
410070040 40 - SEASIDE,368,13,33,288,99,112,22,20,105,702,147,211
410070043 43 - STANLEY ACRES,55,1,15,57,14,25,4,5,22,128,31,39
410070044 44 - SVENSEN,203,15,20,270,63,77,12,16,74,508,102,140
410070045 45 - ARCH CAPE,113,6,8,50,37,42,6,10,21,177,37,79
410070046 46 - WALLUSKI,155,11,22,151,44,56,11,20,41,339,72,100
410070047 47 - WARRENTON,713,34,123,1025,226,245,53,43,296,1895,392,471
410070048 48 - WARRENTON,236,12,32,308,81,101,9,20,72,588,101,182
410070050 50 - WESTPORT,108,7,18,156,38,39,6,10,39,289,55,77
410070052 52 - HILLCREST,154,7,25,168,51,62,13,13,53,354,79,113
410090001 City of Clatskanie,0,0,0,0,0,101,23,21,109,0,153,101
410090004 N Clatskanie-Marshland,0,0,0,0,62,93,22,5,75,0,102,155
410090005 S Clatskanie,0,0,0,0,46,71,19,8,64,0,91,117
410090006 Delena,0,0,0,0,103,167,60,18,101,0,179,270
410090008 GOBLE,0,0,0,0,86,86,22,6,91,0,119,172
410090010 Milton,0,0,0,0,116,142,47,24,134,0,205,258
410090012 McNulty,0,0,0,0,124,154,37,29,130,0,196,278
410090014 Quincy,0,0,0,0,49,61,30,8,50,0,88,110
410090015 City of Rainier,0,0,0,0,124,120,25,15,98,0,138,244
410090017 W Rainier,0,0,0,0,36,37,4,9,52,0,65,73
410090018 E Rainier,0,0,0,0,19,23,4,2,22,0,28,42
410090019 S Warren,0,0,0,0,97,135,31,28,142,0,201,232
410090020 N Warren,0,0,0,0,87,94,28,20,117,0,165,181
410090021 ST Helens ONE,0,0,0,0,247,374,56,38,201,0,295,621
410090024 ST Helens FOUR,0,0,0,0,216,321,43,44,210,0,297,537
410090026 ST Helens SIX,0,0,0,0,209,335,74,61,272,0,407,544
410090031 City of Scappoose ONE,0,0,0,0,71,99,26,26,75,0,127,170
410090032 City of Scappoose TWO,0,0,0,0,265,303,60,44,215,0,319,568
410090034 City of Scappoose FOUR,0,0,0,0,140,165,42,29,118,0,189,305
410090035 SE Scappoose,0,0,0,0,126,185,29,28,125,0,182,311
410090036 Canyon,0,0,0,0,56,95,19,15,51,0,85,151
410090038 W Scappoose,0,0,0,0,64,70,18,10,66,0,94,134
410090039 Sauvie Island,0,0,0,0,3,6,1,0,6,0,7,9
410090040 Yankton,0,0,0,0,103,181,47,24,142,0,213,284
410090041 City of Vernonia,0,0,0,0,80,149,51,36,144,0,231,229
410090044 Rural Vernonia,0,0,0,0,40,99,29,16,135,0,180,139
410090046 Apiary,0,0,0,0,44,82,26,6,83,0,115,126
410090047 Chapman,0,0,0,0,99,169,29,12,99,0,140,268
410090048 S Deer Island,0,0,0,0,28,56,14,4,37,0,55,84
410090049 N Deer Island,0,0,0,0,43,83,25,13,70,0,108,126
410090050 City of Prescott,0,0,0,0,5,4,0,1,5,0,6,9
410090051 Mist,0,0,0,0,24,44,14,1,52,0,67,68
410090053 City of Columbia City,0,0,0,0,198,219,47,50,181,0,278,417
4100901 City of Clatskanie,265,20,46,0,0,0,0,0,0,331,0,0
4100904 N Clatskanie-Marshland,173,10,25,318,0,0,0,0,0,526,0,0
4100905 S Clatskanie,149,12,23,313,0,0,0,0,0,497,0,0
4100906 Delena,370,22,55,546,0,0,0,0,0,993,0,0
4100908 GOBLE,212,13,49,349,0,0,0,0,0,623,0,0
4100910 Milton,322,4,44,375,0,0,0,0,0,745,0,0
4100912 McNulty,375,18,45,442,0,0,0,0,0,880,0,0
4100914 Quincy,158,9,21,242,0,0,0,0,0,430,0,0
4100915 City of Rainier,341,24,59,453,0,0,0,0,0,877,0,0
4100917 W Rainier,110,7,18,203,0,0,0,0,0,338,0,0
4100918 E Rainier,64,5,8,65,0,0,0,0,0,142,0,0
4100919 S Warren,333,18,39,427,0,0,0,0,0,817,0,0
4100920 N Warren,242,11,39,332,0,0,0,0,0,624,0,0
4100921 ST Helens ONE,818,53,157,889,0,0,0,0,0,1917,0,0
4100924 ST Helens FOUR,735,64,130,897,0,0,0,0,0,1826,0,0
4100926 ST Helens SIX,806,47,144,1051,0,0,0,0,0,2048,0,0
4100931 City of Scappoose ONE,239,18,49,307,0,0,0,0,0,613,0,0
4100932 City of Scappoose TWO,914,34,152,820,0,0,0,0,0,1920,0,0
4100934 City of Scappoose FOUR,453,24,83,440,0,0,0,0,0,1000,0,0
4100935 SE Scappoose,442,20,66,482,0,0,0,0,0,1010,0,0
4100936 Canyon,189,6,16,199,0,0,0,0,0,410,0,0
4100938 W Scappoose,184,4,19,214,0,0,0,0,0,421,0,0
4100939 Sauvie Island,17,2,0,27,0,0,0,0,0,46,0,0
4100940 Yankton,338,18,48,470,0,0,0,0,0,874,0,0
4100941 City of Vernonia,308,28,78,634,0,0,0,0,0,1048,0,0
4100944 Rural Vernonia,188,13,32,421,0,0,0,0,0,654,0,0
4100946 Apiary,174,8,30,338,0,0,0,0,0,550,0,0
4100947 Chapman,332,22,45,365,0,0,0,0,0,764,0,0
4100948 S Deer Island,99,6,16,176,0,0,0,0,0,297,0,0
4100949 N Deer Island,146,7,23,258,0,0,0,0,0,434,0,0
4100950 City of Prescott,18,0,0,22,0,0,0,0,0,40,0,0
4100951 Mist,97,7,18,140,0,0,0,0,0,262,0,0
4100953 City of Columbia City,556,18,69,594,0,0,0,0,0,1237,0,0
4101101,359,27,59,0,0,136,36,24,276,445,336,136
4101102,750,47,109,1362,257,350,90,75,479,2268,644,607
4101103,921,63,143,1506,322,356,84,64,465,2633,613,678
4101104,842,50,116,946,257,343,56,57,303,1954,416,600
4101105,1108,67,141,1541,368,425,70,61,498,2857,629,793
4101106,793,48,87,864,248,344,43,65,276,1792,384,592
4101107,890,71,122,976,274,338,47,43,322,2059,412,612
4101108,910,75,127,1656,301,405,56,47,531,2768,634,706
4101109,130,17,13,156,30,63,6,6,40,316,52,93
4101110,642,50,73,1365,239,285,63,57,454,2130,574,524
4101111,404,39,69,1186,137,229,48,34,442,1698,524,366
4101112,487,41,89,1136,196,215,48,44,380,1753,472,411
4101113,258,15,44,811,102,114,53,20,269,1128,342,216
4101114,276,20,51,1083,89,184,68,31,400,1430,499,273
4101115,90,7,18,287,36,54,10,8,76,402,94,90
4101116,813,48,59,783,264,287,41,49,296,1703,386,551
4101117,694,61,78,1206,206,330,46,56,427,2039,529,536
4101118,81,9,13,208,27,47,13,5,83,311,101,74
41011Total,0,0,0,0,3487,4505,878,746,6017,0,7641,7992
410131,122,8,17,309,0,55,32,18,102,456,152,55
4101310,120,4,14,214,45,37,13,22,82,352,117,82
4101311,379,12,64,1178,120,113,100,74,481,1633,655,233
4101312,12,1,7,93,3,7,5,4,45,113,54,10
4101313,114,5,33,518,48,47,36,22,171,670,229,95
4101314,105,7,21,274,27,41,15,12,75,407,102,68
4101315,178,8,35,653,51,77,56,31,243,874,330,128
4101316,92,4,22,421,38,31,42,21,153,539,216,69
4101317,448,41,97,1538,157,197,108,55,591,2124,754,354
410132,102,5,27,256,30,40,19,18,63,390,100,70
410133,57,4,11,125,17,27,6,3,35,197,44,44
410134,181,9,25,726,39,89,70,41,270,941,381,128
410135,355,19,89,1159,121,137,105,74,407,1622,586,258
410136,190,14,29,355,59,64,33,36,112,588,181,123
410137,35,3,10,212,12,12,13,12,93,260,118,24
410138,123,13,14,348,31,50,26,9,98,498,133,81
410139,24,0,3,132,5,7,8,2,50,159,60,12
410151,0,0,0,0,0,13,2,0,15,0,17,13
4101510,0,0,0,0,52,48,25,10,106,0,141,100
4101511,0,0,0,0,72,92,16,20,172,0,208,164
4101512,0,0,0,0,30,43,8,3,50,0,61,73
4101513,0,0,0,0,29,20,12,13,72,0,97,49
4101514,0,0,0,0,25,35,15,6,90,0,111,60
4101515,0,0,0,0,54,44,15,9,98,0,122,98
4101516,0,0,0,0,115,115,38,25,238,0,301,230
4101517,0,0,0,0,138,177,58,40,298,0,396,315
4101518,0,0,0,0,44,56,20,14,76,0,110,100
4101519,0,0,0,0,70,60,22,16,172,0,210,130
410152,0,0,0,0,37,64,26,6,100,0,132,101
4101520,0,0,0,0,34,35,15,6,70,0,91,69
4101521,0,0,0,0,18,32,9,6,50,0,65,50
4101522,0,0,0,0,43,40,11,16,115,0,142,83
4101523,0,0,0,0,65,38,17,23,102,0,142,103
4101524,0,0,0,0,57,39,16,16,125,0,157,96
4101525,0,0,0,0,59,46,19,9,94,0,122,105
4101526,0,0,0,0,64,90,38,21,197,0,256,154
4101527,0,0,0,0,31,38,22,5,77,0,104,69
410153,0,0,0,0,52,65,14,7,73,0,94,117
410154,0,0,0,0,19,13,6,2,48,0,56,32
410155,0,0,0,0,77,125,15,7,108,0,130,202
410156,0,0,0,0,60,76,11,8,68,0,87,136
410157,0,0,0,0,40,39,4,6,40,0,50,79
410158,0,0,0,0,62,63,20,16,104,0,140,125
410159,0,0,0,0,85,88,27,33,198,0,258,173
41015PRC0001,27,1,3,36,0,0,0,0,0,67,0,0
41015PRC0002,144,5,21,246,0,0,0,0,0,416,0,0
41015PRC0003,152,6,26,184,0,0,0,0,0,368,0,0
41015PRC0004,52,3,0,120,0,0,0,0,0,175,0,0
41015PRC0005,262,28,22,260,0,0,0,0,0,572,0,0
41015PRC0006,182,12,12,180,0,0,0,0,0,386,0,0
41015PRC0007,113,8,15,99,0,0,0,0,0,235,0,0
41015PRC0008,171,8,19,259,0,0,0,0,0,457,0,0
41015PRC0009,250,13,31,441,0,0,0,0,0,735,0,0
41015PRC0010,158,11,19,252,0,0,0,0,0,440,0,0
41015PRC0011,243,17,35,430,0,0,0,0,0,725,0,0
41015PRC0012,82,3,3,121,0,0,0,0,0,209,0,0
41015PRC0013,77,5,13,134,0,0,0,0,0,229,0,0
41015PRC0014,82,6,19,216,0,0,0,0,0,323,0,0
41015PRC0015,129,8,11,236,0,0,0,0,0,384,0,0
41015PRC0016,307,25,60,632,0,0,0,0,0,1024,0,0
41015PRC0017,452,28,48,794,0,0,0,0,0,1322,0,0
41015PRC0018,146,9,11,200,0,0,0,0,0,366,0,0
41015PRC0019,205,5,14,379,0,0,0,0,0,603,0,0
41015PRC0020,96,6,17,201,0,0,0,0,0,320,0,0
41015PRC0021,80,8,11,153,0,0,0,0,0,252,0,0
41015PRC0022,140,3,13,244,0,0,0,0,0,400,0,0
41015PRC0023,139,11,16,235,0,0,0,0,0,401,0,0
41015PRC0024,150,7,11,282,0,0,0,0,0,450,0,0
41015PRC0025,165,7,8,247,0,0,0,0,0,427,0,0
41015PRC0026,207,25,25,432,0,0,0,0,0,689,0,0
41015PRC0027,89,5,15,199,0,0,0,0,0,308,0,0
4101701,1693,75,116,500,0,0,0,0,0,2384,0,0
4101702,1081,44,130,1119,0,0,0,0,0,2374,0,0
4101703,2134,51,136,590,0,0,0,0,0,2911,0,0
4101704,1719,87,154,760,0,0,0,0,0,2720,0,0
4101705,1823,87,200,1418,0,0,0,0,0,3528,0,0
4101706,1243,99,152,841,0,0,0,0,0,2335,0,0
4101707,1054,58,78,350,0,0,0,0,0,1540,0,0
4101708,140,2,13,111,0,0,0,0,0,266,0,0
4101709,740,47,98,575,0,0,0,0,0,1460,0,0
410171,0,0,0,0,0,568,30,91,184,0,305,568
4101710,218,12,29,568,49,71,28,15,198,827,241,120
4101711,534,20,60,348,131,148,26,44,112,962,182,279
4101712,760,35,105,1226,199,242,86,107,427,2126,620,441
4101713,398,18,54,515,118,130,30,53,183,985,266,248
4101714,566,25,67,886,159,213,78,73,349,1544,500,372
4101715,474,11,53,523,158,135,58,60,215,1061,333,293
4101716,546,12,39,526,209,114,45,112,234,1123,391,323
4101717,1083,83,213,1834,257,419,118,74,446,3213,638,676
4101718,679,42,116,1725,232,208,134,81,583,2562,798,440
4101719,265,22,53,589,56,95,46,33,187,929,266,151
410172,0,0,0,0,284,307,76,129,393,0,598,591
4101720,1561,63,237,1631,314,449,109,109,469,3492,687,763
4101721,395,22,58,737,103,145,59,52,276,1212,387,248
4101722,153,0,5,116,62,23,5,41,53,274,99,85
4101723,200,12,42,503,64,56,22,18,147,757,187,120
4101724,169,15,22,485,48,67,19,10,167,691,196,115
4101725,1250,64,178,1186,257,471,74,61,307,2678,442,728
4101726,874,44,135,888,207,250,60,51,239,1941,350,457
4101727,1296,49,101,367,329,455,17,48,114,1813,179,784
4101728,1121,61,211,2100,251,388,150,91,537,3493,778,639
4101729,821,45,165,1803,238,233,123,87,551,2834,761,471
410173,0,0,0,0,549,550,41,92,181,0,314,1099
4101730,580,44,77,614,190,193,48,67,196,1315,311,383
4101731,967,18,94,1644,324,183,136,199,629,2723,964,507
4101732,1408,116,133,827,256,587,49,47,217,2484,313,843
4101733,1140,36,143,1202,313,325,88,118,457,2521,663,638
4101734,1155,63,148,1151,275,423,63,74,311,2517,448,698
4101735,1454,28,115,895,493,247,62,207,341,2492,610,740
4101736,1009,57,156,1803,276,306,123,119,581,3025,823,582
