precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_FUQUE,pri_dem_O'MAILEY,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CHRISTLE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KAISCH,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PATAKL,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_RUBLO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Ariel,113,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,17,0,0,221,0,1,0,72,29,125,294
Arkabutla,102,0,0,0,0,12,1,0,1,0,0,146,0,1,0,0,3,0,0,0,9,0,0,111,1,2,258,2,6,0,436,271,115,705
Arlington,68,0,0,0,0,13,0,3,11,0,0,176,0,0,4,0,33,0,0,0,29,0,1,338,1,3,168,6,15,1,966,595,81,1160
Arlington 4100,13,0,0,1,0,5,0,0,3,0,0,86,0,0,0,0,5,0,0,0,4,0,0,94,0,2,52,0,4,0,370,192,19,428
Armory,22,0,0,2,0,6,1,0,3,1,0,75,0,0,0,0,14,0,0,1,11,0,0,136,0,1,64,3,7,0,459,241,31,534
Arnold Line,97,0,0,0,0,34,0,0,3,2,0,105,0,0,0,0,42,0,0,0,9,0,0,125,1,0,271,4,15,0,456,286,131,747
Artesia,120,0,0,0,0,5,0,0,2,0,0,14,0,0,0,0,1,0,0,0,4,0,0,9,0,2,273,1,1,0,56,30,125,333
Auditorium,332,0,0,1,0,32,1,0,3,0,0,16,0,0,0,0,12,0,0,0,1,0,0,29,0,0,744,2,9,1,94,61,366,850
BIG CREEK,4,0,0,0,0,0,0,2,3,0,0,87,1,0,0,0,3,0,0,0,4,0,0,150,0,0,23,1,4,0,384,250,4,412
BLACKWELL,2,0,0,0,0,0,0,0,2,0,0,50,0,0,1,0,6,0,0,0,1,0,0,94,0,1,7,0,6,0,270,154,2,284
Bad Bayou,4,0,0,1,0,2,0,1,5,0,0,64,0,0,0,0,37,0,0,0,8,0,0,76,0,0,12,0,1,0,335,191,7,348
Baldwyn,299,0,0,2,0,35,3,6,7,0,0,194,1,1,2,0,40,0,0,0,25,0,1,194,0,5,789,6,12,0,780,471,339,1592
Bankhead Ba,104,1,0,1,0,13,1,2,7,0,0,83,0,1,2,0,11,0,0,0,4,0,0,84,0,2,278,4,4,0,303,194,120,591
Banks/Hambrick,59,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,180,0,0,0,3,3,71,184
Banner,15,1,0,0,0,8,0,0,2,0,0,54,0,0,2,0,9,0,0,0,7,0,0,141,0,0,38,1,6,0,347,215,24,392
Banner-Pineville,27,0,0,0,0,4,0,0,4,0,0,106,0,1,1,0,6,0,0,0,8,0,0,94,0,3,59,0,2,1,499,220,31,564
Bar Mac,81,1,0,2,0,46,0,2,11,0,1,389,0,0,1,0,44,0,0,0,37,0,0,425,1,8,270,3,34,1,1593,910,130,1910
Barton,22,0,0,0,0,7,0,3,7,0,0,152,0,0,0,0,12,0,0,0,12,0,0,156,0,3,58,0,8,0,617,342,29,686
Basin,64,0,0,0,0,8,0,0,6,0,0,130,0,0,1,0,15,0,0,0,26,0,0,205,0,3,145,1,8,0,685,383,72,842
Bassfield 26,77,0,0,0,0,10,0,0,4,1,0,26,0,0,0,0,4,0,0,0,0,0,0,59,1,1,161,0,4,0,184,94,87,351
Bassfield 31,197,0,0,0,0,16,1,0,0,0,0,24,0,0,0,0,5,0,0,0,1,0,0,27,0,2,389,0,2,1,113,57,214,507
Bassfield 32,189,1,0,1,0,13,1,0,3,0,0,21,0,0,0,0,1,0,0,0,0,0,0,21,0,1,434,0,2,1,82,46,205,520
Baxterville,1,0,0,0,0,3,0,1,0,0,0,88,0,0,0,0,6,0,0,0,5,0,0,103,0,0,6,0,3,0,339,203,4,348
Bay Central,55,0,0,1,0,30,0,1,5,0,0,134,0,0,2,41,0,0,0,2,28,0,0,246,0,2,315,9,32,0,797,459,86,1155
Bay Springs Beat 3,201,2,0,1,0,19,0,1,2,0,0,86,0,0,0,0,15,0,0,0,4,0,0,119,1,5,451,0,9,1,353,227,223,820
Bay Springs Beat 4,159,1,0,4,0,25,1,1,4,0,0,70,0,2,2,0,4,0,0,0,2,0,0,115,0,4,414,1,1,0,331,200,190,751
Beacon Hill,49,0,1,0,1,7,2,1,5,0,0,113,0,0,6,0,24,0,0,0,13,0,0,134,0,4,100,1,12,1,492,296,60,610
Bear Creek,177,0,0,0,0,37,2,4,4,0,0,45,0,0,0,0,14,0,0,1,8,0,0,78,0,3,438,2,11,1,285,154,216,740
Beat 1 Lexington,495,0,0,2,0,33,0,0,0,0,0,12,0,0,1,0,6,0,0,0,3,0,0,37,0,5,859,2,2,1,103,59,530,972
Beat 2 Durant,178,1,0,0,0,17,0,0,0,0,0,19,0,0,1,0,5,0,0,0,3,0,0,55,1,2,360,0,2,1,148,83,196,514
