precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_FUQUE,pri_dem_O'MAILEY,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CHRISTLE,pri_rep_CRUZ,pri_rep_FLORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KAISCH,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PATAKL,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_RUBLO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_amd_FUENTE,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
Cotton Plant,41,1,0,1,0,3,0,0,1,0,0,20,0,0,0,0,1,0,0,0,1,0,0,29,0,0,90,0,1,2,83,52,46,176
Cotton Springs,7,0,0,0,0,2,1,0,1,0,0,36,0,0,0,0,7,0,0,0,4,0,0,54,0,1,9,0,2,0,195,102,10,207
County Line,3,0,0,0,0,2,0,1,11,0,0,79,0,0,1,0,24,0,0,1,7,0,0,65,0,1,12,2,3,0,306,189,5,324
County Precinct 1-A,263,1,0,1,0,32,1,0,0,0,0,13,0,0,0,0,3,0,0,0,6,0,0,26,0,0,544,0,4,0,90,48,298,638
County Precinct 1-B,118,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,2,1,0,4,0,144,302
County Precinct 2-A,212,0,0,1,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,417,0,0,1,71,3,231,492
County Precinct 2-B,116,0,0,0,0,10,0,0,2,0,0,9,0,0,1,0,4,0,0,0,1,0,0,19,0,0,221,0,0,0,26,36,126,247
County Precinct 3-A,305,1,0,2,0,22,2,0,1,0,0,23,0,0,0,0,6,0,0,0,3,0,0,33,0,1,670,1,2,1,150,66,332,825
County Precinct 3-B,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,12,0,0,0,27,12,8,39
County Precinct 4-A,150,0,0,0,0,10,0,0,2,0,0,8,0,0,0,0,2,0,0,0,4,0,0,39,0,0,340,0,0,0,63,55,160,403
County Precinct 4-B,190,1,0,0,0,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,401,1,0,0,47,4,228,449
County Precinct 5-A,199,0,0,1,0,18,0,0,1,0,0,13,0,0,0,0,2,0,0,0,0,0,0,11,3,3,406,0,0,0,23,27,218,435
County Precinct 5-B,191,0,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,3,0,0,402,1,0,0,39,6,211,442
Court House,47,0,0,0,0,11,0,0,2,0,0,76,1,0,1,0,17,0,0,1,12,0,0,115,1,1,121,1,12,0,336,225,58,472
Court Street,151,0,0,0,0,34,0,1,0,0,0,21,0,0,0,0,27,0,0,0,5,0,0,15,0,0,421,0,10,0,80,69,185,511
Courthouse,93,0,1,0,0,48,1,1,10,0,1,319,1,2,1,0,86,1,0,2,61,0,1,388,2,26,827,6,39,0,1557,874,143,2457
Courthouse 5110,12,0,0,0,0,2,0,0,1,0,0,38,1,0,1,0,5,0,0,0,3,0,0,104,0,0,25,0,2,0,268,153,14,295
Courthouse A-Z,70,0,0,0,0,28,1,7,7,1,0,144,0,1,1,0,28,0,0,1,40,0,0,214,0,0,184,3,11,0,844,444,99,1042
Courtland,303,0,0,0,0,47,0,2,2,0,0,59,1,0,0,0,4,0,0,1,4,0,0,91,2,4,768,1,2,1,344,164,350,1122
Covenant Presbyterian Church,100,0,0,0,0,23,1,1,5,0,0,120,0,0,0,0,66,0,0,0,38,0,0,268,0,1,269,2,13,0,808,498,124,1093
Craig Springs/South Bradley,3,0,0,0,0,1,0,1,1,0,0,60,0,0,0,0,5,0,0,0,6,0,0,26,0,0,13,0,2,0,181,99,4,196
Crane Creek,10,1,0,0,0,9,1,1,3,0,0,123,0,0,2,0,13,0,0,1,13,0,0,206,0,2,37,0,6,0,658,362,21,703
Crawford,269,0,0,0,0,28,1,0,2,0,0,39,0,0,0,0,5,1,0,0,1,0,0,24,0,1,653,5,4,1,134,72,298,798
Crenshaw,196,0,0,0,0,13,0,1,1,0,0,22,0,0,0,0,3,0,0,0,0,0,0,47,0,0,352,0,0,1,128,74,209,481
Crest Park,72,0,0,0,0,38,0,3,9,0,1,170,0,1,2,0,35,0,0,1,19,0,0,284,0,60,237,4,20,0,882,525,110,1203
Crosby,58,0,0,0,0,4,2,0,0,0,0,20,0,0,0,0,1,0,0,0,2,0,0,39,0,1,98,0,0,1,92,62,64,192
Cross Roads,26,0,0,1,0,10,0,2,0,0,0,50,0,0,3,0,5,0,0,0,10,0,0,93,1,6,64,0,4,0,482,163,37,557
Crossroads,16,0,0,0,0,5,0,1,4,0,1,112,0,0,1,0,19,0,0,0,4,0,0,137,0,0,44,3,2,0,480,279,21,529
Crowder,24,0,0,0,0,17,1,0,1,0,0,33,0,0,1,0,1,0,0,0,6,0,0,59,0,0,39,0,0,0,227,101,42,266
Culkin,283,2,0,0,0,67,2,8,19,0,0,493,0,1,2,0,154,0,0,1,94,0,0,747,1,7,831,4,40,2,2356,1519,354,3241
Cumberland,230,0,0,1,0,66,0,1,4,0,0,262,0,0,1,0,43,0,0,0,51,0,0,225,2,5,762,17,23,0,942,587,297,1751
Cunningham Heights,40,0,0,0,0,17,0,0,5,0,0,94,0,0,2,0,21,0,0,0,13,0,1,123,0,6,157,4,7,0,533,259,57,707
Curtis,178,0,0,0,0,22,0,0,0,0,0,10,1,0,0,0,0,0,0,0,2,0,0,18,0,0,369,0,1,0,87,31,200,457
Cynthia,212,0,0,0,0,36,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,21,0,1,364,2,2,1,61,28,248,431
D'Lo,8,0,0,0,0,2,0,0,4,0,0,47,0,0,1,0,13,0,0,1,4,0,0,96,0,0,27,0,0,0,254,166,10,281
Dantzler,10,0,0,0,0,4,0,1,5,0,0,99,0,0,1,0,11,0,0,1,6,0,0,117,0,3,22,2,7,0,415,241,14,449
Darbun,35,0,0,0,0,1,0,0,1,3,0,58,1,0,0,0,6,0,0,0,7,0,0,99,0,2,61,0,1,1,304,175,36,369
Darling,64,0,0,0,0,7,0,0,0,0,0,3,0,0,1,0,3,0,0,0,1,0,0,8,0,1,140,0,0,1,44,16,71,186
Darlove,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,20,0,0,26,0,2,0,36,26,14,64
Davis Box,29,0,0,0,0,10,0,0,1,0,0,30,0,0,0,0,8,0,0,0,3,0,0,24,0,0,67,1,6,0,106,66,39,180
Deasonville,105,2,0,0,0,8,1,1,2,0,0,47,0,0,0,0,15,0,0,0,3,0,0,71,0,0,239,0,4,2,202,139,116,447
Decatur #1,59,0,0,1,0,10,1,1,5,0,0,96,0,0,1,0,18,0,0,0,16,0,0,94,1,1,176,1,2,2,399,231,71,582
Decatur #2,11,0,0,0,0,7,0,2,7,1,0,97,0,0,2,0,24,0,0,0,17,0,0,100,0,1,73,1,6,0,368,250,18,449
Dedeaux,4,0,0,0,0,10,0,0,3,0,0,47,0,0,0,0,4,0,0,0,3,0,0,127,0,3,36,1,2,0,422,184,14,464
Deemer,6,0,0,0,0,5,0,3,4,0,0,32,0,0,1,0,7,0,0,0,0,0,0,55,1,0,10,0,3,0,165,102,11,179
Deep Creek 5150,8,0,0,1,0,2,0,0,0,0,0,12,0,0,0,0,3,0,0,0,0,0,0,22,0,2,15,1,3,1,63,37,11,85
Delta City Fifth District,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,37,0,0,148,1,0,0,78,48,67,227
Denham,34,0,0,0,0,17,1,4,5,0,0,69,0,0,0,0,2,0,0,0,2,0,0,100,2,2,66,0,4,0,333,182,52,407
Dennis,9,0,0,2,0,2,0,2,2,0,0,55,0,0,0,0,7,0,0,0,3,0,0,43,0,1,12,0,1,0,219,112,13,233
Dentville,10,0,0,1,0,2,0,1,0,0,0,12,0,0,0,0,2,0,0,0,4,0,0,52,2,1,42,1,0,0,144,71,13,190
Derby Bt. 1,23,1,0,0,0,9,0,0,4,0,0,61,0,0,0,0,11,0,0,2,3,0,0,104,0,2,73,0,4,0,369,185,33,448
Derma #4,36,0,0,0,0,10,2,2,0,0,0,62,0,0,0,0,8,0,0,0,3,0,0,102,0,2,74,0,1,0,286,177,48,363
Derma #5,30,0,0,0,0,5,0,0,6,0,0,81,1,0,1,0,7,0,0,1,9,0,0,110,0,1,90,0,3,0,371,216,35,465
Desoto,51,0,0,1,0,18,9,0,5,0,0,22,0,0,0,0,1,0,0,0,3,0,0,44,0,1,125,0,0,0,116,75,79,242
Desoto Central,148,0,0,0,0,45,0,3,15,1,0,494,0,0,1,0,71,0,0,1,65,0,0,388,1,15,572,14,54,0,1576,1039,193,2232
Dexter,44,0,0,0,0,12,0,1,0,1,0,65,0,0,1,0,18,0,0,1,6,0,1,119,0,1,137,1,1,0,416,213,56,556
Diamondhead East,120,1,0,0,0,81,0,6,15,5,0,434,1,0,1,0,219,0,0,5,100,0,0,771,3,10,525,19,72,3,2466,1557,202,3098
Diamondhead West,149,0,0,0,0,37,0,6,3,0,0,164,0,0,0,0,62,0,0,0,39,0,0,295,1,5,205,5,27,1,914,569,186,1158
Dinan,199,3,0,0,0,24,0,0,2,0,0,39,0,0,0,0,3,0,0,0,7,0,0,47,0,1,463,3,5,1,185,98,226,658
"Dist. 1, Bellemont",163,1,0,0,0,49,2,6,4,0,0,224,0,0,2,0,88,0,0,0,52,0,0,281,1,6,442,4,20,1,1090,657,215,1564
"Dist. 1, By-Pass Fire",205,0,0,0,2,29,1,1,1,0,0,38,0,0,0,0,11,0,0,0,4,0,0,75,3,2,504,1,4,2,241,130,237,757
"Dist. 1, Courthouse",61,0,0,0,0,31,0,3,2,1,0,47,0,0,1,0,55,0,0,0,37,0,0,99,0,1,171,2,18,0,402,245,92,594
"Dist. 2, Beau Pre",106,0,0,0,0,14,0,1,0,0,0,80,0,0,0,0,20,0,0,0,15,0,0,118,0,3,285,1,9,0,468,234,120,766
"Dist. 2, Duncan Park",112,0,0,0,1,30,0,3,7,1,0,77,1,0,0,0,38,0,0,1,21,0,0,97,0,2,338,3,21,0,461,246,143,825
"Dist. 2, Kingston",45,0,0,0,0,10,0,5,1,0,0,92,0,0,0,0,10,0,0,0,4,0,0,164,0,3,99,1,5,0,548,276,55,656
"Dist. 2, Liberty Park",54,0,0,0,1,14,0,1,4,1,0,118,0,1,2,0,18,0,0,0,23,0,0,136,1,1,161,1,6,1,572,304,69,743
"Dist. 3, Concord",212,0,0,0,0,19,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,4,0,1,523,2,4,0,29,10,231,559
"Dist. 3, Nps Multi Purpose Bldg.",111,0,0,0,1,18,0,0,0,0,0,33,0,0,0,0,13,0,0,0,5,0,0,37,0,0,251,0,5,0,160,88,130,416
"Dist. 3, Palestine",179,1,0,0,0,22,2,3,1,1,0,57,0,0,0,0,2,0,0,0,2,0,0,90,0,1,479,1,3,1,382,156,204,867
"Dist. 4, Carpenter",126,0,0,0,0,18,0,1,0,0,0,21,0,0,0,0,14,0,0,1,7,0,0,33,0,0,288,3,5,1,119,77,144,416
"Dist. 4, Morgantown",129,0,0,0,2,19,0,0,0,0,0,18,0,0,0,0,2,0,0,0,0,0,1,44,3,0,323,1,1,0,117,65,150,445
"Dist. 4, Northside",491,1,0,0,2,39,1,0,1,1,0,4,0,0,0,0,1,0,0,0,1,0,0,13,0,1,1118,1,5,2,46,21,534,1173
"Dist. 4, Pine Ridge",185,0,0,0,0,12,0,0,2,0,0,12,0,0,0,0,5,0,0,0,6,0,0,11,0,0,350,3,2,0,87,36,197,442
"Dist. 5, Airport",181,0,0,0,1,17,0,1,0,0,0,46,0,0,0,0,5,1,0,0,4,0,0,43,2,0,419,2,3,0,192,100,199,618
"Dist. 5, Foster Mound",381,0,0,0,2,36,3,1,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,11,0,1,868,1,3,0,47,19,422,920
"Dist. 5, Oakland",194,2,0,0,0,43,1,3,4,0,0,111,0,0,0,0,14,0,0,1,20,0,0,139,1,2,466,2,7,0,539,292,240,1017
"Dist. 5, Washington",60,0,0,0,0,17,0,0,1,0,0,66,0,1,0,0,15,0,0,1,3,0,0,90,1,1,168,2,3,0,348,177,77,523
District 3 Central,325,1,0,1,0,37,1,0,0,0,0,35,0,0,0,0,6,0,0,0,2,0,0,33,0,1,987,0,1,1,168,76,365,1158
District 3 North,162,1,0,4,0,45,2,0,0,0,0,22,0,0,0,0,8,0,0,0,3,0,0,34,0,0,193,1,4,1,188,67,214,387
District 3 South,4,0,0,0,0,3,0,0,1,0,0,33,0,0,0,0,8,0,0,0,10,0,0,40,0,0,192,1,1,1,180,92,7,375
District 5,47,0,1,0,0,17,0,1,7,0,0,168,1,0,0,0,38,0,0,0,23,0,0,189,0,6,147,3,4,0,706,427,65,866
Dixie,25,0,0,0,0,24,0,3,16,0,1,220,0,0,2,0,40,0,0,0,23,0,0,327,1,5,113,6,17,0,1050,632,49,1192
Dixie Pine Central,256,2,0,1,0,35,0,1,1,0,0,24,1,0,0,0,5,0,0,0,7,0,0,44,0,1,732,2,5,4,173,83,294,917
Dixon,76,0,0,0,0,12,0,1,2,0,0,66,0,0,3,0,13,0,0,0,7,0,0,88,0,1,167,0,2,3,280,180,88,453
Dorsey,6,1,0,0,0,12,0,4,3,0,0,129,0,0,1,0,9,0,0,0,11,0,0,98,0,3,33,1,8,0,489,255,19,534
Dover,28,0,0,0,0,5,1,0,1,0,0,62,0,0,0,0,6,0,0,0,0,0,0,103,0,4,60,0,2,2,276,172,34,344
Dry Creek,407,0,0,2,0,52,3,3,4,0,1,288,0,0,5,0,36,0,0,0,30,0,0,431,0,10,852,4,8,0,1451,798,464,2325
Dry Grove,124,0,0,0,0,27,0,1,3,0,0,126,0,0,0,19,0,1,0,0,17,0,0,147,0,3,255,3,9,0,476,314,151,746
Dublin,25,0,0,0,0,5,1,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,21,0,0,54,0,0,1,89,32,31,144
Dumas,9,0,0,0,0,2,2,0,3,0,0,85,0,0,0,0,9,0,0,0,7,0,0,133,1,3,19,1,6,0,430,237,13,460
Duncan-Alligator,42,0,0,0,0,10,0,0,2,0,0,6,0,0,0,0,7,0,0,0,2,0,0,22,0,1,174,1,1,1,55,39,52,233
E Orange Grove,240,1,0,1,0,72,0,8,8,0,0,263,0,0,0,73,0,0,0,0,41,0,0,321,0,5,791,13,49,1,1165,714,314,2024
E Pass Christian,204,1,0,1,0,77,0,4,3,1,0,98,2,0,0,72,0,0,0,1,29,0,0,205,2,1,565,3,30,1,661,415,283,1263
East,36,0,0,1,0,12,0,0,1,0,0,129,0,0,0,0,47,0,0,0,30,0,0,131,1,0,127,2,11,0,556,338,49,697
East Arm,58,0,0,0,0,6,1,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,48,0,2,110,0,0,1,92,63,65,205
East Batesville,57,0,0,0,0,41,1,2,7,0,0,150,1,0,0,0,35,0,0,2,33,0,0,249,0,4,217,4,15,0,818,479,99,1058
East Bentonia,47,0,0,0,0,2,0,0,0,0,0,29,0,0,0,0,4,0,0,0,4,0,0,63,0,0,106,1,3,0,189,100,49,299
East Biloxi,333,2,0,0,0,41,0,0,2,0,0,31,0,0,0,9,0,0,0,1,6,0,0,101,0,2,748,4,6,1,280,150,376,1041
East Booneville,58,0,0,0,0,23,0,0,1,0,0,95,0,0,1,0,9,0,0,0,13,0,0,118,1,0,177,4,3,0,563,237,81,748
East Brandon,79,0,0,0,0,24,0,3,14,0,1,371,0,1,3,0,119,0,0,0,74,0,0,438,0,8,304,5,33,0,1811,1024,103,2161
East Carthage,57,1,0,0,0,23,2,2,2,1,0,116,0,0,1,0,23,0,0,1,15,0,1,127,0,2,134,0,3,1,474,289,83,614
East Central,97,0,0,1,0,48,0,5,36,4,0,935,0,0,0,0,76,0,0,1,115,0,0,1020,2,6,319,14,42,1,3832,2192,146,4216
East Central Cleveland,121,1,0,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,418,0,1,0,4,1,141,424
East Cleveland,403,2,0,0,1,54,1,0,2,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,1,3,921,2,2,2,29,7,461,960
East Columbia,199,3,0,4,0,31,0,0,0,8,0,63,0,0,0,0,11,0,0,0,5,0,0,85,0,3,703,4,6,1,260,172,237,977
East Corinth,70,0,0,0,0,34,1,1,10,1,0,169,0,0,1,0,88,0,0,0,41,0,0,228,0,3,317,2,16,0,884,539,105,1222
East Crossgates,100,0,0,0,0,47,1,1,11,0,0,609,1,0,4,0,178,1,0,0,104,0,3,536,0,7,359,5,46,2,2067,1448,148,2486
East Crowder,99,0,0,0,0,8,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,21,0,1,152,0,1,0,59,32,108,213
East Fork,28,0,0,0,0,12,0,5,1,0,0,61,0,0,0,0,9,0,0,0,5,0,0,102,2,0,83,1,2,0,332,183,40,420
East Gloster,36,0,0,0,0,3,1,2,1,0,0,34,0,0,0,0,8,0,0,0,5,0,0,60,1,2,69,0,1,0,182,110,40,255
East Gwd,318,0,0,1,0,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1148,1,3,1,14,2,339,1170
East Handsboro,66,0,0,1,0,49,0,4,3,0,0,177,0,0,0,77,0,0,0,1,40,0,0,224,1,7,252,10,28,0,776,526,116,1074
East Heights,19,0,0,0,0,4,0,0,1,0,0,102,0,0,0,0,20,0,0,1,6,0,0,68,0,1,56,0,3,0,273,198,23,333
East Iuka,66,2,0,2,0,37,4,3,12,0,0,167,2,0,4,0,29,0,0,1,26,0,0,265,1,5,186,3,27,0,970,509,111,1192
East Liberty,32,0,0,2,0,5,0,0,0,0,0,60,0,0,0,0,3,0,0,0,5,0,0,40,0,0,62,0,3,0,185,108,39,250
East Lincoln,3,0,0,0,0,4,0,0,4,0,0,47,0,1,0,0,8,0,0,0,8,0,0,80,0,0,11,0,0,0,247,148,7,258
East Lyman,47,0,0,0,0,18,0,1,4,0,0,110,0,0,0,27,0,0,0,1,23,0,2,147,0,3,184,3,19,1,496,315,65,706
East Midway,69,0,0,0,0,6,2,0,0,0,0,14,0,0,0,0,1,0,0,0,1,0,0,24,0,0,189,0,1,0,68,40,77,258
East Miss City,127,1,0,2,0,70,0,1,5,0,0,241,0,1,2,110,0,0,0,3,50,0,0,354,0,4,532,10,48,0,1219,767,200,1813
East Neshoba,69,0,0,0,0,14,0,0,1,0,0,12,0,0,0,0,1,0,0,0,2,0,0,29,1,0,183,0,3,1,100,45,83,288
East North Gulfport,270,1,0,1,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,1,646,5,3,0,21,8,310,676
East Okolona 004,285,3,0,4,0,34,1,0,0,0,0,15,0,1,0,0,1,0,0,0,3,0,0,7,0,1,657,2,2,2,70,27,327,734
East Quitman,34,0,0,0,0,14,0,1,14,0,0,219,0,0,0,0,47,0,0,1,21,0,0,284,0,6,96,8,4,0,1018,587,48,1132
East Rosedale,131,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,0,2,492,1,0,1,33,17,149,529
East Starkville,14,0,0,0,0,12,0,0,0,0,0,14,0,0,0,0,18,0,0,0,7,0,0,16,0,0,220,5,23,0,277,55,26,525
East Steen Creek,114,1,0,0,0,32,0,1,7,0,1,371,0,0,7,0,70,0,0,2,50,0,0,428,0,11,331,4,20,0,1473,937,147,1839
East Tylertown,4,0,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,0,0,0,3,0,0,9,0,0,6,1,3,0,66,28,4,76
East Union,37,0,0,0,0,13,0,0,7,0,1,151,0,1,2,0,7,0,0,0,9,0,0,140,0,3,121,1,7,1,591,318,50,724
East Valden,127,2,0,0,0,5,0,4,2,0,0,72,0,0,2,0,11,0,0,0,11,0,0,77,0,0,268,2,4,0,305,179,134,579
East Weir,117,0,0,0,0,23,1,0,0,0,0,15,0,0,0,0,2,0,0,0,2,0,0,14,0,1,219,2,3,0,77,33,141,302
East Winston,55,0,0,0,1,12,0,0,1,0,0,77,0,0,1,0,16,0,0,0,0,10,1,125,0,0,151,2,4,1,430,231,68,588
East-West Point,198,0,0,1,0,35,3,1,8,2,0,188,1,0,2,0,72,2,0,0,37,0,0,221,0,4,504,0,16,4,874,534,237,1402
Eastgate,151,0,0,0,0,23,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,6,0,0,499,0,0,0,38,13,174,537
Eastlawn,42,0,0,0,0,27,0,1,13,1,0,155,0,0,0,0,67,0,0,1,39,0,0,228,1,1,179,2,21,2,806,505,69,1012
Eatonville,47,0,0,1,0,25,0,1,9,0,2,141,0,0,0,0,18,0,0,1,15,0,0,166,0,2,149,2,9,0,523,353,73,685
Ecru Ec,52,1,0,1,0,13,0,1,2,0,0,127,0,0,0,0,14,0,0,0,2,0,0,98,0,2,146,2,7,2,510,244,67,669
Eddiceton,14,0,0,1,0,6,1,1,7,0,0,96,0,0,0,0,8,0,0,0,6,0,0,78,0,2,43,0,3,0,311,196,22,359
Eden,23,2,0,0,0,9,0,0,0,0,0,26,0,0,1,0,7,0,0,0,5,0,0,33,0,4,59,1,0,0,174,72,34,238
Edinburg,6,0,0,0,0,3,0,0,2,0,0,107,0,0,1,0,12,0,0,0,11,0,0,108,0,0,14,2,2,0,375,241,9,393
Edwards,610,0,0,0,0,47,5,0,0,1,0,74,0,0,0,10,0,0,0,0,5,0,0,107,0,3,1006,2,13,0,288,197,662,1312
Edwardsville,5,0,0,0,0,8,0,0,2,0,0,43,0,0,0,0,9,0,0,0,2,0,0,124,1,0,39,0,4,0,350,180,13,394
Eggville,9,0,0,0,0,8,0,1,4,0,0,105,0,0,1,0,7,0,0,0,12,0,1,94,0,1,33,1,1,1,377,225,17,414
Egypt 003,94,0,0,1,0,25,0,0,0,0,0,23,0,0,2,0,3,0,0,1,0,0,0,28,0,2,228,0,4,1,130,57,120,365
Elarbee,1,0,0,0,0,3,0,2,1,0,0,95,0,0,0,0,17,0,0,0,8,0,1,97,0,1,21,0,6,0,317,221,4,345
Eldorado,129,0,0,0,0,36,0,3,6,0,2,241,0,0,0,0,82,0,0,1,34,0,0,283,0,6,365,3,26,1,1082,652,165,1483
Elks Lodge,607,0,0,0,0,89,0,1,7,0,0,126,0,0,1,0,45,0,0,2,26,0,0,176,2,6,1679,10,17,2,583,384,696,2299
Energy,2,0,0,0,0,0,0,0,2,0,0,43,0,0,1,0,7,0,0,0,5,0,0,60,0,0,12,0,1,0,178,118,2,191
Enid,59,0,0,1,0,9,3,0,2,0,0,34,0,0,1,0,1,0,0,0,4,0,0,51,0,1,98,0,0,0,210,93,72,309
Enon,34,0,0,0,0,3,2,0,1,0,0,53,0,0,0,0,5,0,0,0,3,0,0,76,1,2,85,0,0,0,240,138,39,328
Enterprise,98,0,0,0,0,30,0,2,11,0,0,371,0,0,1,0,51,0,0,0,62,0,2,478,1,4,256,0,11,1,1848,978,128,2121
Escatawpa,140,0,0,1,0,41,0,5,7,1,0,333,1,0,1,0,58,0,0,1,38,0,1,541,1,6,506,3,34,0,1723,987,182,2273
Ethel,46,2,0,1,0,6,1,1,3,1,0,34,0,0,2,0,1,0,0,0,4,0,0,64,0,0,98,0,3,1,207,110,56,309
Euclatubba,2,0,0,0,0,4,0,0,6,1,0,57,0,0,1,0,12,0,0,0,6,0,0,65,0,4,18,4,3,0,213,148,6,242
Eucutta,27,0,0,0,0,1,0,0,1,0,0,22,0,0,0,0,6,0,0,0,1,0,0,60,0,1,47,0,2,1,145,90,28,196
Eudora,54,0,0,1,0,77,0,0,3,1,0,207,0,0,0,0,18,0,0,1,14,0,0,249,0,7,210,5,29,0,900,493,132,1151
Eupora No. 1,170,0,0,0,0,25,0,3,1,0,0,92,0,0,0,0,24,0,0,1,18,0,0,113,1,5,412,1,5,0,386,252,195,810
Eupora No. 2,19,1,0,1,0,8,0,0,8,0,0,58,0,0,0,0,8,0,0,1,6,0,0,75,0,3,45,1,1,0,267,156,29,317
Eupora No. 3,23,0,0,0,0,10,0,0,3,0,0,31,0,1,0,0,6,1,0,0,5,0,0,60,1,3,59,1,2,0,174,107,33,240
Eureka,74,1,0,1,0,12,0,2,5,0,0,143,0,0,1,0,12,0,0,1,13,0,0,194,0,1,210,0,5,0,657,371,88,873
Evansville,27,0,0,0,0,6,0,0,0,0,0,37,0,0,0,0,2,0,0,2,2,0,0,34,0,3,55,0,3,0,120,77,33,181
Evergreen,47,0,0,0,0,3,2,1,3,0,0,65,0,0,2,0,2,0,0,0,5,0,0,55,0,2,107,1,5,0,230,133,52,345
Extension Building,138,0,0,1,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,1,0,462,1,0,0,12,8,153,476
FIRST ASSEMBLY OF GOD,116,0,0,0,0,16,1,0,3,1,0,74,0,0,0,0,9,0,0,2,5,0,0,127,1,9,296,1,11,0,337,221,133,655
Fair,499,1,0,1,0,78,0,1,9,0,0,150,0,0,0,0,20,0,0,1,21,0,1,263,1,6,1594,8,25,2,837,466,579,2473
Fair River,2,0,0,0,0,4,0,1,2,1,0,62,0,0,0,0,17,0,0,0,5,0,0,51,1,0,15,0,1,0,191,139,6,208
Fairground,197,0,0,0,2,33,0,7,14,0,0,198,0,0,1,0,67,0,1,0,0,40,1,311,0,4,539,6,17,0,1015,640,232,1581
Fairhaven,224,0,0,0,0,56,0,0,5,0,0,302,0,0,0,0,35,0,0,0,41,0,0,218,0,10,690,6,29,0,914,601,280,1649
Fairview,8,0,0,0,0,3,0,1,2,1,0,17,0,0,0,0,9,0,0,0,1,0,0,47,0,0,30,1,0,0,158,78,11,189
Fairview-Pleasanton,5,0,0,0,0,2,0,1,0,0,0,28,0,0,0,0,2,0,0,0,1,0,0,35,1,0,11,0,1,0,117,67,7,130
Falkner,33,0,0,1,0,11,0,1,2,0,0,150,0,0,2,0,14,0,0,1,6,0,0,107,0,9,88,0,7,0,526,283,45,630
Fame,1,0,0,0,0,3,0,1,4,0,0,58,0,0,0,0,2,0,0,0,4,0,0,56,0,2,13,0,0,0,195,125,4,210
Fannin,125,0,0,0,0,27,0,1,6,0,0,231,1,0,2,0,86,0,0,0,35,0,1,290,0,5,315,3,31,0,1201,653,152,1555
Farrell,68,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,130,0,0,0,20,7,75,150
Fawn Grove,3,0,0,1,0,9,0,0,0,0,0,68,0,0,1,0,8,0,0,0,13,0,0,76,0,4,26,1,3,0,330,166,13,364
Fay,1,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,1,0,0,35,1,0,4,0,2,0,100,69,2,107
Fearns Chapel Freewill Baptist,175,0,0,0,0,17,2,1,3,0,0,195,0,0,4,0,38,0,0,0,20,0,0,252,0,0,398,0,7,0,823,513,194,1228
Fellowship,17,0,0,0,0,21,0,1,4,0,0,137,0,0,1,0,8,0,0,0,9,0,0,135,0,6,65,1,6,0,494,295,38,572
Fenton,8,0,0,0,0,13,1,0,5,0,0,91,0,0,0,0,10,0,0,1,10,0,1,170,0,2,55,2,1,0,583,288,22,643
Fentress,30,0,1,0,0,7,0,0,3,0,0,54,0,0,1,0,0,0,0,0,3,0,0,43,0,0,67,0,4,0,196,104,38,267
