Precinct,gen_con_CASTLE,gen_rep_TRUMP,gen_lib_JOHNSON,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_FUENTE,pri_dem_SANDERS,pri_dem_CLINTON,pri_dem_OMALLEY,pri_rep_CARSON,pri_rep_FIORINA,pri_rep_CHRISTIE,pri_rep_TRUMP,pri_rep_BUSH,pri_rep_GILMORE,pri_rep_KASICH,pri_rep_GRAHAM,pri_rep_RUBIO,pri_rep_HUCKABEE,pri_rep_PAUL,pri_rep_SANTORUM,pri_rep_CRUZ,gen_total,rep_pri_total,dem_pri_total
12023103 103 Lake City Church of God,0,0,0,0,0,0,63,143,19,1,0,1,85,2,0,4,0,17,0,0,0,54,0,164,225
12023110 110 Richardson Comm Center,0,0,0,0,0,0,32,254,6,0,0,0,19,4,0,0,1,17,0,1,0,15,0,57,292
12023112 112 Supv Elections Office,0,0,0,0,0,0,20,129,0,0,0,0,13,0,0,1,0,4,0,0,0,2,0,20,149
12023113 113 Supv Elections Office,0,0,0,0,0,0,8,1,0,1,0,0,20,0,0,0,0,4,0,0,0,9,0,34,9
12023114 114 Richardson Comm Center,0,0,0,0,0,0,19,29,2,1,0,0,20,3,0,1,0,3,0,0,0,13,0,41,50
1202312 12 Supv Elections Office,0,52,6,347,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,0
1202313 13 Supv Elections Office,0,57,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0
1202314 14 Richardson Comm Center,1,152,5,93,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0
1202315 15 Deep Creek Com Center,1,377,4,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0
1202316 16 Winfield Com Center,7,923,18,484,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,0,0
1202317 17 Lake City Church God,3,583,17,404,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,0,0
12023201 201 Christ Central Ministries,0,0,0,0,0,0,66,75,14,3,0,0,172,4,0,7,0,59,0,0,1,94,0,340,155
12023202 202 Christ Central Ministries,0,0,0,0,0,0,74,103,19,4,0,1,259,0,0,15,0,60,0,0,0,116,0,455,196
12023203 203 Ft White Comm Center,0,0,0,0,0,0,253,234,32,11,1,2,634,13,0,39,1,150,0,2,0,335,0,1188,519
1202321 21 Christ Central Ministries,1,893,9,257,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,0,0
1202322 22 Christ Central Ministries,2,1154,19,319,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508,0,0
1202323 23 Ft White Comm Center,7,2823,93,901,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3904,0,0
12023301 301 Westside Community Center,0,0,0,0,0,0,110,135,31,3,0,0,405,4,0,35,1,182,1,0,1,253,0,885,276
12023302 302 Winfield Comm Center,0,0,0,0,0,0,21,28,1,0,0,0,34,2,1,4,0,6,0,1,0,38,0,86,50
12023303 303  Southside Rec Complex-Coach Bldg,0,0,0,0,0,0,182,170,40,9,0,2,458,16,0,37,0,223,4,2,1,337,0,1089,392
1202331 31 Westside Community Center,2,1869,44,433,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2380,0,0
12023312 312 Supv Elections Office,0,0,0,0,0,0,27,69,10,3,1,0,87,4,0,6,0,43,0,0,0,54,0,198,106
1202332 32 Winfield Comm Center,0,233,3,96,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0
1202333 33 Southside Rec Complex,3,2611,70,637,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3365,0,0
1202334 34 Supv Elections Office,1,436,15,280,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,0,0
12023401 401 Lake City Church of God,0,0,0,0,0,0,121,151,33,7,0,0,234,4,0,24,0,89,0,4,0,184,0,546,305
12023402 402 Lulu Comm Center,0,0,0,0,0,0,14,11,6,0,0,0,40,0,0,1,0,14,0,0,0,30,0,85,31
12023403 403 Mason City Comm Center,0,0,0,0,0,0,80,91,30,7,0,0,283,1,0,8,0,107,3,0,1,135,0,545,201
12023404 404 Philippi Baptist Church,0,0,0,0,0,0,97,86,13,5,0,0,223,6,0,11,0,56,1,1,1,127,0,431,196
1202341 41 Lake City Church God,1,1343,40,504,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1929,0,0
1202342 42 Lulu Comm Center,2,201,5,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0
1202343 43 Mason City Comm Center,0,1273,19,262,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,0,0
1202344 44 Philippi Baptist Church,2,1049,21,328,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1426,0,0
12023501 501  Southside Rec Complex-Coach Bldg,0,0,0,0,0,0,119,142,28,3,2,1,306,5,0,16,0,123,2,2,0,215,0,675,289
12023502 502 Our Redeemer Lutheran Church,0,0,0,0,0,0,125,87,26,8,0,1,284,4,0,22,0,110,0,0,0,174,0,603,238
1202351 51 Southside Rec Complex,4,1473,39,436,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,0,0
12023513 513 Supv Elections Office,0,0,0,0,0,0,74,105,8,2,0,0,119,5,0,15,0,50,1,1,0,70,0,263,187
12023514 514 Southside Rec Complex-Coach Bldg,0,0,0,0,0,0,65,66,7,3,0,0,108,7,0,11,0,61,2,0,2,63,0,257,138
1202352 52 Orchard Church Southridge,2,1562,33,290,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,0,0
1202353 53 Supv Elections Office,1,608,28,438,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099,0,0
1202354 54 Southside Rec Complex,1,519,15,243,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,799,0,0
1202901 1 FIRST DIST. COM. BLDG,0,0,0,0,0,0,114,82,22,10,0,0,245,3,0,8,0,46,1,1,0,84,0,398,218
1202902 2 MASONIC LODGE,0,0,0,0,0,0,26,25,9,1,0,0,32,0,0,0,0,7,0,0,0,14,0,54,60
1202904 4 OLD TOWN COM. CTR,0,0,0,0,0,0,121,117,45,7,0,0,334,7,0,11,0,46,0,0,1,85,0,491,283
1202905 5 SUWANNEE COM. CTR,0,0,0,0,0,0,21,16,5,0,0,0,86,0,0,5,0,24,0,0,0,33,0,148,42
1202906 6 COM. BUILDING HWY 55-A,0,0,0,0,0,0,52,20,21,1,1,0,107,1,0,2,0,31,0,0,0,30,0,173,93
1202907 7 COUNTY BUILDING WARD AVE,0,0,0,0,0,0,12,7,6,1,0,0,31,2,0,0,0,4,0,0,0,14,0,52,25
1202909 9 CITY HALL,0,0,0,0,0,0,47,100,14,2,0,1,97,0,0,1,0,27,1,0,1,32,0,162,161
120291 1 1ST DIST. CO. BLDG,0,1312,20,290,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1645,0,0
1202910 10 COUNTY BLDG,2,376,3,37,1,0,22,16,13,2,0,1,62,1,0,1,0,8,1,0,0,29,423,105,51
1202911 11 JENA CO. CTR,1,283,2,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,0
1202911 11 JENA COM. CTR,0,0,0,0,0,0,21,11,4,0,0,0,57,2,0,1,0,6,0,0,0,20,0,86,36
1202912 12 HORSESHOE BCH,0,245,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0
1202912 12 HORSESHOE BCH COM. CTR,0,0,0,0,0,0,23,15,11,0,0,0,52,0,0,2,0,7,1,0,0,8,0,70,49
120292 2 MASONIC LODGE,1,300,5,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,0
120294 4 OLD TOWN CTR,2,1539,27,316,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1917,0,0
120295 5 SUWANNEE CO. CTR,0,269,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0
120296 6 CO. BLDG. HWY 55-A,2,661,7,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762,0,0
120297 7 CO. BLDG. WARD AVE,0,240,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0
120299 9 CITY HALL,2,597,11,345,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,971,0,0
120311001,1,129,5,1970,6,1,146,937,5,2,0,0,20,0,0,0,1,11,0,0,0,6,2131,40,1088
120311002,0,51,9,2103,7,2,146,992,3,3,0,1,7,3,0,3,0,3,0,0,0,3,2188,23,1141
120311003,1,34,6,1167,8,0,74,520,2,4,0,0,6,1,0,0,0,2,0,0,0,0,1223,13,596
120311004,1,38,5,1773,3,0,98,929,4,1,0,0,1,0,0,0,0,6,0,0,0,2,1841,10,1031
120311005,4,77,8,2493,13,1,148,1183,4,3,0,0,11,1,0,2,0,7,0,0,1,4,2617,29,1335
120311006,2,617,10,540,4,1,85,154,13,4,0,0,140,6,0,5,0,39,0,0,0,50,1182,244,252
120311007,1,525,21,462,2,1,69,132,10,0,0,0,117,5,0,3,0,44,0,0,0,54,1035,223,211
120311008,1,788,38,1600,22,4,144,509,10,15,0,0,200,10,0,7,0,81,2,1,0,76,2477,392,663
120311009,3,717,24,1121,17,1,99,311,13,7,1,1,174,10,0,12,0,81,0,0,0,78,1905,364,423
12031101,0,0,0,0,0,0,123,284,13,2,0,0,219,7,0,21,0,115,0,1,0,134,0,499,420
12031101 101,3,913,43,1028,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2034,0,0
120311010,3,862,40,732,10,1,94,213,12,6,0,0,209,8,0,9,1,104,1,0,1,71,1667,410,319
120311011,1,654,15,258,7,0,42,72,16,2,0,0,145,1,0,7,0,47,1,1,0,70,944,274,130
120311012,6,429,26,1419,13,4,131,383,6,2,0,1,96,5,0,3,0,43,1,0,0,44,1924,195,520
120311013,2,525,14,441,4,4,61,112,8,5,0,0,141,6,0,15,0,84,0,1,0,72,1002,324,181
120311014,2,882,51,1398,9,4,134,478,9,7,0,0,214,13,0,8,0,108,0,2,1,102,2371,455,621
120311015,1,821,46,1094,6,1,126,335,17,2,0,0,230,8,0,10,1,83,0,0,1,72,1995,407,478
120311016,3,563,42,746,7,2,75,222,9,1,1,0,116,3,0,5,0,65,1,0,0,30,1376,222,306
12031102,0,0,0,0,0,0,172,477,12,5,1,0,147,3,0,10,0,76,0,0,1,62,0,305,661
12031102 102,3,1007,97,2182,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369,0,0
12031103,0,0,0,0,0,0,59,144,5,2,0,2,144,3,0,20,0,82,0,0,0,68,0,321,208
12031103 103,0,594,31,479,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,0,0
12031104,0,0,0,0,0,0,112,221,10,7,1,0,195,5,0,21,0,130,0,1,0,90,0,450,343
12031104 104,4,918,55,847,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1871,0,0
12031105,0,0,0,0,0,0,181,405,22,15,0,0,398,11,0,25,0,185,1,1,0,175,0,811,608
12031105 105,1,1592,87,1374,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,0,0
12031106,0,0,0,0,0,0,221,554,30,9,1,1,441,11,0,28,0,236,1,3,0,138,0,869,805
12031106 106,8,1599,67,1914,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3673,0,0
12031107,0,0,0,0,0,0,75,183,8,3,0,0,102,4,0,7,0,34,1,1,0,17,0,169,266
12031107 107,1,332,16,654,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1025,0,0
12031108,0,0,0,0,0,0,143,200,15,5,0,0,241,9,0,13,0,113,0,4,0,68,0,453,358
12031108 108,2,906,33,690,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,0,0
12031109,0,0,0,0,0,0,84,115,6,2,0,0,139,6,0,20,0,76,0,2,0,46,0,291,205
12031109 109,1,470,23,536,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0
12031110,0,0,0,0,0,0,133,170,11,3,2,0,288,15,0,24,0,170,0,0,0,97,0,599,314
12031110 110,3,1037,43,600,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1732,0,0
120311101,2,455,24,384,4,0,67,90,3,1,1,0,141,2,1,13,0,87,0,1,0,50,884,297,160
120311102,0,235,15,133,0,0,14,17,3,0,0,0,74,1,0,21,0,73,0,1,0,23,392,193,34
120311103,5,1274,61,1068,24,1,140,196,2,7,2,2,306,5,0,51,0,310,1,1,2,129,2473,816,338
120311104,3,1788,97,1318,19,3,120,263,7,6,0,0,381,5,0,35,0,233,0,4,0,158,3287,822,390
120311105,4,1447,148,1390,42,4,248,154,4,16,0,1,319,7,1,33,0,154,0,4,0,121,3084,656,406
120311106,2,2463,122,1983,27,3,202,499,21,15,1,2,639,32,0,110,0,489,1,1,0,212,4665,1502,722
120311107,0,865,30,459,4,1,54,97,2,3,0,0,266,5,0,51,0,210,0,0,0,95,1390,630,153
120311108,1,1097,94,1213,28,4,194,267,12,4,1,0,252,6,0,27,0,159,1,0,0,98,2478,548,473
120311109,2,1208,33,385,5,1,62,95,2,9,0,0,374,15,0,77,0,318,0,0,0,113,1663,906,159
12031111,0,0,0,0,0,0,155,279,16,4,0,0,358,9,0,25,0,209,0,2,0,151,0,758,450
12031111 111,6,775,30,473,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,0,0
120311110,7,1804,127,1554,19,3,195,286,7,7,1,1,358,8,0,49,0,256,2,3,1,137,3567,823,488
120311111,4,456,65,804,27,0,126,148,3,2,0,0,75,8,0,9,0,68,1,1,0,39,1373,203,277
120311112,3,1225,80,997,14,1,124,213,3,5,2,1,300,16,0,47,0,235,1,2,0,121,2362,730,340
120311113,9,863,97,1380,19,3,223,218,2,4,0,0,215,6,0,26,0,108,0,3,1,65,2418,428,443
120311114,11,866,60,1035,13,1,143,180,3,4,0,0,158,18,0,26,0,119,0,0,0,73,2020,398,326
120311115,8,1562,83,1249,15,0,121,248,4,4,0,0,382,12,0,37,0,233,0,1,0,165,2965,834,373
12031112,0,0,0,0,0,0,92,169,2,5,0,0,77,10,0,11,0,47,0,0,0,44,0,194,263
12031112 112,3,461,28,743,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1277,0,0
12031113,0,0,0,0,0,0,257,675,26,8,1,1,426,22,0,46,1,257,1,4,1,185,0,953,958
12031113 113,6,1885,101,2236,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4329,0,0
12031114,0,0,0,0,0,0,78,182,2,2,0,0,106,4,0,1,0,32,1,1,0,20,0,167,262
12031114 114,2,433,27,947,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0
120311201,7,1693,39,470,15,1,110,179,20,6,0,0,354,13,0,9,1,155,1,2,0,205,2251,746,309
120311202,3,1252,24,564,4,3,86,229,14,6,0,1,354,6,1,18,0,152,1,1,0,221,1867,761,329
120311203,3,750,21,170,4,1,48,62,10,2,0,0,199,3,0,5,0,64,1,1,0,98,964,373,120
120311204,3,955,28,340,6,1,63,101,8,4,0,0,290,3,0,6,0,76,1,2,0,97,1339,479,172
120311205,7,1401,62,1264,18,3,184,382,28,11,0,1,434,19,0,22,0,192,3,0,1,226,2782,909,594
120311206,3,1581,46,1132,14,0,143,399,13,4,0,1,396,15,0,23,0,222,6,1,0,270,2805,938,555
120311207,1,424,5,191,1,0,38,76,6,4,0,0,94,0,0,4,0,31,0,0,0,41,632,174,120
120311208,10,1321,56,1252,13,4,144,326,15,3,0,0,329,8,0,10,1,147,0,0,0,123,2688,621,485
120311209,2,1922,45,583,9,2,127,187,25,6,1,0,499,13,0,16,0,197,0,2,0,242,2585,976,339
120311210,2,1142,54,729,5,2,107,212,8,7,0,1,268,3,0,12,1,91,1,1,0,110,1955,495,327
120311211,8,1241,67,1187,13,3,137,314,14,5,0,0,284,8,0,24,0,121,2,0,0,117,2560,561,465
120311212,8,1941,108,2055,20,4,205,611,29,13,3,0,432,10,0,22,1,221,1,5,0,271,4176,979,845
120311213,8,1610,63,1536,16,4,189,391,18,10,1,1,401,14,0,16,0,156,1,2,0,181,3268,783,598
120311301,3,1499,91,906,11,1,152,217,4,2,1,2,439,12,1,73,0,262,0,1,1,108,2560,902,373
120311302,3,1626,104,659,16,0,148,137,14,6,1,2,431,7,0,53,1,237,1,3,0,127,2454,869,299
120311303,3,1342,85,661,10,0,138,139,7,7,0,1,394,6,0,58,0,223,0,3,0,89,2145,781,284
120311304,0,1255,92,908,13,4,161,174,6,2,0,1,267,15,0,45,0,166,1,3,0,73,2311,573,341
120311305,2,1378,105,827,20,0,172,181,14,8,0,0,373,8,0,57,0,253,0,2,1,91,2369,793,367
120311306,3,1047,88,805,21,2,162,201,9,5,2,3,298,6,1,54,0,183,1,1,0,71,2006,625,372
120311307,2,1393,70,972,8,2,152,287,12,9,1,1,411,24,0,129,0,301,1,3,1,128,2495,1009,451
120311308,3,1008,48,962,15,0,154,266,8,4,1,0,246,8,0,63,1,200,1,2,1,80,2073,607,428
120311309,0,1499,101,784,28,0,173,174,13,8,1,0,395,9,0,69,1,248,3,0,0,132,2455,866,360
120311310,2,1508,92,806,22,2,187,143,11,3,0,0,374,5,0,45,0,211,1,2,0,95,2478,736,341
120311311,1,1758,86,909,14,4,135,210,8,8,0,1,471,13,0,67,0,291,0,1,0,119,2817,971,353
120311312,2,812,81,696,27,0,148,151,5,4,1,0,162,6,0,16,0,86,2,4,0,45,1651,326,304
120311313,5,2341,92,859,25,2,136,188,9,9,0,4,682,17,0,78,0,373,0,2,1,184,3370,1350,333
120311314,1,325,30,173,6,1,20,26,1,1,0,0,56,2,1,3,0,28,0,2,0,28,548,121,47
120311315,2,1816,109,1319,50,6,236,256,16,7,1,0,379,13,0,22,0,191,2,2,0,112,3356,729,508
120311401,5,981,58,930,20,0,145,203,9,4,0,0,207,10,0,12,0,123,0,2,1,97,2017,456,357
120311402,2,1159,52,902,16,2,116,258,7,5,2,0,322,10,0,13,1,154,1,1,0,147,2173,656,381
120311403,8,1021,52,843,15,2,103,226,3,9,0,1,248,7,0,13,0,117,0,2,0,103,1968,500,332
120311404,6,1430,197,1707,34,5,434,414,15,11,0,0,386,18,0,122,0,379,1,1,0,134,3465,1052,863
120311405,1,737,68,807,17,0,211,176,16,7,0,1,171,11,0,19,1,90,1,5,0,69,1667,375,403
120311406,3,743,35,434,9,0,71,142,6,6,0,0,184,4,0,10,0,78,0,0,0,90,1237,372,219
120311407,5,256,61,741,28,0,199,151,1,2,0,1,58,1,0,12,0,45,0,2,0,30,1110,151,351
120311408,6,1525,90,888,27,2,194,156,17,2,0,0,293,7,1,60,0,234,0,2,2,104,2588,705,367
120311409,8,1617,70,1018,16,3,160,265,16,11,0,0,396,13,0,20,0,238,0,3,0,143,2769,824,441
120311410,10,1612,78,1618,28,3,203,404,13,7,1,0,425,13,0,15,0,180,0,2,1,142,3399,786,620
120311411,4,2938,153,1132,22,1,242,256,17,16,5,1,760,59,0,211,0,840,0,6,0,335,4341,2233,515
120311412,3,978,51,751,24,1,189,246,14,6,0,1,348,18,0,31,0,129,2,2,0,135,1824,672,449
120311413,8,1033,172,1696,52,1,464,380,13,12,0,0,249,14,0,75,0,279,0,3,1,103,3013,736,857
120311414,4,494,20,509,5,0,57,140,6,1,0,0,139,1,0,4,0,52,2,0,0,52,1040,251,203
120311415,4,701,61,984,12,0,219,230,6,5,1,0,193,20,0,36,0,170,0,3,1,62,1789,491,455
12031201,0,0,0,0,0,0,132,266,13,6,0,0,546,6,0,38,0,186,2,1,0,154,0,939,411
12031201 201,1,1825,83,872,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,0,0
12031202,0,0,0,0,0,0,187,312,10,13,1,1,507,12,0,41,1,315,4,0,0,217,0,1112,509
12031202 202,15,2291,130,1481,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,0,0
12031203,0,0,0,0,0,0,184,424,17,9,0,1,414,15,0,21,0,200,2,1,1,136,0,800,625
12031203 203,8,1610,104,1604,28,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,0,0
12031204,0,0,0,0,0,0,129,142,23,7,0,0,328,7,0,10,0,160,3,1,0,138,0,654,294
12031204 204,4,1366,45,461,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,0,0
12031205,0,0,0,0,0,0,316,570,24,20,0,1,795,12,0,51,0,344,3,5,0,347,0,1578,910
12031205 205,12,3360,134,2161,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5759,0,0
12031206,0,0,0,0,0,0,201,273,19,16,2,2,845,24,0,102,3,441,0,3,0,289,0,1727,493
12031206 206,7,2737,86,959,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3865,0,0
12031207,0,0,0,0,0,0,228,437,16,11,1,2,527,26,0,57,0,306,2,5,0,239,0,1176,681
12031207 207,11,2236,137,1671,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4151,0,0
12031208,0,0,0,0,0,0,81,111,11,9,1,0,489,6,0,28,0,189,0,1,0,154,0,877,203
12031208 208,1,1422,33,386,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,0,0
12031209,0,0,0,0,0,0,145,147,5,7,2,0,392,8,0,47,0,217,0,4,1,163,0,841,297
12031209 209,4,1427,62,508,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2053,0,0
12031210,0,0,0,0,0,0,17,25,2,1,0,1,96,0,0,3,0,36,0,0,0,14,0,151,44
12031210 210,0,218,7,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0
12031211,0,0,0,0,0,0,167,318,17,10,1,1,521,7,0,27,1,264,5,2,1,218,0,1058,502
12031211 211,11,2130,79,1296,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,0,0
12031212,0,0,0,0,0,0,28,26,6,0,0,0,137,4,0,5,0,40,1,0,0,50,0,237,60
12031212 212,0,440,9,82,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,0,0
12031213,0,0,0,0,0,0,46,127,4,4,0,1,233,14,0,36,0,184,1,0,0,90,0,563,177
12031213 213,1,765,22,350,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155,0,0
12031301,0,0,0,0,0,0,43,132,4,6,1,1,387,11,0,83,0,280,0,1,1,92,0,863,179
12031301 301,1,1176,37,473,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1716,0,0
12031302,0,0,0,0,0,0,108,155,7,2,0,0,286,7,0,20,0,108,2,1,0,77,0,503,270
12031302 302,4,1050,67,582,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1731,0,0
12031303,0,0,0,0,0,0,141,188,2,11,3,0,463,15,0,53,0,268,1,0,0,174,0,988,331
12031303 303,3,1699,107,831,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2696,0,0
12031304,0,0,0,0,0,0,36,113,4,6,1,2,369,23,0,84,0,308,0,1,0,91,0,885,153
12031304 304,0,1213,30,493,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1780,0,0
12031305,0,0,0,0,0,0,227,336,15,20,0,1,618,11,0,83,1,386,0,1,0,209,0,1330,578
12031305 305,8,2415,166,1528,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4220,0,0
12031306,0,0,0,0,0,0,171,272,2,9,0,0,312,8,0,33,0,159,1,3,0,82,0,607,445
12031306 306,3,1333,106,1477,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2993,0,0
12031307,0,0,0,0,0,0,104,124,4,9,0,1,211,8,0,20,0,125,0,0,0,71,0,445,232
12031307 307,5,1069,74,687,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1883,0,0
12031308,0,0,0,0,0,0,79,123,6,1,0,1,256,3,0,35,0,160,1,3,0,95,0,555,208
12031308 308,5,917,50,419,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,0,0
12031309,0,0,0,0,0,0,142,202,4,10,1,1,297,10,0,24,0,181,1,4,0,116,0,645,348
12031309 309,6,1282,81,974,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2392,0,0
12031310,0,0,0,0,0,0,61,155,7,8,0,0,385,34,0,77,0,262,0,1,0,145,0,912,223
12031310 310,6,1479,62,684,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,0,0
12031311,0,0,0,0,0,0,93,122,3,5,0,0,404,10,0,49,0,183,0,1,2,108,0,762,218
12031311 311,1,1372,66,592,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2069,0,0
12031312,0,0,0,0,0,0,230,341,10,13,0,1,738,26,0,72,1,454,1,3,0,229,0,1538,581
12031312 312,13,2932,184,1946,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5189,0,0
12031313,0,0,0,0,0,0,156,369,8,16,1,1,427,9,0,42,0,249,1,1,1,166,0,914,533
12031313 313,10,1945,103,1439,21,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3568,0,0
12031315,0,0,0,0,0,0,60,135,3,4,0,0,192,2,0,23,0,88,1,3,1,70,0,384,198
12031315 315,7,799,39,464,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344,0,0
12031401,0,0,0,0,0,0,86,115,6,4,0,0,191,5,0,8,0,68,2,1,0,70,0,349,207
12031401 401,2,587,28,365,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,0,0
12031402,0,0,0,0,0,0,155,286,12,7,0,1,278,12,0,21,1,114,1,1,0,96,0,532,453
12031402 402,11,1310,92,1261,26,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2742,0,0
12031403,0,0,0,0,0,0,273,429,29,7,0,0,436,13,1,28,0,204,3,2,0,154,0,848,731
12031403 403,5,1876,88,2022,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4087,0,0
12031404,0,0,0,0,0,0,161,160,19,9,0,1,426,18,0,33,0,226,1,1,0,161,0,876,340
12031404 404,6,1538,74,590,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2257,0,0
12031405,0,0,0,0,0,0,110,153,13,6,0,0,125,3,0,4,1,62,0,2,0,34,0,237,276
12031405 405,0,551,36,729,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0
12031407,0,0,0,0,0,0,270,365,18,10,0,0,570,12,0,74,0,384,2,5,1,225,0,1283,653
12031407 407,7,2273,132,1829,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4333,0,0
12031408,0,0,0,0,0,0,181,280,12,7,3,2,494,18,1,36,0,179,4,1,0,198,0,943,473
12031408 408,6,1846,89,918,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2916,0,0
12031409,0,0,0,0,0,0,153,228,12,8,1,1,273,8,0,20,0,125,1,4,0,93,0,534,393
12031409 409,1,1081,48,986,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2167,0,0
