Precinct,gen_aip_HOEFLING,gen_asp_MATUREN,gen_con_CASTLE,gen_dem_CLINTON,gen_gre_STEIN,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_lib_JOHNSON,gen_pro_HEDGES,gen_psl_LARIVA,gen_ref_FUENTE,gen_rep_TRUMP,gen_sep_WHITE,gen_soc_SOLTYSIK,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
027-062,0,0,0,270,8,0,9,15,0,0,0,227,0,0,340,12,104,0,2,0,36,0,0,20,0,0,0,32,529,90,456
027-063,0,0,0,305,11,0,1,21,0,0,0,211,0,0,338,12,168,0,2,0,58,0,0,18,2,0,0,36,549,116,518
027-064,0,0,0,239,12,0,10,32,0,0,0,305,0,0,324,8,238,2,2,0,88,0,0,32,2,2,0,48,598,176,570
027-065,0,0,0,405,12,0,7,26,0,0,0,455,0,1,540,4,276,0,2,0,90,0,0,26,0,2,0,82,906,202,820
027-066,0,0,0,216,13,0,2,19,0,0,0,414,0,0,314,4,194,2,2,0,80,2,0,38,0,2,0,42,664,168,512
027-067,0,0,0,476,10,0,4,12,0,0,0,199,0,0,504,6,206,2,2,0,26,2,2,6,0,0,0,18,701,58,716
028-001,0,0,0,382,1,0,0,5,0,0,0,13,0,0,436,0,116,0,0,2,4,0,0,4,0,0,0,8,401,18,552
028-002,0,0,0,552,9,0,0,7,0,0,0,13,0,0,766,2,228,0,2,0,2,0,0,0,0,4,0,0,581,8,996
028-003,0,0,0,131,3,0,0,1,0,0,0,3,0,0,156,0,50,0,0,0,0,0,0,2,0,0,0,2,138,4,206
028-004,0,0,0,219,8,0,0,2,0,0,0,16,0,0,258,0,96,0,0,0,8,0,0,0,0,0,0,4,245,12,354
028-005,0,0,0,472,5,0,0,0,0,0,0,9,0,0,602,2,184,0,4,0,2,0,0,2,0,0,0,10,486,18,788
028-006,0,0,0,674,11,0,1,6,0,0,0,25,0,0,814,0,306,0,0,2,8,0,0,0,0,0,0,6,717,16,1120
028-007,0,0,0,385,12,0,0,7,0,0,0,10,0,0,482,2,178,0,0,0,4,0,0,0,0,0,0,2,414,6,662
028-008,0,0,0,400,7,0,0,1,0,0,0,6,0,0,446,0,200,0,0,0,2,0,0,2,0,0,0,2,414,6,646
028-009,0,0,0,660,8,0,1,16,0,0,0,30,0,0,640,2,294,0,0,0,6,2,0,14,0,2,0,12,715,36,936
028-010,0,0,0,479,12,0,3,10,0,0,0,41,0,0,626,2,294,0,0,0,0,0,0,8,0,0,0,12,545,20,922
028-011,0,0,0,463,11,0,0,6,0,0,0,36,0,0,660,2,248,2,2,0,10,0,0,2,2,0,0,16,516,34,910
028-012,0,0,1,282,14,0,2,12,0,0,0,40,0,0,380,0,174,0,2,0,18,0,0,32,0,2,0,6,351,60,554
028-013,0,0,0,328,5,0,0,5,0,0,0,13,0,0,396,0,138,0,0,0,0,0,0,4,0,0,0,2,351,6,534
028-014,0,0,0,195,4,0,0,1,0,0,0,9,0,0,234,2,82,0,0,0,4,0,0,2,0,0,0,4,209,10,318
028-015,0,0,0,528,14,0,3,18,0,0,0,78,0,0,490,0,360,0,2,0,42,0,0,18,0,2,0,36,641,100,850
029-001,0,0,0,217,10,0,0,26,0,0,0,770,0,0,190,8,192,8,16,2,144,0,0,142,0,16,2,624,1023,954,390
029-002,0,0,0,258,10,1,2,37,0,0,0,634,0,0,180,0,200,6,34,2,156,0,4,164,2,8,0,424,942,800,380
029-003,0,0,0,170,5,0,0,18,0,0,0,484,0,0,158,2,114,4,10,0,98,0,0,74,2,2,0,358,677,548,274
031-000,0,0,0,83,7,0,2,10,0,0,0,497,0,0,76,2,58,2,10,0,112,0,0,56,0,4,0,334,599,518,136
034-000,0,0,2,151,4,0,1,24,0,0,0,606,0,0,146,2,138,2,8,0,110,2,6,88,2,8,0,358,788,584,286
