,county,precinct,office,district,candidate,party,election_day,early_voting,provisional,votes
5293,Yavapai,235,BOARD OF SUPERVISORS - DIST. 4,,TotalVotes,,2113,406,7,2526
5294,Yavapai,235,COUNTY ASSESSOR,,Overvote,,1,0,0,1
5295,Yavapai,235,COUNTY ASSESSOR,,Undervote,,1037,137,3,1177
5296,Yavapai,235,COUNTY ASSESSOR,,TotalVotes,,2064,419,8,2491
5297,Yavapai,235,COUNTY ATTORNEY,,Overvote,,0,0,0,0
5298,Yavapai,235,COUNTY ATTORNEY,,Undervote,,927,134,2,1063
5299,Yavapai,235,COUNTY ATTORNEY,,TotalVotes,,2175,422,9,2606
5300,Yavapai,235,COUNTY RECORDER,,Overvote,,0,0,0,0
5301,Yavapai,235,COUNTY RECORDER,,Undervote,,1007,132,5,1144
5302,Yavapai,235,COUNTY RECORDER,,TotalVotes,,2095,424,6,2525
5303,Yavapai,235,COUNTY SCHOOL SUPERINTENDENT,,Overvote,,0,0,0,0
5304,Yavapai,235,COUNTY SCHOOL SUPERINTENDENT,,Undervote,,1022,149,2,1173
5305,Yavapai,235,COUNTY SCHOOL SUPERINTENDENT,,TotalVotes,,2080,407,9,2496
5306,Yavapai,235,COUNTY SHERIFF,,Overvote,,0,0,0,0
5307,Yavapai,235,COUNTY SHERIFF,,Undervote,,914,121,2,1037
5308,Yavapai,235,COUNTY SHERIFF,,TotalVotes,,2188,435,9,2632
5309,Yavapai,235,COUNTY TREASURER,,Overvote,,0,0,0,0
5310,Yavapai,235,COUNTY TREASURER,,Undervote,,936,127,2,1065
5311,Yavapai,235,COUNTY TREASURER,,TotalVotes,,2166,429,9,2604
5312,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 4,,Overvote,,1,0,0,1
5313,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 4,,Undervote,,1315,212,3,1530
5314,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 4,,TotalVotes,,1786,344,8,2138
5315,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 7,,Overvote,,0,0,0,0
5316,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 7,,Undervote,,1366,227,3,1596
5317,Yavapai,235,JUDGE OF SUPERIOR COURT - DIV. 7,,TotalVotes,,1736,329,8,2073
5318,Yavapai,235,PRESCOTT USD #1,,Overvote,,6,0,0,6
5319,Yavapai,235,PRESCOTT USD #1,,Undervote,,4195,741,18,4954
5320,Yavapai,235,PRESCOTT USD #1,,TotalVotes,,3887,732,12,4631
5321,Yavapai,235,CHINO VALLEY USD #51,,Overvote,,3,0,0,3
5322,Yavapai,235,CHINO VALLEY USD #51,,Undervote,,796,106,3,905
5323,Yavapai,235,CHINO VALLEY USD #51,,TotalVotes,,419,89,0,508
5324,Yavapai,235,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,Overvote,,1,0,0,1
5325,Yavapai,235,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,Undervote,,1165,174,2,1341
5326,Yavapai,235,TIMMER - JUSTICE OF THE AZ SUPREME COURT,,TotalVotes,,1936,382,9,2327
5327,Yavapai,235,BROWN - JUDGE OF THE COURT OF APPEALS,,Overvote,,0,0,0,0
5328,Yavapai,235,BROWN - JUDGE OF THE COURT OF APPEALS,,Undervote,,1228,191,2,1421
5329,Yavapai,235,BROWN - JUDGE OF THE COURT OF APPEALS,,TotalVotes,,1874,365,9,2248
5330,Yavapai,235,JONES - JUDGE OF THE COURT OF APPEALS,,Overvote,,0,0,0,0
5331,Yavapai,235,JONES - JUDGE OF THE COURT OF APPEALS,,Undervote,,1178,192,2,1372
5332,Yavapai,235,JONES - JUDGE OF THE COURT OF APPEALS,,TotalVotes,,1924,364,9,2297
5333,Yavapai,235,THOMPSON - JUDGE OF THE COURT OF APPEALS,,Overvote,,0,0,0,0
5334,Yavapai,235,THOMPSON - JUDGE OF THE COURT OF APPEALS,,Undervote,,1254,199,2,1455
5335,Yavapai,235,THOMPSON - JUDGE OF THE COURT OF APPEALS,,TotalVotes,,1848,357,9,2214
5336,Yavapai,235,CENTRAL YAVAPAI FIRE DIST,,Overvote,,3,0,0,3
5337,Yavapai,235,CENTRAL YAVAPAI FIRE DIST,,Undervote,,5047,869,19,5935
5338,Yavapai,235,CENTRAL YAVAPAI FIRE DIST,,TotalVotes,,4118,772,14,4904
5339,Yavapai,235,PROPOSITION 205,,Overvote,,0,0,0,0
5340,Yavapai,235,PROPOSITION 205,,Undervote,,142,31,1,174
5341,Yavapai,235,PROPOSITION 205,,TotalVotes,,2960,525,10,3495
5342,Yavapai,235,PROPOSITION 206,,Overvote,,0,0,0,0
5343,Yavapai,235,PROPOSITION 206,,Undervote,,161,37,1,199
5344,Yavapai,235,PROPOSITION 206,,TotalVotes,,2941,519,10,3470
5345,Yavapai,236,President,,Overvote,,1,0,0,1
5346,Yavapai,236,President,,Undervote,,7,0,0,7
5347,Yavapai,236,President,,TotalVotes,,365,81,1,447
5348,Yavapai,236,U.S. Senate,,Overvote,,0,0,0,0
5349,Yavapai,236,U.S. Senate,,Undervote,,27,3,0,30
5350,Yavapai,236,U.S. Senate,,TotalVotes,,346,78,1,425
5351,Yavapai,236,U.S. REP IN CONGRESS - DIST. 4,,Overvote,,0,0,0,0
5352,Yavapai,236,U.S. REP IN CONGRESS - DIST. 4,,Undervote,,31,3,0,34
5353,Yavapai,236,U.S. REP IN CONGRESS - DIST. 4,,TotalVotes,,342,78,1,421
5354,Yavapai,236,STATE SENATOR - DIST. 1,,Overvote,,0,0,0,0
5355,Yavapai,236,STATE SENATOR - DIST. 1,,Undervote,,101,14,0,115
5356,Yavapai,236,STATE SENATOR - DIST. 1,,TotalVotes,,271,67,1,339
5357,Yavapai,236,STATE REP - DIST. 1,,Overvote,,0,0,0,0
5358,Yavapai,236,STATE REP - DIST. 1,,Undervote,,173,32,0,205
5359,Yavapai,236,STATE REP - DIST. 1,,TotalVotes,,571,130,2,703
5360,Yavapai,236,CORPORATION COMMISSIONER,,Overvote,,3,0,0,3
5361,Yavapai,236,CORPORATION COMMISSIONER,,Undervote,,287,44,0,331
5362,Yavapai,236,CORPORATION COMMISSIONER,,TotalVotes,,826,199,3,1028
5363,Yavapai,236,BOARD OF SUPERVISORS - DIST. 4,,Overvote,,0,0,0,0
5364,Yavapai,236,BOARD OF SUPERVISORS - DIST. 4,,Undervote,,119,15,0,134
5365,Yavapai,236,BOARD OF SUPERVISORS - DIST. 4,,TotalVotes,,253,66,1,320
5366,Yavapai,236,COUNTY ASSESSOR,,Overvote,,0,0,0,0
5367,Yavapai,236,COUNTY ASSESSOR,,Undervote,,120,15,0,135
5368,Yavapai,236,COUNTY ASSESSOR,,TotalVotes,,252,66,1,319
5369,Yavapai,236,COUNTY ATTORNEY,,Overvote,,1,0,0,1
5370,Yavapai,236,COUNTY ATTORNEY,,Undervote,,122,22,0,144
5371,Yavapai,236,COUNTY ATTORNEY,,TotalVotes,,249,59,1,309
5372,Yavapai,236,COUNTY RECORDER,,Overvote,,0,0,0,0
5373,Yavapai,236,COUNTY RECORDER,,Undervote,,123,13,0,136
5374,Yavapai,236,COUNTY RECORDER,,TotalVotes,,249,68,1,318
5375,Yavapai,236,COUNTY SCHOOL SUPERINTENDENT,,Overvote,,0,0,0,0
5376,Yavapai,236,COUNTY SCHOOL SUPERINTENDENT,,Undervote,,127,20,0,147
5377,Yavapai,236,COUNTY SCHOOL SUPERINTENDENT,,TotalVotes,,245,61,1,307
5378,Yavapai,236,COUNTY SHERIFF,,Overvote,,0,0,0,0
5379,Yavapai,236,COUNTY SHERIFF,,Undervote,,111,17,0,128
5380,Yavapai,236,COUNTY SHERIFF,,TotalVotes,,261,64,1,326
