county,precinct,office,district,party,candidate,votes
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Uncommitted,1
Autauga,150 PRATTMONT BAPTIST CH,President,,DEM,Under Votes,2
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Ben Carson,64
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Carly Fiorina,0
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Chris Christie,0
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Donald J. Trump,275
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Jeb Bush,1
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,John R. Kasich,14
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Lindsey Graham,1
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Marco Rubio,71
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Mike Huckabee,1
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Rand Paul,1
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Rick Santorum,0
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Ted Cruz,89
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Uncommitted,6
Autauga,150 PRATTMONT BAPTIST CH,President,,REP,Under Votes,1
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,Becky Gerritson,137
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,Martha Roby,330
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,Over Votes,1
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,"Robert L. ""Bob"" Rogers",25
Autauga,150 PRATTMONT BAPTIST CH,U.S. House,2,REP,Under Votes,31
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,DEM,Charles Nana,26
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,DEM,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,DEM,Ron Crumpton,52
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,DEM,Under Votes,38
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,John Martin,17
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Jonathan McConnell,113
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Marcus Bowman,15
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Over Votes,0
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Richard C. Shelby,341
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Shadrack McGill,2
Autauga,150 PRATTMONT BAPTIST CH,U.S. Senate,,REP,Under Votes,36
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Bernie Sanders,64
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Hillary Clinton,258
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Martin J. O'Malley,0
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Over Votes,0
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,"Roque ""Rocky"" De La Fuente",0
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Uncommitted,9
Autauga,160 DOSTER COMMUNITY CENTER,President,,DEM,Under Votes,3
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Ben Carson,242
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Carly Fiorina,2
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Chris Christie,1
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Donald J. Trump,676
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,Jeb Bush,6
Autauga,160 DOSTER COMMUNITY CENTER,President,,REP,John R. Kasich,72
