precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
GWINNETT092 BERKSHIRE J,181,1,144,1,2,47,1,197,1,1,1,76,1,3,303,0,224
GWINNETT093 CATES M,222,0,143,0,5,62,2,320,1,0,1,78,0,1,423,0,312
GWINNETT094 CATES N,131,0,56,0,3,39,1,207,1,1,1,40,0,0,255,1,289
GWINNETT095 DULUTH F,340,1,163,0,0,8,0,71,0,0,0,16,0,1,92,0,104
GWINNETT096 DULUTH G,170,1,114,0,3,32,0,162,2,0,2,35,0,1,230,0,209
GWINNETT097 GOODWINS E,287,0,180,0,5,41,0,237,1,0,1,62,1,2,359,0,334
GWINNETT098 GOODWINS F,190,2,108,0,3,32,0,149,0,0,0,41,0,2,165,0,164
GWINNETT099 PINCKNEYVILLE T,187,1,156,1,1,14,0,84,1,0,0,16,0,1,111,0,195
GWINNETT100 SUWANEE B,243,0,91,0,6,36,1,229,0,0,2,46,0,5,322,0,253
GWINNETT101 PINCKNEYVILLE U,140,2,116,0,3,23,0,80,0,0,0,29,0,0,136,0,135
GWINNETT102 PUCKETTS B,158,0,72,1,5,43,0,214,0,0,0,39,0,0,198,0,270
GWINNETT103 BERKSHIRE L,197,0,114,1,2,16,0,76,0,0,1,17,0,0,68,0,91
GWINNETT104 ROCKBRIDGE F,822,2,239,1,0,33,0,139,0,0,0,25,0,1,145,0,191
GWINNETT105 SUGAR HILL F,150,4,133,0,6,63,1,240,0,0,2,27,0,2,246,0,277
GWINNETT106 SUWANEE C,235,2,148,1,9,59,0,253,2,0,1,60,1,2,344,1,329
GWINNETT107 CATES O,92,0,53,0,0,14,0,98,0,0,0,19,0,1,127,0,99
GWINNETT108 BAYCREEK E,203,1,75,1,2,37,0,175,0,0,0,19,0,1,123,0,216
GWINNETT109 BERKSHIRE M,116,0,75,0,3,19,2,139,0,0,1,26,0,1,150,0,148
GWINNETT110 MARTINS G,199,0,86,0,1,7,0,69,0,0,0,5,0,0,48,0,100
GWINNETT111 DULUTH H,160,0,87,0,2,17,0,105,2,0,0,44,0,1,166,0,183
GWINNETT112 BERKSHIRE N,239,2,103,1,8,49,2,215,4,0,2,56,1,2,339,0,304
GWINNETT113 PINCKNEYVILLE V,123,0,61,1,2,16,1,42,0,0,0,14,0,2,49,0,74
GWINNETT114 PINCKNEYVILLE W,251,2,146,0,1,26,2,116,0,0,0,44,0,1,214,0,199
GWINNETT115 MARTINS H,412,2,183,0,1,37,0,112,0,0,2,19,0,0,146,0,222
GWINNETT116 MARTINS I,319,0,123,0,2,15,0,56,0,1,3,13,0,0,78,1,106
GWINNETT117 MARTINS J,279,1,123,0,0,10,0,60,0,0,1,14,0,1,72,1,61
GWINNETT118 GARNERS F,112,2,78,0,0,28,2,116,0,0,1,22,0,2,112,0,119
GWINNETT119 BERKSHIRE O,155,2,93,1,5,49,0,182,1,0,0,59,0,1,247,0,216
GWINNETT120 BERKSHIRE P,94,0,53,0,0,15,0,62,0,0,1,9,0,0,41,1,80
GWINNETT121 PINCKNEYVILLE X,177,0,137,0,5,27,0,141,0,0,3,79,0,4,289,0,198
GWINNETT122 ROCKBRIDGE G,684,0,205,0,2,23,1,98,1,0,0,26,0,1,135,0,172
GWINNETT123 PINCKNEYVILLE Y,259,0,120,1,1,6,0,41,0,0,0,3,0,0,32,0,70
GWINNETT124 GOODWINS G,237,0,114,0,1,12,0,73,0,0,0,15,0,2,81,0,82
GWINNETT125 PINCKNEYVILLE Z,91,3,77,0,3,19,1,152,1,0,1,62,0,1,332,1,147
GWINNETT126 PINCKNEYVILLE A1,147,2,124,2,2,34,1,172,1,0,0,100,0,0,416,0,233
GWINNETT127 LAWRENCEVILLE J,180,1,87,1,0,5,0,82,0,0,0,19,0,1,93,0,101
GWINNETT128 GOODWINS H,192,0,118,0,3,21,0,158,0,0,1,35,0,5,201,0,171
GWINNETT129 DUNCANS B,134,1,88,2,2,66,2,356,2,0,4,60,0,1,311,0,451
GWINNETT130 SUWANEE D,171,0,107,2,4,52,0,293,1,0,1,80,0,1,435,0,313
GWINNETT131 SUWANEE E,200,0,114,0,3,48,0,230,1,0,0,63,0,3,424,0,289
GWINNETT132 LAWRENCEVILLE K,224,2,129,0,0,30,2,193,1,0,0,35,0,2,203,0,233
GWINNETT133 HARBINS B,161,1,116,1,6,68,1,293,1,0,3,38,0,2,238,0,377
GWINNETT134 BAYCREEK F,390,3,127,0,1,37,0,174,1,0,1,23,0,2,206,0,232
GWINNETT135 PUCKETTS C,115,0,73,0,2,30,0,201,2,0,1,19,0,4,186,1,265
GWINNETT136 HOG MOUNTAIN C,169,2,124,0,7,45,0,265,0,1,1,36,0,0,207,1,298
GWINNETT137 ROCKYCREEK B,274,1,156,1,6,60,1,306,2,0,2,41,1,6,338,1,379
GWINNETT138 DULUTH I,227,1,79,1,3,19,1,165,0,0,1,75,0,0,316,0,315
GWINNETT139 MARTINS K,486,1,187,0,2,19,0,105,0,1,1,14,0,1,83,0,137
GWINNETT140 SUWANEE H,147,0,78,0,5,38,3,236,0,0,1,67,0,2,400,0,284
GWINNETT141 SUGAR HILL G,133,0,101,1,3,34,0,203,2,0,0,39,0,3,211,2,274
GWINNETT142 SUWANEE F,260,0,129,0,2,36,1,206,2,0,2,57,0,2,279,0,216
GWINNETT143 LAWRENCEVILLE L,387,0,155,0,3,36,0,213,1,0,2,59,0,2,294,0,259
GWINNETT144 LAWRENCEVILLE M,573,2,178,0,2,29,0,121,0,0,1,10,0,3,101,0,146
GWINNETT145 BAYCREEK G,405,3,97,1,3,57,0,242,0,0,0,35,1,0,224,0,251
GWINNETT146 BAYCREEK H,266,1,123,1,2,63,1,395,1,0,1,53,0,1,343,0,474
GWINNETT147 BAYCREEK I,405,3,183,0,0,46,0,248,0,0,2,34,0,1,214,0,305
GWINNETT148 BERKSHIRE Q,99,0,78,1,2,9,0,123,0,0,0,22,1,1,154,0,128
GWINNETT149 GOODWINS I,184,0,103,0,2,21,0,144,0,1,0,70,0,2,264,1,214
GWINNETT150 DULUTH K,169,0,86,0,1,5,0,21,0,0,0,6,0,1,27,1,37
GWINNETT151 HARBINS C,84,0,51,1,2,50,0,203,0,0,2,15,0,1,160,0,246
GWINNETT152 ROCKYCREEK C,292,1,156,0,2,44,4,298,2,0,2,54,0,1,361,1,356
GWINNETT153 LAWRENCEVILLE N,136,0,90,0,5,31,0,110,0,0,2,22,1,3,95,0,135
GWINNETT154 PUCKETTS D,128,0,93,1,2,47,0,229,1,0,1,43,0,0,211,0,307
GWINNETT155 SUWANEE G,209,0,122,0,5,28,1,161,0,0,0,51,0,4,251,0,197
GWINNETT156 BAYCREEK J,433,1,135,0,0,37,0,191,1,1,0,38,0,3,203,2,216
HALL214-BIG HICKORY,52,0,48,0,2,93,0,447,0,0,2,68,0,3,297,2,528
HANCOCKDEVEREUX 1A,155,0,32,2,0,7,0,18,0,0,2,7,0,1,19,0,95
HANCOCKDEVEREUX 1B,110,1,15,0,0,2,0,3,0,0,0,0,0,0,10,0,7
