precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_MCMULLIN,gen_ind_RIVA,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
BERNALILLO27,83,87,3,1,6,0,2,31,0,361,9,0,3,3,73,157,43,170,606
BERNALILLO271,75,154,1,0,7,1,4,15,1,336,14,0,2,2,43,93,28,229,491
BERNALILLO272,88,116,0,0,2,1,5,15,0,341,21,0,1,1,29,54,23,204,447
BERNALILLO273,112,114,2,4,5,1,3,27,0,409,11,0,3,1,54,116,42,226,594
BERNALILLO274,73,109,1,1,4,2,2,15,2,298,11,0,0,1,23,47,25,182,382
BERNALILLO275,68,106,1,1,8,0,1,28,1,390,18,1,1,3,72,171,39,174,657
BERNALILLO278,43,50,2,0,7,2,0,32,3,169,4,0,2,0,35,116,43,93,329
BERNALILLO28,56,67,0,0,8,1,3,17,1,258,7,0,4,0,57,129,29,123,456
BERNALILLO281,54,74,1,3,1,0,0,6,0,212,7,1,1,1,33,58,11,128,313
BERNALILLO282,84,90,2,0,6,2,5,23,0,332,6,0,1,6,56,140,38,174,541
BERNALILLO283,32,50,0,0,2,1,0,12,0,151,3,0,1,1,20,51,15,82,227
BERNALILLO284,62,71,3,1,5,2,6,14,2,230,7,0,1,0,35,113,31,133,388
BERNALILLO285,43,50,1,2,9,0,2,16,5,193,6,0,0,3,37,87,30,93,331
BERNALILLO286,72,86,3,2,10,2,0,30,3,385,15,0,3,6,87,164,47,158,663
BERNALILLO287,39,58,2,0,2,0,1,10,1,198,5,2,3,3,35,77,15,97,324
BERNALILLO289,214,161,17,18,42,4,45,244,10,848,3,4,29,3,218,899,370,375,2014
BERNALILLO29,78,83,4,2,5,2,2,54,2,356,7,0,2,1,73,207,69,161,648
BERNALILLO290,52,23,7,3,11,2,15,69,0,120,1,0,2,0,40,165,107,75,328
BERNALILLO291,59,62,3,3,3,2,3,31,1,211,6,1,3,0,74,177,45,121,473
BERNALILLO292,113,140,4,4,14,3,12,91,1,494,13,2,11,1,112,392,128,253,1026
BERNALILLO293,107,83,5,2,5,2,3,49,1,379,7,1,5,1,103,207,66,190,704
BERNALILLO294,54,54,9,3,17,4,32,123,0,218,2,1,5,0,70,323,188,108,619
BERNALILLO295,67,56,1,2,8,0,15,75,0,233,5,1,8,0,61,259,101,123,567
BERNALILLO296,43,38,2,2,8,0,4,36,3,175,3,0,3,0,37,131,52,81,352
BERNALILLO297,86,100,3,2,9,1,5,55,0,343,11,1,3,2,79,251,75,186,690
BERNALILLO298,80,88,3,5,13,1,6,37,1,362,5,0,1,1,91,252,65,168,713
BERNALILLO299,78,99,6,1,15,2,17,77,0,345,15,0,8,0,94,290,118,177,752
