precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_ind_COLE,pri_ind_HENDRIX,pri_ind_III,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_DAVIS,pri_rep_FIELDS,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_R.KASICH,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
GORDONPINE CHAPEL,16,0,8,1,0,0,0,1,14,0,86,0,0,0,0,4,11,0,0,0,36,0,123,63,7,488,275,25,558
GORDONPLAINVILLE,37,1,34,1,0,0,0,3,53,2,99,0,0,0,0,0,12,0,1,0,61,0,254,131,28,872,485,73,1031
GORDONRED BUD,56,1,40,2,0,0,0,2,67,0,128,0,0,0,0,4,20,1,2,0,143,1,337,256,44,1283,705,99,1583
GORDONRESACA,25,0,23,0,0,0,0,1,25,0,92,0,0,1,0,4,15,0,0,0,53,1,197,112,22,669,389,48,803
GORDONSONORAVILLE,109,3,68,1,0,0,0,9,143,1,311,0,0,0,0,4,45,0,3,0,219,0,761,388,93,2625,1496,181,3106
GORDONSUGAR VALLEY,23,0,31,0,0,0,0,2,32,1,88,0,0,1,0,1,16,0,1,0,46,0,242,84,20,738,430,54,842
GRADYBLOWING CAVE,18,1,14,2,0,0,0,3,13,0,48,0,0,0,0,0,8,0,0,0,29,0,100,79,5,416,201,35,500
GRADYCAIRO 4TH DISTRICT,374,3,47,1,0,0,0,2,11,0,24,0,0,0,0,0,3,0,0,0,23,0,52,1096,17,269,115,425,1382
GRADYCAIRO 5TH DISTRICT,167,1,43,0,0,0,0,7,46,1,114,0,0,0,0,1,14,0,1,0,85,0,187,615,26,846,456,211,1487
GRADYDUNCANVILLE,42,0,13,0,0,0,0,0,12,0,31,0,0,0,0,0,9,0,0,0,24,0,49,118,7,202,125,55,327
GRADYHIGDON,67,0,12,1,0,0,0,2,16,0,51,0,0,0,0,1,3,0,0,0,30,0,73,171,9,352,176,80,532
GRADYLIMESINK,9,0,3,0,0,0,0,0,5,0,26,0,0,0,0,1,1,0,0,0,15,0,45,27,1,165,93,12,193
GRADYMIDWAY,44,1,32,0,0,0,0,2,29,0,85,0,0,0,0,0,9,0,0,0,65,0,159,177,13,666,349,77,856
GRADYPINE PARK,36,0,14,0,0,0,0,2,13,1,49,0,0,0,0,0,5,0,0,0,24,0,90,159,8,364,184,50,531
GRADYRAGAN,32,0,12,1,0,0,0,1,8,0,37,0,0,0,0,1,4,0,0,0,17,0,63,93,3,241,131,45,337
GRADYSPENCE,13,3,15,0,0,0,0,0,16,0,60,0,0,0,0,1,6,0,3,0,33,0,110,40,10,411,229,31,461
