precinct,pri_dem_CLINTON,pri_dem_SANDERS
WASHOE821900,1,0
WASHOE822000,2,2
WASHOE822100,2,2
WASHOE822200,3,2
WASHOE822600,0,0
WASHOE822700,1,0
WASHOE823200,1,0
WASHOE823300,3,1
WASHOE823400,1,0
WASHOE823500,1,0
WASHOE823600,4,2
WASHOE823700,1,1
WASHOE823800,3,2
WASHOE824000,2,1
WASHOE824500,1,2
WASHOE824700,1,0
WASHOE825000,3,2
WASHOE825300,1,0
WASHOE825400,4,3
WASHOE825600,3,1
WASHOE826100,0,0
WASHOE826300,2,1
WASHOE826400,1,1
WASHOE826500,0,0
WASHOE827000,1,1
WASHOE827100,2,2
WASHOE827300,1,1
WASHOE827600,0,0
WASHOE827700,1,1
WASHOE828100,1,0
WASHOE829700,1,4
WASHOE850000,0,0
WASHOE850200,0,1
WASHOE850500,0,1
WASHOE980000,0,0
YE1,1,3
