precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY,dem_primary_total,general_total
KINGSHL 32-0903,40,66,0,4,3,12,0,187,9,10,34,0,0,106,240
KINGSHL 32-0914,85,31,0,3,11,41,0,289,6,18,102,0,0,116,415
KINGSHL 32-0917,63,59,2,10,8,17,0,326,13,12,77,1,1,122,430
KINGSHL 32-0920,45,35,2,5,6,17,2,191,4,10,44,1,0,80,252
KINGSHL 32-0921,55,18,1,0,2,31,1,150,1,9,66,1,0,73,228
KINGSHL 32-1020,44,26,1,0,10,29,1,184,3,19,58,0,0,70,265
KINGSHL 32-1021,75,94,1,4,5,28,0,379,12,16,65,0,2,169,474
KINGSHL 32-1030,30,56,0,0,2,11,1,184,8,10,36,0,0,86,239
KINGSHL 32-1038,38,49,0,3,0,10,1,177,8,2,29,3,0,87,220
KINGSHL 32-1053,65,33,3,5,7,29,1,207,3,7,83,0,1,98,302
KINGSHL 32-1077,49,67,2,1,2,8,3,294,10,11,60,1,0,116,379
KINGSHL 32-1080,31,41,0,6,3,13,2,155,3,8,42,0,1,72,211
KINGSHL 32-1101,35,48,0,2,1,17,0,177,4,5,60,0,0,83,246
KINGSHL 32-1106,88,74,0,4,4,26,1,368,7,12,95,0,0,162,483
KINGSHL 32-1140,33,36,0,3,3,11,0,160,3,10,43,0,0,69,216
KINGSHL 32-1158,53,45,1,4,2,15,4,196,3,10,36,0,0,98,249
KINGSHL 32-1168,74,68,0,3,7,28,1,288,5,12,72,0,0,142,378
KINGSHL 32-1178,45,83,1,4,2,21,2,224,8,15,56,1,2,128,308
KINGSHL 32-1197,45,48,1,5,2,22,0,202,11,12,50,0,0,93,275
KINGSHL 32-1209,65,70,2,8,4,14,2,319,7,17,53,2,0,135,400
KINGSHL 32-1210,85,73,1,4,2,24,1,373,10,15,49,0,0,158,448
KINGSHL 32-1228,36,42,2,6,6,9,1,221,6,19,48,0,0,78,295
KINGSHL 32-1236,33,63,0,0,3,10,1,189,10,4,28,0,1,96,233
KINGSHL 32-2552,80,51,0,4,7,36,1,282,8,14,64,0,1,131,370
KINGSHL 32-2753,62,71,3,6,3,13,4,286,8,10,55,0,0,133,363
KINGSHL 32-3363,31,53,0,3,5,14,1,244,5,11,49,1,0,84,311
KINGSHL 32-3556,59,69,4,7,7,19,2,265,5,21,64,1,1,128,359
KINGSI VIEW,39,47,1,10,5,59,4,177,6,27,138,0,1,86,353
KINGSIERRA,55,45,3,11,6,103,3,201,7,26,308,0,2,100,547
KINGSILVER SPURS,1,2,0,0,0,0,0,10,0,0,0,0,0,3,10
