precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,gen_sow_KENNEDY,dem_primary_total,general_total
KINGKMR 46-0820,47,50,3,3,4,16,4,218,5,15,82,1,0,97,325
KINGKMR 46-1095,97,62,4,9,17,56,4,409,11,40,183,0,0,159,647
KINGKMR 46-1147,85,84,3,4,3,49,6,459,22,29,155,1,0,169,672
KINGKMR 46-1171,67,69,1,9,2,46,1,316,12,23,100,1,0,136,453
KINGKMR 46-1181,48,16,0,10,7,27,1,179,3,5,68,1,1,64,258
KINGKMR 46-2444,55,49,0,7,6,19,2,249,5,19,82,0,0,104,357
KINGKMR 46-2462,41,34,0,4,8,12,0,162,5,8,42,0,0,75,217
KINGKMR 46-2754,47,24,0,2,9,39,0,195,6,14,82,0,0,71,297
KINGKMR 46-2764,30,23,0,2,6,16,2,170,3,14,41,0,0,53,230
KINGKMR 46-2765,117,64,1,11,10,56,1,417,11,28,135,0,1,181,593
KINGKMR 46-2771,67,67,3,18,11,50,3,384,8,31,176,0,0,134,602
KINGKMR 46-3148,54,81,0,6,7,41,1,344,12,26,134,0,1,135,518
KINGKMR 46-3592,49,49,4,5,5,19,0,247,2,20,74,0,0,98,343
KINGKMR 46-3594,34,25,2,7,9,28,1,160,2,20,84,0,0,59,267
KINGKRAIN,52,41,3,15,11,69,1,184,5,21,275,1,0,93,487
KINGLAKE ALICE,50,30,1,7,6,49,1,223,7,34,167,1,3,80,436
KINGLAKE DESIRE,65,45,1,13,9,72,2,362,1,37,221,0,0,110,623
KINGLAKE FENWICK,14,8,0,5,0,8,0,58,1,4,59,0,0,22,122
KINGLAKE JOY,79,93,4,22,6,105,4,351,8,61,295,0,1,172,720
KINGLAKE LEOTA,62,52,0,8,5,40,2,303,4,29,123,0,0,114,461
KINGLAKE MORTON,19,18,5,8,6,34,1,79,3,7,94,0,0,37,184
KINGLAKE RETREAT,39,49,5,13,4,87,3,230,12,19,262,0,1,88,527
KINGLAKE YOUNGS,57,31,0,12,16,112,2,255,8,27,251,1,1,88,545
KINGLAKELAND,51,39,5,12,1,33,4,232,6,17,131,0,0,90,390
KINGLAKERIDGE,141,84,0,3,1,32,0,543,15,16,85,0,0,225,659
KINGLANGSTON,100,81,0,0,3,21,2,341,11,13,56,1,2,181,426
KINGLEAH,58,53,1,7,10,39,0,297,3,33,155,0,1,111,489
KINGLFP 46-0003,79,55,1,4,11,29,2,306,12,17,86,1,0,134,424
KINGLFP 46-0092,91,71,0,7,11,35,5,391,6,19,84,0,1,162,506
KINGLFP 46-0309,101,77,4,7,9,41,0,372,12,25,89,0,0,178,498
KINGLFP 46-0397,59,54,0,2,11,25,0,277,7,9,56,0,0,113,349
KINGLFP 46-0400,88,62,0,9,6,31,0,326,3,27,92,0,0,150,448
KINGLFP 46-0517,74,47,3,3,4,16,1,316,7,7,54,1,0,121,386
KINGLFP 46-0650,70,40,0,3,5,12,0,253,5,6,44,0,1,110,309
KINGLFP 46-0652,54,33,0,1,3,11,0,180,2,5,30,0,0,87,217
KINGLFP 46-0653,90,61,2,6,9,12,0,296,3,15,55,0,0,151,369
KINGLFP 46-0654,79,62,1,8,2,33,2,314,4,12,76,1,1,141,410
KINGLFP 46-0655,136,108,0,3,3,25,1,498,17,15,100,0,0,244,631
KINGLFP 46-0734,79,64,1,6,7,32,0,361,7,23,87,3,0,143,481
KINGLFP 46-1056,93,49,2,14,7,27,0,346,8,16,73,0,0,142,443
KINGLFP 46-1075,67,41,2,5,5,30,0,228,1,18,74,0,0,108,321
KINGLFP 46-1089,97,58,2,2,11,28,1,366,13,26,85,0,2,155,493
KINGLFP 46-1143,68,68,1,3,14,30,0,264,10,15,85,0,1,136,375
KINGLFP 46-1186,74,62,3,1,4,17,0,288,3,22,48,0,0,136,361
KINGLFP 46-1237,68,37,2,2,9,27,0,297,4,22,56,0,0,105,379
KINGLFP 46-2439,41,38,1,2,4,21,2,207,11,8,37,0,0,79,265
KINGLFP 46-2763,56,29,1,3,4,18,1,177,3,10,42,0,0,85,233
KINGLFP 46-3380,92,68,0,6,9,34,2,370,7,19,95,1,0,160,494
KINGLINCOLN,16,17,3,4,1,46,0,93,1,13,117,0,0,33,224
KINGLISABEULA,59,76,2,11,4,13,0,338,21,11,55,1,0,135,426
KINGLITTLE SOOS,43,29,1,14,9,64,1,143,6,16,162,1,0,72,329
KINGLOIS,52,51,0,5,2,28,0,311,8,17,81,1,1,103,419
KINGLORA,44,46,0,8,7,71,5,238,2,31,195,0,1,90,472
KINGLOUIE,46,37,0,11,4,50,1,217,6,13,168,1,0,83,406
KINGLUND,60,43,6,16,12,97,1,260,9,37,300,1,0,103,608
KINGLYNN,41,38,0,4,4,26,0,223,7,15,107,1,1,79,354
KINGLYNX,38,53,5,10,9,56,0,230,6,29,169,0,0,91,434
KINGM-I 41-0755,48,12,0,1,2,27,1,161,1,13,59,0,0,60,235
KINGM-I 41-0756,102,59,5,6,21,51,1,465,6,23,146,1,0,161,642
KINGM-I 41-0757,50,23,0,8,10,28,0,253,2,7,73,0,0,73,335
KINGM-I 41-0758,63,35,0,2,6,19,1,192,2,12,40,0,0,98,247
KINGM-I 41-0759,60,25,0,8,11,34,0,225,3,8,78,0,0,85,314
KINGM-I 41-0761,60,10,0,2,6,32,0,213,1,5,78,0,0,70,297
KINGM-I 41-0762,49,12,0,0,7,12,0,146,1,7,43,0,0,61,197
KINGM-I 41-0763,43,15,0,1,8,24,3,180,6,3,57,0,0,58,249
KINGM-I 41-0765,142,30,5,8,47,62,0,351,1,24,173,0,0,172,549
KINGM-I 41-0766,59,14,1,3,6,20,1,195,0,12,52,0,0,73,260
KINGM-I 41-0767,43,21,0,0,2,18,0,168,3,6,46,0,0,64,223
KINGM-I 41-0768,45,25,0,2,3,28,0,183,4,7,52,0,0,70,246
KINGM-I 41-0769,102,27,1,3,25,42,0,359,4,19,89,0,1,129,472
KINGM-I 41-0770,43,27,1,4,7,25,0,171,1,4,63,0,0,70,239
KINGM-I 41-0771,41,16,1,3,10,14,0,136,3,12,42,0,0,57,193
KINGM-I 41-0773,37,30,1,4,13,26,0,181,4,10,70,0,1,67,266
KINGM-I 41-0774,82,19,2,10,14,29,2,307,1,16,74,0,0,101,400
KINGM-I 41-0775,76,27,0,5,14,34,0,292,8,13,88,0,0,103,401
KINGM-I 41-0776,64,19,1,4,10,26,1,205,4,12,60,3,0,83,285
KINGM-I 41-0777,80,35,1,2,15,38,0,285,7,18,104,1,0,115,415
KINGM-I 41-0778,63,18,0,4,8,15,0,209,0,15,63,0,0,81,287
KINGM-I 41-0779,82,19,1,6,15,46,0,308,2,21,115,0,0,101,446
KINGM-I 41-0780,71,12,0,2,11,32,0,244,1,14,60,0,0,83,319
KINGM-I 41-0781,42,8,0,0,8,11,1,147,0,9,34,0,0,50,191
KINGM-I 41-0782,66,32,1,10,18,23,2,291,1,12,100,0,0,98,406
KINGM-I 41-0784,64,26,2,2,9,24,2,244,5,12,79,0,0,90,342
KINGM-I 41-0785,58,27,0,1,3,30,1,221,3,9,75,0,0,85,309
KINGM-I 41-0786,40,11,2,5,5,16,1,149,1,9,46,0,0,51,206
KINGM-I 41-0787,47,22,0,6,7,18,2,198,3,13,64,1,1,69,282
KINGM-I 41-0788,59,19,0,1,16,16,1,233,5,13,42,0,0,78,294
KINGM-I 41-0789,119,28,0,0,17,52,0,355,5,22,124,0,0,147,506
KINGM-I 41-0790,33,17,2,6,7,18,0,136,1,8,60,0,0,50,205
KINGM-I 41-0791,36,19,2,6,3,14,0,158,4,7,39,0,0,55,208
KINGM-I 41-0792,51,9,1,5,7,30,0,177,0,8,64,0,0,60,249
KINGM-I 41-0793,97,27,3,5,23,54,0,357,6,34,117,0,0,124,514
