precinct,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_amd_FUENTA,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
CHOUTEAUFORT BENTON 1,55,30,6,13,18,7,150,3,135,7,27,285,194,85,457
CHOUTEAUFORT BENTON 2,52,37,6,19,22,3,133,1,158,9,30,269,183,89,467
CHOUTEAUGERALDINE 3,26,25,2,8,8,6,115,1,75,4,21,198,139,51,299
CHOUTEAUHIGHWOOD 6,28,13,3,9,16,6,94,2,52,2,9,202,128,41,267
CHOUTEAULOMA 7,7,9,4,5,3,1,50,0,20,0,8,90,63,16,118
CHOUTEAUROCKY BOY 5,22,15,0,0,0,0,2,0,115,5,1,4,2,37,125
CUSTERCCDHS,100,79,8,19,20,12,239,1,236,5,55,627,298,179,924
CUSTERHIGHLAND PARK SCH,134,82,7,38,30,25,311,5,314,3,70,835,411,216,1227
CUSTERISMAY CHURCH,0,1,0,0,0,1,23,0,1,0,0,32,24,1,33
CUSTERJEFFERSON SCH,109,89,6,19,10,11,273,2,265,19,81,771,319,198,1138
CUSTERKINSEY,16,21,0,9,4,0,45,0,39,0,7,124,58,37,170
CUSTERKIRCHER,26,14,1,3,1,4,48,0,46,0,6,126,57,40,178
CUSTERKNOWLTON SCH,0,2,2,5,1,2,21,0,3,0,1,51,31,2,55
CUSTERNAT'L GUARD,4,12,1,2,0,5,62,0,21,0,8,123,70,16,152
CUSTERRIVERVIEW SCHOOL,1,0,2,0,0,1,17,0,1,0,0,26,20,1,27
CUSTERS-H SCHOOL,3,3,1,5,2,1,32,0,8,0,2,83,41,6,93
CUSTERSHEFFIELD MOON,5,14,2,6,6,3,98,1,31,2,11,242,115,19,287
CUSTERSPRING CREEK SCH,0,0,0,5,0,1,26,0,0,0,0,46,32,0,46
CUSTERSY SCHOOL,2,1,0,1,2,4,8,0,2,0,2,26,15,3,30
CUSTERWASHINGTON SCH,76,70,6,13,8,6,167,6,209,6,59,545,200,146,825
DANIELSPRECINCT #2,11,6,2,3,7,1,47,0,25,1,9,102,60,17,137
DANIELSPRECINCT #3,10,14,1,10,9,4,121,0,36,2,14,243,145,24,295
DANIELSPRECINCT #5,23,14,2,6,16,3,105,0,58,1,21,212,132,37,292
DANIELSPRECINCT #6,21,10,1,5,11,6,67,0,49,2,7,173,90,31,231
DAWSONPRECINCT 01,21,30,3,9,21,4,96,1,83,5,18,246,133,51,353
DAWSONPRECINCT 02,25,31,4,15,18,6,187,1,94,4,35,371,230,56,505
DAWSONPRECINCT 03,47,47,14,32,42,10,295,2,185,8,27,565,393,94,787
DAWSONPRECINCT 04,27,29,5,14,14,7,128,1,106,6,31,302,168,56,446
DAWSONPRECINCT 05,19,7,2,8,6,7,112,0,39,2,10,228,135,26,279
DAWSONPRECINCT 06,40,35,10,37,28,17,391,0,106,3,32,736,483,75,877
DAWSONPRECINCT 07,49,55,11,43,24,8,477,2,174,5,31,872,563,104,1084
DEER LODGEPRECINCT 1-77E,119,114,1,6,3,1,57,2,260,12,44,157,68,233,475
DEER LODGEPRECINCT 1-77W,148,111,4,10,6,4,99,1,302,2,24,195,123,259,524
DEER LODGEPRECINCT 1-78,22,12,1,1,1,1,20,0,44,0,7,41,24,34,92
DEER LODGEPRECINCT 2-77E,71,54,0,4,0,1,35,1,159,6,17,104,40,125,287
DEER LODGEPRECINCT 2-77W,96,66,0,1,2,2,43,1,185,10,27,123,48,162,346
DEER LODGEPRECINCT 2-78,15,9,0,4,0,1,11,2,35,3,3,25,16,24,68
DEER LODGEPRECINCT 3-77E,68,59,1,8,1,2,45,2,144,11,21,124,57,127,302
DEER LODGEPRECINCT 3-77W,59,57,0,4,0,0,33,3,145,10,30,114,37,116,302
DEER LODGEPRECINCT 3-78,26,18,0,4,3,2,16,1,66,1,1,47,25,44,116
DEER LODGEPRECINCT 4-77,17,9,0,1,1,0,39,0,27,0,9,59,41,26,95
DEER LODGEPRECINCT 4-78E,52,53,0,7,1,3,62,4,104,6,24,143,73,105,281
DEER LODGEPRECINCT 4-78W,38,41,3,11,4,1,70,1,98,4,7,156,89,79,266
DEER LODGEPRECINCT 5-77N,140,111,2,5,7,5,123,3,266,6,35,268,142,251,578
