precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_grn_CHERNEY,pri_grn_CURRY,pri_grn_KREML,pri_grn_MESPLAY,pri_grn_STEIN,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_dem_KAINE,gen_grn_STEIN,gen_ind_BLUMBERG,gen_ind_FEEGBEH,gen_ind_KASICH,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_ROMNEY,gen_ind_RYAN,gen_ind_SANDERS,gen_ind_SCHOENKE,gen_lib_JOHNSON,gen_lib_JOHNSTON,gen_rep_TRUMP,dem_primary_total,general_total
BARNSTABLE12,242,1,6,385,0,0,0,0,1,3,26,0,63,3,1,1,88,0,1,76,0,327,2100,0,52,0,0,0,0,1,0,0,0,0,0,111,111,2064,634,4439
BARNSTABLE13,259,1,0,281,0,0,0,0,0,3,11,0,17,0,0,0,56,0,0,60,0,186,1736,0,70,0,0,0,0,3,0,0,0,0,0,59,59,1238,541,3165
BARNSTABLE2,344,0,3,327,0,0,0,0,0,6,17,2,61,0,0,1,103,1,1,85,0,320,2044,0,64,0,0,0,0,6,0,0,0,0,0,82,82,1892,674,4170
BARNSTABLE3,264,1,2,255,0,0,0,0,0,5,8,2,34,0,0,2,30,0,3,39,0,235,1824,0,44,0,0,0,0,6,0,0,0,0,0,53,53,1286,522,3266
BARNSTABLE4,295,0,1,325,0,0,0,0,0,4,11,2,39,1,2,2,109,0,2,83,1,264,1988,0,64,0,0,0,0,2,0,0,0,0,0,73,73,1758,621,3958
BARNSTABLE5,312,1,1,254,0,0,0,0,0,9,19,1,50,0,0,1,163,1,6,120,1,403,2098,0,28,0,0,0,0,5,0,0,0,0,0,68,68,2230,568,4497
BARNSTABLE6,319,0,8,352,0,0,0,0,0,7,17,1,53,4,0,0,91,0,0,92,1,345,2066,0,58,0,0,0,0,7,0,0,0,0,0,107,107,2012,679,4357
BARNSTABLE7,380,0,2,376,0,0,0,0,0,9,16,4,51,1,0,0,140,2,1,100,0,361,2504,0,58,0,0,0,0,1,0,0,0,0,0,95,95,1988,758,4741
BARNSTABLE8,244,0,1,232,0,0,0,0,0,2,11,1,21,1,0,0,36,0,3,44,0,186,1750,0,56,0,0,0,0,2,0,0,0,0,0,70,70,1150,477,3098
BARNSTABLE9,142,0,0,147,0,0,0,0,0,0,11,0,12,0,0,1,24,0,1,23,0,112,1240,0,46,0,0,0,0,0,0,0,0,0,0,42,42,682,289,2052
BARRE1,125,0,1,314,0,0,0,0,0,3,11,0,46,0,0,0,50,0,1,47,1,193,639,0,36,0,0,0,0,4,0,0,0,0,0,87,0,712,440,1478
BARRE2,133,1,0,256,0,0,0,0,1,5,13,1,61,1,0,0,20,0,1,53,0,182,562,0,22,0,0,0,0,3,0,0,0,0,0,77,0,717,390,1381
BECKET1,123,1,3,197,0,0,0,0,1,0,3,0,34,0,1,0,14,0,0,22,0,82,571,0,25,0,0,0,0,6,0,0,0,0,0,37,0,368,324,1007
