precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_dem_STEWART,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_lib_JOHNSON,gen_rep_TRUMP,rep_primary_total,dem_primary_total,general_total
PORTSMOUTH 2707,405,1,518,0,114,282,10,397,1054,25,2,80,875,803,924,2036
PROVIDENCE 2801,188,1,163,0,7,18,0,12,134,1,0,4,27,37,352,166
PROVIDENCE 2805,1246,0,1041,1,29,203,2,123,1564,23,1,44,194,357,2288,1826
PROVIDENCE 2808,660,1,839,1,12,75,0,73,1027,30,0,35,121,160,1501,1213
PROVIDENCE 2814,161,0,189,0,14,13,0,28,410,6,3,3,93,55,350,515
PROVIDENCE 2816,1158,1,1511,2,26,110,3,108,1699,39,1,30,256,247,2672,2025
PROVIDENCE 2819,510,0,532,2,19,17,5,94,959,18,2,36,424,135,1044,1439
PROVIDENCE 2823,475,1,389,0,19,7,0,26,1139,6,1,22,96,52,865,1264
PROVIDENCE 2825,279,0,293,1,7,6,1,7,189,6,1,3,20,21,573,219
PROVIDENCE 2827,714,1,512,1,8,6,3,19,1158,17,1,13,75,36,1228,1264
PROVIDENCE 2832,557,1,353,0,7,4,0,22,1008,11,1,18,91,33,911,1129
PROVIDENCE 2835,292,1,286,2,14,34,3,54,164,3,0,6,41,105,581,214
PROVIDENCE 2839,200,1,131,1,1,11,1,24,420,16,0,17,65,37,333,518
PROVIDENCE 2844,223,0,319,1,13,21,0,69,674,12,1,26,267,103,543,980
PROVIDENCE 2847,376,0,454,2,12,5,1,30,372,6,3,6,42,48,832,429
PROVIDENCE 2851,655,0,894,1,49,87,4,163,602,18,2,22,228,303,1550,872
PROVIDENCE 2862,458,1,1088,3,13,18,0,48,923,26,3,34,170,79,1550,1156
PROVIDENCE 2863,391,0,381,1,3,9,0,31,563,9,0,9,78,43,773,659
PROVIDENCE 2868,221,0,145,0,3,3,1,6,831,9,2,9,38,13,366,889
PROVIDENCE 2871,100,0,112,0,1,1,0,13,402,9,1,10,78,15,212,500
PROVIDENCE 2872,12,0,19,0,0,2,0,4,46,1,0,0,12,6,31,59
PROVIDENCE 2875,429,3,388,1,19,18,1,70,899,12,1,21,158,108,821,1091
RICHMOND 2901,283,1,599,2,112,179,8,510,872,30,7,97,1013,809,885,2019
SCITUATE 3002,96,1,197,0,35,78,0,316,658,20,5,82,1182,429,294,1947
SCITUATE 3003,208,1,443,1,86,150,4,608,734,36,5,57,1132,848,653,1964
SMITHFIELD 3101,422,2,490,2,83,170,1,535,687,17,4,53,908,789,916,1669
SMITHFIELD 3102,392,1,579,5,85,159,2,491,694,24,1,75,759,737,977,1553
SOUTH KINGSTOWN 3202,495,1,689,2,51,188,6,298,934,34,0,56,520,543,1187,1544
SOUTH KINGSTOWN 3206,678,2,1287,3,85,240,2,310,695,30,0,49,396,637,1970,1170
SOUTH KINGSTOWN 3208,456,0,721,1,71,227,0,366,1128,34,6,73,723,664,1178,1964
TIVERTON 3302,453,1,583,4,70,136,2,537,759,22,2,54,764,745,1041,1601
TIVERTON 3303,132,0,128,0,14,21,1,86,449,16,0,21,415,122,260,901
TIVERTON 3305,262,0,393,1,37,95,4,297,146,3,0,12,127,433,656,288
WARREN 3401,122,0,194,1,13,20,1,66,655,23,3,43,442,100,317,1166
WARREN 3403,433,0,613,0,55,124,3,317,1164,30,3,69,732,499,1046,1998
WARWICK 3504,631,1,908,3,66,252,1,505,859,17,2,55,488,824,1543,1421
WARWICK 3511,420,0,460,1,65,141,3,454,821,19,3,41,717,663,881,1601
WARWICK 3512,383,1,653,1,56,88,5,406,517,25,0,37,501,555,1038,1080
WARWICK 3513,324,1,494,3,40,102,1,424,723,22,5,67,714,567,822,1531
WARWICK 3515,445,1,700,2,65,118,1,489,860,26,5,65,883,673,1148,1839
WARWICK 3518,406,1,661,1,75,172,5,524,874,25,5,83,927,776,1069,1914
WARWICK 3522,391,0,617,1,61,121,3,401,479,16,0,46,519,586,1009,1060
WARWICK 3524,378,3,718,2,86,130,6,468,555,20,0,47,562,690,1101,1184
WARWICK 3530,586,1,677,2,82,295,4,645,868,15,1,50,776,1026,1266,1710
WEST GREENWICH 3703,183,1,365,1,90,147,3,525,224,5,2,36,437,765,550,704
WEST WARWICK 3801,163,0,250,1,22,43,4,192,521,20,4,30,522,261,414,1097
WEST WARWICK 3802,161,0,213,2,25,26,2,163,360,11,0,32,336,216,376,739
WEST WARWICK 3806,271,2,316,2,36,69,2,293,318,7,1,25,354,400,591,705
WEST WARWICK 3807,193,0,303,0,28,49,1,206,914,26,0,66,839,284,496,1845
WEST WARWICK 3809,271,0,315,0,41,91,3,360,624,11,1,29,610,495,586,1275
WESTERLY 3602,307,1,588,1,71,104,4,362,943,17,2,55,760,541,897,1777
WESTERLY 3605,540,1,632,0,85,317,4,601,867,21,2,61,801,1007,1173,1752
WOONSOCKET 3902,159,0,105,1,5,7,4,62,400,10,2,17,230,78,265,659
WOONSOCKET 3903,337,1,394,2,39,31,4,181,300,12,0,9,162,255,734,483
WOONSOCKET 3905,124,0,164,1,14,10,0,67,506,18,1,37,425,91,289,987
WOONSOCKET 3907,339,2,488,0,49,62,2,313,563,25,0,53,628,426,829,1269
WOONSOCKET 3909,363,0,523,2,36,66,2,394,700,18,2,53,782,498,888,1555
