precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
DICKSON1-NOV,138,1,49,6,51,1,115,1,0,1,1,12,0,1,61,0,153
DICKSON1-OCT,104,0,51,6,48,0,151,1,0,0,1,23,0,0,107,0,235
DICKSON1-SEP,134,3,42,6,55,1,116,0,0,1,0,16,0,0,90,0,221
DICKSON2-DEC,65,1,45,2,31,0,111,0,0,0,1,17,0,1,62,0,177
DICKSON2-FEB,57,1,27,5,29,0,65,0,0,0,0,10,0,0,23,0,147
DICKSON2-JAN,59,3,17,3,14,1,94,0,0,0,0,10,0,2,40,0,108
DICKSON2-JUN,61,1,52,4,34,0,142,0,0,0,1,15,0,1,56,1,176
DICKSON2-MAR,100,0,48,2,24,0,101,0,0,0,0,6,1,0,41,0,175
DYERB1- NEWBERN,77,1,21,1,26,0,154,1,0,0,2,13,0,1,71,0,219
DYERF1- DYER CO CENTRAL,173,1,12,0,3,0,5,0,0,0,0,2,0,0,6,0,33
DYERG1- COURTHOUSE,94,2,36,5,29,1,101,1,0,0,2,11,0,1,85,0,171
DYERH1- E. DYERSBURG,95,0,34,7,26,0,108,1,0,0,1,11,0,0,60,0,183
DYERJ1- NORTH DYERSBURG,85,1,39,10,60,0,142,1,0,1,2,40,0,0,214,0,313
GIBSON10 TRENTON,174,5,40,2,22,2,85,0,0,0,1,8,1,0,56,1,131
GIBSON11-4 GANN,8,0,11,2,30,0,60,0,0,0,0,7,0,1,33,0,83
GIBSON3 HUMBOLDT PARK,43,2,19,3,55,0,90,1,0,1,1,12,0,0,94,1,154
GIBSON6 HUMBOLDT ARMORY,45,0,9,2,7,0,11,0,0,0,3,0,0,1,11,0,28
GRAINGER1-APR,17,0,15,1,6,1,34,0,0,0,0,2,0,1,38,1,119
GRAINGER1-FEB,23,1,7,3,4,1,27,0,0,0,1,7,1,0,29,0,96
GRAINGER1-JAN,24,0,21,11,14,0,93,2,1,0,2,9,0,1,53,0,189
GRAINGER1-MAR,39,1,15,9,24,0,118,0,0,0,1,11,0,1,51,0,174
GRAINGER1-MAY,40,0,15,1,14,0,70,0,0,0,3,7,0,0,57,1,175
GRAINGER2-APR,24,1,23,4,13,1,73,2,0,0,1,6,0,0,46,0,167
GRAINGER2-FEB,44,0,19,8,25,0,97,0,0,0,0,21,0,0,86,0,231
GRAINGER2-JAN,25,1,12,10,18,2,95,0,1,0,0,11,1,2,90,0,214
GRAINGER2-MAR,24,0,15,4,25,0,114,1,0,0,1,19,0,2,59,1,202
GRAINGER2-MAY,23,0,22,2,28,2,73,2,0,0,4,18,0,0,48,1,203
GRUNDYPAPER BALLOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HAMBLEN1-APR,53,1,31,2,32,0,58,1,0,1,0,8,0,3,50,0,149
HAMBLEN1-AUG,75,2,35,24,77,1,213,0,1,0,8,31,1,4,187,0,468
HAMBLEN1-DEC,64,3,88,12,90,0,218,2,0,0,4,42,2,1,183,1,425
HAMBLEN1-FEB,77,1,44,9,36,0,88,0,0,2,3,11,0,0,69,0,167
HAMBLEN1-JAN,67,0,47,11,28,2,78,1,1,0,1,23,0,3,70,0,146
HAMBLEN1-JUL,76,2,49,12,75,2,165,0,1,1,3,42,1,2,152,1,462
HAMBLEN1-JUN,75,1,42,13,41,3,142,0,0,1,4,32,1,1,118,1,254
HAMBLEN1-MAR,72,0,50,2,40,0,107,1,0,1,4,28,0,0,96,0,229
HAMBLEN1-MAY,91,1,46,19,78,3,165,2,2,1,3,71,0,0,239,1,340
HAMBLEN1-NOV,34,3,17,8,10,1,79,0,0,0,1,12,1,1,49,0,159
HAMBLEN1-OCT,19,1,15,3,22,2,103,0,2,0,5,19,0,4,68,0,168
HAMBLEN1-SEP,26,2,19,5,27,1,75,0,1,0,3,15,0,1,69,0,218
HAMBLEN2-NOV,15,0,22,0,13,0,38,0,2,0,4,4,0,2,30,0,146
HAMBLEN2-OCT,34,0,40,14,46,1,139,0,0,0,8,31,1,3,119,0,290
HAMBLEN2-SEP,41,0,22,7,28,1,103,0,0,0,5,23,0,2,70,0,283
HAYWOOD1-APR,120,0,16,5,19,1,67,0,0,0,1,13,0,0,50,0,84
HAYWOOD1-AUG,144,2,10,2,11,0,33,0,0,0,0,6,1,0,14,0,73
HAYWOOD1-FEB,96,0,14,1,7,0,36,0,0,0,0,2,1,0,17,0,42
HAYWOOD1-JAN,134,0,10,0,1,0,5,0,0,0,1,3,0,0,6,0,9
HAYWOOD1-JUL,133,1,16,1,8,0,40,0,0,0,0,1,0,0,15,0,45
HAYWOOD1-JUN,88,0,11,2,14,1,67,0,0,0,2,3,0,0,17,0,107
HAYWOOD1-MAR,98,1,17,0,2,0,23,0,0,0,1,2,0,0,4,0,21
HAYWOOD1-MAY,82,0,10,2,14,0,78,0,0,0,0,8,0,0,30,0,94
HAYWOOD1-OCT,166,0,24,4,18,2,69,0,0,0,1,12,1,2,51,0,78
