precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,general_total
ANDERSONANDERSONVILLE,64,1,39,2,55,3,170,0,0,0,4,24,0,1,120,0,304,227,1,0,2,0,32,1,0,3,0,7,5,1222,0,104,1500
ANDERSONBRICEVILLE,11,1,10,0,4,0,44,0,0,0,0,2,0,0,10,0,58,42,0,0,3,0,5,0,0,0,0,1,0,243,0,22,294
ANDERSONBULL RUN,106,5,102,7,79,1,196,1,1,0,1,31,0,3,162,1,316,424,7,0,3,0,76,2,0,2,0,13,6,1397,0,213,1930
ANDERSONCLAXTON,94,3,58,5,40,2,187,2,0,0,2,23,0,1,118,1,282,387,3,0,2,0,53,0,0,5,0,8,5,1319,0,155,1782
ANDERSONCLINTON,159,2,94,10,77,0,154,2,0,0,4,44,0,3,201,1,326,556,0,0,5,0,47,2,0,4,0,19,8,1330,0,255,1971
ANDERSONCLINTON HIGH,87,2,39,2,23,0,98,2,0,0,4,23,1,1,98,0,191,279,2,0,2,0,33,4,0,7,0,7,7,792,0,128,1133
ANDERSONCLINTON MIDDLE,19,1,26,1,17,1,66,0,0,0,0,5,0,0,47,0,107,87,0,0,1,0,9,0,0,0,0,1,3,453,0,46,554
ANDERSONDUTCH VALLEY,23,1,21,1,10,1,30,1,0,0,0,3,0,1,28,0,75,73,0,0,0,0,11,0,0,1,0,2,0,271,0,45,358
ANDERSONEMORY VALLEY,216,4,166,19,43,0,141,1,0,0,0,81,0,2,218,0,189,894,1,0,1,0,88,3,0,17,0,15,19,1034,0,386,2072
ANDERSONFAIRVIEW,25,1,27,2,21,0,78,0,0,0,1,6,0,0,53,0,128,117,1,0,1,0,12,0,0,1,0,6,1,543,0,53,682
ANDERSONGLEN ALPINE,74,4,63,6,34,0,159,0,0,1,0,22,1,2,92,1,285,304,0,0,3,0,48,2,0,2,0,9,4,1149,0,141,1521
ANDERSONGLENWOOD,124,3,158,5,33,0,98,1,0,0,1,22,0,0,105,1,159,608,4,0,4,0,75,5,0,5,0,6,22,763,0,285,1492
ANDERSONHENDRIX CREEK,188,4,137,9,40,0,108,2,1,0,2,77,0,1,211,1,157,784,3,0,3,0,77,2,0,9,0,10,10,849,0,329,1747
ANDERSONHIGHLAND VIEW,56,0,76,1,12,0,49,0,0,0,1,10,0,1,43,0,59,278,1,0,2,0,28,1,0,6,0,3,4,299,0,132,622
ANDERSONLAKE CITY MS,56,0,52,7,47,0,153,0,0,0,3,14,0,0,100,1,255,250,0,0,2,0,18,1,0,4,0,8,4,1219,0,108,1506
ANDERSONMARLOW,16,3,22,2,26,0,65,0,0,0,2,8,0,0,30,0,106,111,1,0,3,0,13,1,0,2,0,1,0,505,0,41,637
ANDERSONNORRIS,113,1,101,3,22,1,51,0,0,0,0,30,0,1,68,0,120,365,0,0,3,0,34,0,0,0,0,2,7,412,0,215,823
ANDERSONNORTH CLINTON,67,0,53,2,29,0,79,0,0,0,1,7,0,0,74,1,215,245,0,0,2,0,30,3,0,2,0,11,10,809,0,120,1112
ANDERSONNORWOOD,76,2,48,3,39,1,81,1,0,0,0,12,0,1,104,0,222,266,1,0,5,0,40,1,0,4,0,9,10,915,0,126,1251
ANDERSONOAK RIDGE,144,3,68,1,18,0,26,0,0,0,0,14,0,1,44,0,65,521,0,0,0,0,33,2,0,4,0,0,7,324,0,215,891
ANDERSONPINE VALLEY,160,4,166,5,33,0,102,0,0,0,0,18,1,4,110,0,140,606,0,0,5,0,84,2,0,4,0,8,22,748,0,330,1479
ANDERSONROBERTSVILLE,117,1,82,9,36,1,50,1,0,1,0,16,0,0,46,0,78,434,2,0,7,0,46,2,0,9,0,9,10,496,0,200,1015
ANDERSONROSEDALE,9,0,6,0,8,0,3,0,0,0,0,0,0,0,4,0,13,27,0,0,2,0,0,0,0,0,0,1,0,53,0,15,83
ANDERSONSOUTH CLINTON,59,3,44,3,35,0,80,1,0,0,3,11,1,0,68,1,188,177,1,0,1,0,30,2,0,2,0,7,2,674,0,106,896
ANDERSONWEST HILLS,143,1,111,12,47,0,98,0,0,0,1,49,1,1,139,1,135,574,0,0,2,0,70,2,0,12,0,4,13,740,0,255,1417
ANDERSONWOODLAND,87,0,57,2,28,0,48,0,0,1,0,10,0,0,28,0,72,286,0,0,6,0,28,2,0,10,0,3,7,350,0,144,692
BEDFORD1-1 WARTRACE,82,0,41,0,45,0,168,0,0,0,1,11,0,2,54,0,262,230,0,0,2,0,27,1,0,0,0,2,4,974,0,123,1240
BEDFORD1-2 BELL BUCKLE,63,1,48,1,43,0,97,0,1,1,3,32,0,3,77,0,193,213,0,0,1,0,42,2,0,0,0,3,8,794,0,112,1063
BEDFORD2-3 FAIR HAVEN,107,1,54,6,71,2,256,0,0,0,2,16,0,0,98,2,435,298,0,0,3,0,31,0,0,1,0,10,7,1605,0,162,1955
BEDFORD3-3 UNIONVILLE,118,2,39,1,55,0,173,0,0,0,1,7,0,1,75,0,430,289,2,0,1,0,32,2,0,1,0,2,9,1472,0,159,1810
BEDFORD4-3 BEDFORD,125,6,56,5,43,1,209,2,1,0,2,27,0,0,96,0,449,308,0,0,4,0,20,0,0,1,0,6,6,1582,0,187,1927
BEDFORD5-2 FLAT CREEK,99,0,70,8,49,2,204,1,0,0,1,20,0,0,117,1,339,271,0,0,1,0,32,1,0,0,0,6,5,1318,0,169,1634
BEDFORD5-5 NORMANDY,59,1,26,4,42,0,124,0,0,0,0,28,0,0,54,0,147,146,1,0,0,0,17,0,0,2,0,3,4,659,0,86,832
BEDFORD6-1 EAST SIDE,113,1,51,0,26,0,55,0,1,0,0,7,0,1,34,0,131,374,0,0,4,0,24,0,0,0,0,2,8,490,0,165,902
BEDFORD7-1 DEERY EAKIN,147,2,45,4,37,0,124,0,0,0,0,18,0,0,63,0,234,445,0,0,1,0,34,1,0,0,0,4,8,837,0,194,1330
BEDFORD8-1 THOMAS,163,2,35,4,31,0,96,0,0,0,2,11,0,0,70,1,191,436,0,0,2,0,16,0,0,0,0,1,6,744,0,200,1205
BEDFORD9-2 SOUTHSIDE,132,2,61,6,33,0,149,0,2,1,1,23,0,1,83,0,273,385,0,0,6,0,31,1,0,0,0,8,10,1011,0,195,1452
BENTON1 HOLLADAY,83,3,37,3,23,0,93,0,0,0,3,13,0,0,39,0,219,213,0,0,2,0,9,0,0,1,0,0,3,846,0,123,1074
BENTON2 CAMDEN JR HIGH,106,3,53,0,18,0,96,0,0,0,1,11,0,1,53,0,194,265,0,0,1,0,18,2,0,0,0,1,5,784,0,162,1076
BENTON3 CAMDEN CITY HALL,88,3,50,5,21,1,111,0,0,0,0,10,0,0,49,0,141,228,0,0,2,0,15,0,0,0,0,0,2,725,0,141,972
BENTON4 CAMDEN ELEMENTARY,99,2,61,2,16,0,102,0,0,0,0,11,0,0,37,0,206,247,0,0,4,0,13,3,0,0,0,5,0,782,0,162,1054
BENTON5 LIBRARY,101,0,39,3,25,0,71,0,1,1,0,12,0,1,43,0,168,270,0,0,2,0,15,4,0,0,0,2,1,760,0,140,1054
BENTON6 BIG SANDY,83,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,2,0,1,0,13,4,0,2,0,3,3,819,0,131,1098
BLEDSOE1-1 DILL,22,1,10,0,4,0,18,0,0,0,0,4,0,1,3,0,42,56,0,0,1,0,5,1,0,0,0,0,0,150,0,33,213
BLEDSOE1-2 GRIFFITH,23,1,6,0,2,0,5,0,0,0,0,0,0,0,2,0,25,42,0,0,1,0,4,0,0,1,0,0,1,84,0,30,133
BLEDSOE1-3 MT. CREST,35,2,22,1,18,0,52,0,0,0,1,1,0,0,43,0,65,56,2,0,0,0,11,0,0,0,0,2,0,285,0,59,356
BLEDSOE2-1 COLD SPRINGS,49,2,29,0,12,0,33,0,0,0,3,11,0,0,23,2,124,98,0,0,0,0,9,0,0,3,0,0,0,379,0,80,489
BLEDSOE2-2 LUMINARY,9,1,10,0,13,0,35,0,0,0,0,1,0,0,14,0,75,32,0,0,0,0,8,0,0,0,0,0,2,249,0,20,291
BLEDSOE3-1 BRAYTON,9,1,9,3,20,1,46,0,0,0,0,7,0,0,33,0,89,36,0,0,0,0,5,0,0,0,0,6,2,332,0,19,381
BLEDSOE3-2 RIGSBY,10,0,10,4,27,1,75,1,0,0,2,10,0,2,24,1,136,61,0,0,1,0,11,0,0,3,0,0,0,461,0,20,537
BLEDSOE4-1 PIKEVILLE,80,2,43,6,17,0,55,0,1,0,2,5,0,1,34,0,116,198,0,0,1,0,9,1,0,2,0,1,5,414,0,125,631
BLEDSOE5-1 BELLVIEW,16,2,26,2,15,0,53,0,0,1,1,6,0,0,30,1,111,54,0,0,2,0,11,1,0,0,0,0,2,445,0,44,515
BLEDSOE5-2 NINE MILE,20,0,5,1,3,0,46,0,0,1,0,1,0,0,21,0,64,34,0,0,0,0,6,0,0,0,0,0,0,212,0,25,252
BLEDSOE6-1 LEE STATION,34,3,17,0,7,0,13,0,0,0,0,1,0,0,17,0,40,62,0,0,0,0,7,0,0,0,0,0,0,112,0,54,181
BLEDSOE6-2 LUSK,91,1,29,1,28,1,56,0,0,0,1,9,0,0,41,0,122,168,0,0,1,0,9,1,0,1,0,0,6,499,0,121,685
BLOUNTALCOA,126,0,103,13,67,2,197,1,0,0,3,65,0,4,299,0,252,589,4,0,7,0,93,5,0,19,0,11,20,1477,0,229,2225
BLOUNTBEECH GROVE,106,1,104,5,42,1,138,0,1,0,1,27,0,5,117,2,201,518,1,0,3,0,79,2,0,10,0,10,19,1005,0,211,1647
BLOUNTBIG SPRINGS,31,0,23,4,29,0,107,1,0,0,1,15,1,5,71,0,140,113,4,0,1,0,22,1,0,2,0,5,4,699,0,54,851
BLOUNTBOARD OF EDUCATION,140,0,105,26,65,0,164,0,1,0,1,67,0,2,267,0,309,565,0,0,0,1,88,1,0,7,0,12,13,1461,0,245,2148
BLOUNTCARPENTERS,77,0,68,2,74,1,182,0,2,0,0,35,0,0,111,0,293,274,0,0,5,0,30,0,0,1,0,11,6,1302,0,145,1629
BLOUNTCHILHOWEE VIEW,77,0,46,9,49,1,141,0,0,0,2,20,0,2,110,2,254,290,2,0,3,0,30,4,0,5,0,6,6,984,0,123,1330
BLOUNTEAGLETON MS CAFETERIA,68,0,83,8,28,0,93,1,0,0,3,11,0,3,88,0,190,661,7,0,7,0,89,4,0,12,0,13,14,2100,0,151,2907
BLOUNTEVERETT,66,1,95,12,43,0,80,0,0,1,2,13,0,0,51,0,141,307,1,0,2,0,47,6,0,7,0,4,13,643,0,162,1030
BLOUNTFAIRVIEW,83,0,53,12,58,0,161,2,0,1,1,30,0,5,183,0,270,329,2,0,2,0,30,1,0,7,0,5,4,1196,0,136,1576
BLOUNTFRIENDSVILLE,48,0,30,5,33,0,108,1,0,0,1,29,0,0,115,0,223,176,2,0,0,0,27,0,0,3,0,6,7,855,0,78,1076
BLOUNTHAPPY VALLEY,9,0,3,2,4,0,10,0,0,0,0,2,0,0,6,0,19,14,0,0,0,0,3,0,0,0,0,0,0,59,0,12,76
BLOUNTHERITAGE,70,0,39,7,64,0,150,0,1,0,0,34,1,1,169,1,272,261,0,0,2,0,27,1,0,6,0,2,3,1184,0,109,1486
BLOUNTJOHN SEVIER,95,1,127,23,57,1,161,2,0,0,2,36,0,1,249,0,234,525,1,0,4,0,77,2,0,12,0,16,15,1343,0,223,1995
BLOUNTLANIER,39,1,48,5,43,0,140,0,0,0,1,17,2,0,115,1,278,222,4,0,2,0,27,1,0,3,0,12,11,1128,0,88,1410
BLOUNTLOUISVILLE,83,1,56,7,50,0,117,0,1,0,2,38,0,1,190,2,263,370,1,0,1,0,60,3,0,3,0,9,5,1087,0,140,1539
BLOUNTMARTIN LUTHER KING,174,0,36,3,13,0,34,2,0,0,0,5,0,0,18,0,72,507,0,0,3,0,22,0,0,2,0,3,6,346,0,210,889
BLOUNTMARYVILLE COLLEGE,71,0,92,6,39,2,57,1,0,0,1,45,0,1,121,1,97,352,0,0,2,0,46,1,0,9,0,5,14,574,0,163,1003
BLOUNTMARYVILLE HS,141,0,132,18,68,1,157,1,2,0,2,109,0,1,334,1,257,764,2,0,5,0,99,5,0,18,0,13,14,1636,0,273,2556
BLOUNTMARYVILLE JR HIGH,131,3,112,14,77,3,156,2,0,1,1,102,2,2,281,0,240,637,0,0,4,0,109,3,0,20,0,4,18,1230,0,246,2025
BLOUNTMARYVILLE MUNICIPAL,76,1,109,7,36,0,123,0,0,0,2,29,0,1,111,0,174,480,2,0,2,0,64,2,0,6,0,10,21,1114,0,186,1701
BLOUNTMENTOR,37,1,34,1,21,1,40,1,0,0,1,9,0,1,39,0,74,139,0,0,0,0,9,0,0,0,0,1,3,333,0,72,485
BLOUNTMIDDLESETTLEMENTS,22,0,20,0,25,0,44,0,0,0,2,13,0,0,41,0,80,78,0,0,1,0,8,1,0,1,0,4,1,328,0,42,422
BLOUNTMISER STATION,69,0,53,4,33,0,105,0,0,0,2,38,0,0,138,0,187,291,3,0,1,0,40,0,0,4,0,2,7,883,0,122,1231
BLOUNTMONTVALE,167,1,137,16,86,3,369,1,3,0,10,53,0,2,320,1,543,657,0,0,4,0,101,4,0,6,0,19,13,2589,0,305,3393
BLOUNTOAK STREET,68,0,52,7,46,2,138,1,0,0,2,39,0,3,149,0,217,300,0,0,5,0,45,3,0,8,0,7,11,1100,0,120,1479
BLOUNTOAKVIEW,57,2,56,11,90,0,186,2,0,0,2,31,0,0,148,2,311,319,0,0,1,0,45,1,0,7,0,3,8,1461,0,115,1845
BLOUNTPELLISSIPPI CAMPUS,30,1,29,4,24,1,91,0,0,0,0,7,0,1,54,0,136,117,1,0,1,0,18,1,0,4,0,1,2,518,0,60,663
BLOUNTPORTER,51,0,56,10,53,0,146,0,0,0,1,26,0,1,170,0,290,259,0,0,0,0,44,2,0,7,0,8,6,1169,0,107,1495
BLOUNTROCKFORD,102,2,84,2,46,0,119,0,1,0,1,20,0,1,107,1,224,377,5,0,2,0,36,1,0,7,0,6,13,898,0,188,1345
BLOUNTTOWNSEND,87,2,62,11,44,0,111,1,0,1,3,30,0,3,136,0,259,336,0,1,2,0,35,6,0,8,0,11,6,1021,0,151,1426
BLOUNTWALLAND,37,0,23,2,26,0,69,0,0,0,3,15,1,0,65,1,159,151,0,0,0,0,16,1,0,2,0,6,2,591,0,60,769
BLOUNTWILLIAM BLOUNT HS,42,1,67,5,44,2,105,0,0,0,0,19,0,1,109,1,218,238,0,0,2,0,47,4,0,5,0,6,3,954,0,110,1259
BLOUNTWM BLOUNT ACADEMY,126,4,123,11,127,4,373,1,0,0,3,73,1,1,273,0,641,614,7,0,3,0,114,5,0,10,0,11,18,2889,1,253,3672
BRADLEY1-1 MCDONALD,43,1,42,9,63,0,106,0,0,0,3,31,0,0,117,1,292,195,0,0,1,0,39,1,0,0,0,5,6,1122,0,86,1369
BRADLEY1-2 PROSPECT,102,3,104,22,155,2,356,1,1,0,3,110,0,1,501,1,540,528,4,0,5,0,99,1,0,9,0,19,15,2653,0,209,3333
BRADLEY1-3 HOPEWELL,54,1,52,6,124,0,246,1,0,0,3,62,0,1,235,0,379,321,1,0,0,0,39,2,0,2,0,3,10,1824,0,107,2202
BRADLEY2-1 E.L. ROSS,172,2,127,28,192,3,353,2,0,1,7,102,0,4,529,1,602,749,1,0,6,0,119,4,0,11,0,15,15,3208,0,301,4128
BRADLEY2-2 WALKER VALLEY,13,0,9,1,10,0,17,0,0,0,1,4,0,2,19,0,48,497,2,0,4,0,82,2,0,2,0,6,15,2275,0,22,2885
BRADLEY3-1 LEE UNIVERSITY,130,0,87,9,58,0,102,0,1,0,3,44,0,3,202,1,208,518,0,0,3,0,79,5,0,11,0,8,23,998,0,217,1645
BRADLEY3-2 SENIOR CENTER,29,0,21,5,26,0,71,1,0,0,0,18,0,0,96,0,97,626,2,0,11,0,95,7,0,9,0,16,15,2259,0,50,3040
BRADLEY4-1 OAK GROVE,65,0,65,14,103,0,252,0,0,0,6,18,0,1,179,1,435,310,0,0,4,0,62,3,0,3,0,8,11,1998,0,130,2399
BRADLEY4-2 MICHIGAN AVE,125,0,96,5,119,0,347,0,0,0,1,46,1,1,278,1,506,472,0,0,3,0,73,4,0,6,0,8,13,2472,0,221,3051
BRADLEY5-1 BLYTHE/BOWER,6,0,6,3,8,0,24,1,0,1,1,5,0,0,12,0,32,454,0,0,5,0,65,0,0,5,0,2,10,1736,0,12,2277
BRADLEY5-2 MUSEUM,85,0,40,3,29,0,56,0,0,1,3,5,0,0,34,0,141,334,0,0,0,1,32,1,0,4,0,7,8,646,0,125,1033
BRADLEY6-1 VALLEY VIEW,54,2,55,7,61,0,211,1,1,0,4,13,0,1,125,1,273,179,1,0,5,0,29,0,0,5,0,2,9,1413,0,111,1643
BRADLEY6-2 BLUE SPRINGS,48,1,17,6,89,0,154,0,0,0,3,21,0,1,93,1,222,270,0,0,7,0,49,2,0,5,0,9,9,1672,0,66,2023
BRADLEY6-3 WATERVILLE,14,0,19,3,25,1,43,0,0,0,1,6,0,0,56,0,92,193,2,0,0,0,26,4,0,3,0,3,5,886,0,33,1122
BRADLEY6-4 BLACK FOX,17,0,23,3,82,2,63,1,1,0,2,6,0,0,74,0,130,123,0,0,1,0,32,1,0,0,0,9,10,819,0,40,995
BRADLEY7-1 STUART,183,1,134,19,138,1,281,5,0,1,11,75,0,3,383,2,469,820,1,0,7,0,109,4,0,13,0,16,22,2316,0,318,3308
BRADLEY7-2 CLEVELAND HIGH,131,0,105,8,86,1,158,1,0,0,6,61,0,0,287,0,266,481,1,0,4,0,69,3,0,7,0,7,14,1471,0,236,2057
CAMPBELL1-1 ALDER SPRINGS,15,0,5,0,5,0,29,1,0,0,0,9,0,0,23,0,72,65,0,0,1,0,6,0,0,0,0,0,2,345,0,20,419
CAMPBELL1-2 DEMORY,40,0,12,1,16,0,56,0,0,0,0,7,0,0,47,0,151,109,0,0,1,0,13,1,0,0,0,0,6,507,0,52,637
CAMPBELL1-3 PINECREST,16,0,11,1,3,0,8,1,0,0,0,4,0,0,16,0,49,66,0,0,0,0,5,2,0,0,0,2,0,205,0,27,280
CAMPBELL1-4 VALLEY VIEW,57,1,22,3,16,2,115,0,0,1,0,10,0,3,58,2,257,199,0,0,1,0,18,2,0,3,0,6,4,1019,0,80,1252
CAMPBELL1-5 WELL SPRINGS,16,0,1,0,6,0,23,0,0,0,0,9,0,0,16,0,60,44,0,0,0,0,3,0,0,0,0,0,0,234,0,17,281
CAMPBELL2-1 COLLEGE HILL,19,2,6,0,7,0,17,0,0,0,0,4,0,0,10,0,37,55,0,0,1,0,5,0,0,0,0,0,2,209,0,27,272
CAMPBELL3-1 CCHS,27,1,21,2,15,0,30,0,0,0,0,7,0,0,54,0,120,98,0,0,1,0,13,1,0,2,0,3,1,575,0,49,694
CAMPBELL3-2 JACKSBORO STA,69,1,29,6,37,1,87,0,0,0,1,19,0,1,77,0,228,207,1,0,3,0,30,1,0,0,0,3,2,1054,0,99,1301
CAMPBELL3-3 WEST LAFOLLETTE,38,0,9,0,10,0,23,0,0,0,0,3,0,0,10,0,93,113,0,0,3,0,8,3,0,0,0,1,3,385,0,47,516
CAMPBELL4-1 CARYVILLE,69,1,25,2,23,1,83,0,0,0,0,22,0,0,83,0,211,199,0,0,2,0,32,5,0,2,0,5,1,928,0,95,1174
CAMPBELL4-2 CLINCHMORE,4,0,2,0,1,0,7,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,31,0,6,41
CAMPBELL4-3 JACKSBORO,49,4,29,1,22,1,87,0,0,0,1,6,0,0,63,0,161,168,0,0,4,0,27,1,0,1,0,5,2,836,0,82,1044
CAMPBELL4-4 RIDGEWOOD,33,1,29,2,12,0,60,0,0,0,1,7,0,0,34,0,111,132,0,0,4,0,16,1,0,1,0,4,3,497,0,63,658
CAMPBELL5-1 ELK VALLEY,8,0,7,1,12,0,25,0,0,0,0,2,0,0,5,0,34,25,1,0,0,0,4,0,0,2,0,2,3,227,0,15,264
CAMPBELL5-2 HABERSHAM,10,0,9,2,9,0,25,0,0,0,1,7,0,0,12,0,82,53,0,0,0,0,9,2,0,0,0,1,0,376,0,19,441
CAMPBELL5-3 JELLICO,47,0,30,7,26,0,24,0,0,0,0,5,0,0,45,0,129,215,0,0,1,0,16,2,0,1,0,0,4,610,0,77,849
CAMPBELL5-4 NEWCOMB,13,0,7,1,13,0,8,0,0,0,1,3,0,0,22,0,47,71,0,0,0,0,8,0,0,1,0,0,3,267,0,20,350
CAMPBELL5-5 WHITE OAK,20,0,9,0,0,0,6,0,0,0,0,3,0,0,8,0,27,44,0,0,1,0,2,3,0,0,0,1,1,149,0,29,201
CANNON1-1 WESTSIDE,83,3,39,3,47,3,191,2,0,0,3,18,0,0,49,1,309,231,0,0,0,0,25,2,0,2,0,4,3,1003,0,125,1270
CANNON2-1 AUBURNTOWN,31,0,18,0,11,0,54,0,0,0,0,12,0,0,24,0,86,88,0,0,0,0,5,0,0,0,0,0,2,302,0,49,397
CANNON2-2 GASSAWAY,19,0,13,1,3,0,18,0,0,0,1,1,0,0,1,1,52,67,0,0,0,0,3,0,0,0,0,1,3,144,0,32,218
CANNON2-3 PLEASANT RIDGE,23,0,18,1,3,0,52,0,0,0,0,0,0,1,17,0,68,66,0,0,0,0,9,0,0,0,0,0,4,218,0,41,297
CANNON2-4 SHORT MOUNTAIN,23,0,24,1,5,1,24,0,0,0,0,0,0,0,9,0,51,63,0,0,2,0,3,0,0,0,0,1,6,157,0,47,232
CANNON3-2 WOODLAND,75,3,24,5,33,3,129,1,0,0,0,8,0,0,33,0,216,153,2,0,2,0,23,1,0,1,0,3,5,797,0,102,987
CANNON4-1 EASTSIDE,59,1,23,2,23,0,90,0,0,0,0,3,0,1,29,0,222,160,0,0,1,0,10,1,0,1,0,5,2,667,0,83,847
CANNON4-2 SHORT MOUNTAIN,23,2,18,2,14,0,25,0,0,0,0,0,0,0,9,0,80,59,0,0,0,0,8,1,0,0,0,0,0,205,0,43,273
CANNON5-1 WOODBURY,103,1,42,2,20,1,74,0,0,0,0,8,0,0,24,0,160,240,0,0,3,0,20,2,0,0,0,4,4,514,0,146,787
CARROLLATWOOD,61,1,20,1,26,0,60,0,0,0,1,1,0,0,18,0,108,194,0,0,2,0,8,1,0,1,0,1,4,442,0,82,653
CARROLLBETHEL COLLEGE,49,4,41,3,23,0,72,0,0,0,1,22,0,0,92,1,157,208,1,0,2,0,25,1,0,5,0,2,3,807,0,94,1054
CARROLLBRUCETON,32,1,26,4,16,0,58,0,0,0,2,5,0,0,19,0,79,142,0,0,1,0,11,1,0,0,0,0,2,438,0,59,595
CARROLLBUENA VISTA,5,0,5,1,1,0,14,0,0,0,0,0,0,0,3,0,30,28,0,0,1,0,1,0,0,0,0,0,0,115,0,10,145
CARROLLCANNON,19,1,13,1,11,0,35,0,1,0,1,2,0,1,17,0,51,60,0,0,3,0,2,1,0,2,0,1,0,244,0,33,313
CARROLLCEDAR GROVE,34,0,11,3,17,0,57,0,0,0,0,10,0,1,34,0,82,103,0,0,1,0,5,4,0,1,0,3,1,438,0,45,556
CARROLLCIVIC CENTER,146,1,37,11,42,1,158,0,0,1,2,30,0,2,130,0,208,400,0,0,3,0,36,4,0,3,0,0,4,1182,0,184,1632
CARROLLCLARKSBURG,19,1,14,0,31,1,93,0,0,0,1,8,0,0,42,0,104,85,0,0,0,0,9,2,0,2,0,1,5,591,0,34,695
CARROLLCONCORD,25,0,7,0,13,0,27,0,0,0,0,4,0,0,14,0,30,89,0,0,1,0,4,0,0,0,0,2,2,210,0,32,308
CARROLLHOLLOW ROCK,36,0,15,1,8,0,27,0,0,0,2,6,0,0,19,0,55,107,0,0,0,0,6,1,0,0,0,0,3,327,0,51,444
CARROLLHUNTINGDON,68,2,38,2,37,0,92,0,0,1,1,23,0,0,63,0,169,230,1,0,3,0,19,2,0,2,0,5,2,836,0,108,1100
CARROLLLAVINIA,15,1,5,1,14,0,39,0,0,0,0,2,0,0,18,0,57,42,0,0,0,0,6,1,0,0,0,0,0,280,0,21,329
CARROLLMACEDONIA,7,1,3,1,8,0,24,0,0,0,0,2,0,0,11,0,30,27,0,0,0,0,6,0,0,0,0,0,1,146,0,11,180
CARROLLMCKENZIE,29,0,17,2,11,0,41,0,1,0,0,7,0,0,25,0,75,106,0,0,0,0,5,0,0,0,0,0,2,284,0,46,397
CARROLLMCLEMORESVILLE,38,2,11,2,15,1,29,0,0,0,0,5,0,0,16,0,75,82,0,0,2,0,8,0,0,0,0,1,3,270,0,51,366
CARROLLSENIOR CITIZENS,68,0,28,2,19,0,46,0,0,0,2,13,0,0,26,0,97,245,0,0,2,0,9,1,0,3,0,1,5,475,0,96,741
CARROLLTREZEVANT,60,0,7,0,17,0,62,0,0,0,1,4,0,0,17,0,124,138,0,0,1,0,15,1,0,0,0,1,1,466,0,67,623
CARROLLVALE,6,0,6,1,2,0,15,0,0,0,0,1,0,0,6,2,26,18,0,0,0,0,5,0,0,0,0,0,1,90,0,12,114
CARROLLWESTPORT,4,0,3,0,4,0,18,0,0,0,0,1,0,0,3,0,24,23,0,0,0,0,1,0,0,0,0,0,0,115,0,7,139
CARTERCENTRAL,51,0,47,6,38,1,142,0,0,0,3,12,0,0,120,0,220,206,1,0,2,0,21,0,0,1,0,3,10,986,0,98,1230
CARTERCOURTHOUSE,49,0,24,7,42,2,125,0,0,1,2,13,0,2,115,0,223,179,1,0,3,0,19,0,0,1,0,3,10,905,0,73,1121
CARTEREASTSIDE,23,0,38,4,29,0,109,0,0,0,2,8,0,1,57,0,218,146,0,0,1,0,16,1,0,1,0,4,5,712,0,61,886
CARTERELK MILLS,13,0,3,0,2,0,14,0,0,0,0,0,0,0,16,0,40,24,0,0,1,0,1,0,0,0,0,0,0,138,0,16,164
CARTERGAP CREEK,56,1,52,2,52,0,137,1,0,0,1,14,0,0,116,0,325,218,1,0,1,0,28,2,0,2,0,4,4,1254,0,109,1514
CARTERHAMPTON,19,0,32,5,18,0,72,0,0,0,1,5,0,1,64,0,185,73,0,0,1,0,9,1,0,1,0,0,4,641,0,51,730
CARTERHAPPY VALLEY,100,1,153,14,82,2,248,1,0,0,5,55,0,1,234,1,373,577,2,0,1,0,91,7,0,15,0,13,25,1778,0,254,2509
CARTERHAROLD MCCORMICK,58,2,54,14,27,1,66,1,0,1,3,7,0,0,43,1,150,219,1,0,1,0,24,3,0,2,0,0,7,535,0,114,792
CARTERHIGH SCHOOL,60,0,98,9,49,3,143,1,2,0,2,30,0,0,125,1,231,320,2,0,4,0,42,1,0,2,0,2,17,1040,0,158,1430
CARTERHUNTER,55,0,42,8,55,2,205,0,0,0,6,33,0,3,135,1,399,199,0,0,2,0,18,0,0,1,0,7,6,1426,0,97,1659
CARTERKEENBURG,28,1,35,1,19,0,89,0,1,0,4,15,0,0,57,0,200,139,1,0,0,0,17,0,0,4,0,0,2,666,0,64,829
CARTERLITTLE MILLIGAN,7,0,6,0,16,0,28,0,0,0,0,11,0,1,27,0,59,38,0,0,0,0,3,0,0,0,0,0,1,230,0,13,272
