precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH,dem_primary_total,general_total
WASHINGTON11 INDIAN TRAIL,92,1,89,5,44,1,138,2,1,0,2,42,0,1,163,0,170,501,0,0,4,0,55,2,0,3,0,5,26,984,0,182,1580
WASHINGTON12 PRINCETON,13,0,24,1,22,0,39,1,0,0,0,9,0,0,32,1,87,94,0,0,1,0,8,2,0,1,0,1,2,383,0,37,492
WASHINGTON13 STRATTON,108,1,113,6,49,0,98,0,0,0,5,43,0,0,131,1,199,620,0,0,3,0,55,4,0,6,0,7,19,954,0,222,1668
WASHINGTON14 BOWMANTOWN,28,0,23,1,43,0,138,0,2,0,0,20,0,0,88,1,199,135,2,0,1,0,23,0,0,2,0,0,4,801,0,51,968
WASHINGTON15 COURTHOUSE,89,1,114,10,105,1,334,1,2,0,5,41,0,0,280,0,529,558,2,0,2,0,75,5,0,13,0,8,16,2261,0,204,2940
WASHINGTON16 MARVIN'S CHAPEL,17,0,21,0,15,1,45,0,0,0,0,16,0,1,66,0,43,118,0,0,0,0,11,0,0,0,0,1,0,248,0,38,378
WASHINGTON17 TOWN ACRES,176,1,141,15,78,1,198,0,0,1,1,74,0,4,322,1,346,882,2,0,4,0,97,3,0,8,0,4,25,1715,0,318,2740
WASHINGTON18 FAIRMONT,73,0,87,7,25,1,105,1,0,1,0,38,0,1,147,0,179,384,0,0,1,0,34,2,0,1,0,2,14,801,0,160,1239
WASHINGTON19 LEESBURG,23,0,29,0,18,0,73,0,0,0,2,9,0,1,63,0,123,125,0,0,1,0,12,1,0,2,0,1,5,504,0,52,651
WASHINGTON20 VISITOR'S CENTER,158,2,128,15,98,1,192,1,1,0,2,56,0,1,231,0,323,674,0,0,5,0,76,3,0,4,0,3,18,1588,0,288,2371
WASHINGTON21 ASBURY,10,0,11,2,8,0,51,0,0,0,0,12,0,2,27,0,57,56,1,0,1,0,10,0,0,0,0,4,3,263,0,21,338
WASHINGTON22 FAIRHAVEN OUTSIDE,16,0,21,0,6,0,36,0,0,0,0,4,0,2,27,0,54,79,0,0,2,0,10,0,0,0,0,3,0,260,0,37,354
WASHINGTON23 WOODLAND,30,1,66,3,21,0,66,0,0,0,3,13,0,2,61,0,121,200,0,0,1,0,29,2,0,0,0,2,7,532,0,97,773
WASHINGTON24 HENRY JOHNSON,127,1,132,3,51,1,136,0,0,0,0,61,0,2,186,1,247,641,0,0,5,0,61,1,0,4,0,6,28,1121,0,260,1867
