precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP
BAYHAMPTON TOWNSHIP 5,6,375,13,0,0,0,0,0,0,0,44,0,446
BAYKAWKAWLIN TOWNSHIP 1,4,470,18,0,0,0,0,0,0,0,51,0,832
BAYKAWKAWLIN TOWNSHIP 2,2,414,9,0,0,0,0,0,0,0,28,0,666
BAYMERRITT TOWNSHIP 1,5,243,3,0,0,0,0,0,0,0,25,0,525
BAYMIDLAND CITY 6 WARD 1,0,20,1,0,0,0,0,0,0,0,8,0,31
BAYMONITOR TOWNSHIP 1,2,302,10,0,0,0,0,0,0,0,26,0,355
BAYMONITOR TOWNSHIP 2,3,593,7,0,0,0,0,0,0,0,52,0,783
BAYMONITOR TOWNSHIP 3,6,380,12,0,0,0,0,0,0,0,48,0,727
BAYMONITOR TOWNSHIP 4,7,433,4,0,0,0,0,0,0,0,25,0,521
BAYMONITOR TOWNSHIP 5,7,426,16,0,0,0,0,0,0,0,51,0,767
BAYMONITOR TOWNSHIP 6,2,285,7,0,0,0,0,0,0,0,35,0,435
BAYMOUNT FOREST TOWNSHIP 1,5,200,6,0,0,0,0,0,0,0,28,0,469
BAYPINCONNING CITY 1,1,198,4,0,0,0,0,0,0,0,21,0,280
BAYPINCONNING TOWNSHIP 1,1,396,11,0,0,0,0,0,0,0,43,0,781
BAYPORTSMOUTH TOWNSHIP 1,7,319,8,0,0,0,0,0,0,0,38,0,437
BAYPORTSMOUTH TOWNSHIP 2,6,467,9,0,0,0,0,0,0,0,46,0,582
BAYWILLIAMS TOWNSHIP 1,6,406,12,0,0,0,0,0,0,0,81,0,851
BAYWILLIAMS TOWNSHIP 2,4,331,9,0,0,0,0,0,0,0,46,0,540
BAYWILLIAMS TOWNSHIP 3,3,130,2,0,0,0,0,0,0,0,21,0,244
BENZIE9999,0,0,0,0,0,0,0,0,7,0,0,0,0
BENZIEALMIRA TOWNSHIP 1,3,751,29,0,0,0,0,0,0,0,58,1,1214
BENZIEBENZONIA TOWNSHIP 1,9,724,31,0,0,0,0,0,0,0,56,0,825
BENZIEBLAINE TOWNSHIP 1,1,145,6,0,0,0,0,0,0,0,21,1,198
BENZIECOLFAX TOWNSHIP 1,0,90,4,0,0,0,0,0,0,0,7,1,204
BENZIECRYSTAL LAKE TOWNSHIP 1,5,364,4,0,0,0,0,0,0,0,22,0,346
BENZIEFRANKFORT CITY 1,2,385,8,0,0,0,0,0,0,0,39,1,293
BENZIEGILMORE TOWNSHIP 1,2,238,11,0,0,0,0,0,0,0,11,0,190
BENZIEHOMESTEAD TOWNSHIP 1,4,406,26,0,0,0,0,0,0,0,51,3,700
BENZIEINLAND TOWNSHIP 1,6,375,12,0,0,0,0,0,0,0,48,0,726
BENZIEJOYFIELD TOWNSHIP 1,0,153,6,0,0,0,0,0,0,0,25,0,238
BENZIELAKE TOWNSHIP 1,0,268,4,0,0,0,0,0,0,0,19,0,305
BENZIEPLATTE TOWNSHIP 1,1,103,6,0,0,0,0,0,0,0,14,0,100
BENZIEWELDON TOWNSHIP 1,3,106,2,0,0,0,0,0,0,0,11,0,200
BERRIEN9999,0,0,0,0,0,0,0,0,0,0,0,0,0
BERRIENBAINBRIDGE TOWNSHIP 1,5,303,8,0,0,0,0,0,4,0,46,0,1075
BERRIENBARODA TOWNSHIP 1,6,339,8,0,0,0,0,0,0,0,57,0,978
BERRIENBENTON HARBOR CITY 1,1,892,2,0,0,0,0,0,0,0,5,0,31
BERRIENBENTON HARBOR CITY 2,0,573,7,0,0,0,0,0,0,0,5,0,14
BERRIENBENTON HARBOR CITY 3,2,916,2,0,0,0,0,0,0,0,4,0,17
BERRIENBENTON HARBOR CITY 4,2,827,3,0,0,0,0,0,0,0,5,0,57
BERRIENBENTON TOWNSHIP 1,2,737,8,0,0,0,0,0,0,0,21,0,483
BERRIENBENTON TOWNSHIP 2,2,576,1,0,0,0,0,0,2,0,17,0,139
BERRIENBENTON TOWNSHIP 3,2,387,9,0,0,0,0,0,1,0,23,0,234
BERRIENBENTON TOWNSHIP 4,2,487,10,0,0,0,0,0,8,0,32,0,340
BERRIENBENTON TOWNSHIP 5,4,633,8,0,0,0,0,0,2,0,16,0,349
BERRIENBENTON TOWNSHIP 6,5,936,6,0,0,0,0,0,1,0,17,0,122
BERRIENBERRIEN TOWNSHIP 1,8,463,18,0,0,0,0,0,0,0,57,0,727
BERRIENBERRIEN TOWNSHIP 2,8,252,7,0,0,0,0,0,7,0,52,1,636
BERRIENBERTRAND TOWNSHIP 1,8,442,9,0,0,0,0,0,4,0,54,0,965
BERRIENBRIDGMAN CITY 1,10,403,6,0,0,0,0,0,4,0,44,0,658
BERRIENBUCHANAN CITY 1,2,417,10,0,0,0,0,0,1,0,56,0,532
BERRIENBUCHANAN CITY 2,6,266,10,0,0,0,0,0,4,0,27,1,476
BERRIENBUCHANAN TOWNSHIP 1,5,497,11,0,0,0,0,0,3,0,58,1,1042
BERRIENCHIKAMING TOWNSHIP 1,4,829,22,0,0,0,0,0,0,0,75,0,845
BERRIENCOLOMA CITY 1,4,189,3,0,0,0,0,0,2,0,32,1,448
BERRIENCOLOMA TOWNSHIP 1,5,332,7,0,0,0,0,0,0,0,48,1,896
BERRIENCOLOMA TOWNSHIP 2,5,259,8,0,0,0,0,0,0,0,31,0,702
BERRIENGALIEN TOWNSHIP 1,5,195,11,0,0,0,0,0,0,0,22,0,399
BERRIENHAGAR TOWNSHIP 1,0,232,4,0,0,0,0,0,0,0,39,0,525
BERRIENHAGAR TOWNSHIP 2,2,285,13,0,0,0,0,0,2,0,20,0,577
BERRIENLAKE TOWNSHIP 1,9,464,18,0,0,0,0,0,6,0,74,0,1152
BERRIENLINCOLN TOWNSHIP 1,11,529,11,0,0,0,0,1,13,0,78,1,1147
BERRIENLINCOLN TOWNSHIP 2,6,371,12,0,0,0,0,0,3,0,50,0,732
BERRIENLINCOLN TOWNSHIP 3,2,614,15,0,0,0,0,1,7,0,70,0,963
BERRIENLINCOLN TOWNSHIP 4,4,488,11,0,0,0,0,0,0,0,84,0,999
BERRIENLINCOLN TOWNSHIP 5,7,308,4,0,0,0,0,0,7,0,43,0,664
BERRIENLINCOLN TOWNSHIP 6,5,255,11,0,0,0,0,0,1,0,34,2,578
BERRIENNEW BUFFALO CITY 1,4,451,12,0,0,0,0,0,0,0,34,2,431
BERRIENNEW BUFFALO TOWNSHIP 1,1,640,11,0,0,0,0,0,0,0,51,2,599
BERRIENNILES CITY 1,2,388,12,0,0,0,0,1,0,0,35,1,421
BERRIENNILES CITY 2,9,480,18,0,0,0,0,0,0,0,46,1,504
BERRIENNILES CITY 3,4,441,15,0,0,0,0,0,1,0,33,0,454
BERRIENNILES CITY 4,3,521,16,0,0,0,0,0,3,0,54,1,745
BERRIENNILES TOWNSHIP 1,6,400,17,0,0,0,0,0,0,0,38,0,750
BERRIENNILES TOWNSHIP 2,7,310,10,0,0,0,0,0,0,0,26,1,425
BERRIENNILES TOWNSHIP 3,5,485,21,0,0,0,0,0,0,0,57,1,813
BERRIENNILES TOWNSHIP 4,6,419,15,0,0,0,0,0,2,0,51,0,753
BERRIENNILES TOWNSHIP 5,6,471,6,0,0,0,0,0,8,0,44,1,758
BERRIENORONOKO TOWNSHIP 1,9,481,15,0,0,0,0,0,0,0,89,1,877
BERRIENORONOKO TOWNSHIP 2,4,342,14,0,0,0,0,0,0,0,47,1,340
BERRIENORONOKO TOWNSHIP 3,7,754,26,0,0,0,0,0,0,0,72,2,379
BERRIENPIPESTONE TOWNSHIP 1,16,237,6,0,0,0,0,0,0,0,35,0,730
BERRIENROYALTON TOWNSHIP 1,6,413,13,0,0,0,0,0,0,0,52,0,774
BERRIENROYALTON TOWNSHIP 2,5,386,8,0,0,0,0,0,0,0,65,0,937
BERRIENSODUS TOWNSHIP 1,2,322,7,0,0,0,0,0,0,2,53,0,660
BERRIENST. JOSEPH CITY 1,1,753,20,0,1,0,0,0,8,0,75,0,747
BERRIENST. JOSEPH CITY 2,4,747,14,0,0,0,0,0,5,0,81,0,715
BERRIENST. JOSEPH CITY 3,4,604,12,0,0,0,0,0,2,0,61,0,573
BERRIENST. JOSEPH TOWNSHIP 1,5,997,19,0,0,0,0,1,7,0,52,0,659
BERRIENST. JOSEPH TOWNSHIP 2,0,450,7,0,0,0,0,0,9,0,42,0,699
BERRIENST. JOSEPH TOWNSHIP 3,1,366,5,0,0,0,0,2,2,0,46,2,644
BERRIENST. JOSEPH TOWNSHIP 4,8,658,14,0,0,2,0,0,6,0,85,1,1133
BERRIENTHREE OAKS TOWNSHIP 1,5,479,15,0,0,0,0,0,0,0,40,0,701
BERRIENWATERVLIET CITY 1,4,193,3,0,0,0,0,0,0,0,24,0,409
BERRIENWATERVLIET TOWNSHIP 1,5,345,14,0,0,0,0,0,2,0,33,2,883
