precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FOX,gen_ind_HARTNELL,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_lib_JOHNSON,gen_nlp_SOLTYSIK,gen_rep_TRUMP,dem_primary_total,general_total
ALLEGANALLEGAN TOWNSHIP 1,107,1,0,154,3,3,0,127,1,0,3,137,0,0,40,0,134,6,554,10,0,0,0,0,0,1,0,78,0,835,262,1484
ALLEGANALLEGAN TOWNSHIP 2,41,0,0,59,2,4,0,61,0,0,0,34,0,0,20,0,70,3,209,7,0,0,0,0,0,0,0,20,0,354,100,593
ALLEGANCASCO TOWNSHIP 1,117,0,0,132,4,2,0,99,0,1,0,114,0,1,46,0,134,4,605,8,0,0,0,0,0,0,0,69,0,730,249,1416
ALLEGANCHESHIRE TOWNSHIP 1,62,0,0,110,2,6,0,80,0,0,1,68,0,1,23,0,77,5,290,13,0,0,0,0,0,0,0,43,0,516,172,867
ALLEGANCLYDE TOWNSHIP 1,64,0,0,83,2,9,1,70,0,0,0,47,0,2,18,0,79,0,310,6,0,0,0,0,0,1,0,30,0,409,147,756
ALLEGANDORR TOWNSHIP 1,67,0,0,92,3,5,1,241,0,1,2,70,0,0,38,0,119,10,261,7,0,0,0,0,0,1,0,47,0,782,159,1108
ALLEGANDORR TOWNSHIP 2,60,0,0,142,5,9,0,376,1,0,0,114,0,1,52,1,171,8,348,22,0,0,0,0,0,11,0,81,0,1163,202,1633
ALLEGANDORR TOWNSHIP 3,64,0,0,107,3,2,0,226,0,0,0,61,1,0,31,0,116,8,330,14,0,0,0,0,0,1,0,58,0,810,171,1221
ALLEGANDOUGLAS CITY 1,174,0,0,115,3,1,0,24,0,1,0,70,0,1,22,0,64,1,528,6,0,0,0,0,0,0,0,17,0,245,289,797
ALLEGANFENNVILLE CITY 1,39,0,0,87,2,1,0,25,0,0,1,20,0,0,11,0,48,2,204,10,0,0,0,0,0,0,0,28,0,229,126,473
ALLEGANFILLMORE TOWNSHIP 1,38,0,0,79,6,19,0,345,1,0,0,164,0,2,100,3,131,4,227,10,0,0,0,0,0,0,0,39,0,1163,117,1443
ALLEGANGANGES TOWNSHIP 1,135,1,0,189,6,7,4,114,1,0,0,123,0,0,62,0,141,3,602,13,0,0,0,0,0,1,0,52,1,727,325,1399
ALLEGANGUNPLAIN TOWNSHIP 1,145,0,1,196,1,14,2,185,0,0,1,173,0,1,90,0,172,10,743,25,0,0,0,0,0,4,0,89,0,1009,342,1880
ALLEGANGUNPLAIN TOWNSHIP 2,69,0,0,135,2,10,1,117,1,0,0,71,0,1,24,1,142,6,445,11,0,0,0,0,0,4,0,66,1,648,204,1181
ALLEGANHEATH TOWNSHIP 1,65,1,0,136,6,19,3,308,0,0,2,160,0,0,81,0,188,11,348,17,0,0,0,0,0,1,0,70,1,1401,202,1849
ALLEGANHOLLAND CITY 11 WARD 5,41,0,0,121,2,11,1,107,0,0,0,87,0,1,47,1,59,3,316,12,0,0,0,0,0,10,0,37,0,445,162,823
ALLEGANHOLLAND CITY 12 WARD 5,52,0,0,79,6,8,1,161,0,2,3,166,0,2,69,0,61,3,312,10,0,0,0,0,0,10,0,44,0,583,131,962
ALLEGANHOLLAND CITY 13 WARD 5,48,0,0,70,6,6,0,73,0,0,4,89,0,0,53,0,40,5,335,4,0,0,0,0,0,3,0,43,0,430,118,820
ALLEGANHOLLAND CITY 9 WARD 4,73,0,0,101,0,11,0,152,1,0,1,138,0,2,56,0,54,5,370,18,0,0,0,0,0,11,0,23,2,473,174,902
ALLEGANHOPKINS TOWNSHIP 1,40,0,0,132,1,12,1,206,0,0,0,90,0,2,33,1,136,7,306,17,0,0,0,0,0,0,0,85,3,905,172,1323
ALLEGANLAKETOWN TOWNSHIP 1,105,0,1,138,1,9,2,201,0,0,0,225,0,2,67,0,96,7,523,6,0,0,0,1,0,15,0,53,3,759,244,1367
ALLEGANLAKETOWN TOWNSHIP 2,73,0,0,137,10,23,1,264,0,0,3,265,2,0,101,0,172,8,459,14,0,0,0,0,0,7,0,52,0,1151,210,1691
ALLEGANLAKETOWN TOWNSHIP 3,55,0,0,63,0,3,0,74,1,0,0,87,0,0,24,0,49,4,254,11,0,0,0,0,0,3,0,22,0,342,118,636
ALLEGANLEE TOWNSHIP 1,67,0,1,111,1,3,0,56,0,0,0,35,0,1,5,0,104,1,381,7,0,0,0,0,0,0,0,39,1,521,179,950
ALLEGANLEIGHTON TOWNSHIP 1,50,1,0,121,6,10,0,407,1,0,1,122,0,0,54,0,174,14,410,14,0,0,0,0,0,5,0,80,1,1339,172,1863
ALLEGANLEIGHTON TOWNSHIP 2,27,0,0,63,2,14,0,258,0,0,0,115,0,1,58,1,132,10,202,5,0,0,0,0,0,5,0,57,0,894,90,1173
ALLEGANMANLIUS TOWNSHIP 1,87,0,0,120,13,10,1,242,0,0,0,144,0,1,55,0,158,8,424,12,0,0,0,0,1,3,0,69,1,1141,207,1659
ALLEGANMARTIN TOWNSHIP 1,35,1,0,104,8,10,1,168,0,0,0,82,0,5,36,1,117,11,296,7,0,0,0,0,0,0,0,63,0,839,140,1216
ALLEGANMONTEREY TOWNSHIP 1,52,1,0,76,0,6,1,172,1,0,0,58,0,3,33,1,129,7,256,9,0,0,0,0,0,0,0,52,0,748,129,1072
ALLEGANOTSEGO CITY 1,128,0,0,241,0,5,1,140,0,0,0,104,1,3,57,1,147,11,651,23,0,0,0,0,0,4,0,105,1,831,369,1626
ALLEGANOTSEGO TOWNSHIP 1,112,0,0,156,4,14,2,132,0,0,4,100,0,2,61,1,188,6,522,23,0,0,0,0,0,2,0,70,3,786,268,1412
ALLEGANOTSEGO TOWNSHIP 2,127,0,0,119,7,12,2,120,0,0,0,84,0,1,40,1,138,5,499,16,0,0,0,0,0,1,0,62,1,728,246,1312
ALLEGANOVERISEL TOWNSHIP 1,25,0,0,77,7,18,1,454,0,0,3,169,0,4,82,0,143,15,194,16,0,0,0,0,0,5,0,42,1,1437,102,1710
ALLEGANPLAINWELL CITY 1,137,0,2,269,6,2,3,150,1,0,3,109,1,1,64,2,117,7,748,30,0,0,0,0,0,4,0,102,1,786,408,1678
ALLEGANSALEM TOWNSHIP 1,20,0,0,52,3,11,1,318,0,0,0,107,0,2,42,1,121,12,166,6,0,0,0,0,0,4,0,42,0,1023,72,1253
ALLEGANSALEM TOWNSHIP 2,49,0,0,91,3,10,0,194,0,0,0,82,1,2,28,0,135,5,248,9,0,0,0,0,0,2,0,58,0,925,140,1247
ALLEGANSAUGATUCK CITY 1,103,0,0,87,3,3,0,17,2,0,0,44,0,0,16,1,43,0,364,7,0,0,0,0,0,0,0,14,0,180,190,565
ALLEGANSAUGATUCK TOWNSHIP 1,224,0,0,278,6,2,1,122,2,0,1,212,0,1,47,0,185,8,1010,20,0,0,0,1,0,5,0,76,0,920,502,2040
ALLEGANSOUTH HAVEN CITY 1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,5
ALLEGANTROWBRIDGE TOWNSHIP 1,82,0,0,98,2,7,1,127,0,0,0,87,0,0,30,0,144,8,361,12,0,0,0,0,0,0,0,57,1,723,180,1162
ALLEGANVALLEY TOWNSHIP 1,54,1,0,81,0,2,0,94,0,0,0,66,0,0,21,1,106,4,307,2,0,0,0,0,0,0,0,42,0,579,136,934
ALLEGANWATSON TOWNSHIP 1,50,0,0,95,3,2,0,120,0,0,2,55,0,0,28,0,86,6,265,15,0,0,0,0,0,0,0,46,1,648,145,981
ALLEGANWAYLAND CITY 1,123,0,1,236,9,7,0,212,0,1,2,98,0,4,46,1,163,9,650,40,0,0,0,0,0,0,0,110,0,1045,360,1854
ALLEGANWAYLAND TOWNSHIP 1,71,0,0,175,2,10,2,245,0,0,1,90,0,1,31,0,186,10,455,10,0,0,0,0,0,0,0,80,0,1039,246,1594
BARRYASSYRIA TOWNSHIP 1,48,0,0,63,3,23,2,164,0,0,2,57,0,1,19,0,131,5,222,18,0,0,0,0,0,0,0,35,0,740,111,1020
BARRYBALTIMORE TOWNSHIP 1,57,1,0,89,1,3,2,130,0,0,0,68,0,0,23,0,123,11,233,11,0,0,0,0,0,0,0,42,0,621,147,918
BARRYBARRY TOWNSHIP 1,48,0,0,89,0,6,0,105,0,0,2,80,0,2,26,1,99,3,243,9,0,0,0,0,0,0,0,43,0,519,137,817
BARRYBARRY TOWNSHIP 2,68,0,1,104,6,6,0,90,0,0,0,72,0,2,15,0,128,3,336,15,0,0,0,0,0,0,0,47,0,544,173,945
BARRYCARLTON TOWNSHIP 1,57,0,2,114,8,14,0,162,0,0,2,115,0,1,40,0,152,13,336,8,0,0,0,0,0,0,0,69,0,840,173,1266
BARRYCASTLETON TOWNSHIP 1,83,0,1,128,2,10,1,133,1,0,3,66,0,0,25,0,162,11,380,10,0,0,0,0,0,0,0,41,0,862,212,1304
BARRYHASTINGS CITY 1,66,0,1,102,1,7,0,95,0,0,3,73,0,5,32,2,66,6,368,9,0,0,0,0,0,0,0,40,0,488,169,911
BARRYHASTINGS CITY 2,42,0,0,93,2,5,0,56,0,0,0,32,0,0,11,0,51,2,266,16,0,0,0,0,0,0,0,48,0,402,135,734
BARRYHASTINGS CITY 3,38,0,1,105,3,4,0,41,0,0,0,49,0,0,12,0,55,3,261,9,0,0,0,0,0,0,0,44,0,401,144,718
BARRYHASTINGS CITY 4,52,0,0,121,4,6,0,76,0,0,0,107,0,0,32,2,71,7,358,11,0,0,0,0,0,0,0,66,0,486,173,928
BARRYHASTINGS TOWNSHIP 1,90,0,0,160,3,16,3,145,0,0,3,123,0,2,48,0,177,4,462,21,0,0,0,0,0,0,0,69,0,933,250,1489
BARRYHOPE TOWNSHIP 1,112,0,0,192,8,7,2,145,0,2,0,99,0,1,41,1,194,9,539,21,0,0,0,0,0,0,0,62,0,1023,304,1654
BARRYIRVING TOWNSHIP 1,10,0,1,32,1,5,0,69,0,0,0,38,0,1,22,2,58,3,64,2,0,0,0,0,0,0,0,24,0,351,43,444
BARRYIRVING TOWNSHIP 2,46,0,0,114,2,10,1,212,0,0,0,95,0,3,45,0,144,15,333,10,0,0,0,0,0,0,0,68,0,892,160,1318
BARRYJOHNSTOWN TOWNSHIP 1,112,0,1,131,8,14,3,158,0,0,2,84,0,2,29,2,229,4,479,13,0,0,0,0,0,0,0,66,0,984,244,1546
BARRYMAPLE GROVE TOWNSHIP 1,21,0,1,59,3,6,2,97,0,0,0,41,0,0,20,1,107,3,164,7,0,0,0,0,0,0,0,29,0,509,81,712
BARRYORANGEVILLE TOWNSHIP 1,120,0,0,178,2,11,1,133,0,0,2,96,1,0,38,0,221,7,479,18,0,0,0,0,0,0,0,77,0,967,298,1548
BARRYPRAIRIEVILLE TOWNSHIP 1,84,0,0,103,0,12,9,87,2,0,0,56,0,0,25,0,89,6,356,8,0,0,0,0,0,0,0,34,0,485,187,889
BARRYPRAIRIEVILLE TOWNSHIP 2,63,1,0,112,1,2,2,79,0,0,0,69,0,0,35,0,88,3,339,5,0,0,0,0,0,0,0,33,0,487,176,867
BARRYRUTLAND TOWNSHIP 1,69,0,1,98,4,8,2,101,0,0,0,57,0,4,26,0,110,6,309,10,0,0,0,0,0,0,0,45,0,581,168,951
BARRYRUTLAND TOWNSHIP 2,71,0,0,122,4,6,0,131,2,1,0,100,0,2,35,0,119,9,430,16,0,0,0,0,0,0,0,64,0,739,193,1258
BARRYTHORNAPPLE TOWNSHIP 1,41,0,0,108,3,16,0,279,0,0,1,128,1,4,56,0,158,12,357,15,0,0,0,0,0,0,0,70,0,1129,149,1583
BARRYTHORNAPPLE TOWNSHIP 2,56,0,1,113,1,13,5,178,0,0,2,105,0,0,35,1,125,7,274,14,0,0,0,0,0,0,0,39,0,828,170,1162
BARRYTHORNAPPLE TOWNSHIP 3,80,0,0,205,4,10,0,171,0,0,0,106,0,0,49,1,140,14,506,35,0,0,0,0,0,0,0,106,0,940,285,1601
BARRYWOODLAND TOWNSHIP 1,62,0,1,88,0,7,0,134,1,0,1,106,0,0,24,0,132,7,295,13,0,0,0,0,0,0,0,48,0,696,151,1059
BARRYYANKEE SPRINGS TOWNSHIP 1,74,0,0,147,4,16,0,172,0,0,1,93,0,2,58,0,179,6,393,13,0,0,0,0,0,0,0,73,0,974,221,1459
BARRYYANKEE SPRINGS TOWNSHIP 2,66,0,0,108,7,8,3,106,0,0,1,76,0,1,54,0,170,2,332,9,0,0,0,0,0,0,0,42,0,781,174,1166
CHARLEVOIXBAY TOWNSHIP 1,53,0,0,95,0,4,0,65,0,0,1,63,0,0,30,0,100,1,283,6,0,0,0,0,0,0,0,18,2,441,148,751
CHARLEVOIXBOYNE CITY 16,156,0,3,301,9,11,2,128,0,0,1,163,0,1,54,0,220,3,752,36,0,0,0,0,0,0,0,75,1,1059,460,1926
CHARLEVOIXBOYNE VALLEY TOWNSHIP 2,45,0,0,65,0,2,1,38,0,0,1,35,0,3,11,0,100,3,203,10,0,0,0,0,0,0,0,35,0,402,110,653
CHARLEVOIXCHANDLER TOWNSHIP 3,10,0,0,19,0,1,0,14,0,0,0,11,0,0,8,0,22,0,39,5,0,0,0,0,0,0,0,6,0,103,29,153
CHARLEVOIXCHARLEVOIX CITY 18 WARD 1,47,0,0,73,1,2,2,34,0,0,2,75,0,0,23,0,67,0,245,5,0,0,0,0,0,0,0,19,0,282,120,551
CHARLEVOIXCHARLEVOIX CITY 19 WARD 2,42,0,1,78,0,2,2,24,0,0,0,40,0,3,11,0,40,0,209,7,0,0,0,0,0,0,0,19,0,218,121,453
CHARLEVOIXCHARLEVOIX CITY 20 WARD 3,37,0,1,56,0,4,0,54,1,0,1,48,0,0,17,0,42,2,194,3,0,0,0,0,0,0,0,13,0,269,94,481
CHARLEVOIXCHARLEVOIX TOWNSHIP 4,87,0,0,104,3,6,0,88,0,1,2,124,0,0,44,1,132,1,389,5,0,0,0,0,0,0,0,32,0,583,191,1010
CHARLEVOIXEAST JORDAN CITY 21,77,0,1,138,4,4,1,65,0,0,1,46,0,3,21,0,136,2,300,15,0,0,0,0,0,0,0,36,0,610,216,963
CHARLEVOIXEVANGELINE TOWNSHIP 5,35,0,0,47,0,2,0,42,0,0,0,42,0,0,16,0,58,1,168,4,0,0,0,0,0,0,0,7,0,281,82,461
CHARLEVOIXEVELINE TOWNSHIP 6,68,0,1,89,7,15,2,83,0,0,1,86,1,1,32,0,141,1,313,11,0,0,0,0,0,0,0,37,0,616,158,978
CHARLEVOIXHAYES TOWNSHIP 7,98,0,0,127,3,7,0,106,1,0,1,101,0,1,42,0,146,6,427,23,0,0,0,0,0,0,0,48,0,697,225,1201
CHARLEVOIXHUDSON TOWNSHIP 8,19,0,0,29,0,1,0,32,0,0,0,21,0,0,5,0,56,0,109,1,0,0,0,0,0,0,0,13,0,221,48,344
CHARLEVOIXMARION TOWNSHIP 9,48,0,2,108,3,8,0,98,0,0,0,102,0,4,26,1,136,1,299,9,0,0,0,0,0,0,0,36,6,630,158,981
CHARLEVOIXMELROSE TOWNSHIP 10,55,0,0,86,0,2,3,74,0,0,0,62,0,0,27,0,73,2,252,5,0,0,0,0,0,0,0,27,0,429,141,715
CHARLEVOIXNORWOOD TOWNSHIP 11,29,0,0,43,1,1,0,44,0,0,0,37,0,1,27,1,90,2,154,3,0,0,0,0,0,0,0,10,0,289,72,458
CHARLEVOIXPEAINE TOWNSHIP 12,13,0,0,23,0,3,1,14,0,0,0,14,0,0,2,0,36,0,107,3,0,0,0,0,0,0,0,10,1,132,36,253
CHARLEVOIXSOUTH ARM TOWNSHIP 14,50,0,0,72,3,6,0,84,0,0,0,70,0,0,30,2,140,2,255,13,0,0,0,0,0,0,0,29,0,669,122,968
CHARLEVOIXST JAMES TOWNSHIP 13,14,0,1,43,0,0,0,13,0,0,0,12,0,0,4,0,23,1,109,3,0,0,0,0,0,0,0,13,1,104,58,231
CHARLEVOIXWILSON TOWNSHIP 15,61,0,0,134,1,4,0,82,0,0,0,56,1,2,25,0,128,6,330,11,0,0,0,0,0,0,0,49,1,639,195,1036
CHEBOYGANALOHA TOWNSHIP 1,51,0,0,47,0,1,0,38,1,0,0,30,0,1,22,0,87,2,189,5,0,0,0,0,0,0,0,22,0,384,98,602
CHEBOYGANBEAUGRAND TOWNSHIP 1,45,0,1,61,1,0,1,41,1,0,0,49,0,0,17,0,103,0,195,4,0,0,0,0,0,0,0,19,0,398,107,616
CHEBOYGANBENTON TOWNSHIP 1,152,0,1,162,4,9,5,142,0,0,0,111,1,1,61,1,269,6,597,19,0,0,0,0,0,0,0,66,0,1132,315,1820
CHEBOYGANBURT TOWNSHIP 1,21,0,0,33,3,1,0,36,0,0,1,36,1,1,27,0,65,2,138,2,0,0,0,0,0,0,0,10,0,368,54,520
CHEBOYGANCHEBOYGAN CITY 1,9,0,0,25,2,0,0,11,0,0,0,12,0,0,1,0,24,1,45,3,0,0,0,0,0,0,0,9,0,100,34,158
CHEBOYGANCHEBOYGAN CITY 2,90,0,0,152,3,1,4,117,1,0,1,54,0,2,15,0,183,12,504,14,0,0,0,0,0,0,0,64,0,884,242,1478
CHEBOYGANCHEBOYGAN CITY 3,15,0,0,32,2,0,0,14,0,0,1,10,0,0,2,0,32,1,79,6,0,0,0,0,0,0,0,10,2,136,47,234
CHEBOYGANELLIS TOWNSHIP 1,16,0,0,33,0,1,0,39,0,0,0,21,0,0,9,0,35,0,92,4,0,0,0,0,0,0,0,15,0,211,49,322
CHEBOYGANFOREST TOWNSHIP 1,42,0,0,38,0,0,0,33,0,0,0,19,0,2,7,1,76,1,145,3,0,0,0,0,0,0,0,15,0,306,80,470
CHEBOYGANGRANT TOWNSHIP 1,61,0,0,51,0,1,0,32,1,0,0,31,0,0,14,0,92,6,190,2,0,0,0,0,0,0,0,18,0,309,112,525
CHEBOYGANHEBRON TOWNSHIP 1,12,0,0,22,0,0,0,14,0,0,0,16,0,0,2,1,17,0,57,2,0,0,0,0,0,0,0,5,0,87,34,151
CHEBOYGANINVERNESS TOWNSHIP 1,120,0,0,118,6,6,1,136,0,0,0,65,0,3,31,3,183,6,419,14,0,0,0,0,0,0,0,41,0,813,238,1293
CHEBOYGANKOEHLER TOWNSHIP 1,19,0,0,46,0,2,1,40,0,0,0,30,0,0,20,0,82,4,117,4,0,0,0,0,0,0,0,22,0,383,65,530
CHEBOYGANMACKINAW TOWNSHIP 1,37,0,0,35,2,1,0,29,0,0,0,15,0,0,7,0,67,1,122,3,0,0,0,0,0,0,0,5,0,209,72,340
CHEBOYGANMENTOR TOWNSHIP 1,23,1,0,50,1,1,0,44,0,0,0,18,0,1,10,0,85,1,136,7,0,0,0,0,0,0,0,11,0,286,74,441
CHEBOYGANMULLETT TOWNSHIP 1,62,0,0,73,0,7,0,68,1,0,1,80,0,0,28,0,113,0,230,5,0,0,0,0,0,0,0,22,2,481,135,740
CHEBOYGANMUNRO TOWNSHIP 1,42,0,0,36,0,5,1,26,0,0,0,32,0,0,9,0,72,2,141,5,0,0,0,0,0,0,0,14,0,241,78,403
CHEBOYGANNUNDA TOWNSHIP 1,39,0,0,49,1,2,0,37,0,0,1,28,0,0,10,0,93,4,152,6,0,0,0,0,0,0,0,18,0,341,88,521
CHEBOYGANTUSCARORA TOWNSHIP 1,107,0,2,173,8,6,4,127,1,0,0,134,0,2,48,0,293,7,559,24,0,0,0,0,0,0,0,52,0,1143,282,1785
CHEBOYGANWALKER TOWNSHIP 1,10,0,0,16,0,0,0,7,0,0,0,1,0,0,1,0,17,0,30,0,0,0,0,0,0,0,0,6,0,83,26,119
CHEBOYGANWAVERLY TOWNSHIP 1,14,0,0,21,0,1,0,15,0,0,0,12,0,0,9,0,39,1,66,0,0,0,0,0,0,0,0,5,0,161,35,233
CHEBOYGANWILMOT TOWNSHIP 1,23,0,1,45,0,2,0,36,0,0,0,11,0,1,4,0,62,1,99,8,0,0,0,0,0,0,0,14,0,227,69,349
CLAREARTHUR TOWNSHIP 1,10,0,0,19,1,2,0,47,0,1,1,22,0,0,10,0,47,0,48,2,0,0,0,0,0,0,0,6,0,254,29,310
CLARECLARE CITY 1,112,0,1,147,4,18,1,111,0,1,3,61,0,6,37,0,106,2,508,12,0,0,0,0,1,0,0,64,0,628,260,1215
CLAREFRANKLIN TOWNSHIP 1,35,0,0,22,2,3,0,27,0,0,0,15,0,0,10,0,69,4,118,5,0,0,0,0,0,0,0,9,0,244,57,380
CLAREFREEMAN TOWNSHIP 1,70,0,1,35,1,6,1,23,0,0,1,24,0,0,11,0,120,2,216,4,0,0,0,0,0,0,0,18,0,354,106,594
CLAREFROST TOWNSHIP 1,33,0,0,33,1,2,0,41,0,0,0,22,0,0,8,0,82,1,120,5,0,0,0,0,0,0,0,12,0,347,66,485
CLAREGARFIELD TOWNSHIP 1,79,0,0,89,0,1,0,62,0,0,0,30,0,0,18,2,157,2,286,7,0,0,0,0,0,0,0,15,0,569,168,879
CLAREGRANT TOWNSHIP 1,85,0,1,154,3,10,0,157,1,1,3,98,0,0,58,1,204,5,422,14,0,0,0,0,0,2,0,66,1,1020,240,1530
CLAREGREENWOOD TOWNSHIP 1,43,0,1,48,1,0,1,50,0,0,1,38,0,0,8,0,112,2,155,4,0,0,0,0,0,0,0,9,0,361,92,531
CLAREHAMILTON TOWNSHIP 1,70,0,0,73,1,3,0,74,0,0,1,37,0,1,17,1,92,3,256,7,0,0,0,0,0,0,0,22,1,528,143,817
CLAREHARRISON CITY 1,74,0,0,77,1,8,1,51,0,0,0,41,0,0,17,1,89,9,269,7,0,0,0,0,0,0,0,35,1,465,151,786
CLAREHATTON TOWNSHIP 1,28,0,1,31,0,3,0,40,0,0,1,36,1,0,5,0,87,3,103,0,0,0,0,0,0,3,0,8,1,329,60,447
CLAREHAYES TOWNSHIP 1,86,0,0,75,0,7,0,54,0,0,0,33,0,1,30,1,140,4,277,9,0,0,0,0,0,0,0,23,0,601,161,914
CLAREHAYES TOWNSHIP 2,76,0,4,86,1,5,1,59,0,0,0,33,0,0,15,0,133,8,294,7,0,0,0,0,0,0,0,25,1,561,166,896
CLARELINCOLN TOWNSHIP 1,78,0,0,78,2,2,0,38,0,0,0,37,1,1,12,0,145,3,302,8,0,0,0,0,0,0,0,26,1,499,156,839
CLAREREDDING TOWNSHIP 1,17,0,0,25,0,1,0,21,0,0,0,3,0,0,4,0,34,0,49,0,0,0,0,0,0,0,0,4,0,129,42,182
