precinct,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_STEINBERG,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,general_total
BARROW06 WINDER BARROW HIGH SCHOOL,58,0,34,0,10,38,1,145,0,0,2,13,0,2,97,0,208,278,43,908,92,1229
BARROW07 STATHAM ELEMENTARY SCHOOL,121,0,59,1,2,44,1,170,0,1,2,14,0,0,97,0,247,490,56,1048,181,1594
BARROW08 HOLSENBECK ELEMENTARY SCHOOL,72,1,54,0,1,48,0,209,0,1,1,15,0,1,103,1,322,328,79,1444,127,1851
BARROW09 LIONS CLUB,111,2,58,1,2,53,1,263,1,0,2,44,0,2,189,0,403,417,65,1634,172,2116
BARROW10 LEISURE SERVICES CENTER,182,0,46,0,3,15,0,100,0,1,1,10,0,1,60,1,188,577,54,761,228,1392
BARROW11 APALACHEE HIGH SCHOOL,90,0,59,0,5,47,0,215,0,0,3,15,0,2,122,1,223,466,100,1277,149,1843
BARROW12 MIDWAY UNITED METHODIST CHURCH,53,0,39,1,1,42,2,204,1,1,0,15,0,5,125,0,277,287,71,1272,93,1630
BARROW13 WINDER COMMUNITY CENTER,62,1,53,0,5,37,0,153,1,1,1,28,0,2,107,0,230,329,81,978,116,1388
BARROW14 CEDAR CREEK BAPTIST CHURCH,26,0,24,0,1,37,0,119,1,0,0,4,0,2,54,1,113,124,32,577,50,733
BARROW15 COUNTY LINE ELEMENTARY SCHOOL,53,0,45,2,2,51,0,272,0,0,3,20,0,2,165,0,373,295,46,1604,100,1945
BARROW16 THE CHURCH AT WINDER,190,2,87,4,6,74,1,341,1,3,5,34,0,5,185,0,405,935,151,2047,283,3133
BARROWNAN,1458,9,879,16,53,743,10,3471,11,9,27,346,3,35,2050,7,4656,6580,1143,21108,2362,28831
BARTOWADAIRSVILLE,152,1,121,2,7,158,1,359,1,0,4,45,1,6,227,1,733,565,99,2838,276,3502
BARTOWALLATOONA,94,1,107,3,4,31,0,264,0,1,1,14,0,4,148,0,500,433,75,1624,205,2132
BARTOWBEAVERS DRIVE,184,2,110,2,9,82,2,397,1,0,5,42,1,2,297,1,690,613,84,2447,298,3144
BARTOWCARTERSVILLE EAST,287,2,161,1,4,82,1,311,0,0,9,63,0,5,296,1,644,1084,129,2309,451,3522
BARTOWCARTERSVILLE WEST,321,4,161,1,13,108,0,465,4,1,5,104,0,2,546,0,727,1193,115,2933,487,4241
BARTOWCASSVILLE,205,2,129,3,5,75,1,307,2,0,7,38,1,3,163,0,546,734,92,2000,339,2826
BARTOWCENTER,108,2,80,0,7,79,0,320,2,0,2,29,0,3,206,0,500,373,71,1826,190,2270
BARTOWEMERSON,75,0,56,0,2,49,0,181,0,0,1,17,2,2,172,0,406,289,55,1380,131,1724
BARTOWEUHARLEE,120,0,79,1,2,56,0,259,1,0,2,27,0,5,171,0,425,420,77,1660,200,2157
BARTOWFOLSOM,18,0,20,0,2,36,0,97,0,0,0,12,0,0,48,0,220,60,16,698,38,774
BARTOWKINGSTON,74,2,52,1,4,49,1,169,0,0,3,18,0,3,105,0,363,223,35,1252,129,1510
BARTOWMISSION ROAD,185,4,127,2,9,87,0,396,4,0,1,31,0,7,257,0,743,648,82,2521,318,3251
BARTOWNAN,2219,25,1495,24,82,1133,7,4518,15,2,48,549,5,54,3262,5,8297,8212,1183,29911,3763,39306
BARTOWPINE LOG,33,0,26,0,0,30,0,167,0,0,0,20,0,1,112,1,332,131,37,1084,59,1252
BARTOWTAYLORSVILLE,35,3,47,4,7,64,0,238,0,0,1,14,0,0,149,1,411,159,36,1482,89,1677
BARTOWWHITE,57,1,48,2,0,43,1,226,0,0,2,37,0,1,126,0,394,204,49,1326,108,1579
BARTOWWOODLAND HIGH,40,0,39,0,1,30,0,106,0,0,1,7,0,4,65,0,192,146,23,658,79,827
BARTOWZENA DRIVE,231,1,132,2,6,74,0,256,0,0,4,31,0,6,174,0,471,937,108,1873,366,2918
BEN HILLEAST,465,3,64,2,5,48,0,94,0,0,1,5,0,0,31,0,312,1114,28,1090,534,2232
BEN HILLNAN,780,8,180,5,19,209,1,317,1,0,4,60,0,2,196,0,1025,2101,91,3739,973,5931
BEN HILLWEST,315,5,116,3,14,161,1,223,1,0,3,55,0,2,165,0,713,987,63,2649,439,3699
BERRIENALAPAHA,80,0,10,0,2,22,0,63,0,0,1,5,0,1,27,0,169,196,10,529,90,735
BERRIENENIGMA,21,2,11,1,4,12,0,63,0,0,4,5,0,0,27,0,157,77,9,516,35,602
BERRIENNAN,326,7,146,9,30,179,6,720,1,0,22,66,1,5,242,0,1568,1047,115,5422,488,6584
BERRIENNASHVILLE,165,3,78,6,22,92,4,363,0,0,11,37,1,2,126,0,825,565,62,2914,252,3541
BERRIENRAY CITY,46,0,33,1,0,32,1,102,1,0,5,13,0,0,39,0,241,160,22,838,80,1020
BERRIENWEST BERRIEN,14,2,14,1,2,21,1,129,0,0,1,6,0,2,23,0,176,49,12,625,31,686
BIBBEAST MACON 1,313,0,22,0,0,2,0,2,0,1,0,0,0,0,2,0,5,954,4,26,335,984
BIBBEAST MACON 2,857,6,71,0,0,8,0,13,0,0,0,4,0,1,8,0,26,1999,21,100,934,2120
BIBBEAST MACON 3,438,0,129,1,3,18,0,70,0,0,0,36,1,2,81,0,120,1289,52,490,568,1831
BIBBEAST MACON 4,566,1,46,0,0,1,0,4,0,0,0,0,0,0,0,0,18,1234,13,63,613,1310
BIBBEAST MACON 5,471,0,53,0,1,10,0,33,0,0,0,5,0,0,23,0,94,1125,22,318,524,1465
BIBBGODFREY 1,991,6,117,1,4,11,1,19,0,0,2,8,0,2,32,0,35,2689,67,189,1115,2945
BIBBGODFREY 2,255,0,13,0,0,7,0,5,0,0,1,3,0,0,0,0,8,773,10,68,268,851
BIBBGODFREY 3,519,0,45,1,2,4,1,10,0,0,0,2,1,0,4,0,44,1507,15,153,565,1675
BIBBGODFREY 4,298,1,28,0,0,5,0,17,0,0,2,0,0,0,4,0,26,892,10,103,327,1005
BIBBGODFREY 5,793,2,88,3,1,20,2,40,1,1,1,5,0,3,31,0,69,2195,38,286,886,2519
BIBBHAZZARD 1,575,0,60,3,0,6,0,34,0,0,2,2,0,0,12,0,59,1555,13,230,638,1798
BIBBHAZZARD 2,349,0,106,3,5,79,3,165,0,0,3,31,0,0,107,0,297,1176,61,1125,458,2362
BIBBHAZZARD 3,1012,1,148,4,4,45,2,153,0,0,1,40,0,1,112,0,269,2675,74,1108,1165,3857
BIBBHAZZARD 4,172,0,40,0,1,35,1,155,0,0,0,23,0,2,110,0,330,445,23,1004,212,1472
BIBBHAZZARD 5,226,0,65,0,4,44,1,126,0,0,0,59,0,2,148,0,273,709,37,1000,291,1746
BIBBHOWARD 1,123,1,53,0,3,22,1,81,1,0,0,61,0,3,122,0,169,429,33,657,177,1119
BIBBHOWARD 2 - 02,37,0,10,0,0,16,0,39,0,0,0,29,0,0,71,0,80,101,11,341,47,453
BIBBHOWARD 2 - 08,219,0,65,1,10,69,2,164,2,0,2,97,0,0,298,0,295,750,50,1430,285,2230
BIBBHOWARD 3,596,3,249,1,12,142,0,447,1,0,2,173,0,7,648,0,598,2179,158,3100,849,5437
BIBBHOWARD 4,114,1,56,0,0,35,0,103,0,0,1,31,0,1,103,0,152,448,46,590,171,1084
BIBBHOWARD 5,138,0,52,0,2,31,1,62,1,0,1,20,0,1,75,0,114,459,47,460,190,966
BIBBHOWARD 6,149,0,85,0,6,45,1,121,0,1,0,52,0,0,159,0,173,526,59,814,234,1399
BIBBHOWARD 7,153,1,96,0,5,56,1,197,0,0,2,89,0,1,225,0,278,568,69,1182,250,1819
BIBBNAN,13019,34,2650,28,92,1171,25,3405,8,5,27,1113,2,36,3531,2,5962,36787,1447,24043,15731,62277
BIBBRUTLAND 1,517,1,131,2,9,129,3,365,0,1,2,61,0,2,231,0,622,1315,57,2297,651,3669
