precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP
13NESQUEHONINGDISTRICTWEST,1,235,5,3,504
13PALMERTONDISTRICTEASTERN,3,232,7,21,497
13PALMERTONDISTRICTMIDDLE,3,399,12,40,647
13PALMERTONDISTRICTWESTERN,1,108,6,10,243
13PENNFORESTEAST,7,347,12,15,550
13PENNFORESTMIDDLE,5,227,11,7,388
13PENNFORESTNORTH/WEST,5,319,8,17,636
13PENNFORESTNORTHEAST,6,364,7,18,602
13PENNFORESTSOUTH/WEST,4,302,7,29,586
13SUMMITHILLDISTRICT1,1,150,5,9,188
13SUMMITHILLDISTRICT2,4,144,4,9,208
13SUMMITHILLDISTRICT3-1,4,147,6,14,250
13SUMMITHILLDISTRICT3-2,1,77,2,3,184
13TOWAMENSINGDISTRICTNORTH,4,207,12,17,486
13TOWAMENSINGDISTRICTSOUTH-1,2,182,3,17,560
13TOWAMENSINGDISTRICTSOUTH-2,2,216,5,17,480
13WEATHERLYDISTRICTEAST,3,195,6,18,506
13WEATHERLYDISTRICTWEST,1,80,6,10,264
14BELLEFONTENORTH,2,188,3,22,174
14BELLEFONTENORTHEAST,9,259,7,10,385
14BELLEFONTESOUTH,6,230,4,17,193
14BELLEFONTESOUTHEAST,6,283,10,35,375
14BELLEFONTEWEST,7,443,13,48,398
14BENNERNORTH,2,318,8,26,679
14BENNERSOUTH,5,482,8,32,821
14BOGGSEAST,4,108,4,8,427
14BOGGSWEST,5,157,3,14,605
14COLLEGEEAST,10,839,19,51,506
14COLLEGENORTH,2,1056,14,97,871
14COLLEGESOUTH,6,802,16,34,736
14COLLEGEWEST,3,518,9,33,303
14CURTINNORTH,0,18,0,0,21
14CURTINSOUTH,4,42,0,8,161
14FERGUSONEAST,6,578,15,42,509
14FERGUSONNORTH1,5,670,9,38,552
14FERGUSONNORTH2,7,587,8,22,356
14FERGUSONNORTH3,9,642,10,19,292
14FERGUSONNORTHCENTRAL2,1,396,6,16,281
14FERGUSONNORTHEAST1A,7,1009,25,83,412
14FERGUSONNORTHEAST1B,0,0,0,0,0
14FERGUSONNORTHEAST2,4,520,17,51,250
14FERGUSONWEST,8,389,9,31,559
14FERGUSONWESTCENTRAL1,3,628,6,39,391
14HALFMOONPRECINCTEASTCENTRAL,0,394,13,37,536
14HALFMOONPRECINCTPROPER,3,273,2,18,388
14HARRISEAST,2,897,20,70,822
14HARRISWEST,9,825,15,44,664
14MILESEAST,5,97,1,11,241
14MILESWEST,3,38,4,5,108
14PATTONNORTH1,3,1102,27,58,613
14PATTONNORTH2,13,873,23,72,826
14PATTONSOUTH1,3,511,9,20,227
14PATTONSOUTH2,6,904,29,66,378
14PATTONSOUTH3,9,1015,20,59,485
14PHILIPSBURG1,1,159,0,16,265
14PHILIPSBURG2,1,143,1,6,231
14PHILIPSBURG3,3,124,2,15,212
14POTTERNORTH,9,228,2,19,516
14POTTERSOUTH,5,406,8,45,727
14RUSHEAST,1,32,0,0,58
14RUSHNORTH,11,242,5,25,685
14RUSHNORTHCENTRAL,3,57,1,9,123
14RUSHSOUTH,2,47,2,5,137
14RUSHWEST,1,89,0,7,275
14SNOWSHOEEAST,4,146,4,11,397
14SNOWSHOEWEST,1,66,0,3,207
14SPRINGEAST,4,250,11,30,596
14SPRINGNORTH,6,349,7,32,539
14SPRINGSOUTH,5,229,12,36,440
14SPRINGSOUTHWEST,6,343,5,44,509
14SPRINGWEST,3,130,4,18,286
14STATECOLLEGEEAST1,0,867,19,64,670
14STATECOLLEGEEAST2,2,977,20,54,387
14STATECOLLEGEEAST3,0,1188,25,72,600
14STATECOLLEGEEAST4,4,1195,26,79,580
14STATECOLLEGEEASTCENTRAL1,1,706,18,37,261
14STATECOLLEGEEASTCENTRAL2,2,641,8,44,314
14STATECOLLEGEEASTCENTRAL3,1,325,3,26,196
14STATECOLLEGENORTH,5,495,12,15,102
14STATECOLLEGENORTHEAST,1,399,7,11,105
14STATECOLLEGENORTHWEST,4,928,14,59,336
14STATECOLLEGESOUTH1,4,888,26,53,284
14STATECOLLEGESOUTH2,6,739,12,26,280
14STATECOLLEGESOUTHCENTRAL1,4,322,9,38,122
14STATECOLLEGESOUTHCENTRAL2,2,490,9,24,157
14STATECOLLEGESOUTHEAST,2,611,15,28,188
14STATECOLLEGEWEST1,2,447,3,14,112
14STATECOLLEGEWEST2,4,435,4,28,215
14STATECOLLEGEWESTCENTRAL1,3,460,9,59,228
14STATECOLLEGEWESTCENTRAL2,1,704,17,55,332
14WALKEREAST,7,224,7,18,592
14WALKERWEST,7,514,9,38,1083
15BIRMINGHAMPRECINCT1,3,481,3,23,424
15BIRMINGHAMPRECINCT2,3,857,10,59,757
15CALN1,3,517,8,26,393
15CALN2,3,707,4,29,304
15CALN3,10,1539,31,86,1151
15CALN4,8,1104,13,62,767
15COATESVILLEWARD1,1,913,9,28,254
15COATESVILLEWARD2,3,838,7,6,82
15COATESVILLEWARD3,2,587,2,7,56
15COATESVILLEWARD4-1,0,347,7,7,78
15COATESVILLEWARD4-2,6,332,3,12,123
15COATESVILLEWARD5,0,580,2,5,66
15DOWNINGTOWNEASTEAST,8,713,16,51,351
15DOWNINGTOWNEASTWEST,7,542,8,39,365
15DOWNINGTOWNWESTNORTH,3,646,23,46,368
15DOWNINGTOWNWESTSOUTH,1,338,8,18,170
15EASTBRADFORDNORTH01(CONG16),0,439,4,15,330
15EASTBRADFORDNORTH2,2,856,6,38,793
15EASTBRADFORDSOUTH1,5,1344,28,54,854
15EASTBRADFORDSOUTH2,5,618,9,31,651
15EASTBRANDYWINENORTH1,7,477,10,22,446
15EASTBRANDYWINENORTH2,5,845,14,67,807
15EASTBRANDYWINESOUTH,2,993,7,68,1018
15EASTCALN1,2,862,12,43,553
15EASTCALN2,2,555,8,28,331
15EASTCOVENTRYPRECINCT1,8,972,20,63,1196
15EASTCOVENTRYPRECINCT2,7,434,8,34,698
15EASTFALLOWFIELDEAST,11,895,14,44,702
15EASTFALLOWFIELDWEST,9,1096,23,61,1025
15EASTGOSHENPRECINCT1,5,618,6,42,670
15EASTGOSHENPRECINCT2,3,529,12,29,560
15EASTGOSHENPRECINCT3,3,565,5,35,567
15EASTGOSHENPRECINCT4,7,948,21,58,568
15EASTGOSHENPRECINCT5,4,675,1,35,896
15EASTGOSHENPRECINCT6,3,747,10,35,703
15EASTGOSHENPRECINCT7,6,697,16,26,852
15EASTGOSHENPRECINCT8,1,391,1,11,413
15EASTGOSHENPRECINCT9,0,455,12,23,347
15EASTMARLBOROUGHEAST,3,777,7,43,684
15EASTMARLBOROUGHSOUTH,1,661,10,30,516
15EASTMARLBOROUGHWEST,7,981,14,61,732
15EASTNOTTINGHAMPRECINCTEAST,1,784,18,75,1298
15EASTNOTTINGHAMPRECINCTWEST,6,655,20,66,1030
15EASTPIKELANDPRECINCT1,6,897,17,48,734
15EASTPIKELANDPRECINCT2,7,613,10,48,575
15EASTPIKELANDPRECINCT3,3,813,14,49,629
15EASTTOWN1,3,779,7,50,649
15EASTTOWN2,4,672,11,35,530
15EASTTOWN3,1,526,5,18,352
15EASTTOWN4,0,371,3,19,307
15EASTTOWN5,3,424,4,16,240
15EASTTOWN6,1,327,2,16,246
15EASTTOWN7,1,537,8,26,238
15EASTVINCENTPRECINCT1,4,336,3,22,387
15EASTVINCENTPRECINCT2,3,469,6,32,342
15EASTVINCENTPRECINCT3,4,505,14,40,523
15EASTVINCENTPRECINCT4,0,370,4,21,503
15EASTWHITELANDPRECINCT1,4,422,5,18,273
15EASTWHITELANDPRECINCT2,0,835,10,44,508
15EASTWHITELANDPRECINCT3,3,576,7,24,322
15EASTWHITELANDPRECINCT4,5,621,11,26,484
15EASTWHITELANDPRECINCT5,2,265,4,8,176
15EASTWHITELANDPRECINCT6,0,423,8,24,276
15HONEYBROOKPRECINCT1,1,406,12,27,778
15HONEYBROOKPRECINCT2,17,651,17,54,1224
