precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP
39WHITEHALL,1753,24,1592,10,15,607,399,14,1601
3COWANSHANNOCK,103,3,120,2,4,101,36,5,269
3EASTFRANKLIN,183,4,154,4,5,176,117,5,544
3FORDCITY,223,7,163,1,1,46,39,2,235
3FREEPORT,111,5,125,1,3,32,27,5,139
3GILPIN,174,6,151,0,2,53,50,1,237
3KISKIMINETAS,237,17,247,2,6,150,81,2,448
3LEECHBURG,141,4,111,0,0,46,36,2,120
3MANOR,257,10,204,5,10,128,104,5,484
3NORTHBUFFALO,96,2,144,4,4,142,76,6,399
3PARKERCITY,26,1,19,0,0,14,16,0,71
3PARKS,116,7,118,1,6,69,25,0,248
3SOUTHBUFFALO,112,7,140,1,8,138,96,3,407
40ASHLEY,220,2,205,1,0,21,13,0,154
40AVOCA,346,4,285,1,0,19,14,1,167
40BEARCREEK,221,5,215,1,2,70,42,1,418
40BLACKCREEK,72,1,79,0,4,42,25,0,351
40BUTLER,391,7,430,2,8,174,115,4,1391
40DALLAS,614,11,648,5,8,316,339,9,1417
40DUPONT,309,9,305,0,0,32,11,0,178
40DURYEA,541,11,453,1,0,62,28,3,347
40EDWARDSVILLE,325,10,215,1,1,44,26,1,246
40FORTYFORT,352,6,330,2,5,71,115,2,521
40FOSTER,130,13,193,0,2,34,18,0,343
40FREELAND,129,6,151,0,1,36,24,3,302
40HANOVER,642,14,641,4,12,151,132,2,1217
40HAZLE,435,7,505,3,3,68,47,6,1044
40HAZLETON,876,17,774,2,3,138,95,6,1550
40JENKINS,425,10,355,2,3,48,47,2,359
40KINGSTON,1386,21,1185,9,9,412,423,13,2018
40LARKSVILLE,383,13,366,0,3,37,29,0,348
40LEHMAN,179,3,180,5,4,122,79,2,498
40LUZERNE,209,5,189,1,2,32,21,2,177
40NANTICOKE,818,21,676,5,2,96,49,2,616
40NEWPORT,402,11,364,0,1,28,17,0,240
40PITTSTON,1051,28,857,4,2,116,44,3,639
40PLAINS,904,22,684,1,2,103,77,1,694
40SALEM,135,4,147,0,1,111,71,2,499
40SWOYERSVILLE,478,9,400,0,2,70,45,3,460
40WESTHAZLETON,142,4,149,2,0,20,13,3,304
40WESTPITTSTON,368,4,316,2,6,103,97,4,615
40WESTWYOMING,276,8,285,2,1,45,23,2,238
40WILKES-BARRE,2679,51,2309,7,11,278,190,9,1838
40WRIGHT,387,17,347,4,3,108,103,5,770
40WYOMING,289,4,207,2,3,56,48,1,321
41CLINTON,63,1,70,1,3,87,29,2,263
41HUGHESVILLE,87,7,107,2,4,99,29,5,234
41JERSEYSHORE,113,4,109,2,7,189,36,5,349
41LOYALSOCK,456,7,453,13,23,601,372,15,1568
41MONTOURSVILLE,170,8,229,4,13,287,130,8,622
41OLDLYCOMING,210,8,208,7,14,313,120,4,721
41SOUTHWILLIAMSPORT,263,8,345,5,8,262,128,7,720
41WILLIAMSPORT,1068,19,1310,20,52,799,389,28,1543
42BRADFORD,328,5,375,11,17,234,275,13,921
42FOSTER,84,4,95,3,11,126,116,5,503
42HAMLIN,20,1,35,0,1,21,24,1,85
42KANE,168,7,147,7,3,89,66,1,250
42KEATING,50,1,58,2,4,102,58,4,359
42OTTO,30,0,42,2,5,51,33,4,167
42PORTALLEGANY,45,3,76,2,6,53,68,4,149
43FARRELL,582,4,212,0,1,10,18,1,73
43GREENVILLE,233,7,227,1,8,97,131,5,315
43GROVECITY,236,5,251,11,16,386,300,14,404
43HEMPFIELD,180,8,138,1,4,123,212,5,454
43HERMITAGE,1448,37,839,14,27,370,517,14,1305
43JEFFERSON,79,4,79,0,4,63,64,2,227
43MERCER,83,3,100,2,3,64,80,3,167
43PINE,151,7,148,13,5,267,253,7,433
43PYMATUNING,170,6,124,0,2,35,60,2,203
43SHARON,995,30,674,7,4,113,175,5,448
43SHARPSVILLE,394,10,281,2,4,60,83,0,207
43SHENANGO,259,6,172,1,5,84,99,2,329
43SOUTHPYMATUNING,186,5,150,2,2,42,63,2,227
43SPRINGFIELD,51,5,96,4,3,77,58,1,223
43WESTSALEM,190,8,106,3,5,79,118,0,256
44ARMAGH,73,2,96,6,4,151,69,1,433
