precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
LUBBOCK44,39,0,1,0,0,1,22,0,4,20,1,175,2,0,0,4,8,1,37,0,89
LUBBOCK45,10,0,0,0,0,0,4,0,0,5,1,83,0,0,0,1,0,0,13,0,16
LUBBOCK46,30,1,0,0,0,0,29,1,9,80,1,427,2,0,1,5,14,1,114,1,185
LUBBOCK51,6,0,1,1,0,0,7,0,0,0,0,23,0,0,0,1,1,1,7,0,11
LUBBOCK56,6,0,0,0,0,0,13,0,3,0,0,59,1,0,0,2,0,0,13,0,33
LUBBOCK64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK65,31,0,0,0,0,0,15,0,7,9,0,65,2,0,2,1,7,0,11,1,50
LUBBOCK96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MILAM101,70,0,1,2,1,1,41,0,26,21,2,372,1,0,1,0,23,4,118,1,257
MILAM105,22,0,0,0,0,1,20,1,5,11,0,173,1,0,0,0,11,2,27,0,112
MILAM203,7,0,0,0,0,0,7,0,4,7,0,56,0,0,0,0,3,0,8,0,49
MILAM207,41,0,0,1,0,0,5,0,0,10,0,45,1,0,0,1,2,0,14,0,36
MILAM210,26,0,0,0,0,0,7,0,2,9,0,89,0,0,0,0,6,0,15,0,63
MILAM212,105,0,1,0,0,1,19,2,14,19,1,237,0,0,1,1,12,1,46,2,135
MILAM316,28,0,0,1,0,1,7,0,3,10,0,79,0,0,0,1,6,1,10,0,67
MILAM317,34,0,0,0,0,0,25,0,5,26,0,204,1,0,1,0,6,3,29,0,125
MILAM318,88,1,1,0,0,1,42,2,6,33,0,257,0,0,0,3,15,1,84,0,191
MILAM419,97,0,0,0,0,0,38,1,6,15,0,166,0,0,0,0,7,2,41,0,168
MILAM420,62,0,1,0,0,2,41,0,10,20,1,211,1,0,0,2,12,4,29,0,172
NACOGDOCHES14 AND 17,131,0,0,0,0,0,54,0,11,40,2,590,0,0,1,1,26,2,98,0,231
