precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FOX,gen_ind_FUENTE,gen_ind_HOEFLING,gen_ind_JOHNSON,gen_ind_KENNEDY,gen_ind_KOTLIKOFF,gen_ind_MCMULLIN,gen_ind_SCHOENKE,gen_ind_SMITH,gen_ind_STEIN,gen_rep_TRUMP,gen_unk_LIMBAUGH
JACKSON1-2,75.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,246.0,0.0
JACKSON1-3,95.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,271.0,0.0
JACKSON1-4,68.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,1.0,2.0,297.0,0.0
JACKSON1-5,92.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,311.0,0.0
JACKSON1-6,96.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,224.0,0.0
JACKSON2-1,123.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0
JACKSON2-2,90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,0.0
JACKSON2-3,71.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,329.0,0.0
JACKSON2-4,78.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,3.0,304.0,0.0
JACKSON2-5,118.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,2.0,297.0,0.0
JACKSON2-6,93.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,3.0,0.0,340.0,0.0
JACKSONEARLY VOTING - WRITE-INS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JEFFERSON3 WHITE PINE,386.0,1.0,0.0,3.0,0.0,65.0,2.0,0.0,6.0,0.0,18.0,10.0,2211.0,0.0
JEFFERSON9 TALBOTT SCHOOL,233.0,0.0,0.0,6.0,0.0,35.0,0.0,0.0,2.0,0.0,6.0,14.0,1413.0,0.0
