precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_RUBIO,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
KENT07-11,110,10,58,2,4,48,22,1,127,448,21,47,715,178,204,448,715
KENT07-28,259,4,184,5,4,70,44,8,248,488,13,29,580,447,379,488,580
KENT07-29,113,0,44,2,4,22,23,0,94,363,8,35,397,157,145,363,397
KENT07-30,165,11,163,5,7,88,57,0,349,59,1,10,342,339,506,59,342
KENT07-33,44,1,44,3,3,32,13,2,172,254,9,44,561,89,225,254,561
KENT07-34,47,2,55,1,2,35,53,3,123,288,6,55,474,104,217,288,474
KENT08-29,149,3,103,1,2,105,43,3,211,522,11,43,828,255,365,522,828
KENT08-33,224,5,165,6,9,78,67,2,409,539,10,45,881,394,571,539,881
KENT08-34,140,5,88,2,3,64,76,6,189,617,16,52,798,233,340,617,798
KENT09-11,29,1,28,2,5,22,13,0,117,116,6,28,507,58,159,116,507
KENT09-28,88,0,55,1,0,13,4,0,25,406,15,22,125,143,43,406,125
KENT09-29,111,4,73,3,2,63,59,2,217,432,11,58,750,188,346,432,750
KENT09-31,76,1,55,1,3,21,30,3,54,357,13,38,235,132,112,357,235
KENT09-34,185,3,105,1,5,59,57,1,139,688,15,63,668,293,262,688,668
KENT10-11,23,2,43,0,2,16,9,0,87,137,9,28,455,68,114,137,455
KENT10-28,132,0,64,0,2,14,6,3,37,506,11,16,169,196,62,506,169
KENT10-30,34,2,25,1,1,15,18,0,101,183,8,11,419,61,136,183,419
KENT10-31,73,1,55,1,1,16,14,1,41,320,13,16,188,129,74,320,188
KENT10-33,48,5,51,1,2,18,21,1,187,277,5,28,670,104,230,277,670
KENT11-28,29,0,31,1,0,9,6,0,43,112,3,24,180,60,59,112,180
KENT11-30,67,7,62,3,5,59,35,2,279,133,10,19,539,136,383,133,539
KENT11-32,98,0,82,0,1,16,11,0,73,480,17,40,316,180,101,480,316
KENT11-34,5,1,1,0,1,7,1,0,6,14,2,4,33,7,15,14,33
KENT12-32,78,3,65,1,2,30,23,3,97,378,8,36,380,146,156,378,380
KENT13-29,28,0,16,0,0,7,7,2,30,114,3,10,142,44,46,114,142
KENT16-31,3,0,1,0,0,3,0,0,2,34,1,2,6,4,5,34,6
NEW CASTLE01-01,625,3,288,1,1,13,15,0,16,679,8,12,68,916,46,679,68
NEW CASTLE01-02,321,2,93,0,1,5,4,0,2,1172,8,9,22,416,12,1172,22
NEW CASTLE01-03,255,0,122,0,2,8,5,1,5,632,9,6,41,377,21,632,41
NEW CASTLE01-04,306,6,172,1,0,20,78,1,72,942,19,48,370,484,172,942,370
NEW CASTLE01-05,344,4,166,2,0,20,11,0,58,1053,14,32,309,514,91,1053,309
NEW CASTLE01-06,310,7,311,4,4,64,97,9,169,487,15,20,308,628,347,487,308
NEW CASTLE01-07,290,6,256,2,7,58,64,7,202,657,25,50,465,552,340,657,465
NEW CASTLE01-08,218,7,147,3,3,78,37,2,229,318,12,46,598,372,352,318,598
NEW CASTLE01-09,99,6,91,2,1,40,28,1,112,471,18,44,655,196,184,471,655
NEW CASTLE01-10,323,4,181,1,2,74,127,9,282,753,15,49,606,508,495,753,606
NEW CASTLE01-11,103,2,96,0,0,27,23,0,83,497,12,60,580,201,133,497,580
NEW CASTLE01-12,178,0,118,2,2,39,73,1,103,729,20,66,448,296,220,729,448
NEW CASTLE01-13,153,8,188,0,6,33,23,2,86,637,16,50,467,349,150,637,467
NEW CASTLE01-15,431,5,273,4,5,56,42,1,190,762,18,66,681,709,298,762,681
NEW CASTLE01-16,175,7,95,4,2,21,14,0,44,688,15,40,368,277,85,688,368
NEW CASTLE01-17,119,0,49,0,0,14,5,1,31,461,18,23,222,168,51,461,222
NEW CASTLE01-18,243,4,228,5,3,58,27,2,115,963,33,41,397,475,210,963,397
NEW CASTLE01-19,288,4,182,0,2,25,37,5,74,663,24,38,429,474,143,663,429
NEW CASTLE01-21,237,5,218,1,3,77,105,3,223,333,9,24,257,460,412,333,257
NEW CASTLE01-22,402,6,285,5,11,150,320,7,422,653,15,34,576,693,915,653,576
NEW CASTLE01-23,162,0,178,1,2,19,27,3,21,144,7,8,43,340,73,144,43
NEW CASTLE01-24,306,5,232,5,5,50,36,5,136,724,15,64,491,543,237,724,491
NEW CASTLE01-27,373,4,303,1,7,99,105,10,232,1083,42,75,524,680,454,1083,524
NEW CASTLE02-01,453,2,158,0,0,4,7,0,6,1177,16,8,45,613,17,1177,45
NEW CASTLE02-02,152,0,41,0,0,0,0,0,0,441,4,1,14,193,0,441,14
NEW CASTLE02-03,199,2,171,0,0,10,15,0,21,837,19,31,256,372,46,837,256
NEW CASTLE02-04,175,0,81,3,1,35,154,3,108,686,8,53,456,256,304,686,456
NEW CASTLE02-05,431,7,260,2,3,37,21,3,117,495,10,25,205,698,183,495,205
NEW CASTLE02-06,219,2,132,3,3,45,120,2,157,701,16,45,521,353,330,701,521
NEW CASTLE02-07,363,4,255,8,5,90,169,7,186,835,18,64,478,622,465,835,478
NEW CASTLE02-08,200,0,108,3,2,38,43,4,122,834,22,39,568,308,212,834,568
NEW CASTLE02-09,271,3,161,3,5,48,56,3,157,1100,26,84,809,435,272,1100,809
NEW CASTLE02-10,142,3,118,1,2,32,52,0,104,600,28,40,391,263,191,600,391
NEW CASTLE02-11,182,4,111,0,3,34,25,1,83,772,21,50,491,297,146,772,491
NEW CASTLE02-12,202,1,209,5,2,72,108,3,142,569,18,50,348,412,332,569,348
NEW CASTLE02-13,176,6,168,2,3,46,36,3,116,460,11,38,317,350,206,460,317
NEW CASTLE02-15,544,2,278,5,7,99,77,6,266,923,9,46,653,824,460,923,653
NEW CASTLE02-16,282,3,119,0,1,6,2,0,13,944,8,14,133,404,22,944,133
NEW CASTLE02-17,655,2,333,3,4,27,29,1,66,1406,14,18,202,990,130,1406,202
NEW CASTLE02-19,98,4,83,1,2,10,8,2,58,469,15,29,326,185,81,469,326
NEW CASTLE02-21,281,14,222,4,3,59,66,3,161,518,27,30,453,517,296,518,453
NEW CASTLE02-22,98,1,59,1,3,26,68,2,105,499,12,51,410,158,205,499,410
NEW CASTLE02-23,194,1,117,1,6,45,80,2,91,775,27,76,420,312,225,775,420
NEW CASTLE02-25,404,9,308,1,3,82,122,6,250,606,15,51,381,721,464,606,381
