county,precinct,office,district,party,candidate,votes
Campbell,CAMPBELL2-1 COLLEGE HILL,President,,Republican,Donald J. Trump,209.0
Campbell,CAMPBELL2-2 EAST LAFOLLETTE,President,,Republican,Donald J. Trump,542.0
Campbell,CAMPBELL2-3 LAFOLLETTE ES,President,,Republican,Donald J. Trump,874.0
Campbell,CAMPBELL3-1 CCHS,President,,Republican,Donald J. Trump,575.0
Campbell,CAMPBELL3-2 JACKSBORO STA,President,,Republican,Donald J. Trump,1054.0
Campbell,CAMPBELL3-3 WEST LAFOLLETTE,President,,Republican,Donald J. Trump,385.0
Campbell,CAMPBELL4-1 CARYVILLE,President,,Republican,Donald J. Trump,928.0
Campbell,CAMPBELL4-2 CLINCHMORE,President,,Republican,Donald J. Trump,31.0
Campbell,CAMPBELL4-3 JACKSBORO,President,,Republican,Donald J. Trump,836.0
Campbell,CAMPBELL4-4 RIDGEWOOD,President,,Republican,Donald J. Trump,497.0
Campbell,CAMPBELL5-1 ELK VALLEY,President,,Republican,Donald J. Trump,227.0
Campbell,CAMPBELL5-2 HABERSHAM,President,,Republican,Donald J. Trump,376.0
Campbell,CAMPBELL5-3 JELLICO,President,,Republican,Donald J. Trump,610.0
Campbell,CAMPBELL5-4 NEWCOMB,President,,Republican,Donald J. Trump,267.0
Campbell,CAMPBELL5-5 WHITE OAK,President,,Republican,Donald J. Trump,149.0
Cannon,CANNON1-1 WESTSIDE,President,,Republican,Donald J. Trump,1003.0
Cannon,CANNON2-1 AUBURNTOWN,President,,Republican,Donald J. Trump,302.0
Cannon,CANNON2-2 GASSAWAY,President,,Republican,Donald J. Trump,144.0
Cannon,CANNON2-3 PLEASANT RIDGE,President,,Republican,Donald J. Trump,218.0
Cannon,CANNON2-4 SHORT MOUNTAIN,President,,Republican,Donald J. Trump,157.0
Cannon,CANNON3-2 WOODLAND,President,,Republican,Donald J. Trump,797.0
Cannon,CANNON4-1 EASTSIDE,President,,Republican,Donald J. Trump,667.0
Cannon,CANNON4-2 SHORT MOUNTAIN,President,,Republican,Donald J. Trump,205.0
Cannon,CANNON5-1 WOODBURY,President,,Republican,Donald J. Trump,514.0
Cannon,CANNONEARLY VOTING - WRITE-INS,President,,Republican,Donald J. Trump,0.0
Carroll,CARROLLLAVINIA,President,,Republican,Donald J. Trump,280.0
Carroll,CARROLLTREZEVANT,President,,Republican,Donald J. Trump,466.0
Carroll,CARROLLMCLEMORESVILLE,President,,Republican,Donald J. Trump,270.0
Carroll,CARROLLCEDAR GROVE,President,,Republican,Donald J. Trump,438.0
Carroll,CARROLLCLARKSBURG,President,,Republican,Donald J. Trump,591.0
Carroll,CARROLLMACEDONIA,President,,Republican,Donald J. Trump,146.0
Carroll,CARROLLCIVIC CENTER,President,,Republican,Donald J. Trump,1182.0
Carroll,CARROLLHUNTINGDON,President,,Republican,Donald J. Trump,836.0
Carroll,CARROLLBUENA VISTA,President,,Republican,Donald J. Trump,115.0
Carroll,CARROLLBRUCETON,President,,Republican,Donald J. Trump,438.0
Carroll,CARROLLHOLLOW ROCK,President,,Republican,Donald J. Trump,327.0
Carroll,CARROLLVALE,President,,Republican,Donald J. Trump,90.0
Carroll,CARROLLATWOOD,President,,Republican,Donald J. Trump,442.0
Carroll,CARROLLSENIOR CITIZENS,President,,Republican,Donald J. Trump,475.0
Carroll,CARROLLCANNON,President,,Republican,Donald J. Trump,244.0
Carroll,CARROLLCONCORD,President,,Republican,Donald J. Trump,210.0
Carroll,CARROLLWESTPORT,President,,Republican,Donald J. Trump,115.0
Carroll,CARROLLBETHEL COLLEGE,President,,Republican,Donald J. Trump,807.0
Carroll,CARROLLMCKENZIE,President,,Republican,Donald J. Trump,284.0
Carter,CARTERHUNTER,President,,Republican,Donald J. Trump,1426.0
Carter,CARTERMIDWAY,President,,Republican,Donald J. Trump,480.0
Carter,CARTERUNAKA,President,,Republican,Donald J. Trump,691.0
Carter,CARTERROAN MOUNTAIN,President,,Republican,Donald J. Trump,1225.0
