county,precinct,office,district,party,candidate,votes
Adams,4255601246,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",2
Adams,4255601246,President,,Prohibition Party,James Hedges / Bill Bayes,1
Adams,4255601246,President,,America's Party,Tom Hoefling / Steve Schulin,3
Adams,4255601246,President,,Veterans Party of America,Chris Keniston / Deacon Taylor,9
Adams,4255601246,President,,Socialist Workers Party,Alyson Kennedy / Osborne Hart,1
Adams,4255601246,President,,Independent American Party,Kyle Kenley Kopitke / Nathan R. Sorenson,3
Adams,4255601246,President,,Kotlikoff for President,Laurence Kotlikoff / Edward Leamer,0
Adams,4255601246,President,,Socialism and Liberation,Gloria Estela La Riva / Dennis J. Banks,0
Adams,4255601246,President,,Nonviolent Resistance/Pacifist,Bradford Lyttle / Hannah Walsh,0
Adams,4255601246,President,,Independent People of Colorado,Joseph Allen Maldonado / Douglas K. Terranova,1
Adams,4255601246,President,,American Solidarity Party,Michael A. Maturen / Juan Munoz,1
Adams,4255601246,President,,Unaffiliated,Evan McMullin / Nathan Johnson,4
Adams,4255601246,President,,Unaffiliated,Ryan Alan Scott / Bruce Kendall Barnard,0
Adams,4255601246,President,,Nutrition Party,Rod Silva / Richard C. Silva,0
Adams,4255601246,President,,Unaffiliated,Mike Smith / Daniel White,2
Adams,4255601246,President,,Socialist Party USA,Emidio Soltysik / Angela Nicole Walker,0
Adams,4255601246,President,,Green / Democratic,Bruce Lohmiller / J.R. Smith,0
Adams,4255601246,President,,Unaffiliated / Libertarian,Thomas J. Nieman / Bernie Jackson,0
Adams,4255601246,President,,Unaffiliated / Republican,Corey Sterner / Jeff Ryan,0
Adams,4255601246,President,,Republican Party,"David Perry / Eric ""Rick"" Seiley",0
Adams,4255601246,President,,Unaffiliated,Brian Anthony Perry / Michael Byron Nelson,0
Adams,4255601246,President,,Unaffiliated,Cherunda Fox / Roger Kushner,0
Adams,4255601246,U.S. Senate,,Democratic Party,Michael Bennet,274
Adams,4255601246,U.S. Senate,,Republican Party,Darryl Glenn,580
Adams,4255601246,U.S. Senate,,Libertarian Party,Lily Tang Williams,24
Adams,4255601246,U.S. Senate,,Green Party,Arn Menconi,8
Adams,4255601246,U.S. Senate,,Unity Party of Colorado,Bill Hammons,1
Adams,4255601246,U.S. Senate,,Unaffiliated,Dan Chapin,6
Adams,4255601246,U.S. Senate,,Unaffiliated,Paul Noel Fiorino,1
Adams,4255601246,U.S. Senate,,Unaffiliated,Don Willoughby,0
Adams,4255601246,U.S. House,4,Democratic Party,Bob Seay,187
Adams,4255601246,U.S. House,4,Republican Party,Ken Buck,635
Adams,4255601246,U.S. House,4,Libertarian Party,Bruce Griffith,64
Adams,4255601246,U.S. House,4,Republican Party,Donald Howbert,0
Adams,4255601246,State Senate,25,Democratic Party,Jenise May,222
Adams,4255601246,State Senate,25,Republican Party,Kevin Priola,663
Adams,4255601246,State Representative,56,Democratic Party,Matt Snider,215
Adams,4255601246,State Representative,56,Republican Party,Phil Covarrubias,577
Adams,4255601246,State Representative,56,Libertarian Party,Kevin Gulbranson,82
Adams,4255601246,District Attorney,17,Democratic Party,Dave Young,232
Adams,4255601246,District Attorney,17,Republican Party,Molly Falk Jansen,628
Adams,4255601246,Supreme Court,,,William Hood,0
Adams,4255601246,Court of Appeals,,,Karen M. Ashby,0
Adams,4255601246,Court of Appeals,,,Michael H. Berger,0
Adams,4255601246,Court of Appeals,,,Steven L. Bernard,0
Adams,4255601246,Court of Appeals,,,Stephanie E. Dunn,0
Adams,4255601246,Court of Appeals,,,David Furman,0
Adams,4255601246,Court of Appeals,,,Robert D. Hawthorne,0
Adams,4255601246,Court of Appeals,,,Jerry N. Jones,0
Adams,4255601246,Court of Appeals,,,Anthony J. Navarro,0
Adams,4255601246,Court of Appeals,,,Gilbert M. Rom�n,0
Adams,4255601246,Court of Appeals,,,Diana Terry,0
Adams,4255601247,President,,Democratic Party,Hillary Clinton / Tim Kaine,148
Adams,4255601247,President,,Republican Party,Donald J. Trump / Michael R. Pence,630
Adams,4255601247,President,,American Constitution Party,Darrell L. Castle / Scott N. Bradley,2
Adams,4255601247,President,,Libertarian Party,Gary Johnson / Bill Weld,25
Adams,4255601247,President,,Green Party,Jill Stein / Ajamu Baraka,8
Adams,4255601247,President,,Approval Voting Party,Frank Atwood / Blake Huber,0
Adams,4255601247,President,,American Delta Party,"""Rocky"" Roque De La Fuente / Michael Steinberg",1
Adams,4255601247,President,,Prohibition Party,James Hedges / Bill Bayes,0
Adams,4255601247,President,,America's Party,Tom Hoefling / Steve Schulin,0
