precinct,gen_con_CASTLE,gen_dem_CLINTON,gen_lib_JOHNSON,gen_rep_TRUMP
CORSONWAKPALA,3.0,81.0,2.0,6.0
CORSONWEST RURAL MCLAUGHLIN,1.0,46.0,5.0,22.0
CUSTER1,6.0,163.0,44.0,706.0
CUSTER10,1.0,27.0,6.0,125.0
CUSTER2,0.0,20.0,6.0,114.0
CUSTER3,3.0,54.0,5.0,132.0
CUSTER4,6.0,96.0,12.0,240.0
CUSTER5,1.0,154.0,32.0,491.0
CUSTER6,6.0,115.0,25.0,250.0
CUSTER7,2.0,51.0,21.0,134.0
CUSTER8,6.0,136.0,41.0,256.0
CUSTER9,20.0,305.0,64.0,845.0
CUSTERTOTAL,51.0,1121.0,256.0,3293.0
DAVISON1,1.0,62.0,6.0,219.0
DAVISON10,6.0,133.0,17.0,249.0
DAVISON11,4.0,139.0,19.0,250.0
DAVISON12/13,2.0,194.0,27.0,354.0
DAVISON14,7.0,128.0,16.0,218.0
DAVISON15,3.0,175.0,30.0,358.0
DAVISON16,4.0,133.0,17.0,211.0
DAVISON17/18,7.0,133.0,12.0,192.0
DAVISON19,9.0,130.0,26.0,278.0
DAVISON2,3.0,52.0,17.0,311.0
DAVISON20,11.0,231.0,34.0,459.0
DAVISON3,8.0,151.0,25.0,472.0
DAVISON4/5,10.0,145.0,27.0,485.0
DAVISON6/7,5.0,276.0,22.0,571.0
DAVISON8,6.0,134.0,25.0,280.0
DAVISON9,5.0,139.0,29.0,250.0
DAVISONTOTAL,91.0,2355.0,349.0,5157.0
DAY1,1.0,87.0,18.0,158.0
DAY10,2.0,25.0,1.0,79.0
DAY11,6.0,66.0,10.0,124.0
DAY12,2.0,84.0,3.0,100.0
DAY13,1.0,75.0,9.0,109.0
DAY14,2.0,78.0,20.0,141.0
DAY2,0.0,100.0,9.0,175.0
DAY3,0.0,50.0,6.0,97.0
DAY4,3.0,65.0,8.0,112.0
DAY5,2.0,71.0,6.0,96.0
DAY6,3.0,116.0,8.0,122.0
DAY7,2.0,58.0,4.0,109.0
DAY8,3.0,45.0,6.0,78.0
DAY9,3.0,54.0,8.0,127.0
DAYTOTAL,30.0,974.0,116.0,1627.0
DEUEL1,1.0,43.0,13.0,90.0
DEUEL10,1.0,50.0,7.0,111.0
DEUEL11,2.0,56.0,12.0,132.0
DEUEL3,2.0,76.0,15.0,202.0
DEUEL4,2.0,65.0,13.0,105.0
DEUEL5,3.0,58.0,16.0,99.0
DEUEL6,4.0,61.0,13.0,112.0
DEUEL7,3.0,37.0,6.0,140.0
DEUEL8,6.0,71.0,9.0,168.0
DEUEL9,3.0,53.0,13.0,207.0
DEUELTOTAL,27.0,570.0,117.0,1366.0
DEWEYPRECINCT 02 TRAIL CITY,1.0,3.0,0.0,37.0
DEWEYPRECINCT-04 TIMBER LAKE,2.0,68.0,20.0,238.0
DEWEYPRECINCT-05 FIRESTEEL,0.0,17.0,5.0,39.0
DEWEYPRECINCT-06 ISABEL,1.0,24.0,3.0,114.0
DEWEYPRECINCT-07 EAGLE BUTTE EAST,7.0,202.0,10.0,30.0
DEWEYPRECINCT-08 WHITE HOUSE,1.0,52.0,4.0,8.0
DEWEYPRECINCT-09 PROMISE,1.0,33.0,5.0,31.0
DEWEYPRECINCT-11 SWIFTBIRD/LAPLANT,5.0,64.0,0.0,20.0
