precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MONTGOMERY_512 ST JAMES METHODIST #4,465,9,24,26,833,9,160,0,1,29,3,63,0,134,1,0,0,71,2,0,207,0,269,7,3,1366,760,190
MONTGOMERY_ABSENTEE,2059,12,55,53,1792,27,286,0,2,41,25,18,1,58,1,1,1,28,0,0,134,0,171,7,4,3998,449,329
MONTGOMERY_PROVISIONAL,247,1,2,0,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0
MORGAN_ABSENTEE,442,8,29,54,1336,35,24,0,0,14,5,13,1,60,0,0,0,10,0,0,61,0,77,2,3,1904,232,38
MORGAN_AUSTINVILLE BAPTIST,739,11,24,57,1303,17,222,0,0,64,3,75,2,146,0,0,2,32,1,0,158,2,451,8,3,2151,883,286
MORGAN_BETHLEHEM BAPTIST CHURCH,131,2,11,31,815,6,43,1,0,27,2,61,0,103,0,0,0,14,0,0,69,0,277,2,1,996,529,71
MORGAN_COTACO FIRE STATION,138,3,7,21,643,4,51,0,0,14,1,48,0,85,0,0,2,7,1,0,75,0,185,6,0,816,410,65
MORGAN_DECATUR BAPTIST CHURCH,822,13,36,99,2315,16,283,1,2,99,3,183,0,342,0,0,4,71,5,0,307,0,627,14,7,3301,1563,385
MORGAN_DECATUR FIRE & RESCUE,52,0,2,7,259,0,17,0,0,8,0,10,0,26,0,0,0,4,0,0,29,0,87,3,0,320,159,25
MORGAN_DECATUR FIRE & RESCUE #8,207,4,22,28,1056,5,52,0,0,32,2,81,1,182,3,0,2,68,1,0,201,0,352,5,1,1322,899,84
MORGAN_FIRST BAPTIST CHURCH,476,14,37,84,2533,31,166,0,0,67,3,185,0,361,3,0,7,65,4,0,289,0,724,17,4,3175,1662,233
MORGAN_FIRST BIBLE CHURCH,662,16,25,38,1222,13,228,0,0,69,2,96,1,168,1,0,2,59,1,0,185,1,329,9,6,1976,860,297
MORGAN_FLORETTE VFD,38,0,1,11,297,1,23,0,1,8,1,28,1,34,0,0,1,9,0,0,19,0,85,0,2,348,180,32
MORGAN_LEBANON BAPTIST CHURCH,48,0,3,8,381,1,14,0,0,5,0,38,0,59,0,0,0,6,0,0,49,0,107,1,1,441,261,19
MORGAN_MACEDONIA CUMBERLAND PRES,60,0,0,4,74,0,29,0,0,5,0,11,0,6,0,0,0,2,0,0,0,0,16,1,0,138,36,34
MORGAN_MASSEY FIRE STATION #1,51,0,2,8,431,3,17,0,0,9,1,45,0,81,0,2,0,1,0,0,46,1,126,2,0,495,305,26
MORGAN_MORGAN COUNTY COURTHOUSE,137,3,5,11,293,2,34,0,0,24,2,12,2,29,0,0,0,18,1,0,39,1,101,1,1,451,207,58
MORGAN_MORGAN COUNTY DISTRICT,37,1,1,10,375,7,18,0,0,3,0,21,0,51,0,0,0,4,0,0,39,0,119,0,0,431,234,21
MORGAN_OAK PARK BAPTIST CHURCH,353,6,27,50,1094,15,99,0,0,63,1,95,2,165,1,0,0,58,5,0,186,0,309,2,5,1545,829,162
MORGAN_PROVISIONAL,36,0,0,2,90,0,6,0,0,4,1,6,1,11,0,0,0,1,0,0,4,0,28,1,0,128,53,10
MORGAN_SPARKMAN ELEMENTARY,88,4,10,19,944,4,19,0,0,25,1,63,0,138,0,0,1,19,2,0,79,0,269,6,1,1069,579,44
MORGAN_S_A_V_E_S_ FIRE DEPT #1,176,5,8,10,1149,0,65,0,0,28,1,116,1,123,0,0,3,26,0,0,110,0,385,5,3,1348,773,93
MORGAN_TRI-COUNTY VFD,69,2,4,9,487,5,13,1,2,16,0,26,0,41,0,0,2,9,0,0,64,1,148,2,3,576,296,32
MORGAN_W MORGAN E LAWRENCE W&S,78,3,4,15,596,5,29,0,0,27,0,38,0,76,0,0,1,13,0,0,55,0,192,3,2,701,380,56
MORGAN_WESTMEADE BAPTIST CHURCH,294,7,5,23,478,4,101,0,1,43,1,31,0,50,0,0,4,13,0,0,46,0,135,5,1,811,286,145
PERRY_ABSENTEE,242,1,2,0,53,1,174,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,2,4,4,299,12,181
PERRY_ARMORY,1314,5,10,15,475,7,820,3,11,149,0,8,0,41,0,0,0,0,0,0,15,0,40,62,85,1826,251,983
PERRY_EAST PERRY,37,0,1,0,75,1,27,0,0,11,0,2,0,11,0,0,0,0,0,0,1,0,11,6,3,114,34,38
PERRY_HEIBERGER,49,0,1,2,197,3,38,2,1,36,0,2,0,20,0,0,0,0,0,0,5,0,49,16,17,252,109,77
PERRY_HINTON HALL,115,0,0,0,1,0,90,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,92
PERRY_NORTH PERRY,41,0,0,1,136,0,48,0,1,22,0,0,0,28,0,0,1,0,0,0,4,0,34,3,3,178,73,71
PERRY_OFS FIRE STATION,96,0,1,0,103,3,62,1,6,26,1,1,0,6,0,0,0,0,0,0,4,0,13,17,10,203,52,95
PERRY_PROVISIONAL,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
PERRY_RADFORDVILLE,57,0,0,1,55,0,44,0,1,21,1,0,0,1,0,0,0,0,0,0,0,0,7,8,9,113,26,66
PERRY_SEVERE,17,0,0,0,61,0,14,0,2,18,0,2,0,4,0,0,0,0,0,0,0,0,13,2,14,78,35,34
PERRY_UNIONTOWN CITY HALL,485,0,1,0,54,0,330,2,3,28,0,0,0,3,0,0,0,0,0,0,1,0,5,6,10,540,25,363
PERRY_WEST PERRY,304,0,1,0,67,5,209,1,3,22,0,0,0,1,0,0,0,1,0,0,1,0,4,8,10,377,25,235
PICKENS_ABSENTEE,117,0,1,1,205,7,35,0,0,8,3,3,0,10,0,0,1,2,2,0,5,0,11,5,10,331,52,43
PICKENS_ALICEVILLE,1382,5,2,2,517,8,826,1,2,63,2,40,1,78,0,0,1,10,0,0,60,0,128,14,24,1916,358,892
PICKENS_BENEVOLA,4,0,1,0,47,1,5,0,0,5,0,7,1,6,0,0,0,0,0,0,2,0,10,2,4,53,32,10
PICKENS_BETHLEHEM,2,0,0,1,114,0,16,0,0,5,1,3,0,13,0,0,1,1,0,0,8,0,28,2,1,117,58,21
PICKENS_CARROLLTON/SPEEDS MILL,422,3,5,7,607,4,271,1,2,63,2,36,0,83,0,1,7,2,0,0,35,0,128,33,30,1048,357,337
PICKENS_COCHRANE/DANCY,137,0,0,0,62,0,74,2,0,8,0,3,0,2,0,0,0,0,0,0,14,0,11,0,1,199,31,84
PICKENS_ETHELSVILLE,29,0,1,0,109,1,13,2,0,2,0,8,0,12,0,0,0,3,0,0,6,0,24,0,3,140,56,17
PICKENS_FAIRVIEW/ZION,28,1,8,4,769,5,17,2,7,57,2,34,0,98,0,0,0,9,0,0,50,0,126,60,82,815,461,83
PICKENS_FORREST,23,2,1,4,197,1,14,0,0,2,0,16,0,38,0,0,2,5,0,0,17,0,44,2,0,228,124,16
PICKENS_GORDO,372,4,14,5,1135,8,221,1,12,127,1,47,0,91,0,0,1,7,1,0,43,0,192,60,128,1538,571,361
PICKENS_KIRK,6,0,0,1,207,0,1,0,3,8,1,11,0,17,0,0,0,0,0,0,1,0,45,13,24,214,112,12
PICKENS_LIBERTY,96,0,1,3,229,3,52,0,1,8,0,15,0,31,0,0,2,4,0,0,19,0,50,3,2,332,126,61
PICKENS_MACEDONIA,154,1,0,3,34,1,97,0,0,3,1,4,0,4,0,0,0,0,0,0,2,0,12,0,2,193,25,100
PICKENS_MCSHAN,34,2,0,0,96,0,0,0,0,1,0,7,0,11,0,0,4,1,0,0,9,0,40,0,2,132,74,1
PICKENS_PALMETTO,28,0,1,4,184,0,10,1,0,2,3,15,0,27,0,0,0,2,0,0,18,0,47,4,5,217,121,13
PICKENS_PICKENSVILLE,223,0,3,1,106,0,129,0,0,9,0,4,0,25,0,0,1,1,0,0,6,0,25,5,0,333,67,138
PICKENS_PINE GROVE,28,0,1,2,93,0,7,0,0,3,0,5,0,14,0,0,1,6,0,0,9,0,30,0,3,124,68,10
PICKENS_PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PICKENS_REFORM,509,0,6,9,666,9,309,1,2,66,1,23,0,90,0,0,3,12,0,0,46,0,149,42,42,1199,408,378
PICKENS_SAPPS,350,0,0,2,50,4,213,0,1,10,0,1,0,6,0,0,0,0,0,0,2,0,16,3,3,406,31,224
PICKENS_SPRING HILL,28,1,1,0,27,0,16,0,0,3,0,5,0,2,0,0,0,0,0,0,1,0,8,1,2,57,19,19
PIKE_ABSENTEE,150,1,4,5,263,2,15,0,0,4,3,3,0,10,0,0,0,2,0,0,11,0,25,1,1,425,56,19
PIKE_ANTIOCH CHURCH,46,0,4,4,231,1,24,0,0,7,1,26,0,21,0,0,1,2,0,0,15,0,91,2,2,286,161,31
PIKE_BANKS VOTING CENTER #1,28,0,0,2,75,0,14,0,0,1,1,8,0,13,0,0,0,2,0,0,2,0,30,0,1,105,57,15
PIKE_DUNNS VOTING CENTER #1,9,0,0,0,14,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,9,0,0,24,11,7
PIKE_EBENEZER VOTING CENTER #1,14,0,0,1,56,1,9,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,42,0,0,72,44,9
PIKE_FIRST BAPTIST CHURCH,320,4,26,28,854,11,108,0,1,41,6,105,0,152,0,0,1,41,2,0,151,2,247,17,6,1243,730,150
PIKE_GOSHEN TOWN HALL,59,1,1,7,277,6,34,0,0,3,2,27,0,42,0,0,1,6,1,0,24,3,113,4,3,351,226,37
PIKE_HAMILTON CROSS ROADS,21,2,3,2,180,4,6,0,0,5,2,12,0,42,0,0,0,2,0,0,16,0,70,2,0,212,146,11
PIKE_OAK BOWERY CHURCH,53,0,0,0,79,0,31,0,0,4,0,4,0,18,0,0,0,0,0,0,4,0,40,2,0,132,68,35
PIKE_PIKE COUNTY COURTHOUSE,630,5,6,24,322,8,288,2,1,35,2,18,0,29,0,0,0,8,3,0,40,1,75,2,4,995,182,326
PIKE_PROVISIONAL,13,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0
PIKE_SACO #2,16,0,0,0,5,0,7,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,21,4,7
PIKE_SWEET PILGRIM CHURCH,72,0,0,0,54,0,38,0,0,3,0,2,0,6,0,0,0,0,0,0,3,0,26,1,0,126,38,41
PIKE_TENNILLE METHODIST,10,1,1,2,65,0,2,0,0,0,0,10,0,3,0,0,1,2,0,0,6,0,27,3,0,79,52,2
PIKE_TROY ADAMS ARMORY,470,7,22,61,1053,6,139,0,0,82,4,119,1,157,1,0,1,30,2,0,178,0,255,9,4,1619,761,221
PIKE_TROY PUBLIC LIBRARY,967,7,2,27,216,12,429,0,4,51,2,12,0,21,0,1,0,4,0,0,22,0,53,5,2,1231,122,484
RANDOLPH_ABSENTEE,95,1,3,8,421,1,21,0,0,7,0,5,0,22,0,0,0,5,0,0,16,0,42,4,5,529,99,28
RANDOLPH_BACON LEVEL,49,0,0,1,257,0,24,0,0,10,0,19,0,37,0,0,1,1,0,0,11,0,80,4,5,307,158,34
RANDOLPH_BETHEL,14,0,1,0,165,3,3,0,0,3,0,15,0,31,0,0,0,0,0,0,15,0,53,5,5,183,124,6
RANDOLPH_CAVERS GROVE,23,1,0,6,244,3,9,0,1,10,0,11,0,29,1,0,0,5,0,0,17,0,77,2,5,277,147,20
RANDOLPH_CORINTH,27,0,0,7,234,0,13,0,1,4,0,8,0,23,0,1,1,3,0,0,9,0,65,3,2,268,115,18
RANDOLPH_GRAHAM,23,0,2,3,199,1,8,0,0,4,0,13,0,34,0,0,1,4,0,0,14,0,65,3,2,228,136,12
RANDOLPH_LEVEL ROAD,47,0,1,3,291,7,41,0,0,9,2,23,0,18,1,0,4,4,0,0,13,0,120,3,2,349,190,50
RANDOLPH_MIDWAY,123,0,1,2,251,4,77,0,1,12,0,9,0,20,0,0,0,7,0,0,11,0,82,14,13,381,156,90
RANDOLPH_MOORES STORE,20,0,0,6,258,4,13,0,1,8,0,11,0,31,0,2,0,1,0,0,21,0,117,7,6,288,196,22
RANDOLPH_MORRISON XR FD,90,1,0,7,205,6,56,0,2,14,1,11,0,15,0,0,0,1,1,0,10,0,48,8,8,309,103,72
RANDOLPH_NATIONAL GUARD ARMORY #1,219,1,6,5,472,6,227,1,2,44,5,32,0,88,0,0,0,11,1,0,47,0,160,15,13,709,372,274
RANDOLPH_NATIONAL GUARD ARMORY #2,359,0,1,14,502,5,271,4,1,31,9,37,1,84,0,0,1,7,0,0,44,0,168,8,8,881,367,307
RANDOLPH_NATIONAL GUARD ARMORY #3,526,4,6,8,640,13,102,0,1,23,2,23,0,43,0,0,1,8,0,0,31,0,111,13,7,1197,239,126
RANDOLPH_NEW HOPE,19,1,1,0,131,2,17,0,0,9,1,11,0,17,0,0,0,0,1,0,11,0,37,4,4,154,86,26
RANDOLPH_OMAHA,14,0,0,5,195,3,0,0,0,1,2,12,0,20,0,0,0,5,0,0,23,0,70,4,5,217,141,1
RANDOLPH_OPHELIA,19,0,1,1,168,1,12,0,0,7,1,10,0,22,1,0,0,3,0,0,7,0,54,4,5,190,107,19
RANDOLPH_PINE HILL,25,0,2,3,265,2,13,0,0,5,2,13,1,41,0,0,1,3,0,0,30,0,88,2,6,297,187,18
RANDOLPH_PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RANDOLPH_ROCK MILLS,23,1,1,0,213,2,8,0,0,4,2,19,0,19,0,0,1,1,0,0,12,0,76,10,7,240,147,12
RANDOLPH_SWAGG,41,0,3,5,254,2,25,0,1,9,1,10,0,19,0,0,1,12,0,0,30,0,80,16,6,305,175,35
RANDOLPH_TIN SHOP FD,25,2,4,2,429,2,14,0,1,8,1,31,0,77,0,0,5,3,0,0,37,0,114,11,6,464,285,23
RANDOLPH_WADLEY,82,2,3,5,256,5,35,0,2,13,1,18,0,47,0,0,0,9,1,0,31,0,78,6,3,353,194,50
RANDOLPH_WEDOWEE CITY HALL #1,203,2,4,11,608,4,150,1,0,46,1,24,0,69,0,0,1,21,0,0,70,3,222,32,33,832,476,197
RANDOLPH_WEDOWEE CITY HALL #2,98,1,1,7,245,2,34,0,4,12,0,18,0,27,0,0,0,8,0,0,17,0,80,9,9,354,168,50
RANDOLPH_WEHADKEE,16,0,0,1,49,0,9,0,0,3,0,3,0,6,0,0,1,0,0,0,5,0,16,5,0,66,36,12
RANDOLPH_WESLEY CHAPEL,14,1,4,4,146,3,8,0,1,9,0,2,0,18,0,0,0,0,1,0,11,0,59,4,4,172,99,18
RANDOLPH_WILSON STORE,28,1,0,0,131,0,15,0,0,7,2,10,0,12,0,0,0,3,0,0,8,0,38,2,1,160,76,22
RUSSELL_ABSENTEE,390,7,4,12,505,4,49,1,0,10,1,5,0,5,0,0,0,2,0,0,4,0,19,9,16,922,61,60
RUSSELL_AUSTIN SUMBRY PARK,626,3,4,13,239,6,257,1,0,41,1,6,0,17,0,0,0,2,0,0,16,0,46,11,10,891,109,299
RUSSELL_COTTONTON FIRE STATION,83,0,0,7,223,2,48,1,0,16,1,14,0,20,0,1,1,2,0,0,9,0,49,16,4,315,117,65
RUSSELL_CRAWFORD VFD,376,1,14,20,1147,8,196,3,6,81,1,23,2,125,0,1,0,7,0,0,61,1,235,88,70,1566,614,286
RUSSELL_DIXIE VFD,116,2,2,2,209,0,53,0,1,14,0,4,0,29,0,0,0,4,0,0,13,0,60,10,11,331,131,68
RUSSELL_FIRE DEPARTMENT HURTSBORO,548,0,3,3,159,3,348,1,0,35,0,9,0,23,0,0,0,4,0,0,15,0,28,10,15,716,104,384
RUSSELL_HATCHECHUBBEE FIRE,100,0,1,2,91,1,65,1,0,15,0,2,0,13,0,0,0,2,0,0,0,0,28,11,8,195,64,81
RUSSELL_LADONIA VFD,620,12,15,32,1480,6,295,5,9,123,1,46,0,188,0,0,1,14,1,0,46,0,377,86,43,2165,803,432
RUSSELL_NATIONAL GUARD ARMORY,163,2,3,13,428,5,78,0,4,39,1,24,0,41,0,0,0,11,0,0,33,0,85,33,20,614,248,121
RUSSELL_OLD SEALE COURTHOUSE,379,1,3,18,459,3,210,0,1,37,2,14,0,65,1,0,0,5,2,0,17,0,93,26,24,863,249,248
RUSSELL_PITTSVIEW FIRE,224,0,0,2,103,1,162,0,2,7,0,1,0,8,0,0,0,0,0,0,4,0,33,3,7,330,56,171
RUSSELL_PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUSSELL_ROY MARTIN CENTER,737,8,29,52,1783,17,260,6,2,197,5,73,2,229,2,0,4,23,0,0,135,1,316,152,122,2626,1064,465
RUSSELL_RUSSELL COUNTY COURTHOUSE,602,4,5,7,203,5,226,0,2,41,1,6,0,18,0,0,0,1,1,0,3,0,31,15,18,826,94,269
RUSSELL_TROY UNIVERSITY,651,1,4,10,301,6,276,0,5,57,0,9,0,31,0,1,0,2,0,0,21,0,50,15,3,973,132,338
SHELBY_1ST BAPTIST PELHAM ANNEX,1020,28,58,141,1995,10,263,0,1,206,5,144,2,371,1,1,1,68,4,0,353,1,497,23,11,3252,1482,470
SHELBY_1ST CHRISTIAN CHURCH,694,12,62,96,1969,27,141,1,1,122,7,118,1,330,1,0,3,111,5,0,414,0,493,13,3,2860,1499,265
SHELBY_1ST PRESBYTERIAN CHURCH,555,12,48,88,1929,10,172,1,1,101,11,155,2,366,0,1,3,50,2,0,279,0,547,24,4,2642,1444,275
SHELBY_ABSENTEE,894,16,84,125,2677,31,38,0,0,36,17,34,0,119,1,0,2,34,2,0,176,0,174,11,3,3827,573,74
SHELBY_ALABASTER LIBERTY BAPTIST,450,3,6,9,210,3,218,0,1,21,2,20,0,33,1,0,0,5,0,0,30,0,55,2,1,681,149,240
SHELBY_ASBURY UNITED METHODIST,511,8,88,80,2063,15,135,0,0,107,2,167,1,420,1,0,3,97,5,0,501,0,489,12,6,2765,1704,242
SHELBY_BAY SPRINGS BAPTIST,74,2,2,10,625,1,26,0,0,9,3,20,0,108,0,0,0,16,0,0,56,0,217,4,0,714,424,35
SHELBY_CAMP BRANCH CIVIC CENTER,129,3,4,15,878,4,56,0,1,32,1,50,0,178,0,0,1,42,0,0,89,0,268,6,2,1033,637,89
SHELBY_CHELSEA CHURCH OF GOD,342,10,33,73,2168,10,100,0,0,59,2,174,3,414,2,0,3,38,6,0,310,1,568,17,4,2636,1542,159
SHELBY_CHRIST UNITED METHODIST,432,12,53,70,1562,12,105,0,0,64,3,78,0,389,1,0,2,111,3,0,437,2,332,12,2,2141,1372,169
SHELBY_CONCORD BAPTIST CHURCH,1129,15,49,101,2304,7,364,0,1,164,5,187,0,429,1,1,7,52,6,0,312,0,520,15,6,3605,1541,529
SHELBY_FAITH PRESBYTERIAN CHURCH,336,10,87,86,1689,15,58,0,0,69,5,149,2,396,0,0,2,87,3,0,436,2,372,13,0,2223,1467,127
SHELBY_FOURMILE VOL_ FIRE/RESCUE,44,1,5,14,581,3,9,1,0,14,1,46,0,107,0,0,0,12,0,0,58,0,176,5,2,648,407,24
SHELBY_GREYSTONE FARMS CLUBHOUSE,217,7,25,30,950,8,52,0,1,29,2,59,1,169,0,0,0,68,2,0,240,1,257,8,6,1237,813,82
SHELBY_HARPERSVILLE CITY HALL,252,1,5,1,622,2,134,0,2,22,2,33,1,94,0,0,3,11,0,0,52,1,180,5,5,883,387,158
SHELBY_HELENA COMMUNITY CENTER,1698,36,128,252,5234,24,498,0,2,276,10,397,4,1060,0,0,8,140,9,0,880,0,1206,36,8,7372,3758,776
SHELBY_HOOVER FIRE STATION #8,356,3,27,58,1363,11,103,0,0,37,2,86,2,236,1,1,1,102,3,0,271,0,390,7,2,1818,1104,140
SHELBY_MAYLENE PENTECOSTAL LIGHT,176,4,4,14,569,2,61,0,0,23,2,26,1,111,1,0,0,5,0,0,53,0,155,6,1,769,361,84
SHELBY_MEADOWBROOK BAPTIST,812,15,73,120,1988,13,191,0,1,115,7,176,0,402,3,0,1,122,4,0,427,0,470,18,3,3021,1633,307
SHELBY_NEW HOPE CUMBERLAND PRSBY,395,11,50,81,1704,20,93,0,1,90,4,132,0,368,0,0,4,109,3,0,383,0,426,6,1,2261,1436,184
SHELBY_NEW LIFE ASSEMBLY OF GOD,335,7,43,59,1952,21,76,0,0,63,8,151,0,365,1,0,4,50,6,0,286,0,518,18,3,2417,1410,139
SHELBY_NORTH SHELBY BAPTIST,145,4,14,17,520,5,48,0,0,28,3,34,0,88,0,0,0,23,2,0,106,1,141,5,0,705,403,76
SHELBY_PELHAM CIVIC COMPLEX,1316,33,90,191,4364,28,337,2,1,238,11,287,2,905,3,1,10,177,5,0,725,2,1070,50,5,6022,3253,578
SHELBY_PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHELBY_RIVERCHASE BAPTIST,867,17,40,94,1449,11,234,0,0,136,2,93,1,253,3,0,2,113,5,0,300,2,338,10,2,2478,1124,370
SHELBY_ROY DOWNS MEMORIAL LIBRARY,1028,17,30,85,2160,17,345,2,2,113,6,166,3,407,2,0,4,36,5,0,247,0,500,22,11,3337,1409,462
SHELBY_SHELBY IRON WORKS PARK,105,5,11,18,738,4,36,0,0,22,7,56,0,129,0,1,6,18,0,0,58,0,264,8,3,881,550,58
SHELBY_SHOAL CREEK TOWN HALL,166,4,16,23,755,9,40,0,0,26,1,59,0,117,0,0,1,35,2,0,147,0,168,3,0,973,533,66
SHELBY_SILURIA BAPTIST CHURCH,588,10,47,104,1848,12,165,0,0,117,5,123,0,455,1,1,2,36,1,0,277,0,446,19,5,2609,1371,282
SHELBY_SOUTHCREST BAPTIST CHURCH,399,9,56,42,1695,4,118,0,1,74,5,116,0,342,0,0,1,46,1,0,254,1,403,9,8,2205,1186,193
SHELBY_SOUTHSIDE BAPTIST CHURCH,591,11,32,67,1798,4,190,1,0,105,5,132,2,400,0,0,2,45,3,0,245,2,463,21,3,2503,1323,296
SHELBY_THE CHURCH AT BROOKHILLS,830,14,69,76,2501,15,208,0,0,120,1,147,0,427,1,0,1,133,6,0,607,0,576,13,2,3505,1914,328
SHELBY_TURNER HOLLIS LEGION #195,57,1,4,3,244,5,29,1,0,10,2,11,1,45,0,0,0,5,0,0,18,0,79,2,3,314,166,40
SHELBY_UNDERWOOD BAPTIST CHURCH,26,1,6,6,239,1,8,0,0,8,0,19,1,38,0,0,0,6,0,0,16,0,81,2,0,279,163,16
SHELBY_UNIVERSITY BAPTIST CHURCH,301,6,19,22,558,9,94,0,0,78,2,44,0,119,0,0,1,29,0,0,108,1,155,3,7,915,469,172
SHELBY_VALLEYDALE BAPTIST,564,16,95,92,2194,21,147,0,0,111,5,129,0,464,0,0,2,133,8,0,566,2,565,9,2,2982,1885,258
SHELBY_WILTON BAPTIST,105,2,3,5,184,3,54,0,0,16,0,7,0,27,0,0,0,3,2,0,11,0,42,2,0,302,94,70
STCLAIR_ABSENTEE,266,4,12,21,1030,4,25,1,1,7,22,12,0,39,1,0,3,5,0,0,32,0,98,8,1,1337,221,34
STCLAIR_ARGO TOWN HALL,365,10,16,50,2176,14,100,0,2,47,3,161,1,360,1,0,0,36,2,0,190,1,428,5,1,2631,1189,149
STCLAIR_ASHVILLE CITY HALL,319,3,6,16,690,14,144,0,0,31,3,50,0,94,0,0,1,7,1,0,53,0,224,2,1,1048,436,175
STCLAIR_BRANCHVILLE CUMBERLAND,148,6,12,34,1400,7,43,0,0,28,3,80,0,258,1,0,1,20,2,0,119,1,365,6,1,1607,857,71
STCLAIR_CEDAR GROVE BAPTIST,156,2,17,26,882,3,39,0,0,22,5,61,0,146,0,0,2,12,5,0,104,0,249,7,2,1086,593,61
STCLAIR_CELEBRATIONS,153,6,8,24,1280,6,52,1,0,21,0,69,1,220,0,0,5,31,5,0,140,0,387,6,3,1477,867,74
STCLAIR_COOK SPRINGS VFD,77,3,8,14,841,5,10,0,0,14,0,40,0,192,0,0,1,15,0,0,51,1,225,3,2,948,530,24
STCLAIR_FAIRVIEW CHURCH,7,0,0,1,148,1,2,0,0,5,1,13,0,15,0,0,0,2,0,0,12,0,55,2,1,157,101,7
STCLAIR_FRIENDSHIP VFD,94,4,8,11,988,9,31,0,0,18,0,86,0,185,0,0,0,17,1,0,63,0,334,3,4,1114,693,49
STCLAIR_GALLANT VFD,10,0,0,2,128,1,6,0,0,2,0,10,0,15,0,0,0,6,0,0,9,0,35,0,0,141,75,8
STCLAIR_GUM SPRINGS CHURCH,22,3,3,8,388,5,9,0,0,9,1,21,0,59,0,0,0,7,0,0,33,0,133,2,3,429,259,18
STCLAIR_MOODY CITY HALL,807,22,66,115,3722,22,231,0,0,130,7,273,3,632,2,0,2,62,2,0,367,1,905,20,4,4754,2280,361
STCLAIR_NEW HOPE BAPTIST,85,3,6,11,701,3,23,0,1,13,3,43,1,124,0,1,3,7,0,0,55,1,187,2,1,809,428,37
STCLAIR_NEW LONDON VFD,141,1,5,12,692,5,60,0,0,14,0,30,0,121,0,0,2,8,1,0,55,0,246,6,0,856,469,74
STCLAIR_NORTH VALLEY CHURCH,474,2,22,36,1439,17,161,0,2,54,2,101,0,246,0,0,1,16,3,0,79,2,323,3,0,1990,776,217
STCLAIR_ODENVILLE CIVIC CENTER,119,7,20,40,1470,6,20,0,0,29,1,81,2,252,0,0,1,20,3,0,100,0,399,6,3,1662,868,49
STCLAIR_PELL CITY CIVIC CENTER,425,5,23,57,2175,10,179,0,0,60,2,161,1,416,0,1,1,77,2,0,290,1,777,16,8,2695,1753,239
STCLAIR_PINEDALE VFD,33,2,6,9,506,2,13,0,0,6,2,34,1,73,0,0,0,3,1,0,25,0,145,1,0,558,285,19
STCLAIR_POPLAR SPRINGS CHURCH,41,1,1,3,357,3,17,0,0,6,2,23,0,49,0,0,2,11,0,0,23,1,123,2,1,406,237,23
STCLAIR_PROVISIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STCLAIR_RAGLAND TOWN HALL,159,2,2,15,765,11,66,0,0,17,6,66,1,91,1,0,1,2,1,0,39,0,233,2,2,954,445,83
STCLAIR_RIVERSIDE TOWN HALL,188,3,9,10,877,5,77,0,0,13,0,39,0,115,1,1,4,10,0,0,63,0,297,7,1,1092,538,90
STCLAIR_SLATE UNION CHURCH,23,0,7,4,431,1,10,1,0,4,0,28,0,67,0,0,0,11,1,0,43,0,122,0,1,466,273,15
STCLAIR_WATTSVILLE VFD,60,6,5,6,818,14,26,0,0,12,2,38,0,135,0,1,1,13,0,0,43,1,225,4,1,909,464,38
STCLAIR_WHITES CHAPEL TOWN HALL,137,0,2,10,625,5,43,0,1,17,3,52,0,92,0,0,0,8,0,0,34,0,169,1,1,779,360,61
STCLAIR_WOLF CREEK VFD,20,1,3,4,317,2,2,0,0,12,0,14,0,51,0,0,0,3,1,0,12,0,87,1,0,347,169,14
