precinct,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_WRITE-INS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_rep_VOTES,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_PLEDGE,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,pri_rep_UNCOMMITTED,pri_rep_VOTES,gen_total,rep_pri_total,dem_pri_total
MOBILE_MT VERNON COMM CENTER #2,209,0,0,2,18,0,67,0,0,3,0,1,0,0,0,0,1,0,0,0,3,0,5,1,0,229,11,70
MOBILE_NEW SHILOH MISSIONARY #1,558,14,0,50,599,0,131,0,0,67,3,31,1,60,0,0,3,64,2,0,152,0,127,8,0,1221,451,198
MOBILE_NEW SHILOH MISSIONARY #2,333,9,0,32,401,0,171,0,0,58,4,26,1,68,0,0,0,49,4,0,127,1,128,9,0,775,417,229
MOBILE_OUR SAVIOR CATHOLIC CHURCH #1,531,8,0,49,1095,0,177,0,0,69,10,47,2,195,1,0,0,66,2,0,209,0,311,15,0,1683,858,246
MOBILE_OUR SAVIOR CATHOLIC CHURCH #2,356,4,0,37,724,0,124,0,0,52,3,41,1,145,0,1,2,56,3,0,162,1,199,4,0,1121,618,176
MOBILE_OUR SAVIOR CATHOLIC CHURCH #3,132,2,0,18,280,0,23,0,0,13,1,13,0,33,0,0,0,19,0,0,33,0,51,5,0,432,155,36
MOBILE_PALMER PILLIANS MIDDLE SCH #1,157,4,0,5,142,0,176,1,0,35,0,14,0,51,0,0,3,9,1,0,20,0,136,4,0,308,238,212
MOBILE_PALMER PILLIANS MIDDLE SCH #2,367,3,0,10,331,0,62,0,1,7,1,5,0,12,0,0,0,3,0,0,14,0,51,2,0,711,88,70
MOBILE_PILGRIM REST A_M_E_ #1,328,1,0,2,38,0,152,0,0,16,0,0,0,4,0,0,0,1,0,0,0,0,19,0,0,369,24,168
MOBILE_PILGRIM REST A_M_E_ #2,254,0,0,1,26,0,143,1,0,16,1,2,0,2,0,0,0,1,0,0,0,0,9,1,0,281,16,160
MOBILE_PLATEAU COMMUNITY CENTER #1,671,7,0,1,13,0,435,0,1,26,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,692,4,462
