precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_HAWES,pri_dem_JUDD,pri_dem_LOCKE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_WILSON,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_GRAY,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_con_CASTLE,gen_dem_CLINTON,gen_dem_GALLEGO,gen_green_STEIN,gen_grn_BARAKA,gen_grn_STEIN,gen_ind_CASTLE,gen_ind_CUBBLER,gen_ind_FOX,gen_ind_HOEFLING,gen_ind_KOTLIKOFF,gen_ind_LEE,gen_ind_MATUREN,gen_ind_MCMULLIN,gen_ind_MOOREHEAD,gen_ind_MORROW,gen_ind_SOLTYSIK,gen_ind_STEFFES,gen_ind_STEIN,gen_ind_VALDIVIA,gen_lib_CORVALAN,gen_lib_JOHNSON,gen_rep_ARRINGTON,gen_rep_HURD,gen_rep_TRUMP,gen_unk_BARRIERE,gen_unk_CASE,gen_unk_CHRISTIE,gen_unk_CRUZ,gen_unk_ERSKINE,gen_unk_KUSHNER,gen_unk_LEAMER,gen_unk_LILLY,gen_unk_RODRIGUEZ,gen_unk_RUBIO,gen_unk_SANDERS,gen_unk_SCHULIN,gen_unk_WALKER,dem_primary_total,general_total
SMITH29,63,0,0,0,0,1,12,0,4,20,2,356,0,0,0,1,13,3,54,0,128,0,241,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,897,0,0,0,0,0,0,0,0,0,0,0,0,0,76,1162
SMITH3,66,1,0,0,0,0,50,0,7,49,1,466,1,1,1,2,43,2,151,1,121,0,338,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,117,1512
SMITH30,76,0,0,0,0,0,50,0,9,80,1,865,0,0,0,0,42,2,186,1,312,0,357,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,2493,0,0,0,0,0,0,0,0,0,0,0,0,0,126,2958
SMITH31,68,0,0,0,0,0,38,1,5,57,1,781,1,2,0,0,38,1,137,0,299,0,321,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,107,2396
SMITH32,75,1,0,0,0,1,44,0,5,45,1,571,2,0,0,0,19,2,103,0,195,0,327,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1383,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1767
SMITH34,186,2,0,1,0,1,18,0,3,2,0,49,0,0,0,0,3,1,14,0,14,0,467,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,208,619
SMITH35,238,0,0,0,1,1,41,0,2,20,1,151,0,0,0,0,18,0,49,2,95,0,780,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,0,281,1367
SMITH36,358,0,2,0,1,1,71,3,4,13,0,73,0,0,0,0,7,1,45,0,30,0,1078,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,436,1376
SMITH37,43,0,0,0,0,0,15,0,2,27,0,352,0,0,0,2,18,1,99,1,122,0,172,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,908,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1108
SMITH38,64,1,1,0,0,0,55,0,7,45,2,358,0,0,0,0,35,3,163,0,123,0,430,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,1081,0,0,0,0,0,0,0,0,0,0,0,0,0,121,1590
SMITH39,48,0,0,1,0,0,10,0,0,2,0,22,0,0,0,0,3,0,4,0,14,0,144,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,59,220
SMITH4,100,0,1,0,0,0,26,0,3,14,0,163,0,0,0,3,5,1,20,0,84,0,402,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,461,0,0,0,0,0,0,0,0,0,0,0,0,0,127,885
SMITH40,126,0,1,2,0,0,59,1,22,91,3,1113,1,0,0,1,70,4,297,3,370,0,491,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,2788,0,0,0,0,0,0,0,0,0,0,0,0,0,189,3365
SMITH41,84,0,0,0,0,0,26,0,7,61,1,715,0,1,1,4,19,1,138,1,266,0,311,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,1966,0,0,0,0,0,0,0,0,0,0,0,0,0,110,2327
SMITH42,113,3,1,0,0,0,58,0,10,69,1,792,2,0,1,2,43,3,188,1,344,0,422,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,2085,0,0,0,0,0,0,0,0,0,0,0,0,0,175,2575
SMITH43,25,0,0,0,0,0,28,0,3,16,0,153,0,0,0,0,25,0,69,0,62,0,160,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,53,567
SMITH44,208,0,1,1,0,2,67,0,5,34,1,554,1,1,0,2,16,0,87,2,207,0,777,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,1359,0,0,0,0,0,0,0,0,0,0,0,0,0,279,2184
SMITH45,14,0,0,0,0,0,8,0,1,20,0,295,0,0,0,0,8,0,48,0,122,0,86,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,22,876
SMITH46,59,1,0,0,0,0,24,0,1,8,0,146,0,1,0,1,6,1,30,0,70,0,194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,479,0,0,0,0,0,0,0,0,0,0,0,0,0,84,685
SMITH47,24,0,0,0,0,1,6,0,0,10,0,67,0,0,0,0,2,0,8,0,31,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,31,267
SMITH48,18,0,0,0,0,0,7,0,0,3,0,37,0,0,0,0,0,0,3,1,21,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,25,239
SMITH49,18,0,0,1,0,0,5,0,1,3,0,26,0,0,0,0,1,0,5,0,13,0,76,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,24,136
