county,precinct,office,district,candidate,party,votes
Queens,014/23,President,NYC,Special Presidential,,0
Queens,014/23,President,NYC,Affidavit,,19
Queens,014/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,362
Queens,014/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,402
Queens,014/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,42
Queens,014/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,10
Queens,014/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Queens,014/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,7
Queens,014/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,3
Queens,014/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Queens,014/23,President,NYC,Scattered,,5
Queens,015/23,President,NYC,Manually Counted Emergency,,0
Queens,015/23,President,NYC,Absentee / Military,,10
Queens,015/23,President,NYC,Federal,,0
Queens,015/23,President,NYC,Special Presidential,,0
Queens,015/23,President,NYC,Affidavit,,9
Queens,015/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,242
Queens,015/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,148
Queens,015/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,13
Queens,015/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Queens,015/23,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Queens,015/23,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Queens,015/23,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Queens,015/23,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Queens,016/23,President,NYC,Manually Counted Emergency,,0
Queens,016/23,President,NYC,Absentee / Military,,6
Queens,016/23,President,NYC,Federal,,0
Queens,016/23,President,NYC,Special Presidential,,0
Queens,016/23,President,NYC,Affidavit,,13
Queens,016/23,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,252
Queens,016/23,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,126
Queens,016/23,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
Queens,016/23,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
