county,precinct,office,district,candidate,party,votes
New York,034/73,U.S. Senate,NYC,Manually Counted Emergency,,1
New York,034/73,U.S. Senate,NYC,Absentee / Military,,56
New York,034/73,U.S. Senate,NYC,Federal,,10
New York,034/73,U.S. Senate,NYC,Special Presidential,,0
New York,034/73,U.S. Senate,NYC,Affidavit,,4
New York,034/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,314
New York,034/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,110
New York,034/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,3
New York,034/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,3
New York,034/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,3
New York,034/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,7
New York,034/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,034/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
New York,034/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,0
New York,035/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,035/73,U.S. Senate,NYC,Absentee / Military,,64
New York,035/73,U.S. Senate,NYC,Federal,,8
New York,035/73,U.S. Senate,NYC,Special Presidential,,0
New York,035/73,U.S. Senate,NYC,Affidavit,,7
New York,035/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,606
New York,035/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,112
New York,035/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,2
New York,035/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,1
New York,035/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,8
New York,035/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,035/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,0
New York,035/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,035/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,6
New York,035/73,U.S. Senate,NYC,Scattered,,2
New York,036/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,036/73,U.S. Senate,NYC,Absentee / Military,,47
New York,036/73,U.S. Senate,NYC,Federal,,17
New York,036/73,U.S. Senate,NYC,Special Presidential,,0
New York,036/73,U.S. Senate,NYC,Affidavit,,11
New York,036/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,525
New York,036/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,132
New York,036/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,8
New York,036/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,2
New York,036/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,6
New York,036/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,5
New York,036/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,036/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,0
New York,036/73,U.S. Senate,NYC,Alex Merced (Libertarian),Libertarian,2
New York,036/73,U.S. Senate,NYC,Scattered,,1
New York,037/73,U.S. Senate,NYC,Manually Counted Emergency,,0
New York,037/73,U.S. Senate,NYC,Absentee / Military,,29
New York,037/73,U.S. Senate,NYC,Federal,,7
New York,037/73,U.S. Senate,NYC,Special Presidential,,0
New York,037/73,U.S. Senate,NYC,Affidavit,,7
New York,037/73,U.S. Senate,NYC,Charles E. Schumer (Democratic),Democratic,430
New York,037/73,U.S. Senate,NYC,Wendy Long (Republican),Republican,112
New York,037/73,U.S. Senate,NYC,Wendy Long (Conservative),Conservative,6
New York,037/73,U.S. Senate,NYC,Robin Laverne Wilson (Green),Green,7
New York,037/73,U.S. Senate,NYC,Charles E. Schumer (Working Families),Working Families,11
New York,037/73,U.S. Senate,NYC,Charles E. Schumer (Independence),Independence,0
New York,037/73,U.S. Senate,NYC,Charles E. Schumer (Women's Equality),Women's Equality,1
New York,037/73,U.S. Senate,NYC,Wendy Long (Reform),Reform,1
