precinct,gen_con_BRADLEY,gen_dem_KAINE,gen_grn_BARAKA,gen_ind_BAYES,gen_ind_JOHNSON,gen_ind_MONAHAN,gen_lib_WELD,gen_rep_PENCE,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_dem_VALENTINE,pri_dem_WOLFE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_JINDAL,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
CRAWFORD_LEE CREEK,0,24,3,0,1,1,5,219,4,0,0,4,0,0,1,9,0,67,2,0,3,0,6,0,26,0,39,253,153,8
CRAWFORD_LOCKE,0,22,1,2,0,0,4,93,10,0,0,2,0,1,0,6,1,20,0,0,0,0,4,0,9,1,28,122,69,13
CRAWFORD_MOUNTAIN,1,179,8,6,6,2,20,576,46,2,0,33,0,0,3,15,0,137,0,0,4,0,7,0,84,0,126,798,376,81
CRAWFORD_MULBERRY 1,0,25,2,0,1,0,2,89,10,0,1,6,1,0,0,0,0,19,0,0,0,0,1,0,12,1,14,119,47,18
CRAWFORD_MULBERRY 2,0,8,0,2,0,0,1,47,7,1,0,2,0,0,0,0,0,10,0,0,0,0,2,0,9,0,10,58,31,10
CRAWFORD_MULBERRY 3,6,95,0,3,4,4,13,333,52,0,1,26,1,0,1,15,0,62,0,0,3,0,3,0,32,0,72,458,188,80
CRAWFORD_OLIVER SPRINGS,0,86,0,2,2,1,11,398,29,0,0,14,0,0,1,16,0,102,0,0,1,0,2,0,58,0,84,500,264,43
CRAWFORD_PORTER,1,27,0,1,0,0,2,82,12,0,0,4,0,0,0,12,0,13,0,0,1,0,1,0,4,0,16,113,47,16
CRAWFORD_RUDY,1,87,6,3,6,2,15,452,35,0,1,17,0,0,1,14,1,115,0,1,1,0,7,0,67,1,101,572,309,53
CRAWFORD_UNION,4,62,5,3,3,2,10,300,26,0,2,19,0,0,0,14,0,71,0,0,4,0,3,0,39,0,69,389,200,47
CRAWFORD_UPPER,0,3,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,1,0
CRAWFORD_VAN BUREN 1-1,1,137,7,1,6,4,18,401,51,0,0,21,0,0,0,15,1,85,0,0,2,0,11,0,45,1,97,575,257,72
CRAWFORD_VAN BUREN 1-2,4,185,4,1,14,2,24,632,79,0,1,30,0,0,1,27,1,150,0,0,2,0,18,1,113,1,126,866,440,110
