precinct_code,gen_dem_CLINTON,gen_grn_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_SANDERS,pri_rep_CRUZ,pri_rep_KASICH,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Clackamas-4100571,100.0,1.0,6.0,34.0,38.0,21.0,0.0,14.0,15.0,141.0,29.0,59.0
Clackamas-4100572,51.0,2.0,3.0,33.0,15.0,13.0,2.0,2.0,6.0,89.0,10.0,28.0
Clackamas-4100573,87.0,4.0,11.0,53.0,22.0,25.0,5.0,5.0,12.0,155.0,22.0,47.0
Clackamas-4100574,24.0,1.0,4.0,28.0,11.0,1.0,1.0,0.0,8.0,57.0,9.0,12.0
Clatsop-410070001 01 - ASTORIA,299.0,29.0,20.0,0.0,0.0,133.0,8.0,18.0,54.0,348.0,80.0,133.0
Clatsop-410070002 02 - ASTORIA,433.0,21.0,23.0,176.0,144.0,201.0,3.0,12.0,53.0,653.0,68.0,345.0
Clatsop-410070003 03 - ASTORIA,471.0,34.0,37.0,282.0,106.0,184.0,13.0,16.0,81.0,824.0,110.0,290.0
Clatsop-410070004 04 - ASTORIA,242.0,16.0,16.0,173.0,69.0,113.0,13.0,14.0,60.0,447.0,87.0,182.0
Clatsop-410070005 05 - ASTORIA,489.0,33.0,37.0,225.0,145.0,234.0,13.0,24.0,79.0,784.0,116.0,379.0
Clatsop-410070006 06 - ASTORIA,278.0,19.0,21.0,106.0,94.0,99.0,8.0,13.0,42.0,424.0,63.0,193.0
Clatsop-410070007 07 - ASTORIA,464.0,41.0,35.0,203.0,126.0,210.0,15.0,25.0,68.0,743.0,108.0,336.0
Clatsop-410070008 08 - ASTORIA,235.0,24.0,18.0,149.0,50.0,115.0,14.0,5.0,44.0,426.0,63.0,165.0
Clatsop-410070020 20 - CANNON BEACH,561.0,26.0,37.0,228.0,156.0,193.0,24.0,45.0,61.0,852.0,130.0,349.0
Clatsop-410070021 21 - CHADWELL,141.0,10.0,21.0,266.0,48.0,53.0,20.0,22.0,72.0,438.0,114.0,101.0
Clatsop-410070022 22 - NORTH CLATSOP,222.0,21.0,33.0,348.0,88.0,92.0,16.0,21.0,104.0,624.0,141.0,180.0
Clatsop-410070023 23 - SOUTH CLATSOP,416.0,17.0,49.0,460.0,129.0,114.0,19.0,56.0,189.0,942.0,264.0,243.0
Clatsop-410070024 24 - ELSIE,66.0,8.0,4.0,78.0,9.0,36.0,0.0,1.0,18.0,156.0,19.0,45.0
Clatsop-410070025 25 - GEARHART,492.0,12.0,49.0,337.0,144.0,149.0,26.0,40.0,119.0,890.0,185.0,293.0
Clatsop-410070026 26 - HAMLET,102.0,8.0,9.0,97.0,22.0,41.0,5.0,3.0,27.0,216.0,35.0,63.0
Clatsop-410070028 28 - JEWELL,114.0,8.0,13.0,181.0,37.0,45.0,19.0,5.0,57.0,316.0,81.0,82.0
Clatsop-410070029 29 - JOHN DAY,134.0,3.0,11.0,152.0,34.0,44.0,12.0,14.0,44.0,300.0,70.0,78.0
Clatsop-410070030 30 - KNAPPA,356.0,22.0,51.0,457.0,115.0,149.0,24.0,23.0,113.0,886.0,160.0,264.0
Clatsop-410070031 31 - LEWIS & CLARK,268.0,14.0,54.0,409.0,83.0,126.0,15.0,15.0,139.0,745.0,169.0,209.0
Clatsop-410070035 35 - NECANICUM,99.0,4.0,11.0,141.0,32.0,31.0,6.0,17.0,28.0,255.0,51.0,63.0
Clatsop-410070036 36 - OLNEY,120.0,9.0,20.0,214.0,29.0,60.0,9.0,14.0,72.0,363.0,95.0,89.0
Clatsop-410070037 37 - SEASIDE,371.0,23.0,27.0,271.0,102.0,112.0,15.0,26.0,113.0,692.0,154.0,214.0
Clatsop-410070038 38 - SEASIDE,406.0,31.0,41.0,316.0,94.0,123.0,15.0,16.0,83.0,794.0,114.0,217.0
Clatsop-410070039 39 - SEASIDE,368.0,30.0,40.0,250.0,121.0,131.0,15.0,19.0,63.0,688.0,97.0,252.0
Clatsop-410070040 40 - SEASIDE,368.0,13.0,33.0,288.0,99.0,112.0,22.0,20.0,105.0,702.0,147.0,211.0
Clatsop-410070043 43 - STANLEY ACRES,55.0,1.0,15.0,57.0,14.0,25.0,4.0,5.0,22.0,128.0,31.0,39.0
Clatsop-410070044 44 - SVENSEN,203.0,15.0,20.0,270.0,63.0,77.0,12.0,16.0,74.0,508.0,102.0,140.0
