precinct,gen_dem_CLINTON,gen_ind_CASTLE,gen_ind_FUENTE,gen_ind_JOHNSON,gen_ind_STEIN,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
LIBERTY_120777 SUMATRA 07,13,0,0,3,0,110,10,5,20,0,0,0,4,0,0,0,0,0,0,5,0,5,126,14,35
LIBERTY_120778 ORANGE 08,39,1,0,9,1,125,27,4,13,0,0,0,10,0,0,0,0,0,0,1,0,17,175,28,44
MADISON_120791 AGRICULTURE CENTER,696,2,0,19,4,877,278,43,147,3,5,0,91,2,0,0,0,9,0,60,0,123,1598,293,468
MADISON_1207910 BOARD ROOM MADISON COUNTY ANNEX,658,1,1,11,5,424,274,14,85,2,0,0,21,0,0,0,0,0,0,26,0,55,1100,104,373
"MADISON_1207911 VOTING HOUSE, BUNKER ST.",481,0,0,11,3,263,216,11,55,0,1,0,24,0,0,0,0,4,0,26,0,35,758,90,282
MADISON_120792 MADISON RECREATION CENTER,264,0,1,0,1,49,111,0,15,0,1,0,3,0,0,0,0,1,0,5,0,13,315,23,126
MADISON_120793 LEE CITY HALL,237,2,1,21,0,1212,103,41,131,2,8,1,114,0,0,0,1,13,0,58,1,225,1473,423,275
"MADISON_120794 VOTING HOUSE, SIRMANS",73,0,0,3,0,240,32,5,28,0,0,0,32,0,0,0,0,2,0,10,0,57,316,101,65
MADISON_120795 SENIOR CITIZENS BUILDING,518,1,0,7,0,314,257,18,65,0,1,0,24,0,0,0,0,2,0,20,0,45,840,92,340
MADISON_120796 HAMBURG VOL. FIRE STATION,54,0,0,1,2,162,26,5,16,0,0,0,15,0,0,0,0,4,0,7,0,31,219,57,47
"MADISON_120797 VOTING HOUSE, CROSSROADS",252,1,0,14,3,612,114,15,102,1,1,0,58,0,0,1,1,10,0,28,0,116,882,216,231
MADISON_120798 PINETTA VOL. FIRE DEPT,206,0,0,8,4,599,93,32,81,1,3,0,74,0,0,0,0,7,0,23,0,79,817,187,206
"MADISON_120799 RECYCLING CENTER, LAMONT",87,1,0,0,0,99,44,4,18,0,1,0,16,0,0,0,0,2,0,3,0,17,187,39,66
MANATEE_12081101 101,1408,11,6,133,30,2589,349,29,254,29,16,0,279,0,0,1,0,136,2,361,2,686,4177,1512,632
MANATEE_12081103 103,245,1,0,18,7,492,63,6,58,2,1,0,50,0,0,0,0,20,0,64,0,125,763,262,127
MANATEE_12081107 107,383,2,0,52,8,828,87,4,76,11,4,0,81,0,0,0,0,20,1,94,0,213,1273,424,167
MANATEE_12081111 111,445,1,0,26,5,579,155,8,66,10,2,0,56,0,0,0,0,24,1,70,0,123,1056,286,229
MANATEE_12081117 117,1137,12,4,103,25,2050,265,9,177,17,10,0,223,1,0,0,0,47,3,191,0,442,3331,934,451
MANATEE_12081119 119,431,0,1,26,6,846,118,9,49,3,2,2,85,0,0,0,0,36,1,104,0,251,1310,484,176
MANATEE_12081121 121,1307,9,3,86,19,2424,328,14,186,17,17,0,234,0,0,0,0,60,2,272,0,541,3848,1143,528
MANATEE_12081123 123,1182,3,1,70,14,1750,302,16,141,17,6,0,190,0,0,0,0,45,0,220,0,441,3020,919,459
MANATEE_12081125 125,692,0,2,28,5,1101,215,13,129,11,6,1,64,0,0,0,0,40,1,86,0,320,1828,529,357
MANATEE_12081127 127,1473,4,4,103,24,2951,421,29,224,24,15,1,311,0,0,1,1,98,1,368,0,702,4559,1522,674
MANATEE_12081129 129,337,1,2,12,1,753,104,4,39,7,4,0,78,0,0,0,0,59,0,137,0,266,1106,551,147
MANATEE_12081131 131,1240,7,2,59,17,1863,293,11,142,15,2,0,152,1,0,0,0,89,3,254,0,450,3188,966,446
MANATEE_12081133 133,255,1,0,13,1,481,73,2,20,10,2,0,40,1,0,0,0,42,0,98,0,165,751,358,95
MANATEE_12081135 135,1171,10,1,111,24,2756,262,17,141,26,23,0,355,0,0,0,1,112,2,336,0,606,4073,1461,420
MANATEE_12081137 137,924,7,3,78,24,2335,205,7,120,15,8,2,260,2,0,0,1,85,2,304,0,557,3371,1236,332
MANATEE_12081141 141,76,1,1,15,7,368,21,4,24,2,5,0,52,0,0,0,0,4,0,31,1,66,468,161,49
MANATEE_12081201 201,610,3,0,33,9,893,162,9,118,11,5,0,99,0,0,0,1,28,1,82,0,223,1548,450,289
MANATEE_12081203 203,353,2,4,18,2,641,75,8,58,5,2,0,58,0,0,0,0,16,1,78,0,151,1020,311,141
MANATEE_12081205 205,818,2,0,4,2,36,284,1,61,0,0,0,3,0,0,0,0,1,0,0,0,1,862,5,346
MANATEE_12081207 207,896,5,1,35,5,848,216,9,89,7,6,0,47,0,0,0,0,34,1,119,0,224,1790,438,314
MANATEE_12081209 209,1065,1,1,24,3,387,369,3,85,3,7,1,36,0,0,0,0,5,0,26,0,80,1481,158,457
MANATEE_12081211 211,421,0,0,32,13,946,98,6,76,13,8,2,81,0,0,0,0,29,1,97,0,253,1412,484,180
MANATEE_12081213 213,2047,3,3,61,36,1105,422,11,214,7,5,0,70,1,0,1,1,34,1,117,2,207,3255,446,647
MANATEE_12081215 215,967,4,3,26,13,416,238,6,81,3,1,0,35,0,0,0,0,4,0,21,0,65,1429,129,325
MANATEE_12081217 217,1235,5,1,46,19,1114,354,11,175,14,6,0,125,1,0,1,0,18,3,96,0,309,2420,573,540
MANATEE_12081219 219,1154,4,3,76,25,1188,269,11,242,22,10,0,117,3,0,0,1,72,0,193,0,309,2450,727,522
MANATEE_12081221 221,1327,10,7,62,19,1329,347,23,189,33,8,1,107,0,0,2,1,42,4,136,0,294,2754,628,559
MANATEE_12081223 223,1391,2,0,19,20,323,358,7,77,3,0,1,36,0,0,0,1,3,1,40,0,55,1755,140,442
MANATEE_12081301 301,385,3,0,16,2,510,130,3,80,7,3,0,54,0,0,0,0,46,2,103,0,146,916,361,213
MANATEE_12081303 303,469,0,0,24,12,664,122,3,75,8,3,1,48,0,0,0,0,47,0,116,0,202,1169,425,200
MANATEE_12081305 305,502,1,0,19,5,706,134,8,64,9,2,0,43,1,0,0,0,63,0,92,0,210,1233,420,206
MANATEE_12081307 307,233,0,1,16,6,380,58,2,55,4,0,0,15,2,0,0,0,17,0,42,1,120,636,201,115
MANATEE_12081309 309,713,3,1,25,9,990,231,9,82,16,4,0,57,1,0,0,1,102,1,203,0,341,1741,726,322
MANATEE_12081311 311,1385,4,4,106,16,2525,332,8,244,35,19,1,265,2,0,0,2,135,4,401,3,743,4040,1610,584
MANATEE_12081313 313,908,2,2,56,12,1660,257,5,153,23,5,0,118,1,0,1,2,112,0,203,0,546,2640,1011,415
MANATEE_12081315 315,1206,3,2,80,26,1702,321,11,193,23,6,4,137,3,0,0,1,105,4,255,1,490,3019,1029,525
MANATEE_12081317 317,1080,6,3,97,27,2095,268,18,248,28,5,1,242,0,0,0,0,97,1,330,0,513,3308,1217,534
MANATEE_12081321 321,227,2,0,9,0,240,75,0,22,14,3,3,31,0,0,0,0,49,2,68,2,59,478,231,97
MANATEE_12081323 323,1386,5,1,106,31,1999,359,15,213,35,5,0,159,3,1,0,1,88,4,269,2,526,3528,1093,587
MANATEE_12081325 325,997,8,4,56,16,1569,273,14,182,34,7,0,183,0,0,1,2,80,1,263,0,387,2650,958,469
MANATEE_12081327 327,1325,11,8,113,26,2231,340,21,219,31,12,1,239,5,0,0,2,83,3,260,2,477,3714,1115,580
MANATEE_12081329 329,1699,7,1,83,24,1641,378,9,277,17,6,4,150,1,0,0,1,53,5,213,1,408,3455,859,664
MANATEE_12081331 331,778,3,1,44,17,980,221,3,117,33,4,0,75,1,0,0,0,75,0,140,0,282,1823,610,341
MANATEE_12081333 333,1609,11,1,102,37,2613,432,25,319,50,15,2,252,4,1,1,2,119,4,325,1,671,4373,1447,776
MANATEE_12081401 401,1086,3,4,60,23,997,188,7,144,11,3,0,70,0,0,1,0,17,1,82,0,213,2173,398,339
MANATEE_12081403 403,1298,9,2,61,27,1353,328,20,196,24,12,0,97,0,0,0,2,43,2,146,0,323,2750,649,544
MANATEE_12081405 405,210,0,0,10,1,373,67,5,47,3,1,0,32,0,0,0,0,19,0,56,0,126,594,237,119
MANATEE_12081407 407,336,1,1,15,6,467,73,1,80,6,2,0,34,0,0,0,0,31,0,59,0,147,826,279,154
MANATEE_12081409 409,897,7,1,48,20,1471,235,15,157,23,5,2,102,0,0,1,3,41,0,133,2,372,2444,684,407
MANATEE_12081411 411,1089,2,4,61,26,1061,238,14,141,14,9,1,75,1,0,0,1,35,0,95,0,264,2243,495,393
MANATEE_12081413 413,1162,6,5,57,27,1486,277,10,220,18,6,0,109,0,0,0,0,56,2,143,1,399,2743,734,507
MANATEE_12081415 415,1856,9,4,105,28,1427,366,16,209,14,14,0,98,1,0,0,1,27,0,131,0,345,3429,631,591
MANATEE_12081417 417,1649,5,4,106,26,2501,401,13,227,27,14,2,255,0,0,0,1,76,1,314,0,572,4291,1262,641
MANATEE_12081419 419,1685,7,1,74,23,1726,420,4,241,16,6,4,139,0,0,0,1,78,0,235,1,450,3516,930,665
MANATEE_12081421 421,686,4,3,60,25,1023,167,9,132,8,3,1,76,0,0,0,0,19,1,145,0,241,1801,494,308
MANATEE_12081501 501,1993,12,4,162,42,3224,439,18,296,31,23,0,274,0,2,0,2,121,4,392,1,805,5437,1655,753
MANATEE_12081503 503,1433,2,4,87,16,2172,386,10,185,33,5,1,206,0,0,1,0,101,1,299,1,583,3714,1231,581
MANATEE_12081505 505,1885,2,1,69,17,2256,579,13,241,42,5,3,159,1,0,0,1,158,1,415,2,683,4230,1470,833
MANATEE_12081507 507,1551,6,2,86,18,1640,427,12,253,37,7,3,127,0,2,0,0,95,2,254,1,444,3303,972,692
MANATEE_12081509 509,838,8,1,66,11,1890,217,12,128,9,13,1,217,0,0,0,1,60,2,226,0,461,2814,990,357
MANATEE_12081511 511,1175,0,4,66,12,1988,336,6,141,24,9,0,170,1,0,0,1,103,4,311,1,580,3245,1204,483
MANATEE_12081513 513,1110,0,0,54,6,1268,362,6,96,23,4,4,103,1,0,1,0,147,3,274,0,393,2438,953,464
MANATEE_12081515 515,1355,11,3,75,22,2249,338,5,215,32,5,0,225,1,0,0,2,154,0,329,1,619,3715,1368,558
MANATEE_12081517 517,2042,2,3,92,28,2893,539,10,243,43,8,1,231,0,0,0,1,215,4,537,1,838,5060,1879,792
MANATEE_12081519 519,2618,16,5,155,39,3898,559,9,273,27,13,2,311,1,0,0,0,175,2,506,0,952,6731,1989,841
MANATEE_12081521 521,1051,2,0,63,3,1857,292,4,95,32,2,0,133,1,0,0,1,177,1,417,1,609,2976,1374,391
MANATEE_12081523 523,558,5,2,58,12,1723,129,6,77,4,8,1,186,0,0,0,0,41,2,182,0,446,2358,870,212
MANATEE_12081525 525,76,1,0,8,2,418,15,0,27,3,2,0,35,0,0,0,0,6,0,28,0,114,505,188,42
MANATEE_12081527 527,273,6,0,28,9,1145,69,12,67,6,0,2,137,0,0,0,0,17,0,77,0,271,1461,510,148
MARION_120831500 1500,85,0,0,4,0,292,28,6,22,1,1,0,16,0,0,0,0,3,0,23,0,87,381,131,56
MARION_120831510 1510,152,5,2,16,9,529,45,12,58,3,0,0,41,1,0,0,0,3,0,23,0,140,713,211,115
MARION_120831520 1520,275,1,0,28,3,876,44,6,54,5,3,0,48,0,0,0,0,5,2,37,0,166,1183,266,104
MARION_120831530 1530,273,3,0,28,9,1030,93,8,83,5,3,0,104,0,0,0,2,20,2,62,0,328,1343,526,184
MARION_120831540 1540,255,8,1,27,7,1085,56,12,74,5,3,1,83,0,0,0,1,17,0,70,2,292,1383,474,142
MARION_120831550 1550,555,3,1,29,14,1626,155,16,111,7,11,1,168,0,0,0,0,22,0,129,0,530,2228,868,282
MARION_120831560 1560,299,1,1,31,7,962,58,4,57,0,4,1,83,1,0,1,1,20,1,61,0,165,1301,338,119
MARION_120831570 1570,419,5,1,29,10,1279,61,4,39,1,3,0,59,0,0,0,0,11,0,52,1,189,1743,316,104
MARION_120831580 1580,442,1,0,20,3,791,120,15,77,5,2,0,84,0,0,0,0,4,0,56,1,218,1257,370,212
MARION_120831590 1590,456,3,0,31,11,1084,112,7,88,6,6,1,110,0,0,0,3,35,2,86,1,289,1585,539,207
MARION_120831600 1600,505,8,2,44,8,1288,138,16,128,7,7,1,127,0,0,0,2,22,2,103,0,309,1855,580,282
MARION_120831610 1610,633,7,2,42,9,1419,157,14,113,6,6,0,158,1,0,0,2,27,0,168,0,383,2112,751,284
MARION_120832500 2500,346,0,2,20,5,744,96,13,98,11,3,0,65,0,0,0,0,17,0,57,1,205,1117,359,207
MARION_120832510 2510,174,1,0,16,6,245,44,2,55,1,2,0,23,0,0,0,0,6,1,23,0,81,442,137,101
MARION_120832520 2520,630,1,1,17,10,778,221,8,80,1,1,0,87,0,0,1,1,28,0,69,0,232,1437,420,309
MARION_120832530 2530,639,1,0,13,7,518,219,4,76,2,1,0,49,0,0,0,1,7,0,36,2,116,1178,214,299
MARION_120832540 2540,343,0,0,10,2,452,101,5,32,0,6,0,37,0,0,0,0,2,0,26,0,142,807,213,138
MARION_120832550 2550,389,1,0,19,3,774,121,6,53,3,1,2,85,0,0,0,0,36,0,77,1,251,1186,456,180
MARION_120832551 2551,249,2,0,5,4,502,70,7,41,0,2,0,42,0,0,1,0,18,0,35,0,164,762,262,118
MARION_120832560 2560,294,0,1,13,0,463,97,3,35,0,2,0,34,0,0,0,1,10,0,39,0,137,771,223,135
MARION_120832570 2570,885,6,1,52,7,916,255,6,104,6,2,0,81,0,0,0,1,16,0,76,0,230,1867,412,365
MARION_120832580 2580,331,0,0,11,2,489,116,12,48,3,1,0,47,1,0,0,1,20,0,51,0,172,833,296,176
MARION_120832590 2590,398,0,1,8,1,270,115,4,28,2,2,0,27,0,0,0,0,3,0,21,0,72,678,127,147
MARION_120832600 2600,953,7,4,59,20,1825,188,11,134,14,4,2,122,0,0,0,1,23,0,122,0,419,2868,707,333
MARION_120832610 2610,465,2,0,10,7,842,175,6,69,13,2,1,75,1,0,0,1,60,0,106,0,335,1326,594,250
MARION_120832620 2620,126,0,0,4,1,163,45,7,24,0,1,0,14,0,0,0,0,2,0,17,0,59,294,93,76
MARION_120833510 3510,246,4,8,21,13,813,28,2,21,3,2,0,17,0,0,0,1,1,0,11,0,56,1105,91,51
MARION_120833520 3520,343,4,0,21,3,1040,99,12,86,4,5,0,89,0,0,0,1,12,0,77,0,285,1411,473,197
MARION_120833530 3530,762,4,0,27,8,1990,269,13,117,10,4,1,145,0,0,0,1,82,0,283,0,726,2791,1252,399
MARION_120833540 3540,534,3,2,13,5,1262,195,9,101,14,4,0,82,0,0,1,0,44,1,130,0,418,1819,694,305
MARION_120833550 3550,480,0,1,14,3,1129,197,4,78,10,3,1,84,0,0,0,0,57,0,183,0,398,1627,736,279
MARION_120833551 3551,482,1,0,20,2,1050,172,3,68,4,5,0,66,0,0,0,0,64,0,165,0,422,1555,726,243
MARION_120833552 3552,449,2,1,16,0,1067,145,12,60,4,8,0,95,1,0,0,0,48,1,167,0,389,1535,713,217
MARION_120833553 3553,529,2,1,23,4,1347,203,3,65,12,4,1,107,0,0,0,1,85,1,241,0,512,1906,964,271
MARION_120833560 3560,242,3,0,17,9,588,48,7,45,2,2,0,66,1,0,0,1,15,0,37,0,156,859,280,100
MARION_120833570 3570,489,3,3,34,10,1298,101,13,103,3,3,0,124,0,0,0,1,12,3,83,0,315,1837,544,217
MARION_120833580 3580,665,4,2,35,13,1630,186,14,104,5,8,2,131,0,0,0,0,29,1,112,1,374,2349,663,304
MARION_120833590 3590,458,1,3,42,18,1082,146,11,108,4,6,0,98,0,0,0,0,17,4,83,0,280,1604,492,265
MARION_120833600 3600,296,2,1,33,8,897,79,5,68,3,4,0,59,0,0,0,1,19,0,74,0,240,1237,400,152
MARION_120833610 3610,177,2,0,12,7,354,48,1,35,2,1,0,36,0,0,1,0,2,0,21,0,93,552,156,84
MARION_120833620 3620,500,2,0,16,2,1027,171,8,84,7,2,1,86,0,0,0,0,75,0,165,0,353,1547,689,263
MARION_120833621 3621,400,2,0,4,2,1001,157,8,58,12,1,1,75,1,0,0,0,56,0,140,0,383,1409,669,223
MARION_120833622 3622,460,0,1,17,5,1082,181,6,92,5,0,2,99,0,0,0,0,59,1,178,0,411,1565,755,279
MARION_120833630 3630,416,4,1,24,8,1054,97,16,85,4,6,0,97,0,0,0,0,16,3,81,0,255,1507,462,198
MARION_120833640 3640,314,1,0,29,14,1006,62,7,73,7,4,0,87,0,0,0,0,9,0,93,0,264,1364,464,142
MARION_120833650 3650,284,5,0,31,6,921,96,6,77,1,2,0,62,0,0,0,1,17,1,65,0,228,1247,377,179
MARION_120833660 3660,464,5,2,26,4,880,133,8,70,7,6,1,84,1,0,0,0,9,0,57,0,223,1381,388,211
MARION_120833670 3670,1912,5,2,91,22,1486,618,10,195,12,4,1,143,0,0,2,2,31,0,131,0,354,3518,680,823
MARION_120833680 3680,494,5,3,37,5,499,126,3,49,2,1,0,54,1,0,0,0,5,2,50,0,129,1043,244,178
MARION_120833690 3690,1057,5,6,62,16,1439,271,16,134,7,6,0,157,0,1,0,0,15,1,131,0,359,2585,677,421
MARION_120833700 3700,1045,2,7,37,9,658,269,6,98,3,2,1,51,1,0,0,0,7,2,55,0,131,1758,253,373
MARION_120833710 3710,854,4,5,57,13,1376,182,8,99,1,4,1,134,0,0,0,3,16,2,113,0,354,2309,628,289
MARION_120833720 3720,222,3,1,18,9,548,75,2,48,1,0,0,46,0,0,0,0,6,0,57,0,144,801,254,125
MARION_120833721 3721,45,0,0,1,0,52,12,1,7,0,1,0,5,0,0,0,0,1,0,3,0,13,98,23,20
MARION_120833730 3730,521,6,4,29,13,1052,115,10,92,5,5,0,85,0,0,0,0,6,2,51,1,221,1625,376,217
MARION_120833740 3740,376,1,1,26,4,934,80,7,66,10,4,0,85,1,0,0,2,29,0,115,0,276,1342,522,153
MARION_120833750 3750,447,2,0,44,7,1219,72,5,71,4,1,0,85,0,0,0,2,39,0,88,1,274,1719,494,148
MARION_120833760 3760,399,1,1,39,6,990,183,10,119,14,12,0,201,0,0,0,2,49,1,255,0,548,1436,1082,312
MARION_120833770 3770,349,4,4,40,4,1017,137,14,139,7,7,2,116,1,0,0,1,13,1,86,0,442,1418,676,290
MARION_120833780 3780,730,8,4,78,17,2000,162,12,127,9,5,0,158,1,0,0,1,47,3,180,0,383,2837,787,301
MARION_120833790 3790,119,0,0,16,6,415,98,10,79,6,0,0,80,0,0,0,0,15,1,70,0,239,556,411,187
MARION_120833800 3800,454,7,5,39,15,890,137,7,73,5,5,0,91,0,0,0,0,19,4,89,0,236,1410,449,217
MARION_120833810 3810,485,1,0,36,13,961,119,9,81,7,7,0,96,1,0,1,0,21,0,109,0,274,1496,516,209
MARION_120833820 3820,318,2,0,14,5,688,97,3,51,6,4,0,65,1,0,0,1,27,0,88,1,244,1027,437,151
MARION_120833830 3830,287,1,2,11,8,564,94,10,55,2,3,0,50,0,0,0,0,23,0,66,0,146,873,290,159
MARION_120833840 3840,486,2,2,38,13,1186,147,14,111,10,7,0,128,2,0,0,3,27,1,152,1,335,1727,666,272
MARION_120834500 4500,523,1,1,31,2,973,143,11,82,8,2,0,85,2,0,0,0,35,1,98,0,311,1531,542,236
MARION_120834510 4510,641,6,2,23,8,1490,227,7,153,10,11,1,152,1,0,0,0,83,2,187,0,465,2170,912,387
MARION_120834520 4520,568,3,1,39,7,1404,140,10,111,9,3,0,115,1,0,0,0,23,3,111,0,464,2022,729,261
MARION_120834530 4530,285,0,0,11,2,524,102,3,49,2,2,1,56,0,0,0,0,30,1,75,1,191,822,359,154
MARION_120834540 4540,172,1,1,12,6,496,38,4,35,6,0,0,44,0,0,0,2,7,1,17,1,122,688,200,77
MARION_120834550 4550,812,5,4,18,15,389,249,6,70,4,0,0,39,0,0,1,1,10,1,37,0,87,1243,180,325
MARION_120834560 4560,967,2,6,31,12,576,322,3,88,3,5,1,35,0,0,0,0,3,1,46,0,124,1594,218,413
MARION_120834570 4570,523,0,2,14,7,948,177,8,86,12,2,1,99,0,0,0,0,65,0,133,0,376,1494,688,271
MARION_120834580 4580,1260,2,2,38,8,662,360,3,109,2,8,0,50,0,0,0,0,15,0,48,0,150,1972,273,472
MARION_120834590 4590,1382,5,7,36,16,721,400,7,113,7,4,0,69,0,0,0,0,8,0,62,0,142,2167,292,520
MARION_120834600 4600,333,0,2,13,0,508,124,3,67,8,3,1,56,0,0,0,1,11,1,39,0,162,856,282,194
MARION_120834610 4610,715,2,0,36,14,1162,230,14,124,11,3,0,86,0,0,1,0,65,0,144,1,360,1929,671,368
MARION_120834620 4620,791,3,0,40,13,1392,268,7,139,11,5,0,133,6,0,0,0,86,0,203,0,535,2239,979,414
MARION_120834630 4630,314,0,0,11,7,463,122,4,54,3,3,1,37,0,0,2,0,24,1,53,1,153,795,278,180
MARION_120834640 4640,904,5,3,46,16,1194,248,8,149,6,3,4,117,0,0,0,1,33,1,127,1,346,2168,639,405
MARION_120834650 4650,499,1,0,17,4,890,179,13,83,9,5,2,81,0,0,0,2,54,0,101,2,301,1411,557,275
MARION_120834651 4651,1204,5,1,27,10,2150,432,20,177,31,10,2,190,4,1,0,0,122,0,281,3,723,3397,1367,629
MARION_120834652 4652,306,0,0,10,1,521,125,3,39,2,1,0,41,0,0,0,0,28,0,103,0,184,838,359,167
MARION_120834653 4653,118,0,0,5,1,159,54,2,13,5,0,0,6,0,0,0,0,15,0,19,0,52,283,97,69
MARION_120834654 4654,778,2,1,30,4,1326,255,13,90,9,2,2,99,1,0,0,0,92,1,223,0,392,2141,821,358
MARION_120834660 4660,589,1,4,32,13,1146,211,12,116,5,5,2,91,0,0,0,1,31,1,95,0,363,1785,594,339
MARION_120834670 4670,963,4,0,55,16,1313,282,7,119,5,6,3,112,0,0,2,2,25,1,118,2,333,2351,609,408
MARION_120834680 4680,430,1,1,32,8,900,123,6,70,2,3,2,67,1,1,0,0,15,0,81,2,241,1372,415,199
MARION_120834690 4690,607,6,0,47,18,1223,170,8,125,3,4,0,113,0,0,0,1,18,0,81,0,332,1901,552,303
MARION_120834700 4700,121,0,1,11,1,400,39,3,41,1,2,0,33,1,0,0,0,8,0,18,0,131,534,194,83
MARION_120834710 4710,632,5,3,47,16,1629,173,6,117,5,7,1,136,1,0,0,0,28,1,76,1,420,2332,676,296
MARION_120834720 4720,292,5,1,16,6,397,123,7,73,4,3,2,45,0,0,0,1,13,0,44,0,188,717,300,203
MARION_120834730 4730,242,6,2,18,2,508,76,6,40,1,2,0,48,0,0,0,1,8,0,33,0,159,778,252,122
MARION_120834740 4740,216,0,0,10,1,547,100,8,38,6,1,0,56,0,0,0,1,21,0,77,0,182,774,344,146
MARION_120834750 4750,590,3,1,37,13,979,154,5,70,4,7,0,82,0,0,0,0,25,0,118,0,240,1623,476,229
MARION_120834760 4760,252,0,0,4,5,349,110,5,37,1,5,0,19,0,0,0,0,10,1,57,1,130,610,224,152
MARION_120834770 4770,285,3,0,23,7,765,113,7,80,8,9,1,151,1,0,0,4,57,0,163,0,393,1083,787,200
MARTIN_1208510 PRECINCT 10 10,533,0,0,34,5,917,94,2,71,21,5,0,61,0,0,0,0,116,4,144,0,354,1489,705,167
MARTIN_1208511 PRECINCT 11 11,829,0,1,66,11,1363,148,15,132,4,7,1,107,3,1,0,0,40,6,103,0,316,2270,588,295
MARTIN_1208512 PRECINCT 12 12,1507,10,2,89,28,2758,311,12,208,29,10,2,370,1,0,0,1,152,2,344,1,766,4394,1678,531
MARTIN_1208513 PRECINCT 13 13,1297,3,1,59,21,2653,300,14,202,39,9,4,204,0,0,0,3,243,2,305,1,889,4034,1699,516
MARTIN_1208514 PRECINCT 14 14,1320,5,0,69,20,1620,307,6,148,33,16,4,111,1,0,0,1,140,1,172,0,485,3034,964,461
MARTIN_1208515 PRECINCT 15 15,833,4,2,31,8,1653,236,13,97,26,7,2,111,1,0,0,3,100,2,215,0,570,2531,1037,346
MARTIN_1208516 PRECINCT 16 16,409,0,0,23,10,403,67,1,62,4,1,0,33,0,0,0,0,11,0,43,0,103,845,195,130
MARTIN_1208517 PRECINCT 17 17,591,3,2,47,7,1697,97,10,84,11,6,0,103,0,0,0,2,73,4,160,0,528,2347,887,191
MARTIN_1208518 PRECINCT 18 18,1374,6,1,100,19,2406,289,10,176,25,12,1,184,3,0,0,0,110,1,281,1,709,3906,1327,475
MARTIN_1208519 PRECINCT 19 19,1517,3,4,82,22,2553,364,15,199,27,13,1,197,1,0,0,1,156,5,332,1,716,4181,1450,578
MARTIN_1208520 PRECINCT 20 20,723,0,1,46,9,1272,203,13,87,27,6,2,68,1,0,0,1,106,1,198,1,335,2051,746,303
MARTIN_1208521 PRECINCT 21 21,1245,3,0,83,13,2921,270,15,148,34,14,2,220,0,0,0,1,196,3,444,0,866,4265,1780,433
MARTIN_1208522 PRECINCT 22 22,1022,5,0,59,17,2087,272,9,166,27,9,1,184,1,0,0,2,113,3,239,1,633,3190,1213,447
MARTIN_1208523 PRECINCT 23 23,972,5,2,65,25,1983,201,18,168,10,11,3,201,1,0,0,0,95,1,220,0,508,3052,1050,387
MARTIN_1208524 PRECINCT 24 24,957,0,0,90,10,2071,167,7,143,36,7,1,149,0,0,0,1,136,2,245,0,615,3128,1192,317
MARTIN_1208525 PRECINCT 25 25,1406,1,2,88,25,2937,306,4,179,45,18,4,184,2,0,0,0,204,3,401,0,974,4459,1835,489
MARTIN_1208526 PRECINCT 26 26,1335,1,0,84,16,2750,289,9,163,39,9,3,166,0,0,0,0,199,2,395,0,902,4186,1715,461
MARTIN_1208527 PRECINCT 27 27,1235,10,0,74,26,2802,246,9,158,34,5,4,224,2,1,0,0,180,0,416,0,818,4147,1684,413
MARTIN_1208528 PRECINCT 28 28,171,0,0,24,0,334,11,0,2,17,0,0,30,1,0,0,0,111,0,110,0,91,529,360,13
MARTIN_1208529 PRECINCT 29 29,730,1,4,44,15,999,130,12,92,9,6,1,90,0,0,1,2,35,2,113,0,262,1793,521,234
MARTIN_1208530 PRECINCT 30 30,403,1,2,4,1,28,78,1,10,0,0,1,2,0,0,0,0,3,0,3,0,16,439,25,89
MONROE_1208701 JAYCEE CLUBHOUSE,503,2,1,23,6,407,146,2,103,4,2,0,15,0,0,0,1,28,0,65,0,110,942,225,251
MONROE_1208702 KEY WEST HIGH SCHOOL AUDITORIUM,764,1,0,40,10,557,231,10,167,8,0,1,13,0,0,0,0,27,0,65,0,144,1372,258,408
MONROE_1208703 KEY WEST HIGH SCHOOL AUDITORIUM,671,0,1,19,11,400,213,1,144,4,3,0,20,1,0,0,0,24,0,57,0,99,1102,208,358
MONROE_1208704 MARTIN LUTHER KING POOL,644,1,2,8,17,129,218,1,108,0,1,0,1,0,0,0,0,3,0,11,0,21,801,37,327
MONROE_1208705 OLD CITY HALL,1370,1,0,105,32,915,324,3,256,12,10,2,47,4,0,1,1,51,2,110,0,181,2423,421,583
MONROE_1208706 GATO BUILDING,816,0,1,33,19,308,269,5,160,2,1,0,14,0,0,0,1,18,1,42,0,67,1177,146,434
MONROE_1208707 MOOSE CLUB,518,2,1,29,8,318,142,2,118,4,0,0,14,0,0,0,0,21,0,39,0,79,876,157,262
MONROE_1208708 GLAD TIDING TABERNACLE,870,0,0,33,18,409,271,6,209,1,1,0,19,0,0,0,0,19,0,44,2,100,1330,186,486
