,contest,choice,precinct_id,vote,early_votes,polling_place_votes,late_early_votes,provisional_votes,party_name,contest_name,choice_name,precinct_designation,precinct,precinct_bs,votes_allowed,referendum_flag
128,0,0,5,190,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUPERIOR,0,,
129,0,0,5,13,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUPERIOR WEST,0,,
130,0,0,5,53,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,SUTTON SUMMIT,0,,
131,0,0,5,10,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,CHUI CHU,0,,
132,0,0,5,562,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,THUNDERBIRD FARMS,0,,
133,0,0,5,615,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,CASA GRANDE WEST,0,,
134,0,0,5,537,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION NORTH,0,,
135,0,0,5,944,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION N. CENTRA,0,,
136,0,0,5,914,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION,0,,
137,0,0,5,776,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,5,APACHE JUNCTION SOUTH,0,,
138,0,0,6,26,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,BLACKWATER,0,,
139,0,0,6,46,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SAN TAN,0,,
140,0,0,6,49,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,CASA BLANCA,0,,
141,0,0,6,957,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SUPERSTITION MOUNTAIN,0,,
142,0,0,6,732,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,MOUNTAINBROOK VILLAGE,0,,
143,0,0,6,346,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,HIDDEN VALLEY,0,,
144,0,0,6,1235,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,SAN TAN PARK,0,,
145,0,0,6,431,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,6,BELLA VISTA,0,,
146,0,0,7,1036,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,COPPER BASIN,0,,
147,0,0,7,843,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,SCHNEPF,0,,
148,0,0,7,360,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,PERALTA,0,,
149,0,0,7,430,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,SANTA ROSA,0,,
150,0,0,7,646,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,EL DORADO,0,,
151,0,0,7,767,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,WALKER BUTTE,0,,
152,0,0,7,903,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,PECAN CREEK NORTH,0,,
153,0,0,7,34,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,AK CHIN COMMUNITY,0,,
154,0,0,7,660,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,MARICOPA MEADOWS,0,,
155,0,0,7,813,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,7,MARICOPA FIESTA,0,,
156,0,0,8,1115,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,PROVINCE,0,,
157,0,0,8,690,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,IRONWOOD COMMON,0,,
158,0,0,8,931,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,COYOTE RANCH,0,,
159,0,0,8,739,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,SAN TAN HEIGHTS,0,,
160,0,0,8,893,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,CIRCLE CROSS RANCH,0,,
161,0,0,8,577,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,JOHNSON RANCH EAST,0,,
162,0,0,8,1703,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,IRONWOOD CROSSING,0,,
163,0,0,8,976,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,8,QUAIL HOLLOW,0,,
164,0,0,9,557,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SENITA,0,,
165,0,0,9,668,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SKYLINE RANCH,0,,
166,0,0,9,531,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,SAN TAN RANCHES,0,,
167,0,0,9,633,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,LINKS ESTATES,0,,
168,0,0,9,633,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,9,MISSION VALLEY,0,,
169,0,0,10,470,0,0,0,0,REP,REGISTERED VOTERS - REPUBLICAN,REGISTERED VOTERS - REPUBLICAN,1,0 DESERT CEDARS,0,,
