contest,choice,precinct_id,vote,polling_place_votes,early_votes,provisional_votes,party_name,contest_name,candidate,precinct,precinct_name,subjurisdiction,votes_allowed,referendum_flag
0,0,11,119,0,0,0,,Registered Voters,REGISTERED VOTERS,117,0,,,
0,0,11,0,0,0,0,,Registered Voters,REGISTERED VOTERS,118,0,,,
0,0,11,146,0,0,0,,Registered Voters,REGISTERED VOTERS,119,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,120,0,,,
0,0,12,1171,0,0,0,,Registered Voters,REGISTERED VOTERS,121,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,122,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,123,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,124,0,,,
0,0,12,2493,0,0,0,,Registered Voters,REGISTERED VOTERS,125,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,126,0,,,
0,0,12,14,0,0,0,,Registered Voters,REGISTERED VOTERS,127,0,,,
0,0,12,3568,0,0,0,,Registered Voters,REGISTERED VOTERS,128,0,,,
0,0,12,0,0,0,0,,Registered Voters,REGISTERED VOTERS,129,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,130,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,131,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,132,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,133,0,,,
0,0,13,289,0,0,0,,Registered Voters,REGISTERED VOTERS,134,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,135,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,136,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,137,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,138,0,,,
0,0,13,0,0,0,0,,Registered Voters,REGISTERED VOTERS,139,0,,,
0,0,14,189,0,0,0,,Registered Voters,REGISTERED VOTERS,140,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,141,0,,,
0,0,14,191,0,0,0,,Registered Voters,REGISTERED VOTERS,142,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,143,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,144,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,145,0,,,
0,0,14,1142,0,0,0,,Registered Voters,REGISTERED VOTERS,146,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,147,0,,,
0,0,14,288,0,0,0,,Registered Voters,REGISTERED VOTERS,148,0,,,
0,0,14,0,0,0,0,,Registered Voters,REGISTERED VOTERS,149,0,,,
0,0,15,0,0,0,0,,Registered Voters,REGISTERED VOTERS,150,0,,,
0,0,15,0,0,0,0,,Registered Voters,REGISTERED VOTERS,151,0,,,
0,0,15,769,0,0,0,,Registered Voters,REGISTERED VOTERS,152,0,,,
0,0,15,0,0,0,0,,Registered Voters,REGISTERED VOTERS,153,0,,,
0,0,15,67,0,0,0,,Registered Voters,REGISTERED VOTERS,154,0,,,
0,0,15,83,0,0,0,,Registered Voters,REGISTERED VOTERS,155,0,,,
0,0,15,62,0,0,0,,Registered Voters,REGISTERED VOTERS,156,0,,,
0,0,15,315,0,0,0,,Registered Voters,REGISTERED VOTERS,157,0,,,
0,0,15,290,0,0,0,,Registered Voters,REGISTERED VOTERS,158,0,,,
0,0,15,0,0,0,0,,Registered Voters,REGISTERED VOTERS,159,0,,,
0,0,16,302,0,0,0,,Registered Voters,REGISTERED VOTERS,160,0,,,
0,0,16,0,0,0,0,,Registered Voters,REGISTERED VOTERS,161,0,,,
0,0,16,0,0,0,0,,Registered Voters,REGISTERED VOTERS,162,0,,,
0,0,16,0,0,0,0,,Registered Voters,REGISTERED VOTERS,163,0,,,
0,0,16,0,0,0,0,,Registered Voters,REGISTERED VOTERS,164,0,,,
0,0,16,433,0,0,0,,Registered Voters,REGISTERED VOTERS,165,0,,,
0,0,16,1855,0,0,0,,Registered Voters,REGISTERED VOTERS,166,0,,,
0,0,16,5,0,0,0,,Registered Voters,REGISTERED VOTERS,167,0,,,
0,0,16,0,0,0,0,,Registered Voters,REGISTERED VOTERS,168,0,,,
0,0,16,318,0,0,0,,Registered Voters,REGISTERED VOTERS,169,0,,,
0,0,17,0,0,0,0,,Registered Voters,REGISTERED VOTERS,170,0,,,
0,0,17,0,0,0,0,,Registered Voters,REGISTERED VOTERS,171,0,,,
0,0,17,0,0,0,0,,Registered Voters,REGISTERED VOTERS,172,0,,,
0,0,17,0,0,0,0,,Registered Voters,REGISTERED VOTERS,173,0,,,
0,0,17,216,0,0,0,,Registered Voters,REGISTERED VOTERS,174,0,,,
0,0,17,0,0,0,0,,Registered Voters,REGISTERED VOTERS,175,0,,,
0,0,0,986,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,1,0,,,
0,0,0,1814,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,2,0,,,
0,0,0,1209,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,3,0,,,
0,0,0,1271,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,4,0,,,
0,0,0,716,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,5,0,,,
0,0,0,1539,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,6,0,,,
0,0,0,863,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,7,0,,,
0,0,0,1375,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,8,0,,,
0,0,0,1054,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,9,0,,,
0,0,1,1085,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,10,0,,,
0,0,1,1305,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,11,0,,,
0,0,1,1451,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,12,0,,,
0,0,1,500,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,13,0,,,
0,0,1,505,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,14,0,,,
0,0,1,1219,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,15,0,,,
0,0,1,1616,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,16,0,,,
0,0,1,2054,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,17,0,,,
0,0,1,1717,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,18,0,,,
0,0,1,2088,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,19,0,,,
0,0,2,1609,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,20,0,,,
0,0,2,1449,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,21,0,,,
0,0,2,1940,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,22,0,,,
0,0,2,2266,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,23,0,,,
0,0,2,981,0,0,0,DEM,REGISTERED VOTERS - DEMOCRATIC PARTY,REGISTERED VOTERS - DEMOCRATIC PARTY,24,0,,,
