county,precinct,office,district,candidate,party,votes
Bronx,009/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,009/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Bronx,009/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Bronx,009/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,009/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,009/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,009/77,President,NYC,Scattered,,2
Bronx,010/77,President,NYC,Manually Counted Emergency,,0
Bronx,010/77,President,NYC,Absentee / Military,,8
Bronx,010/77,President,NYC,Federal,,1
Bronx,010/77,President,NYC,Special Presidential,,0
Bronx,010/77,President,NYC,Affidavit,,28
Bronx,010/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,519
Bronx,010/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,30
Bronx,010/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,010/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Bronx,010/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Bronx,010/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Bronx,010/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,010/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,010/77,President,NYC,Scattered,,2
Bronx,011/77,President,NYC,Manually Counted Emergency,,0
Bronx,011/77,President,NYC,Absentee / Military,,17
Bronx,011/77,President,NYC,Federal,,0
Bronx,011/77,President,NYC,Special Presidential,,0
Bronx,011/77,President,NYC,Affidavit,,37
Bronx,011/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,665
Bronx,011/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,25
Bronx,011/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
Bronx,011/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,3
Bronx,011/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,7
Bronx,011/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,2
Bronx,011/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,4
Bronx,011/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,011/77,President,NYC,Scattered,,1
Bronx,012/77,President,NYC,Manually Counted Emergency,,0
Bronx,012/77,President,NYC,Absentee / Military,,12
Bronx,012/77,President,NYC,Federal,,2
Bronx,012/77,President,NYC,Special Presidential,,0
Bronx,012/77,President,NYC,Affidavit,,30
Bronx,012/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,587
Bronx,012/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,23
Bronx,012/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
Bronx,012/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Bronx,012/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,2
Bronx,012/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,012/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Bronx,012/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,012/77,President,NYC,Scattered,,2
Bronx,013/77,President,NYC,Manually Counted Emergency,,0
Bronx,013/77,President,NYC,Absentee / Military,,11
Bronx,013/77,President,NYC,Federal,,0
Bronx,013/77,President,NYC,Special Presidential,,0
Bronx,013/77,President,NYC,Affidavit,,40
Bronx,013/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,657
Bronx,013/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,28
Bronx,013/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,013/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Bronx,013/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Bronx,013/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Bronx,013/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,013/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,013/77,President,NYC,Scattered,,1
Bronx,014/77,President,NYC,Manually Counted Emergency,,0
Bronx,014/77,President,NYC,Absentee / Military,,10
Bronx,014/77,President,NYC,Federal,,1
Bronx,014/77,President,NYC,Special Presidential,,0
Bronx,014/77,President,NYC,Affidavit,,22
Bronx,014/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,415
Bronx,014/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,33
Bronx,014/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,3
Bronx,014/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Bronx,014/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,9
Bronx,014/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Bronx,014/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,014/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,014/77,President,NYC,Scattered,,2
Bronx,015/77,President,NYC,Manually Counted Emergency,,0
Bronx,015/77,President,NYC,Absentee / Military,,5
Bronx,015/77,President,NYC,Federal,,2
Bronx,015/77,President,NYC,Special Presidential,,0
Bronx,015/77,President,NYC,Affidavit,,21
Bronx,015/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,562
Bronx,015/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,30
Bronx,015/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,2
Bronx,015/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,7
Bronx,015/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Bronx,015/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Bronx,015/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,015/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,015/77,President,NYC,Scattered,,1
Bronx,016/77,President,NYC,Manually Counted Emergency,,0
Bronx,016/77,President,NYC,Absentee / Military,,7
Bronx,016/77,President,NYC,Federal,,3
Bronx,016/77,President,NYC,Special Presidential,,0
Bronx,016/77,President,NYC,Affidavit,,21
Bronx,016/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,403
Bronx,016/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,21
Bronx,016/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,016/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Bronx,016/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Bronx,016/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,016/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,016/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,017/77,President,NYC,Manually Counted Emergency,,0
Bronx,017/77,President,NYC,Absentee / Military,,10
Bronx,017/77,President,NYC,Federal,,2
Bronx,017/77,President,NYC,Special Presidential,,0
Bronx,017/77,President,NYC,Affidavit,,12
Bronx,017/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,190
Bronx,017/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,7
Bronx,017/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,0
Bronx,017/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Bronx,017/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,4
Bronx,017/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,017/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Bronx,017/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Bronx,018/77,President,NYC,Manually Counted Emergency,,0
Bronx,018/77,President,NYC,Absentee / Military,,9
Bronx,018/77,President,NYC,Federal,,0
Bronx,018/77,President,NYC,Special Presidential,,1
Bronx,018/77,President,NYC,Affidavit,,29
Bronx,018/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,483
Bronx,018/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,19
Bronx,018/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,1
Bronx,018/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Bronx,018/77,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,10
Bronx,018/77,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,0
Bronx,018/77,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Bronx,018/77,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Bronx,018/77,President,NYC,Scattered,,2
Bronx,019/77,President,NYC,Manually Counted Emergency,,0
Bronx,019/77,President,NYC,Absentee / Military,,6
Bronx,019/77,President,NYC,Federal,,1
Bronx,019/77,President,NYC,Special Presidential,,0
Bronx,019/77,President,NYC,Affidavit,,26
Bronx,019/77,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,491
Bronx,019/77,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,17
Bronx,019/77,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
Bronx,019/77,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
