county,precinct,office,district,candidate,party,votes
Kings,015/41,President,NYC,Affidavit,,4
Kings,015/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,63
Kings,015/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,86
Kings,015/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,6
Kings,015/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,2
Kings,015/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Kings,015/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,015/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,015/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,015/41,President,NYC,Scattered,,1
Kings,016/41,President,NYC,Manually Counted Emergency,,0
Kings,016/41,President,NYC,Absentee / Military,,26
Kings,016/41,President,NYC,Federal,,9
Kings,016/41,President,NYC,Special Presidential,,0
Kings,016/41,President,NYC,Affidavit,,12
Kings,016/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,265
Kings,016/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,391
Kings,016/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,44
Kings,016/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Kings,016/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,12
Kings,016/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,15
Kings,016/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,016/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,3
Kings,016/41,President,NYC,Scattered,,15
Kings,017/41,President,NYC,Manually Counted Emergency,,0
Kings,017/41,President,NYC,Absentee / Military,,9
Kings,017/41,President,NYC,Federal,,1
Kings,017/41,President,NYC,Special Presidential,,0
Kings,017/41,President,NYC,Affidavit,,13
Kings,017/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,178
Kings,017/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,300
Kings,017/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,27
Kings,017/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,5
Kings,017/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Kings,017/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,9
Kings,017/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,017/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,5
Kings,017/41,President,NYC,Scattered,,12
Kings,018/41,President,NYC,Manually Counted Emergency,,0
Kings,018/41,President,NYC,Absentee / Military,,21
Kings,018/41,President,NYC,Federal,,4
Kings,018/41,President,NYC,Special Presidential,,0
Kings,018/41,President,NYC,Affidavit,,2
Kings,018/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,126
Kings,018/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,208
Kings,018/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,30
Kings,018/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,1
Kings,018/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,8
Kings,018/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Kings,018/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
Kings,018/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,1
Kings,018/41,President,NYC,Scattered,,6
Kings,019/41,President,NYC,Manually Counted Emergency,,0
Kings,019/41,President,NYC,Absentee / Military,,0
Kings,019/41,President,NYC,Federal,,0
Kings,019/41,President,NYC,Special Presidential,,0
Kings,019/41,President,NYC,Affidavit,,1
Kings,019/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,17
Kings,019/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,44
Kings,019/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,7
Kings,019/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,0
Kings,019/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,1
Kings,019/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,1
Kings,019/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,019/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,020/41,President,NYC,Manually Counted Emergency,,0
Kings,020/41,President,NYC,Absentee / Military,,8
Kings,020/41,President,NYC,Federal,,3
Kings,020/41,President,NYC,Special Presidential,,0
Kings,020/41,President,NYC,Affidavit,,7
Kings,020/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,204
Kings,020/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,119
Kings,020/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,9
Kings,020/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,6
Kings,020/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,5
Kings,020/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,4
Kings,020/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,0
Kings,020/41,President,NYC,Gary Johnson / Bill Weld (Libertarian),Libertarian,0
Kings,020/41,President,NYC,Scattered,,6
Kings,021/41,President,NYC,Manually Counted Emergency,,0
Kings,021/41,President,NYC,Absentee / Military,,11
Kings,021/41,President,NYC,Federal,,1
Kings,021/41,President,NYC,Special Presidential,,0
Kings,021/41,President,NYC,Affidavit,,12
Kings,021/41,President,NYC,Hillary Clinton / Tim Kaine (Democratic),Democratic,291
Kings,021/41,President,NYC,Donald J. Trump / Michael R. Pence (Republican),Republican,194
Kings,021/41,President,NYC,Donald J. Trump / Michael R. Pence (Conservative),Conservative,13
Kings,021/41,President,NYC,Jill Stein / Ajamu Baraka (Green),Green,4
Kings,021/41,President,NYC,Hillary Clinton / Tim Kaine (Working Families),Working Families,3
Kings,021/41,President,NYC,Gary Johnson / Bill Weld (Independence),Independence,3
Kings,021/41,President,NYC,Hillary Clinton / Tim Kaine (Women's Equality),Women's Equality,1
